	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.A3.3362.01A.02R.1325.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A2P2.01A.11R.A206.07	TCGA.J8.A3O1.01A.11R.A21D.07	TCGA.DJ.A2PN.01A.21R.A19O.07
MYCT1	30.12	70.01	403.5	967.76	1259.69	842.36	429.54	45.21	283.05	195.72	56.28	206.94
NAGA	334.46	429.54	575.03	384.34	703.28	698.41	665.29	0.0	0.44	595.34	423.61	420.68
NPTX2	39.79	152.28	255.0	5872.48	343.89	199.85	264.03	0.0	0.21	105.15	27.84	41.81
PCDH17	16.03	16.75	255.0	848.22	1044.52	836.53	234.57	38.67	100.13	81.71	38.67	118.43
PDE1B	2.34	7.57	381.68	780.44	429.54	395.18	341.51	0.0	0.38	71.0	33.78	66.18
PDE2A	46.5	175.07	713.11	1639.59	2591.27	1111.82	490.14	0.0	0.4	395.18	55.89	389.72
PEAR1	9.34	37.32	412.0	915.51	796.86	429.54	412.0	0.0	0.67	117.6	43.94	121.79
PIK3R3	36.01	163.28	808.0	1529.73	1111.82	1268.46	688.78	0.0	0.13	525.39	194.36	507.46
PKN3	88.88	150.17	156.59	312.0	356.05	285.03	173.85	0.0	0.6	156.59	105.89	165.57
PPAP2A	392.44	1417.35	7857.29	7749.1	11112.3	13215.02	8134.41	0.0	0.72	4239.45	830.75	2758.13
PTTG1IP	2119.22	1819.35	6607.01	7642.41	6983.79	8191.0	10808.41	3372.43	4836.35	5403.7	4671.57	5041.77
RAMP2	387.02	1697.45	3168.41	6516.03	7382.04	6381.92	3820.7	0.0	0.12	1477.58	493.56	2119.22
RASGRF2	15.22	31.22	226.54	438.59	438.59	384.34	151.22	0.0	0.24	86.43	23.76	112.77
RHOC	2367.9	4210.15	8778.97	11189.6	11112.3	9876.98	7749.1	0.0	1.04	7382.04	4769.75	6745.86
ROBO4	78.34	156.59	915.51	2104.58	2502.97	1628.26	688.78	0.0	0.4	379.04	141.02	426.57
S1PR1	63.89	191.67	1378.57	2997.45	2537.92	2591.27	1331.57	0.0	0.54	753.83	339.14	921.88
SERPINB13	5.413281112E7	6.572778255E7	0.36	0.37	0.37	0.37	0.0	0.0	0.0	0.0	0.0	0.0
SH2D3C	67.12	181.28	629.35	1697.45	1594.73	1216.75	575.03	0.0	0.49	395.18	110.43	441.64
TEAD4	164.42	105.89	373.81	607.87	551.56	624.99	420.68	0.0	0.56	299.25	201.25	318.57
TIE1	72.01	121.79	738.29	1896.65	3235.01	1950.0	612.11	0.0	0.4	728.11	141.02	571.05
TMEM204	94.67	346.29	1617.0	2537.92	3103.19	1991.0	1806.78	0.0	0.45	981.29	158.79	896.64
TSPAN7	19.39	195.72	1250.98	2209.26	2502.97	2178.83	1008.9	0.0	0.67	346.29	80.01	647.07
TXNDC2	2.71	3.32	3.76	5.28	3.17	4.66	3.38	0.0	0.09	0.33	0.75	0.34
USHBP1	10.16	61.68	214.27	669.92	457.25	265.87	189.02	0.0	0.26	105.15	37.32	169.07
VKORC1	607.87	1583.71	5112.16	2935.74	3467.27	3614.55	6250.56	0.0	0.88	2018.8	1304.15	1870.53
VWF	571.05	420.68	4066.71	5292.48	11345.82	12160.22	2609.3	0.0	0.54	1023.0	941.27	1135.2
