	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.HD.8224.01A.11R.2403.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.NC.A5HI.01A.11R.A26W.07	GTEX.X5EB.1726.SM.4E3J7	GTEX.11EQ9.2026.SM.5P9JI	GTEX.13CF2.2426.SM.5LZYL
TRIM72	0.0	297.17	1008.9	0.0	0.12	1.0	27.44	256.78	3124.78
TSPAN33	115.16	1044.52	189.02	0.0	0.55	63.89	239.52	802.41	136.19
TTN	2.41	1819.35	6121.9	0.0	0.18	5.32	127.0	896.64	10440.2
TTYH2	15.8	79.45	161.02	0.0	0.47	27.25	41.52	76.17	237.86
UBL4A	1015.93	1662.49	1096.5	0.0	0.22	688.78	872.1	1051.79	1561.89
VGLL4	297.17	1617.0	748.61	0.0	0.55	518.15	738.29	540.19	507.46
VPS28	3901.01	9215.48	4010.71	0.0	1.11	3257.52	3589.58	7485.11	4210.15
VWA8	130.6	211.31	353.59	0.0	0.39	67.59	118.43	128.79	329.84
WDR37	100.83	447.82	241.19	0.0	0.65	204.07	186.4	271.48	189.02
ZBTB47	73.03	497.0	1350.18	106.63	108.9	78.89	273.37	400.71	1250.98
ZNF106	133.36	2209.26	4736.79	0.0	0.33	96.68	583.07	1242.34	6561.36
ZNF556	0.0	84.04	84.04	0.0	0.0	17.38	9.27	67.12	171.45
