	TCGA.EW.A1OZ.01A.11R.A144.07	TCGA.AN.A0AJ.01A.11R.A00Z.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.F4.6856.01A.11R.1928.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.B5.A3F9.01A.21R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.B5.A3FC.01A.11R.A22K.07	TCGA.2E.A9G8.01A.11R.A40A.07
CASC1	11.73	81.14	356.05	1617.0	7.46	0.0	0.0	108.14	426.57	15.68	967.76
CCDC108	0.0	9.56	6337.83	38697.77	2.94	0.0	0.0	84.04	703.28	20.56	175.07
CCDC11	24.99	42.11	669.92	5076.84	5.92	0.0	0.0	185.11	1498.22	10.63	616.37
CCDC113	90.14	127.0	579.04	2816.11	23.08	0.0	0.0	187.71	1023.0	31.9	450.94
CCDC13	6.94	23.59	145.02	327.56	6.01	0.0	0.13	53.19	339.14	34.02	49.91
CCDC135	0.0	33.54	2520.38	15392.14	0.87	0.0	0.0	98.04	967.76	0.0	665.29
CCDC151	7.88	30.78	1233.75	5255.91	1.08	0.0	0.0	51.35	1268.46	16.03	299.25
CCDC19	204.07	967.76	4038.61	45386.27	23.42	0.0	0.05	420.68	4152.18	21.94	2816.11
CCDC30	22.75	41.81	236.21	878.17	13.32	0.0	0.1	135.24	642.59	134.3	314.17
CCDC33	0.35	6.78	3794.3	12502.12	0.39	0.0	0.0	101.54	1216.75	30.12	262.2
CCDC37	0.0	0.0	2664.15	13681.08	0.0	0.0	0.0	201.25	4123.49	1.38	665.29
CLUAP1	518.15	723.08	775.05	2591.27	551.56	429.54	255.0	1111.82	1037.29	291.04	1051.79
DCDC1	3.11	17.25	95.34	336.79	1.03	0.0	0.0	24.63	108.14	4.21	26.67
DNAAF1	43.32	88.88	12415.75	72213.45	13.52	0.0	0.0	595.34	7081.29	21.32	1119.56
DNAH7	3.53	33.06	1870.53	7433.4	9.85	0.0	0.0	88.88	679.29	17.9	277.2
DNAI1	6.73	112.77	4769.75	19892.37	0.0	0.0	0.0	248.0	3168.41	0.22	651.58
DNAJB13	5.87	57.89	53973.86	191899.64	2.53	0.0	0.0	368.65	2061.24	36.27	928.3
DNAL1	78.34	209.84	115.97	320.8	164.42	0.0	0.11	291.04	642.59	94.67	748.61
DNALI1	529.06	1183.45	6652.97	49322.93	45.21	0.0	0.39	2367.9	9945.68	400.71	4481.23
DRC1	3.32	5.82	4736.79	40904.3	4.46	0.0	0.0	149.12	1340.84	3.47	665.29
DTHD1	1.41	13.22	312.0	1572.76	3.86	0.0	0.0	33.54	353.59	2.84	57.49
DZANK1	45.53	70.01	176.29	387.02	18.7	0.0	0.22	107.38	438.59	33.06	119.26
EFCAB1	2.07	4.78	1081.39	5831.91	2.73	0.0	0.0	579.04	4607.24	11.38	2384.37
EFCAB10	2.66	34.02	363.56	909.17	5.45	0.0	0.0	217.27	1487.87	15.91	909.17
EFCAB12	13.03	132.44	1216.75	5329.3	4.9	0.0	0.01	124.37	1167.14	5.96	356.05
EFHC1	112.77	490.14	1119.56	2209.26	135.24	0.0	0.22	540.19	3349.13	226.54	1268.46
ENKUR	1.69	25.54	1685.71	17197.56	1.31	0.0	0.0	195.72	1697.45	3.79	769.69
ERICH2	41.52	24.99	470.14	1467.37	27.64	0.0	0.13	301.33	271.48	73.54	466.88
FAM188B	57.89	187.71	223.41	651.58	48.18	0.0	0.27	211.31	633.73	82.87	403.5
FAM81B	3.59	141.02	14765.09	229795.93	0.0	0.0	0.0	275.28	2240.11	0.67	1977.24
FHAD1	49.56	102.25	1159.07	3874.05	15.22	0.0	0.0	153.34	1225.22	35.5	532.74
FOXJ1	0.0	1519.15	322736.12	1204496.53	115.97	0.0	0.0	1051.79	6381.92	82.29	4607.24
GJB7	1.3	7.22	41.81	967.76	0.0	0.0	0.0	7.11	76.17	1.33	38.4
GSTA3	0.68	19.97	1081.39	6121.9	0.0	0.0	0.0	153.34	954.43	1.5	127.89
IFT43	1051.79	1304.15	1167.14	1427.22	507.46	0.0	0.31	1709.26	3982.99	967.76	2935.74
IFT74	246.28	241.19	269.6	525.39	264.03	0.0	0.21	387.02	698.41	169.07	660.68
IQCD	64.34	98.04	713.11	4066.71	8.78	0.0	0.0	161.02	1111.82	15.34	612.11
KIF19	1.89	2.1	137.14	379.04	80.01	0.0	0.0	85.82	1096.5	3.59	246.28
LCA5L	50.98	172.65	101.54	607.87	39.5	0.0	0.0	109.66	438.59	28.86	323.03
LRGUK	2.18	11.04	39.5	232.94	2.58	0.0	0.06	35.25	180.02	4.21	96.68
LRRC23	466.88	579.04	2255.7	15392.14	316.37	0.0	0.0	1277.29	5751.61	289.02	2573.36
LRRC43	2.43	3.2	497.0	2664.15	24.99	0.0	0.0	80.01	1015.93	12.27	400.71
LRRC6	23.25	460.44	890.44	2303.12	20.86	0.0	0.34	297.17	1191.69	19.53	909.17
LRRIQ3	33.3	5.15	48.18	136.19	2.78	0.0	0.0	33.06	94.67	36.53	118.43
MAK	4.43	23.59	75.11	1135.2	1.22	13.83	77.25	29.7	180.02	1.35	81.14
MBD3L1	0.0	0.0	74.06	177.53	0.0	0.0	0.0	11.55	48.18	0.88	28.65
MDH1B	23.08	35.25	384.34	1159.07	1.3	0.0	0.0	134.3	825.0	16.75	379.04
MNS1	44.57	181.28	281.09	1175.27	79.45	70.01	181.28	293.07	688.78	89.51	1159.07
MORN1	163.28	115.16	373.81	591.22	100.83	98.04	220.32	279.14	1806.78	211.31	579.04
MROH9	0.34	1.87	248.0	660.68	0.0	0.0	0.0	17.51	161.02	0.13	24.99
MUC5B	0.0	58.3	5.923719433E7	3.066309426E7	18819.27	0.0	0.0	43.94	595.34	4.24	11.13
NEK11	162.14	314.17	633.73	1697.45	83.45	0.0	0.01	172.65	733.19	67.12	674.59
NME9	0.85	24.63	1923.14	3039.3	11.04	0.0	0.08	79.45	1073.91	3.89	194.36
OSCP1	152.28	318.57	381.68	1757.34	90.77	0.0	0.0	612.11	3303.0	154.42	1378.57
PIFO	20.26	444.72	9025.81	126606.21	21.47	0.0	0.0	1369.04	9215.48	17.51	2758.13
PIH1D2	57.49	85.22	164.42	1044.52	46.5	0.0	0.0	151.22	921.88	43.32	470.14
PNMA1	638.15	941.27	813.63	1369.04	236.21	232.94	159.9	759.08	1242.34	536.45	1781.89
PPIL6	78.89	221.86	1950.0	6792.79	17.25	0.0	0.0	285.03	1359.57	5.96	878.17
PPP1R42	5.28	84.04	1127.35	1977.24	0.0	0.0	0.0	130.6	890.44	0.0	559.28
RGS22	3.17	12.27	47.17	351.14	0.99	0.0	0.0	54.72	353.59	12.74	379.04
RIBC1	31.45	190.34	329.84	2047.0	19.82	0.0	0.0	281.09	2047.0	46.18	1183.45
RIBC2	193.01	161.02	293.07	890.44	16.15	0.0	0.0	178.77	1359.57	16.03	420.68
RSPH10B	9.27	5.36	176.29	802.41	0.0	0.0	0.0	49.91	674.59	5.06	114.36
RSPH10B2	8.32	3.23	49.56	327.56	0.0	0.0	0.0	23.76	460.44	0.0	65.26
RSPH4A	2.56	133.36	1111.82	11345.82	1.97	0.0	0.0	155.5	1199.98	7.0	336.79
SERPINI2	0.39	19.68	217.27	854.13	0.0	0.0	0.13	33.06	381.68	3.2	642.59
SPA17	64.34	656.11	591.22	3589.58	242.88	0.0	0.0	947.83	6250.56	103.69	2417.67
SPAG8	10.63	64.8	518.15	3235.01	13.83	0.0	0.06	253.23	2537.92	28.04	1233.75
SPATA17	94.67	277.2	890.44	7280.4	27.44	0.0	0.0	262.2	1277.29	10.96	1331.57
SPEF1	31.22	231.32	1662.49	14361.31	1.3	0.0	0.0	232.94	1991.0	4.54	438.59
STOX1	26.67	84.04	258.57	884.29	90.14	0.0	0.0	199.85	728.11	85.82	198.47
TCTEX1D4	2.53	3.0	35.5	275.28	7.0	0.0	0.11	44.57	1073.91	13.83	42.41
TEKT2	1.48	40.36	14971.21	176583.6	3.26	0.0	0.0	291.04	3168.41	8.78	1030.12
TMCO5A	0.0	0.0	5.5	8.71	0.0	0.0	0.0	8.06	84.63	1.77	9.34
TMEM231	24.99	170.25	934.76	6887.62	242.88	0.0	0.0	483.38	3349.13	140.04	1151.06
TSNAXIP1	8.19	60.82	239.52	842.36	5.11	0.0	0.06	251.48	2367.9	45.85	603.67
TTC16	5.63	14.78	111.99	603.67	2.63	0.0	0.0	10.63	447.82	4.24	43.63
TTC18	229.72	26.86	1617.0	2451.44	7.57	0.0	0.22	191.67	1909.85	32.13	651.58
TTC21A	94.01	166.73	361.04	713.11	73.54	0.0	0.43	432.53	2720.15	113.56	343.89
TTC23L	23.76	18.84	51.35	246.28	0.0	0.0	0.0	68.07	256.78	10.55	89.51
TTLL9	2.25	56.28	688.78	3614.55	2.92	0.0	0.0	44.57	620.67	3.63	198.47
VWA3A	0.0	2.46	23986.58	14765.09	0.0	0.0	0.28	122.64	1437.15	7.88	152.28
WDR49	0.67	59.97	988.12	10512.82	0.0	0.0	0.0	68.55	312.0	3.47	312.0
WDR93	6.94	20.11	312.0	2061.24	1.66	0.0	0.0	62.12	332.14	9.56	177.53
ZBBX	3.69	55.1	14867.79	64632.75	0.0	0.0	0.0	147.06	1794.29	1.0	825.0
ZNF487	47.17	175.07	470.14	1001.93	53.57	0.0	0.09	199.85	915.51	381.68	466.88
ZNF625-ZNF20	72.52	74.06	190.34	101.54	45.21	0.0	0.06	84.63	151.22	59.13	223.41
ZSCAN1	0.83	21.63	435.55	1295.13	0.0	0.0	0.0	69.52	52.45	1.16	80.57
