	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FAM149B1	466.88	417.77	327.56	591.22	346.29	435.55	334.46	483.38	323.03	118.43	0.0	0.39
FAM227A	26.47	24.99	12.64	58.71	16.03	37.59	8.65	66.65	1.31	4.9	0.0	0.18
FANCB	18.03	15.34	8.0	37.32	11.55	6.11	5.87	24.28	4.98	0.36	0.0	0.21
FANCC	162.14	100.83	85.82	159.9	79.45	71.5	79.45	115.97	98.73	111.99	0.0	0.52
FBXO45	218.79	214.27	134.3	285.03	130.6	138.1	121.79	264.03	88.88	33.78	0.0	0.29
FGD6	305.55	199.85	152.28	327.56	48.18	23.93	65.72	249.73	98.73	23.59	182.55	42.11
FRA10AC1	480.04	583.07	395.18	733.19	409.15	688.78	305.55	748.61	309.83	76.17	0.0	0.54
FSD1L	57.89	56.28	17.64	139.07	30.34	76.17	17.64	64.8	14.56	10.31	0.0	0.31
GCFC2	314.17	507.46	249.73	447.82	217.27	486.75	220.32	420.68	234.57	80.01	0.0	0.43
GDPD1	172.65	147.06	96.68	432.53	165.57	151.22	70.01	177.53	65.72	17.25	0.0	0.06
GLCCI1	507.46	429.54	191.67	902.89	368.65	366.09	107.38	633.73	138.1	35.0	0.0	0.32
GLT8D1	1674.06	1977.24	1639.59	3039.3	1662.49	1781.89	1487.87	1561.89	1135.2	934.76	1350.18	1397.83
HNRNPA2B1	18950.18	16727.26	14765.09	21026.65	12676.65	16496.96	11112.3	15285.81	9151.82	6250.56	0.0	1.53
HSF2	211.31	241.19	176.29	260.38	85.22	246.28	162.14	279.14	140.04	79.45	0.0	0.38
ICA1	1950.0	2627.46	1427.22	7081.29	1304.15	1572.76	854.13	2119.22	145.02	305.55	0.0	0.88
IFT74	567.1	389.72	361.04	612.11	215.77	438.59	218.79	409.15	70.51	24.28	0.0	0.21
IFT81	373.81	251.48	197.09	414.87	189.02	249.73	106.63	426.57	66.65	9.34	0.0	0.32
INTS8	723.08	796.86	514.56	1104.13	463.65	791.35	409.15	866.07	376.41	116.78	0.0	0.4
KBTBD2	651.58	825.0	480.04	1216.75	511.0	486.75	532.74	854.13	387.02	239.52	0.0	0.59
KCNJ14	12.64	18.56	9.2	53.19	8.06	11.55	3.99	11.3	7.63	6.67	0.0	0.29
KIAA0895	178.77	271.48	116.78	361.04	123.5	105.89	62.56	177.53	43.32	34.02	0.0	0.02
KIAA1407	176.29	182.55	138.1	279.14	94.67	159.9	49.56	232.94	46.84	24.99	0.0	0.29
KIF16B	921.88	961.07	480.04	2303.12	368.65	583.07	169.07	607.87	162.14	52.45	0.0	0.32
KNTC1	204.07	329.84	218.79	406.31	172.65	224.97	114.36	269.6	111.99	29.91	0.0	0.83
LMLN	195.72	187.71	105.89	255.0	102.97	154.42	84.04	152.28	35.0	14.35	0.0	0.25
LURAP1L	1001.93	988.12	466.88	3103.19	409.15	954.43	348.71	1001.93	177.53	87.03	0.0	0.61
MED13L	902.89	1313.23	612.11	1923.14	780.44	1127.35	612.11	896.64	258.57	118.43	0.0	0.6
MICALCL	201.25	212.78	49.56	521.76	59.97	248.0	51.71	88.88	12.74	6.16	0.0	0.0
MPHOSPH9	275.28	301.33	186.4	351.14	239.52	314.17	180.02	264.03	194.36	56.28	0.0	0.62
MTBP	66.65	57.89	42.71	114.36	42.71	35.0	25.35	67.12	18.29	1.83	0.0	0.07
MTO1	346.29	454.09	381.68	563.18	363.56	361.04	314.17	466.88	249.73	143.01	0.0	0.2
MYNN	293.07	432.53	275.28	486.75	285.03	246.28	189.02	447.82	138.1	32.59	0.0	0.6
NOL8	470.14	612.11	532.74	842.36	490.14	607.87	417.77	813.63	220.32	43.32	0.0	0.58
NSRP1	759.08	733.19	860.08	1159.07	703.28	708.18	612.11	1111.82	283.05	75.11	0.0	0.64
NT5DC1	1870.53	1081.39	753.83	1529.73	713.11	1119.56	848.22	785.88	507.46	299.25	738.29	146.03
NUDT12	457.25	511.0	244.57	603.67	189.02	406.31	181.28	518.15	105.15	25.54	0.0	0.3
NVL	1183.45	961.07	555.41	1674.06	981.29	775.05	307.69	872.1	226.54	148.09	0.0	0.27
PDE4D	73.54	123.5	94.67	142.01	33.06	92.7	79.45	123.5	72.01	47.5	59.97	48.18
PLEKHG4	332.14	244.57	107.38	540.19	132.44	244.57	83.45	334.46	53.19	102.97	0.0	0.49
PMS2	258.57	358.54	189.02	473.41	122.64	165.57	155.5	281.09	119.26	108.9	0.0	0.06
PRKAA2	301.33	376.41	85.82	339.14	40.07	193.01	43.32	120.94	27.05	24.11	0.0	0.36
PTPDC1	87.03	106.63	64.8	154.42	73.03	98.04	62.56	111.21	65.26	34.51	0.0	0.44
RBAK	198.47	260.38	128.79	361.04	89.51	120.94	121.79	193.01	47.17	9.34	0.0	0.54
RFC3	262.2	224.97	142.01	358.54	143.01	131.51	158.79	336.79	70.01	44.25	0.0	0.25
RIC8B	234.57	234.57	209.84	409.15	176.29	231.32	125.24	273.37	109.66	60.82	0.0	0.0
RIOK1	271.48	269.6	237.86	348.71	157.68	291.04	242.88	356.05	166.73	67.12	0.0	0.55
RMI1	241.19	314.17	248.0	463.65	152.28	269.6	104.42	279.14	70.51	16.63	166.73	102.97
RP11-598P20.5	146.03	150.17	94.01	223.41	95.34	84.04	36.53	115.97	0.0	1.71	0.0	0.0
RPA3-AS1	796.86	1096.5	493.56	1745.2	890.44	796.86	387.02	884.29	368.65	255.0	356.05	3794.3
SCGB1D2	42054.3	443937.41	1221310.69	209994.66	1163466.92	5383077.38	336441.4	88905.42	2.07	15.8	0.0	0.0
SCYL3	483.38	493.56	318.57	551.56	438.59	253.23	176.29	1096.5	87.03	54.72	94.01	63.0
SLC30A1	759.08	688.78	518.15	1096.5	201.25	376.41	454.09	693.58	255.0	119.26	0.0	0.26
SLC40A1	9151.82	9344.14	872.1	23009.42	412.0	376.41	1572.76	8363.13	4972.34	2367.9	0.0	0.35
SLC43A1	612.11	612.11	435.55	1388.16	131.51	583.07	70.51	199.85	195.72	89.51	0.0	0.57
SLC7A6	387.02	279.14	163.28	503.95	201.25	303.44	236.21	275.28	117.6	98.73	0.0	0.73
SNRNP48	175.07	194.36	170.25	228.13	78.89	172.65	102.25	178.77	65.72	11.13	0.0	0.43
SP4	63.45	94.01	33.78	113.56	50.98	63.45	29.7	100.13	32.36	5.45	0.0	0.15
TBC1D32	141.02	138.1	78.89	146.03	48.87	97.36	28.65	148.09	25.35	4.78	33.3	289.02
TBL1XR1	1794.29	1208.34	571.05	1963.57	718.08	1023.0	551.56	1167.14	368.65	139.07	669.92	1977.24
TCTEX1D2	656.11	476.71	591.22	1030.12	150.17	836.53	185.11	406.31	157.68	258.57	0.0	0.39
TIPIN	336.79	269.6	141.02	332.14	176.29	172.65	137.14	269.6	116.78	62.56	246.28	218.79
TMEM194A	221.86	175.07	142.01	285.03	129.69	133.36	111.99	215.77	87.65	38.95	0.0	0.59
TNFRSF19	819.3	599.49	96.68	1268.46	85.22	267.73	241.19	124.37	93.35	34.75	0.0	0.29
TNMD	6.57	2.97	44.57	43.32	3.26	35.0	0.79	17.13	4.46	0.0	0.0	0.0
TSEN2	214.27	224.97	189.02	334.46	199.85	267.73	172.65	327.56	120.94	96.68	0.0	0.16
UPF3A	808.0	723.08	698.41	1175.27	679.29	1096.5	656.11	954.43	612.11	343.89	0.0	0.78
USP21	759.08	860.08	638.15	1151.06	753.83	819.3	366.09	981.29	423.61	343.89	0.0	0.8
UTP18	1135.2	1023.0	928.3	1350.18	624.99	854.13	665.29	769.69	665.29	395.18	0.0	0.67
VPS54	536.45	599.49	353.59	909.17	379.04	447.82	429.54	665.29	314.17	120.1	0.0	0.74
VRK1	260.38	264.03	234.57	346.29	138.1	241.19	189.02	244.57	111.21	27.44	0.0	0.29
WDR75	583.07	728.11	358.54	995.0	381.68	417.77	343.89	836.53	239.52	66.18	0.0	0.65
ZKSCAN2	73.03	56.68	41.81	81.14	21.01	55.1	35.5	94.67	30.12	16.03	0.0	0.06
ZNF473	107.38	133.36	106.63	151.22	85.22	92.7	73.54	141.02	71.5	47.84	0.0	0.0
ZRANB1	301.33	346.29	271.48	400.71	251.48	287.01	244.57	551.56	249.73	112.77	0.0	0.28
ZWILCH	285.03	212.78	127.89	379.04	163.28	135.24	131.51	251.48	80.57	22.26	0.0	0.26
