	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.U3ZM.0426.SM.3DB73	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB	GTEX.POMQ.0526.SM.3GADD	GTEX.145LS.1226.SM.5Q5D9	GTEX.OHPM.0526.SM.2YUMJ
CCDC93	406.31	182.55	366.09	293.07	312.0	198.47	144.01	237.86	234.57	195.72	426.57	384.34	249.73	146.03
CCM2	0.0	389.72	1143.1	1477.58	860.08	813.63	703.28	743.43	536.45	1417.35	1583.71	1457.23	647.07	1030.12
CCR5	0.0	62.56	457.25	206.94	277.2	190.34	175.07	78.89	17.0	251.48	764.36	559.28	23.76	61.68
CCRL2	0.0	647.07	1044.52	423.61	1594.73	808.0	334.46	669.92	164.42	571.05	1313.23	961.07	325.29	473.41
CDAN1	0.0	40.36	262.2	194.36	191.67	96.68	90.14	121.79	36.53	91.41	185.11	130.6	75.11	61.25
CECR6	0.0	14.35	16.27	15.34	5.73	12.45	8.99	12.36	3.86	10.47	31.45	24.63	6.01	6.36
CEP85	0.0	114.36	194.36	336.79	299.25	111.21	120.94	143.01	88.88	90.14	323.03	253.23	170.25	110.43
CMTM1	0.0	16.15	92.7	65.72	51.71	22.75	12.09	62.12	8.58	18.16	110.43	62.56	24.28	63.0
COLGALT1	2855.44	967.76	2255.7	1583.71	1806.78	1259.69	1023.0	1340.84	743.43	1250.98	2451.44	2224.63	791.35	1175.27
CPOX	1977.24	134.3	277.2	279.14	215.77	180.02	194.36	162.14	150.17	133.36	307.69	262.2	164.42	106.63
DBF4B	0.0	39.5	136.19	193.01	77.79	62.12	63.0	49.21	40.93	67.12	111.21	71.5	23.59	43.02
DDX41	0.0	1242.34	1397.83	1477.58	1059.11	1359.57	1081.39	1127.35	595.34	1322.37	1806.78	1583.71	444.72	848.22
DENND4B	379.04	312.0	1225.22	872.1	830.75	358.54	297.17	500.46	414.87	563.18	1250.98	921.88	215.77	256.78
DNMT1	0.0	1757.34	1183.45	4152.18	866.07	587.13	591.22	988.12	438.59	1674.06	3235.01	2287.2	1143.1	921.88
EIF2B5	0.0	612.11	934.76	1135.2	785.88	532.74	371.22	417.77	616.37	575.03	1143.1	961.07	679.29	400.71
EMR2	0.0	281.09	123.5	111.99	145.02	146.03	55.49	171.45	43.94	248.0	575.03	320.8	78.34	127.89
EPHB1	0.0	29.48	31.67	35.25	10.31	0.96	5.11	14.35	6.52	7.51	34.02	9.2	3.96	0.0
FAM156A	0.0	50.98	728.11	387.02	228.13	120.94	77.79	152.28	88.26	120.94	277.2	218.79	60.82	28.24
FAM194B	0.0	7.46	27.25	19.39	4.74	8.25	3.17	9.7	3.79	9.63	17.64	12.36	6.36	4.13
FAM218A	0.0	14.56	29.27	52.08	12.0	24.99	7.69	18.56	2.18	18.84	31.9	29.06	6.26	11.91
FAM21C	0.0	283.05	769.69	567.1	647.07	403.5	339.14	490.14	177.53	242.88	669.92	511.0	172.65	183.82
FASTKD1	0.0	190.34	392.44	412.0	307.69	305.55	293.07	189.02	172.65	264.03	497.0	429.54	228.13	166.73
FKBP15	0.0	473.41	1359.57	878.17	1208.34	647.07	591.22	599.49	414.87	802.41	1407.55	967.76	325.29	384.34
FKSG63	0.0	0.79	13.32	5.87	11.21	2.86	4.43	1.22	0.0	0.41	11.55	6.89	0.0	0.0
FLJ00104	0.0	18.7	48.87	38.12	53.19	23.76	17.25	13.32	17.64	30.12	39.79	40.93	10.79	12.36
GABRR2	0.0	8.38	4.94	4.86	7.82	2.58	3.08	3.82	0.97	6.67	15.22	11.21	1.1	6.94
GIT2	0.0	343.89	974.5	718.08	599.49	444.72	438.59	376.41	343.89	514.56	909.17	791.35	381.68	241.19
GJA9	0.0	0.0	4.86	4.13	4.9	0.77	0.87	0.0	0.0	1.13	7.4	3.86	0.85	0.48
GLI4	0.0	88.88	389.72	397.93	242.88	194.36	191.67	152.28	127.0	255.0	329.84	212.78	98.73	74.58
GLYCTK	0.0	92.05	356.05	507.46	133.36	169.07	191.67	163.28	64.34	211.31	301.33	258.57	60.82	86.43
GPR89C	0.0	3.96	92.05	94.67	37.59	26.86	31.45	29.7	18.43	16.03	53.95	55.89	25.91	12.36
GPT2	0.0	40.93	80.01	136.19	82.29	63.45	55.1	100.13	17.13	87.65	441.64	249.73	46.5	59.13
GTF2H2C	493.56	470.14	698.41	769.69	728.11	607.87	460.44	400.71	403.5	603.67	872.1	854.13	463.65	450.94
GTPBP3	454.09	161.02	297.17	381.68	173.85	201.25	223.41	275.28	90.77	201.25	441.64	299.25	147.06	60.39
HARS2	0.0	187.71	656.11	559.28	486.75	395.18	239.52	323.03	208.38	325.29	599.49	532.74	208.38	234.57
HKDC1	0.0	223.41	166.73	503.95	109.66	224.97	232.94	231.32	103.69	343.89	1044.52	420.68	312.0	54.33
HOMER3	3235.01	256.78	599.49	878.17	454.09	205.5	217.27	483.38	371.22	255.0	1216.75	543.96	341.51	201.25
HTRA4	0.0	14.67	303.44	55.89	88.88	37.85	14.56	22.1	10.88	40.64	95.34	67.59	7.46	6.84
KCTD7	0.0	115.97	323.03	249.73	237.86	139.07	82.29	124.37	42.41	130.6	332.14	201.25	86.43	102.25
KIAA1919	0.0	24.99	50.27	45.21	63.89	23.93	21.32	32.13	16.51	31.9	57.49	46.18	21.01	10.71
KRT32	0.0	1.87	5.06	0.0	5.19	0.55	0.0	0.0	0.0	0.0	1.6	1.45	0.0	0.0
LILRB1	165.57	193.01	571.05	423.61	417.77	153.34	135.24	191.67	144.01	358.54	1508.65	688.78	152.28	100.83
LIN7B	0.0	49.91	309.83	249.73	239.52	75.11	104.42	100.13	90.14	94.01	198.47	124.37	57.08	23.76
LYL1	0.0	368.65	612.11	518.15	708.18	406.31	258.57	256.78	70.01	381.68	713.11	693.58	33.54	133.36
LZTR1	0.0	400.71	1066.48	1015.93	764.36	583.07	612.11	507.46	255.0	884.29	1313.23	796.86	186.4	363.56
M6PR	0.0	2537.92	3103.19	3794.3	3124.78	2935.74	2090.03	2682.69	2351.53	2816.11	4481.23	3982.99	2976.74	2555.58
MTG1	0.0	299.25	647.07	842.36	629.35	567.1	497.0	435.55	147.06	612.11	1378.57	1051.79	198.47	361.04
MTMR4	251.48	156.59	271.48	249.73	269.6	271.48	258.57	221.86	151.22	253.23	384.34	346.29	202.66	97.36
MYO1F	253.23	620.67	1832.01	915.51	1081.39	591.22	473.41	808.0	299.25	1037.29	2319.15	1477.58	159.9	395.18
MYO7B	0.0	53.19	147.06	49.21	73.03	74.58	102.97	49.56	59.55	132.44	159.9	178.77	2.48	28.45
NAA10	0.0	1001.93	1844.76	2193.99	1487.87	1127.35	1295.13	1359.57	1111.82	1477.58	3146.52	2855.44	769.69	1233.75
NAGK	0.0	1617.0	4836.35	4419.52	3039.3	1857.6	2351.53	1857.6	802.41	2485.67	5183.54	4419.52	693.58	1208.34
NDUFAF7	0.0	159.9	373.81	327.56	239.52	285.03	201.25	220.32	128.79	256.78	314.17	291.04	141.02	111.21
NEURL4	0.0	166.73	483.38	381.68	356.05	303.44	249.73	218.79	101.54	314.17	500.46	381.68	84.63	166.73
NPIPB15	0.0	0.31	84.04	136.19	63.0	1.85	49.21	82.29	1.16	100.13	155.5	90.77	0.6	0.1
NT5M	0.0	45.53	66.65	73.03	35.76	51.35	20.86	30.12	23.42	27.64	197.09	181.28	27.44	7.17
OSGEP	0.0	392.44	1216.75	1268.46	679.29	808.0	417.77	620.67	289.02	748.61	961.07	1119.56	514.56	339.14
P2RX7	0.0	79.45	334.46	159.9	397.93	82.29	50.98	96.68	89.51	162.14	426.57	244.57	84.04	47.84
PACS2	0.0	521.76	1427.22	947.83	1208.34	708.18	708.18	909.17	579.04	698.41	1044.52	909.17	356.05	358.54
PGP	0.0	143.01	223.41	323.03	241.19	171.45	147.06	231.32	149.12	140.04	312.0	265.87	113.56	170.25
PIK3R6	0.0	11.64	84.63	117.6	44.25	22.75	17.64	19.82	15.8	39.22	193.01	102.25	24.11	12.45
PLEKHJ1	0.0	1008.9	2004.85	2451.44	1883.54	1225.22	1183.45	1051.79	802.41	1208.34	2224.63	1745.2	748.61	1096.5
POLE4	0.0	1225.22	1819.35	4358.66	2090.03	1467.37	1757.34	1583.71	1286.18	1991.0	3639.7	2303.12	571.05	1487.87
PPP1R12C	0.0	1883.54	1870.53	2119.22	1286.18	1551.09	1104.13	1111.82	878.17	1628.26	2384.37	1685.71	518.15	902.89
PRAM1	0.0	348.71	2915.45	450.94	1073.91	384.34	299.25	409.15	314.17	785.88	2434.5	1208.34	147.06	258.57
PRSS37	0.0	0.58	1.16	0.0	0.56	0.0	0.0	0.0	0.0	0.0	1.46	1.53	0.0	0.0
RAB39A	0.0	6.31	13.03	28.86	29.48	16.27	14.35	4.43	2.25	13.83	76.17	35.5	4.17	1.93
RBM12B	0.0	32.36	161.02	143.01	162.14	55.1	67.59	74.06	60.82	60.82	120.94	125.24	79.45	59.97
RCN3	0.0	109.66	403.5	1508.65	285.03	291.04	503.95	547.75	251.48	384.34	1378.57	432.53	234.57	69.52
RECQL5	0.0	361.04	669.92	743.43	417.77	329.84	339.14	373.81	172.65	356.05	651.58	571.05	202.66	140.04
RENBP	201.25	679.29	1313.23	1397.83	2004.85	1088.92	555.41	1561.89	400.71	660.68	2061.24	1674.06	275.28	314.17
RIPK3	0.0	239.52	1388.16	1457.23	633.73	271.48	316.37	237.86	102.97	470.14	1059.11	733.19	77.79	173.85
RP11-111M22.2	0.0	3.03	58.71	43.94	41.81	19.11	16.51	17.9	2.56	8.99	53.95	42.71	15.68	3.59
RPS6KB2	1359.57	808.0	1015.93	1498.22	753.83	928.3	703.28	842.36	607.87	728.11	1417.35	1175.27	387.02	587.13
SASS6	0.0	14.56	32.82	56.68	50.63	37.32	27.25	14.78	18.84	29.06	100.13	53.57	31.22	12.27
SDCCAG3	0.0	412.0	656.11	860.08	624.99	460.44	363.56	318.57	366.09	423.61	1340.84	890.44	503.95	327.56
SEC24C	988.12	1477.58	1088.92	1561.89	1340.84	1417.35	1242.34	1037.29	703.28	1508.65	2075.59	1457.23	1073.91	1427.22
SFTPA2	22225.61	6014443.23	1600397.78	1970321.01	4402829.88	3134925.09	2126426.15	4851500.88	4079609.54	3313672.43	2493947.08	1229805.58	2053992.24	4051429.61
SLC25A19	0.0	293.07	616.37	633.73	647.07	460.44	348.71	417.77	159.9	460.44	1073.91	620.67	214.27	587.13
SLC26A11	0.0	231.32	1191.69	536.45	629.35	231.32	199.85	420.68	232.94	202.66	780.44	341.51	197.09	156.59
SLX4	0.0	69.03	72.01	132.44	78.89	61.68	58.3	43.02	14.24	72.52	111.99	101.54	21.01	32.36
SPIN2A	0.0	1.57	12.74	16.03	8.78	2.78	1.99	5.36	5.11	3.63	12.83	8.51	1.69	1.31
SPRN	0.0	11.91	37.32	44.25	24.99	24.46	30.56	16.75	7.75	31.22	66.18	53.57	4.5	18.29
TBRG4	0.0	764.36	780.44	954.43	693.58	785.88	493.56	616.37	373.81	842.36	1081.39	1359.57	406.31	830.75
TELO2	0.0	279.14	620.67	884.29	115.16	351.14	309.83	441.64	197.09	447.82	796.86	575.03	190.34	220.32
TFEB	226.54	540.19	525.39	511.0	629.35	616.37	532.74	258.57	400.71	616.37	1583.71	995.0	156.59	518.15
THG1L	0.0	173.85	409.15	327.56	277.2	194.36	239.52	289.02	111.99	178.77	532.74	262.2	137.14	125.24
TIFAB	0.0	1.81	48.52	13.22	27.05	1.71	1.79	2.68	2.73	13.52	64.34	34.75	0.0	0.0
TOP3B	0.0	115.97	332.14	334.46	231.32	178.77	206.94	206.94	119.26	164.42	281.09	275.28	120.1	121.79
TRIM65	0.0	120.94	400.71	251.48	454.09	293.07	255.0	211.31	215.77	249.73	559.28	392.44	214.27	307.69
TTC31	0.0	217.27	579.04	490.14	454.09	339.14	269.6	348.71	208.38	361.04	583.07	432.53	108.9	152.28
TYK2	0.0	1135.2	3589.58	2935.74	1183.45	1081.39	1030.12	1378.57	775.05	1745.2	3039.3	2133.97	1081.39	493.56
TYSND1	314.17	127.89	316.37	256.78	297.17	195.72	176.29	147.06	106.63	176.29	325.29	237.86	87.65	113.56
UAP1L1	0.0	86.43	438.59	651.58	387.02	327.56	101.54	305.55	70.01	133.36	785.88	441.64	127.0	51.35
UNC13D	0.0	612.11	2720.15	1936.53	2287.2	848.22	660.68	1143.1	316.37	2468.49	2875.3	2520.38	1066.48	1806.78
VAV1	0.0	199.85	915.51	587.13	599.49	264.03	291.04	297.17	49.91	738.29	2303.12	1216.75	305.55	246.28
VPS16	0.0	466.88	728.11	890.44	555.41	447.82	426.57	511.0	327.56	567.1	1111.82	723.08	486.75	251.48
VPS26B	0.0	287.01	802.41	928.3	693.58	435.55	403.5	603.67	279.14	381.68	738.29	684.02	403.5	285.03
VPS45	0.0	277.2	1104.13	1175.27	791.35	595.34	493.56	432.53	275.28	629.35	884.29	728.11	371.22	361.04
WDR55	293.07	341.51	356.05	363.56	279.14	314.17	258.57	281.09	185.11	358.54	503.95	384.34	255.0	303.44
ZBTB40	0.0	186.4	307.69	197.09	236.21	157.68	157.68	127.0	72.52	185.11	305.55	178.77	34.02	130.6
ZFP62	0.0	183.82	379.04	358.54	395.18	228.13	212.78	244.57	149.12	223.41	376.41	316.37	173.85	114.36
ZNF169	0.0	19.68	69.52	52.82	52.08	38.12	25.72	59.55	20.41	31.67	78.34	63.89	25.91	23.08
ZNF234	0.0	40.36	135.24	103.69	94.67	73.03	67.59	54.33	43.32	68.07	125.24	100.13	36.79	58.3
ZNF284	10.88	9.41	33.3	33.54	24.63	18.7	15.45	20.41	6.16	19.25	42.41	36.79	19.25	14.78
ZNF300	0.0	6.11	48.18	153.34	17.0	36.79	14.14	18.16	4.28	44.25	56.28	77.25	8.92	5.96
ZNF397	0.0	145.02	334.46	241.19	444.72	237.86	204.07	239.52	131.51	224.97	348.71	307.69	96.01	189.02
ZNF445	0.0	44.89	124.37	97.36	105.89	51.35	53.57	93.35	75.64	70.01	104.42	103.69	56.28	59.97
ZNF594	0.0	23.08	104.42	65.72	65.72	47.17	48.52	35.0	8.06	32.82	71.0	68.55	4.03	23.76
ZNF789	127.89	133.36	334.46	309.83	171.45	202.66	120.94	150.17	68.07	201.25	277.2	246.28	140.04	86.43
ZNF843	5.96	10.31	4.86	5.63	8.51	3.63	8.13	6.57	2.18	7.06	13.62	9.27	1.97	3.06
