	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.BI.A0VS.01A.11R.A10U.07	TCGA.VS.A94X.01A.11R.A38B.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.CV.7421.01A.11R.2081.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.1399R.1226.SM.5P9GF	GTEX.1399T.0826.SM.5IFES	TCGA.77.8130.01A.11R.2247.07	GTEX.11WQK.2926.SM.5EQKT
PLA2G12B	0.0	0.0	1.16	106.63	0.0	2555.58	4607.24	3443.31	4972.34	4181.07	0.2	0.0
PLG	0.0	2.05	54.72	7032.37	0.0	72715.74	428815.23	204252.32	805764.22	397335.0	2.46	2.16
PON1	0.0	2.76	27.44	2777.33	0.0	153724.82	96616.71	84694.64	197294.7	62865.33	2.58	0.0
PRODH2	0.0	0.0	4.17	285.03	0.0	1313.23	3564.78	8658.09	8247.98	9740.98	0.0	0.0
PROZ	1.25	1.79	6.67	68.55	0.0	287.01	4038.61	1628.26	2400.97	6792.79	1.14	0.82
RALGPS2	173.85	167.9	665.29	232.94	33.54	429.54	642.59	884.29	460.44	441.64	114.36	118.43
RGN	11.73	9.56	111.99	1167.14	14.45	4972.34	19618.49	21768.19	20451.65	22072.07	21.01	10.0
RND2	3.5	167.9	457.25	59.97	155.5	229.72	277.2	1073.91	40.36	63.45	15.11	16.27
RP11-57H12.6	0.0	0.0	20.56	35.0	13.12	429.54	137.14	180.02	119.26	118.43	0.0	2.43
SELENBP1	796.86	325.29	974.5	480.04	205.5	2104.58	8305.36	6699.25	14765.09	6037.61	376.41	166.73
SERPINA10	0.39	1.87	7.46	444.72	0.0	32540.65	14361.31	14971.21	15392.14	5672.41	0.0	1.06
SERPINC1	0.0	1.1	90.77	2997.45	4.1	894051.48	985160.01	327241.36	2053992.24	177811.84	2.76	4.28
SLC10A1	1.1	0.65	6.89	228.13	0.8	14461.21	45701.96	50011.46	66449.85	23009.42	0.0	0.49
SLC17A2	0.0	0.0	2.51	51.35	0.0	2739.08	1216.75	2400.97	1883.54	1662.49	0.0	0.0
SLC22A7	0.0	0.0	32.36	287.01	1.51	3443.31	5831.91	10808.41	16611.71	87075.75	0.0	0.12
SLC25A47	0.0	1.03	14.14	728.11	1.36	995.0	1304.15	9151.82	7857.29	62431.08	0.0	0.46
SLC2A2	0.27	0.0	10.31	896.64	0.0	65082.31	13215.02	12676.65	41475.31	23986.58	0.0	1.22
SMLR1	0.0	0.0	0.91	171.45	0.0	1407.55	1781.89	3103.19	2075.59	3039.3	0.0	0.0
SULT1A2	14.78	6.84	108.14	223.41	13.42	563.18	450.94	1857.6	3146.52	1417.35	20.26	5.73
SULT2A1	0.0	0.0	15.34	1427.22	0.0	165904.25	26067.14	54349.29	19482.97	12160.22	0.0	0.0
TAT	0.0	1.19	7.57	543.96	1.6	7230.1	65990.84	23330.64	70727.3	6426.31	0.83	1.22
TCEA2	183.82	543.96	1794.29	1001.93	1191.69	540.19	2609.3	2287.2	1628.26	3372.43	819.3	206.94
TGIF2-C20orf24	37.59	99.43	447.82	149.12	144.01	158.79	178.77	358.54	228.13	141.02	53.19	248.0
THRSP	0.0	0.62	14.45	223.41	0.89	2816.11	595.34	1721.16	7280.4	19754.96	0.0	2.14
TMEM82	0.0	0.0	4.39	78.89	0.0	183.82	878.17	2047.0	2193.99	1583.71	0.0	0.0
TRPC5	0.0	0.0	0.31	0.69	0.0	25.91	24.28	21.63	18.03	7.94	0.0	0.0
TTR	0.68	1.11	140.04	7803.01	1.69	59063.35	313910.86	489177.0	875652.15	1393227.06	1.38	7.57
UGT1A4	0.0	0.0	14.67	473.41	0.66	61146.25	24321.43	31650.8	307450.64	6250.56	1.64	0.83
UGT2B10	0.0	0.0	3.79	291.04	0.0	21172.91	24832.5	38697.77	80683.28	74243.68	0.0	0.62
UGT2B4	0.0	0.0	7.0	896.64	0.0	336441.4	79022.82	116501.39	123144.13	46986.85	0.0	1.03
USP30	182.55	138.1	291.04	217.27	148.09	273.37	246.28	303.44	348.71	395.18	102.97	166.73
VTN	2.25	2.92	127.89	36610.26	7.11	148488.36	400098.69	134755.94	958220.73	318292.9	3.92	3.26
ZNF470	2.58	5.87	99.43	45.85	16.88	21.32	107.38	100.13	46.18	59.13	5.63	28.24
ZNF648	0.0	0.0	1.41	0.57	0.42	5.87	0.0	1.69	2.23	4.58	0.0	0.77
