	GTEX.P4QT.0626.SM.3NMCP	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.N6.A4VD.01A.11R.A28V.07	GTEX.RWS6.1326.SM.47JXB	GTEX.RU72.2626.SM.4TT75
CX3CR1	14.56	12.36	14.67	0.0	0.0	59.97	56.68	76.17	47.84	325.29
CYP24A1	31.67	70.01	1135.2	0.0	0.03	262.2	193.01	226.54	693.58	2520.38
DACT2	80.01	9.78	6.57	0.0	0.0	500.46	624.99	97.36	5006.93	2701.35
DCDC2	339.14	0.0	0.0	0.0	0.0	105.15	115.16	21.01	13399.51	5147.73
DENND2A	152.28	5.96	3.82	0.0	0.32	733.19	583.07	156.59	921.88	1322.37
DKFZP779J2370	40.07	12.0	2.94	0.0	0.0	100.13	149.12	37.85	189.02	748.61
DUSP26	38.95	0.36	32.59	0.0	0.18	81.71	371.22	41.52	150.17	902.89
ENKD1	356.05	275.28	208.38	0.0	0.65	967.76	1030.12	796.86	934.76	3081.75
ESR1	10.96	11.38	7.28	0.0	0.39	4481.23	4419.52	480.04	38164.99	9409.14
FAM216B	6.89	0.0	0.0	0.0	0.0	13.22	14.45	255.0	220.32	2758.13
FAM81A	39.22	24.46	8.51	0.0	0.0	74.06	95.34	62.12	204.07	432.53
FOXA2	10659.59	0.0	3.99	0.0	0.13	269.6	283.05	0.8	32540.65	2271.4
FRMPD2	0.55	0.0	0.0	0.0	0.0	6.06	4.28	43.02	28.24	70.51
GAPT	19.11	5.82	9.34	0.0	0.05	17.38	24.99	29.27	13.32	91.41
GNLY	211.31	66.18	37.85	0.0	0.22	86.43	204.07	59.13	105.89	2573.36
GPR27	36.01	1.46	59.55	0.0	0.35	312.0	291.04	212.78	2682.69	1572.76
GREM2	131.51	0.0	2.46	0.0	0.09	271.48	141.02	17.0	753.83	1617.0
GZMK	14.78	1.1	9.27	0.0	0.21	103.69	96.68	7.4	194.36	490.14
GZMM	40.64	10.39	17.64	0.0	0.13	73.54	84.63	8.58	63.45	301.33
HIC1	164.42	5.11	27.25	0.0	0.39	1167.14	723.08	45.85	2119.22	3060.45
HPN	1277.29	2.61	2.18	0.0	0.35	429.54	743.43	256.78	269512.87	9088.59
HTR2B	4.5	1.48	0.49	0.0	0.07	738.29	423.61	2.92	738.29	2520.38
HTRA3	211.31	24.28	11.38	0.0	0.52	947.83	633.73	88.26	1685.71	5517.27
IFT74	96.01	320.8	118.43	0.0	0.21	381.68	343.89	384.34	559.28	1551.09
IGFBP3	988.12	185.11	423.61	0.0	0.49	40341.14	37901.36	17437.64	16045.82	80125.95
IGFN1	2.68	4.13	3.63	0.0	0.46	95.34	111.21	103.69	1857.6	1909.85
IHH	3491.39	0.0	1.64	0.0	0.0	733.19	842.36	20.26	136637.07	15392.14
ISLR2	13.83	0.55	1.93	0.0	0.0	139.07	73.03	44.57	307.69	1051.79
ITGAD	1.73	0.42	0.0	0.0	0.04	0.59	0.96	0.0	4.62	11.73
KAAG1	0.0	0.0	0.0	0.0	0.0	9.06	6.84	4.06	486.75	587.13
KCNC3	40.64	53.57	7.94	0.0	0.39	253.23	289.02	79.45	2796.65	1183.45
KCTD12	242.88	61.68	115.97	242.88	120.1	1322.37	909.17	348.71	775.05	5219.6
KCTD17	206.94	24.81	115.16	0.0	0.56	656.11	665.29	363.56	1487.87	1832.01
KIAA1210	0.53	0.0	0.0	0.0	0.0	24.28	28.45	0.45	693.58	31.0
KIAA1324	3928.15	3.76	20.56	0.0	0.06	2591.27	2178.83	1044.52	36610.26	10296.45
KIR2DL3	0.82	0.0	0.0	0.0	0.02	0.58	2.56	0.48	0.0	15.0
KLHDC9	109.66	15.34	27.44	0.0	0.22	450.94	514.56	575.03	1662.49	1605.83
KLK1	148.09	38.4	142.01	0.0	0.25	947.83	24.46	0.68	57448.23	30361.44
KLK11	11664.82	2468.49	10225.32	0.0	0.39	3540.14	2148.82	379.04	29124.6	5329.3
KRTAP9-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	1.43
LEFTY2	1.87	0.0	0.0	0.0	0.0	5147.73	2451.44	120.1	3325.99	9606.86
LEKR1	33.54	8.0	1.06	0.0	0.0	16.88	33.78	36.53	77.79	88.26
LGR5	183.82	3.17	0.0	0.0	0.22	199.85	547.75	587.13	23492.92	2758.13
LIMS3L	19.11	5.36	7.46	0.0	0.0	260.38	353.59	53.57	802.41	2468.49
LRP3	220.32	32.59	148.09	0.0	0.83	1023.0	934.76	642.59	2520.38	3349.13
LRRC27	138.1	34.02	28.65	0.0	0.31	353.59	356.05	371.22	301.33	866.07
LRRC29	88.26	8.38	22.43	0.0	0.3	126.12	134.3	58.3	158.79	323.03
LRRC49	84.04	11.91	44.57	0.0	0.3	334.46	346.29	309.83	525.39	1233.75
MAF1	1806.78	1721.16	1674.06	4419.52	1583.71	3768.09	4298.64	2240.11	3124.78	6079.61
MAML3	163.28	5.28	87.03	0.0	0.35	228.13	181.28	176.29	177.53	351.14
MMP10	2.39	98.73	17.9	0.0	0.24	13.72	6.78	79.45	8.38	4769.75
MMP26	0.0	0.0	0.0	0.0	0.0	22.75	212.78	0.0	8718.32	142.01
MOB3B	85.22	189.02	57.89	0.0	0.27	476.71	363.56	95.34	262.2	748.61
MPHOSPH6	693.58	633.73	988.12	0.0	0.53	825.0	660.68	587.13	796.86	2178.83
MPPED2	12.09	0.0	5.23	0.0	0.23	241.19	246.28	503.95	1191.69	3589.58
MUC5AC	4.102499906E7	2.86	0.0	0.0	0.0	0.79	0.0	81.71	0.0	0.0
MXRA8	1183.45	62.12	190.34	0.0	1.01	11112.3	9279.58	251.48	11584.24	32540.65
MYEF2	86.43	0.83	5.68	0.0	0.8	183.82	185.11	435.55	217.27	2591.27
MYO15A	51.35	2.84	7.11	0.0	0.37	309.83	148.09	33.54	73.54	420.68
NCR3	10.71	2.63	7.34	0.0	0.03	17.25	21.63	4.98	21.63	181.28
NDP	8.06	0.0	1.25	0.0	0.03	1066.48	1175.27	54.72	5711.87	3280.18
NFASC	191.67	35.5	98.73	0.0	0.57	521.76	180.02	55.89	93.35	2627.46
NIPSNAP3B	31.67	6.46	10.96	0.0	0.29	193.01	146.03	100.13	363.56	397.93
NPAS3	20.71	0.0	0.0	0.0	0.12	105.89	117.6	316.37	1191.69	723.08
NSUN7	112.77	0.0	40.36	0.0	0.32	74.06	85.22	139.07	271.48	540.19
NTN1	312.0	10.79	103.69	0.0	0.42	301.33	376.41	454.09	656.11	2133.97
NUDT2	457.25	536.45	466.88	0.0	0.54	1199.98	1709.26	728.11	1883.54	3146.52
OLFML2A	89.51	36.01	108.9	0.0	0.05	1167.14	1059.11	63.89	1340.84	2319.15
OR13C2	0.0	0.0	0.0	0.0	0.0	2.14	3.06	1.97	0.0	4.58
OTUD1	165.57	93.35	199.85	59.97	107.38	384.34	473.41	139.07	232.94	1081.39
P2RY13	22.1	8.38	9.13	0.0	0.04	19.97	18.16	15.11	13.32	107.38
PAMR1	123.5	8.25	35.25	0.0	0.0	1037.29	1096.5	43.02	733.19	5147.73
PANX2	72.01	3.66	7.0	0.0	0.78	92.7	96.68	27.25	84.63	532.74
PAX2	0.0	0.0	0.0	0.0	0.0	318.57	403.5	1.3	8598.28	5292.48
PDZD9	0.0	1.83	1.3	0.0	0.0	3.72	6.11	1.22	5.32	13.12
PGPEP1	277.2	10.39	23.93	172.65	59.97	775.05	703.28	381.68	414.87	2417.67
PLCE1	97.36	6.73	7.06	70.51	33.3	432.53	249.73	221.86	551.56	2178.83
PLD4	57.08	12.74	41.22	0.0	0.0	69.03	71.5	28.04	95.34	373.81
PLEKHG7	4.28	0.0	0.0	0.0	0.0	21.78	9.63	15.45	295.11	529.06
PLIN5	143.01	27.64	15.11	0.0	0.48	269.6	237.86	186.4	262.2	791.35
PPOX	490.14	231.32	205.5	0.0	0.39	674.59	842.36	1008.9	651.58	1437.15
PRAME	3.44	121.79	4.1	0.0	0.72	438.59	363.56	3768.09	517068.97	23820.89
PROM1	1151.06	4.9	4.9	0.0	0.04	759.08	514.56	2148.82	10440.2	14971.21
PTCHD2	1.97	3.32	0.47	0.0	0.2	10.47	19.82	14.67	154.42	860.08
RLN2	9.93	1.43	7.34	0.0	0.0	22.59	40.64	29.91	135.24	137.14
RNF183	285.03	9.13	6.26	0.0	0.43	38.95	52.45	438.59	454.09	1651.0
RORB	4.5	0.34	0.41	0.0	0.0	130.6	68.07	0.43	529.06	400.71
RP11-247C2.2	1.68	0.0	0.0	0.0	0.0	31.22	24.63	1.97	87.65	476.71
RP11-297M9.1	0.0	0.0	0.0	0.0	0.0	5.63	1.13	0.0	29.27	14.67
RP11-343C2.9	0.0	0.0	29.27	0.0	0.0	0.0	5.82	0.0	0.0	127.89
RP11-763F8.1	0.0	0.0	0.0	0.0	0.0	10.0	2.97	0.0	2303.12	684.02
RPSAP58	2384.37	4239.45	620.67	0.0	0.37	2255.7	5791.62	3665.02	3820.7	7911.95
RTP4	57.49	5.11	7.51	0.0	0.22	226.54	224.97	202.66	684.02	1059.11
SAG	12.93	0.0	0.0	0.0	0.0	8.0	26.28	5.63	113.56	26.47
SAMD11	273.37	2.53	7.11	0.0	0.35	620.67	540.19	291.04	20030.74	7589.61
SAMD3	24.46	2.61	5.96	0.0	0.15	156.59	70.01	9.48	166.73	303.44
SCGB1D1	0.0	0.0	0.0	0.0	0.0	1.95	2.36	13.12	0.0	2303.12
SCGB2A1	511.0	0.0	11.91	0.0	0.0	3060.45	3820.7	1015.93	1290947.48	106462.55
SERP2	68.55	2.23	8.19	0.0	0.35	438.59	412.0	150.17	854.13	1051.79
SERPIND1	10.79	0.71	0.83	0.0	0.0	57.49	182.55	3.99	21.47	147.06
SFRP4	17.64	1.51	2.14	0.0	0.2	16843.62	8963.45	12.55	453265.5	44452.21
SHF	123.5	6.41	84.63	0.0	0.56	629.35	624.99	397.93	291.04	2119.22
SKAP1	172.65	10.71	14.78	0.0	0.29	397.93	454.09	26.1	3257.52	1369.04
SLC25A35	88.26	22.1	60.39	0.0	0.39	262.2	463.65	173.85	1709.26	3018.3
SLC2A12	29.06	4.74	12.09	0.0	0.18	115.97	115.16	102.97	281.09	426.57
SLC6A2	10.47	4.28	14.45	0.0	0.0	878.17	802.41	23.59	775.05	2178.83
SMO	146.03	82.29	217.27	0.0	0.54	1350.18	1143.1	780.44	5329.3	5403.7
SMOC2	351.14	99.43	24.46	0.0	0.47	3257.52	4010.71	229.72	17437.64	5183.54
STRA6	42.11	13.93	22.75	0.0	0.12	1081.39	802.41	708.18	5112.16	3874.05
TAGAP	54.72	8.06	14.35	0.0	0.21	417.77	314.17	31.22	373.81	309.83
THAP7	607.87	567.1	423.61	0.0	0.45	1733.13	1963.57	988.12	2018.8	2627.46
TLE1	579.04	703.28	417.77	0.0	0.66	1540.37	1388.16	2287.2	2061.24	3901.01
TMC8	220.32	52.08	43.32	0.0	0.64	63.0	72.01	62.56	66.65	669.92
TMEM101	447.82	500.46	409.15	0.0	0.14	2384.37	4066.71	447.82	67846.12	53230.77
TMEM200C	6.41	0.79	0.88	0.0	0.15	64.34	37.59	35.25	126.12	198.47
TMEM211	41.81	0.0	0.0	0.0	0.03	114.36	90.77	23.42	1104.13	223.41
TMEM215	1.03	0.39	0.0	0.0	0.01	6.26	3.29	2.94	121.79	101.54
TMEM98	1277.29	49.56	429.54	0.0	0.74	4543.8	6121.9	1936.53	6745.86	15824.9
TMOD1	224.97	27.64	61.25	0.0	0.47	2777.33	2796.65	170.25	2148.82	8658.09
VLDLR	595.34	165.57	289.02	0.0	0.53	808.0	759.08	514.56	1183.45	2209.26
VPS28	4123.49	3665.02	3768.09	0.0	1.11	5633.22	6983.79	6381.92	5672.41	11035.54
VWA3A	1.31	1.13	0.0	0.0	0.28	81.71	37.32	119.26	1832.01	1242.34
WFIKKN2	2.12	0.0	2.03	0.0	0.0	379.04	325.29	3.82	447.82	1617.0
WFS1	339.14	126.12	53.95	187.71	108.14	2417.67	2451.44	974.5	3060.45	4972.34
WNT2	0.0	0.49	2.94	0.0	0.47	1378.57	967.76	231.32	5913.33	3372.43
WNT4	420.68	57.49	287.01	0.0	0.01	738.29	376.41	31.67	7433.4	2061.24
YBEY	232.94	234.57	178.77	0.0	0.27	612.11	500.46	366.09	1037.29	1159.07
ZBBX	0.0	0.0	0.0	0.0	0.0	17.25	14.89	217.27	54.33	2451.44
ZNF516	141.02	86.43	84.04	0.0	0.54	1605.83	748.61	251.48	4095.0	3540.14
ZNF839	153.34	85.82	99.43	0.0	0.36	332.14	381.68	309.83	441.64	688.78
ZSCAN18	890.44	6.57	346.29	0.0	0.92	3235.01	3589.58	1844.76	5872.48	22380.2
ZXDA	24.11	15.68	16.75	0.0	0.02	77.25	72.01	30.34	94.01	105.15
