	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.01A.13R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.UF.A719.01A.12R.A34R.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CLDN5	3.29	125.24	57.08	988.12	460.44	412.0	366.09	444.72	669.92	642.59	72.52	38.4	40.07	111.99	205.5	29.06	115.16	0.0	0.77	775.05	170.25	170.25	145.02	220.32
DGKA	1051.79	1639.59	33922.56	13033.07	10084.54	18431.96	12244.81	13872.08	15285.81	17317.18	2303.12	2701.35	1447.15	2287.2	2485.67	1111.82	2816.11	0.0	0.99	5954.47	2915.45	4543.8	3742.05	5041.77
DMPK	866.07	327.56	346.29	3081.75	1457.23	2335.28	1051.79	1331.57	1088.92	2335.28	231.32	314.17	195.72	204.07	209.84	118.43	521.76	0.0	1.04	587.13	463.65	366.09	339.14	320.8
DNAH1	6.73	6.78	32.36	80.01	65.26	68.07	57.89	39.22	36.53	79.45	5.45	15.45	2.73	3.72	6.89	4.9	29.48	0.0	0.69	24.11	21.94	24.81	16.27	10.08
EHD3	111.21	60.82	1037.29	4239.45	2193.99	6294.04	2075.59	2119.22	2468.49	5041.77	139.07	37.32	39.79	27.44	236.21	27.64	423.61	0.0	0.44	587.13	1088.92	1870.53	1477.58	1721.16
EML3	417.77	674.59	1151.06	3467.27	2976.74	4239.45	2520.38	1674.06	2976.74	5147.73	860.08	242.88	567.1	579.04	748.61	381.68	954.43	0.0	1.03	1127.35	988.12	1508.65	1008.9	1697.45
FAM13C	2.36	4.9	42.41	162.14	106.63	149.12	70.01	78.34	197.09	153.34	19.82	3.56	4.24	1.6	12.18	9.2	23.76	0.0	0.0	99.43	43.32	57.89	21.16	29.27
FAM219B	249.73	521.76	718.08	1359.57	1216.75	1697.45	1073.91	1073.91	1277.29	2032.85	381.68	258.57	113.56	248.0	384.34	466.88	559.28	0.0	0.84	995.0	860.08	785.88	802.41	728.11
FGF22	0.0	2.16	4.1	47.5	8.0	35.0	74.58	85.22	25.17	89.51	0.54	0.0	0.0	0.84	0.79	0.0	3.2	0.0	0.17	2.63	5.87	2.81	4.39	7.11
FRMD4B	66.18	149.12	2319.15	1104.13	1143.1	1806.78	1059.11	1286.18	633.73	2303.12	447.82	555.41	251.48	397.93	368.65	303.44	423.61	0.0	0.52	872.1	551.56	759.08	802.41	612.11
GGA3	287.01	256.78	507.46	1127.35	1015.93	1051.79	995.0	1313.23	808.0	1104.13	241.19	353.59	325.29	228.13	503.95	163.28	327.56	0.0	1.0	583.07	567.1	497.0	540.19	301.33
GPIHBP1	0.32	3.08	16.63	144.01	49.56	32.59	27.64	33.06	42.11	31.67	3.44	1.06	0.56	0.0	2.81	0.0	5.68	0.0	0.0	12.74	22.75	8.85	40.64	30.56
GPR78	136.19	0.67	384.34	1685.71	2148.82	2956.17	2351.53	2895.31	802.41	3395.89	17.25	102.25	17.13	0.2	41.52	1.77	25.91	0.0	0.21	854.13	376.41	212.78	189.02	287.01
GRAPL	0.0	1.25	22.92	33.78	24.99	8.85	4.28	29.91	4.78	42.41	1.03	1.5	2.48	3.41	6.06	0.0	0.0	0.0	0.32	4.03	5.15	2.39	2.32	0.0
HMCN2	1.19	2.16	2.71	599.49	43.94	53.19	47.17	57.89	173.85	389.72	3.03	1.91	0.95	1.27	6.36	0.87	6.52	0.0	0.37	353.59	31.0	17.13	24.81	10.55
KCNA5	0.3	0.61	0.0	42.11	1.43	5.45	3.66	11.73	61.68	20.86	0.83	0.0	0.42	0.0	0.0	0.38	1.33	0.0	0.06	10.31	2.78	6.16	4.54	4.39
KRT4	31.67	129.69	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3359929.59	17197.56	1462493.73	3.109113511E7	13215.02	27.44	1388.16	39.79	3540.14	5.19	282912.21	0.0	0.0	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LCN10	0.0	1.25	0.15	127.0	69.52	31.67	14.14	48.87	45.85	116.78	0.79	0.0	2.94	0.73	1.46	0.71	3.41	0.0	0.37	2.89	21.63	0.46	14.78	14.78
LMBR1L	295.11	341.51	460.44	1769.57	1233.75	1529.73	1583.71	2018.8	651.58	1757.34	228.13	246.28	195.72	127.89	312.0	454.09	351.14	0.0	0.58	309.83	363.56	273.37	309.83	262.2
MEIS1	29.27	64.8	98.04	1143.1	1159.07	1467.37	1023.0	1233.75	1127.35	1175.27	205.5	72.01	82.87	52.08	193.01	94.01	332.14	0.0	0.65	595.34	403.5	591.22	450.94	536.45
MGEA5	559.28	633.73	1417.35	1594.73	2119.22	2061.24	1277.29	2271.4	1594.73	1617.0	543.96	780.44	802.41	309.83	366.09	271.48	507.46	0.0	0.56	728.11	728.11	738.29	579.04	669.92
MREG	103.69	183.82	1304.15	1721.16	1143.1	3820.7	2163.77	4575.41	6652.97	15285.81	291.04	769.69	283.05	291.04	1225.22	412.0	583.07	0.0	0.0	2351.53	974.5	1208.34	1540.37	1551.09
MRGPRF	14.89	19.39	53.57	669.92	403.5	242.88	54.33	255.0	785.88	656.11	42.71	13.62	28.45	54.33	44.25	6.89	22.1	0.0	0.6	112.77	84.04	112.77	59.13	49.21
NDST2	118.43	132.44	232.94	674.59	603.67	902.89	738.29	890.44	532.74	813.63	135.24	128.79	118.43	87.03	201.25	82.87	215.77	0.0	0.77	186.4	215.77	293.07	193.01	212.78
NIPAL1	34.26	24.11	395.18	1639.59	1388.16	2875.3	866.07	928.3	698.41	3443.31	170.25	171.45	124.37	80.57	358.54	166.73	281.09	0.0	0.0	1991.0	698.41	902.89	872.1	1059.11
P2RY2	318.57	139.07	2701.35	3820.7	1733.13	2502.97	3039.3	1721.16	5672.41	5479.15	320.8	267.73	928.3	400.71	334.46	137.14	438.59	0.0	0.34	2485.67	1250.98	2400.97	1583.71	1844.76
PCP4	0.0	0.0	0.0	1051.79	860.08	988.12	24.28	417.77	3395.89	3982.99	2.46	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.38	0.0	42.71	1.48	6.11	1.71
PLXNB1	575.03	389.72	3372.43	4181.07	3467.27	3794.3	2739.08	4869.99	5147.73	3982.99	780.44	356.05	336.79	316.37	684.02	283.05	884.29	0.0	1.11	1519.15	1651.0	1066.48	961.07	1277.29
RAPGEFL1	316.37	334.46	47974.16	12676.65	6699.25	14163.58	8421.31	13968.57	31870.96	23330.64	1883.54	591.22	599.49	470.14	2400.97	54.33	1936.53	0.0	1.28	15824.9	7911.95	12764.83	10014.87	12943.04
RERGL	0.0	0.93	1.69	65.26	22.59	25.54	7.34	56.68	48.52	48.52	2.05	0.0	0.0	2.16	3.56	4.9	9.63	0.0	0.14	53.95	16.51	34.51	31.45	19.25
RGMA	1.2	92.7	237.86	2133.97	1350.18	1674.06	854.13	2451.44	4869.99	2796.65	384.34	61.68	13.12	251.48	660.68	40.64	902.89	0.0	0.69	4419.52	1447.15	2645.74	1923.14	1073.91
RP11-108K14.8	9.78	6.67	22.92	105.89	68.55	32.82	140.04	181.28	48.52	236.21	13.32	1.85	3.26	11.64	21.47	6.89	18.84	0.0	0.09	51.71	29.7	33.06	33.06	24.46
RP11-574K11.31	3.53	8.25	14.35	68.07	66.18	40.07	61.25	77.79	58.71	43.32	6.46	6.84	2.61	1.0	17.9	4.39	7.11	0.0	0.58	4.21	6.57	5.23	3.79	2.86
SLIT3	4.74	11.04	12.09	521.76	79.45	28.24	29.48	218.79	248.0	87.03	14.67	10.0	15.91	23.42	62.56	19.11	19.11	0.0	0.53	248.0	93.35	26.28	33.3	15.45
SORBS1	8.85	8.65	110.43	1277.29	947.83	890.44	76.17	486.75	2468.49	1551.09	20.86	17.64	10.71	3.17	43.02	11.21	74.06	0.0	0.55	23.93	223.41	175.07	102.25	44.89
SPARCL1	42.11	285.03	571.05	6164.49	2119.22	1498.22	1135.2	1794.29	3039.3	1721.16	185.11	231.32	327.56	48.52	395.18	457.25	896.64	0.0	0.72	607.87	1378.57	314.17	599.49	638.15
SPTBN2	400.71	723.08	2287.2	7081.29	4937.99	8963.45	5329.3	9876.98	6983.79	15180.22	1159.07	403.5	307.69	507.46	1322.37	122.64	1963.57	0.0	0.09	16496.96	4512.4	6840.04	6792.79	8778.97
STX16-NPEPL1	3.29	7.46	50.63	124.37	76.71	100.13	127.0	329.84	136.19	49.56	3.06	1.04	4.24	0.0	5.41	3.41	9.13	0.0	1.22	4.66	4.24	11.3	3.26	1.57
SVIL	215.77	173.85	420.68	3901.01	2816.11	2148.82	2104.58	3190.46	5672.41	3742.05	329.84	738.29	373.81	334.46	1340.84	90.77	902.89	0.0	0.64	1605.83	1199.98	1605.83	1304.15	1044.52
TAS2R43	0.0	0.0	0.0	1.27	3.44	0.99	2.66	1.69	0.47	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.33	0.0	0.36	0.0
TLDC2	6.11	4.94	27.05	204.07	63.0	75.64	279.14	90.14	79.45	72.01	17.0	10.39	6.31	10.88	26.1	5.28	13.03	0.0	0.73	43.94	16.39	10.96	10.79	10.16
TMEM35	4.06	1.55	7.75	83.45	60.39	92.05	6.16	114.36	100.13	151.22	1.83	0.0	0.0	0.38	2.07	0.95	4.1	0.0	0.11	12.18	5.73	18.43	25.17	11.91
TP53I3	1977.24	563.18	3060.45	9540.5	2520.38	8134.41	5112.16	6294.04	2417.67	15075.35	620.67	665.29	258.57	72.01	343.89	454.09	500.46	0.0	0.41	813.63	1388.16	860.08	2209.26	928.3
USP35	35.0	62.12	70.51	220.32	153.34	172.65	236.21	318.57	264.03	139.07	41.81	104.42	145.02	107.38	112.77	57.08	63.89	0.0	0.52	76.71	84.04	110.43	67.59	71.0
WBSCR17	0.31	2.76	0.0	249.73	75.11	67.59	21.01	79.45	470.14	228.13	0.57	8.32	0.92	1.57	0.82	3.69	10.24	0.0	0.59	3.2	20.71	4.46	5.23	3.89
ZNRF1	698.41	215.77	1457.23	2075.59	1819.35	4388.98	2240.11	2255.7	2018.8	6037.61	748.61	540.19	309.83	819.3	796.86	301.33	947.83	0.0	0.47	1721.16	1216.75	1950.0	1397.83	2119.22
