	TCGA.AD.6888.01A.11R.1928.07	TCGA.G4.6625.01A.21R.1774.07	TCGA.AD.6890.01A.11R.1928.07	TCGA.AA.3506.01A.01R.1410.07	TCGA.AY.A8YK.01A.11R.A41B.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HOXA11	693.58	575.03	441.64	175.07	420.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21
HSD11B2	2956.17	1709.26	177.53	921.88	5791.62	309.83	100.83	42.11	167.9	137.14	108.9	0.0	0.0
HSPA12A	164.42	45.53	84.04	128.79	73.54	10.96	26.28	3.29	8.45	24.99	8.32	0.0	0.46
IFT172	2895.31	1216.75	551.56	1477.58	1407.55	126.12	151.22	155.5	183.82	228.13	84.04	0.0	0.37
INPP5J	518.15	161.02	144.01	301.33	409.15	3.23	2.18	0.56	10.08	0.43	4.24	0.0	0.23
KAT2A	2875.3	2367.9	3018.3	2502.97	3467.27	327.56	412.0	444.72	438.59	447.82	309.83	0.0	1.07
KLK6	1819.35	209.84	137.14	353.59	78.34	1.33	2.71	0.0	0.0	1.31	3.35	0.0	0.32
KLK8	1487.87	17.64	26.67	182.55	97.36	0.0	5.54	0.0	3.14	4.46	0.0	0.0	0.22
KRT20	2645.74	791.35	1378.57	2417.67	2367.9	5.96	0.0	0.0	0.01	0.0	0.0	0.0	0.15
KRTAP5-1	130.6	110.43	73.54	44.89	351.14	0.59	0.0	1.0	5.06	4.03	1.22	0.0	0.51
LDLRAD3	253.23	255.0	191.67	234.57	212.78	9.27	18.16	6.16	40.07	9.85	14.35	0.0	0.53
LPIN3	1359.57	921.88	674.59	759.08	1508.65	376.41	316.37	185.11	155.5	185.11	177.53	159.9	332.14
LRSAM1	698.41	480.04	866.07	500.46	616.37	271.48	220.32	420.68	320.8	334.46	197.09	0.0	0.53
MADD	660.68	620.67	579.04	616.37	684.02	251.48	285.03	169.07	363.56	299.25	226.54	0.0	0.8
MLLT6	4388.98	1963.57	2240.11	1697.45	2400.97	204.07	403.5	193.01	356.05	312.0	269.6	454.09	579.04
MOB2	1277.29	941.27	830.75	708.18	1225.22	339.14	525.39	275.28	532.74	518.15	392.44	0.0	0.49
MRPS5	2178.83	1583.71	1857.6	1104.13	1397.83	902.89	1447.15	1350.18	915.51	1111.82	1259.69	0.0	0.75
MS4A12	177.53	54.72	2.86	27.25	88.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSX1	389.72	96.01	48.18	173.85	332.14	2.39	8.92	3.2	7.0	8.25	10.24	0.0	0.29
MVD	4328.55	1001.93	1594.73	836.53	1674.06	551.56	368.65	884.29	665.29	267.73	688.78	0.0	0.6
MYADML2	21.78	52.45	39.22	31.22	115.16	0.72	0.21	0.64	0.0	0.0	0.21	0.0	0.0
MYO7B	1639.59	934.76	1037.29	1073.91	1551.09	4.1	47.84	1.58	30.12	6.73	20.26	0.0	0.43
NKD2	1208.34	909.17	1359.57	981.29	842.36	25.35	27.05	51.35	20.56	23.08	17.13	91.41	1304.15
NLE1	802.41	392.44	759.08	607.87	563.18	128.79	146.03	120.94	102.25	102.25	115.97	0.0	0.02
NODAL	18.16	13.83	68.55	33.78	16.39	0.0	0.8	0.0	2.68	3.99	1.51	0.0	0.22
OLFM4	18052.61	332.14	3349.13	32994.92	2335.28	0.92	28.04	0.0	0.0	0.0	0.0	0.0	0.0
ORMDL3	9279.58	1806.78	1662.49	1733.13	1936.53	14663.09	6037.61	8022.41	10014.87	17078.76	5831.91	1369.04	197.09
PACSIN3	2627.46	1175.27	165.57	620.67	45.53	2997.45	1023.0	1250.98	1143.1	1721.16	591.22	0.0	0.77
PGAP3	10084.54	426.57	444.72	490.14	373.81	1242.34	507.46	1277.29	1059.11	830.75	808.0	0.0	0.45
PIGZ	493.56	201.25	743.43	176.29	785.88	49.56	58.3	211.31	126.12	99.43	57.08	0.0	0.43
PKP3	12415.75	1151.06	1709.26	1359.57	1685.71	4.03	253.23	30.56	16.63	8.99	28.65	0.0	0.16
PLA2G4F	679.29	209.84	144.01	460.44	220.32	4.78	0.14	0.0	6.52	6.57	0.0	0.0	0.0
PLEKHJ1	5403.7	3716.2	3742.05	5831.91	4239.45	1909.85	791.35	1498.22	688.78	1073.91	808.0	0.0	0.68
PNPLA6	1427.22	1628.26	1199.98	1081.39	1467.37	708.18	1233.75	563.18	753.83	718.08	1088.92	0.0	0.4
POLG2	327.56	353.59	379.04	271.48	356.05	163.28	112.77	151.22	140.04	172.65	98.73	0.0	0.85
POP4	6037.61	1407.55	1617.0	2335.28	1529.73	988.12	1304.15	1199.98	1066.48	1073.91	1417.35	0.0	0.44
PRPF40B	679.29	353.59	432.53	1023.0	633.73	109.66	75.64	97.36	102.97	104.42	75.64	0.0	0.84
PRR15L	5329.3	353.59	1359.57	2835.7	5366.37	9.13	236.21	27.05	22.59	23.93	140.04	0.0	0.4
PRR5L	1286.18	223.41	860.08	599.49	743.43	25.17	45.21	27.44	228.13	87.03	73.54	0.0	0.33
PSMD3	16269.83	2400.97	3081.75	3467.27	3325.99	1950.0	1529.73	1674.06	1844.76	1883.54	1883.54	2956.17	318.57
PTGES3L	105.15	161.02	134.3	110.43	229.72	2.16	1.38	0.0	12.09	2.16	2.39	0.0	0.26
PTGES3L-AARSD1	60.39	76.17	92.05	42.11	74.58	0.0	4.39	2.43	0.0	0.0	2.84	0.0	0.2
PTRH1	1111.82	679.29	507.46	595.34	575.03	150.17	289.02	239.52	287.01	205.5	226.54	0.0	0.33
RABGGTB	2209.26	1096.5	2609.3	1427.22	2047.0	669.92	890.44	1030.12	974.5	909.17	642.59	0.0	0.89
RBP2	559.28	65.72	145.02	2303.12	149.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBP4	353.59	180.02	76.71	105.15	693.58	4433454.0	2654482.97	4718836.3	3156730.23	3336720.86	2767207.65	0.0	0.06
RECQL5	854.13	884.29	934.76	872.1	1437.15	305.55	366.09	275.28	371.22	454.09	316.37	0.0	0.59
RP1-170O19.20	23.59	26.1	20.26	3.29	21.32	0.0	2.41	0.0	0.0	0.0	0.0	0.0	0.0
RP11-159D12.5	384.34	148.09	309.83	248.0	277.2	28.65	16.63	50.63	39.79	38.12	12.83	0.0	0.96
RP11-514O12.4	61.25	24.81	11.21	15.56	10.88	0.0	14.56	19.97	0.0	0.0	20.11	0.0	0.0
RP11-867G23.8	273.37	78.89	336.79	400.71	72.52	417.77	180.02	191.67	194.36	241.19	133.36	0.0	0.0
RRP8	1407.55	764.36	954.43	748.61	563.18	305.55	392.44	518.15	470.14	532.74	332.14	0.0	0.41
RTKN	1832.01	1388.16	1498.22	1991.0	1639.59	1417.35	1037.29	665.29	1183.45	1001.93	1066.48	0.0	0.66
SECISBP2	647.07	928.3	718.08	616.37	896.64	392.44	457.25	529.06	483.38	426.57	368.65	0.0	0.88
SHC3	34.75	23.76	31.0	10.96	25.17	1.31	1.45	0.0	1.3	0.93	5.06	0.0	0.11
SLC9A8	633.73	327.56	178.77	228.13	346.29	144.01	99.43	195.72	104.42	90.14	133.36	0.0	0.59
SMAGP	1216.75	379.04	2240.11	4903.87	1143.1	78.89	121.79	67.59	105.15	165.57	293.07	921.88	323.03
SPRN	96.68	88.88	93.35	57.08	78.34	37.85	29.48	39.22	37.32	29.7	26.28	0.0	0.39
SRCIN1	1191.69	118.43	146.03	126.12	299.25	84.63	75.11	106.63	237.86	67.59	102.25	0.0	0.31
TBC1D16	525.39	928.3	373.81	633.73	423.61	81.14	96.68	70.01	42.11	65.26	72.52	0.0	0.47
TBC1D3	514.56	144.01	343.89	242.88	132.44	61.25	34.75	29.06	26.28	50.63	28.65	0.0	0.67
TBC1D3B	31.9	10.47	13.52	10.79	26.67	2.71	5.36	0.0	2.84	4.82	2.89	0.0	0.44
TBC1D3F	633.73	195.72	423.61	363.56	387.02	100.13	119.26	85.22	59.55	139.07	58.71	0.0	1.08
TLDC2	780.44	447.82	301.33	497.0	454.09	6.84	15.11	5.28	67.59	25.35	17.9	0.0	0.73
TMEM115	769.69	780.44	860.08	629.35	656.11	620.67	567.1	620.67	718.08	866.07	607.87	0.0	0.52
TMEM89	7.28	36.27	10.31	12.55	29.91	0.0	0.0	0.0	2.32	0.0	0.0	0.0	0.0
TPRN	1709.26	915.51	1143.1	1369.04	1277.29	138.1	277.2	100.83	103.69	285.03	267.73	220.32	271.48
TRIM3	575.03	318.57	612.11	599.49	660.68	165.57	162.14	81.71	129.69	189.02	71.5	0.0	0.96
TRIM31	665.29	507.46	148.09	105.89	2303.12	0.0	40.07	1.23	68.55	3.17	52.45	0.0	0.12
TRIM66	124.37	90.14	127.0	100.83	78.89	58.71	56.28	50.98	49.21	52.45	34.51	0.0	0.51
TSSC4	2148.82	1073.91	1923.14	1081.39	1340.84	543.96	547.75	633.73	607.87	579.04	480.04	0.0	0.66
TTLL3	551.56	890.44	872.1	836.53	1175.27	80.01	121.79	85.22	341.51	144.01	78.34	0.0	1.08
UCN	78.34	15.56	50.98	56.28	12.0	12.83	9.13	35.0	16.15	15.34	5.68	0.0	0.56
UGT1A10	3349.13	68.07	111.99	40.93	18.16	55.49	21.63	146.03	78.89	0.0	2.94	0.0	0.0
UQCRFS1	10883.59	2061.24	2485.67	3060.45	1806.78	2609.3	3491.39	3235.01	1923.14	2133.97	3018.3	0.0	0.75
USP36	974.5	1477.58	1242.34	1001.93	1457.23	327.56	217.27	305.55	470.14	295.11	202.66	0.0	0.55
UTP14A	866.07	583.07	674.59	764.36	796.86	113.56	171.45	102.25	80.57	127.0	137.14	0.0	0.03
WFS1	1167.14	599.49	703.28	1044.52	830.75	141.02	194.36	98.73	165.57	138.1	277.2	187.71	108.14
ZBTB17	629.35	551.56	616.37	571.05	603.67	275.28	275.28	204.07	314.17	318.57	176.29	0.0	0.78
ZFYVE27	633.73	483.38	848.22	872.1	825.0	194.36	220.32	320.8	332.14	406.31	202.66	0.0	0.75
ZHX3	543.96	341.51	132.44	197.09	353.59	493.56	353.59	273.37	264.03	176.29	291.04	0.0	0.36
ZNFX1	423.61	438.59	271.48	277.2	329.84	108.9	214.27	82.29	110.43	157.68	209.84	0.0	0.46
