	TCGA.GU.A766.01A.11R.A32O.07	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.86.8281.01A.11R.2287.07	TCGA.66.2790.01A.01R.0980.07	TCGA.22.5478.01A.01R.1635.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XQ.A8TA.01A.11R.A36G.07
CTSW	688.78	5.19	5.19	728.11	260.38	633.73	332.14	197.09	157.68	91.41	10.0	6.94
CXCL10	39785.74	7.57	7.57	23820.89	16727.26	10883.59	10883.59	97.36	9151.82	205.5	19.25	5.68
CXCL11	10512.82	0.53	0.53	14262.1	2796.65	1794.29	3901.01	11.64	921.88	23.42	6.78	1.83
DDX58	1628.26	128.79	128.79	1857.6	890.44	974.5	575.03	97.36	262.2	73.54	43.32	34.51
DTX3L	981.29	189.02	189.02	947.83	1159.07	1088.92	967.76	503.95	1322.37	327.56	287.01	314.17
EMR1	902.89	1.71	1.71	2.86	37.59	21.01	50.98	1.83	181.28	16.39	0.26	1.13
ETV7	1832.01	2.78	2.78	759.08	1104.13	423.61	791.35	54.33	325.29	32.59	4.1	1.64
EXOC3L1	183.82	30.34	30.34	145.02	100.13	85.82	71.5	59.13	96.01	49.21	40.93	47.17
EXOC3L4	780.44	11.38	11.38	24.81	361.04	67.59	68.07	15.45	208.38	19.11	2.27	2.03
FAM167B	595.34	63.0	63.0	226.54	301.33	239.52	166.73	114.36	102.25	113.56	89.51	167.9
FASLG	38.12	0.0	0.0	121.79	77.79	79.45	75.11	11.91	27.84	9.06	0.0	0.0
FBXO6	1697.45	371.22	371.22	612.11	1159.07	808.0	1417.35	376.41	961.07	450.94	432.53	101.54
FEZ1	2816.11	19.39	19.39	8.99	343.89	1605.83	1467.37	136.19	836.53	397.93	28.86	68.07
FFAR3	17.0	1.3	1.3	0.0	1.36	3.96	14.14	0.66	2.05	0.97	0.0	0.58
FLT3LG	638.15	131.51	131.51	77.79	525.39	587.13	339.14	92.7	373.81	183.82	37.59	39.22
FPR1	591.22	7.17	7.17	13.83	220.32	371.22	301.33	39.22	218.79	110.43	11.21	7.88
FPR2	244.57	0.66	0.66	1.48	26.47	68.07	107.38	2.43	55.1	14.14	1.85	0.32
FSD1	275.28	4.54	4.54	19.82	161.02	26.47	24.11	16.63	132.44	23.25	3.59	0.68
GBP1	6164.49	26.1	26.1	241.19	6121.9	5555.65	7032.37	169.07	2047.0	348.71	31.22	25.72
GBP3	769.69	124.37	124.37	890.44	915.51	1551.09	620.67	260.38	543.96	223.41	50.63	21.32
GBP5	6337.83	1.75	1.75	748.61	6164.49	3955.48	4450.27	87.65	967.76	176.29	3.47	2.01
GBP7	0.6	0.28	0.28	1.36	0.31	4.21	1.08	0.13	2.66	0.65	0.0	0.0
GPR42	6.46	0.0	0.0	0.0	0.55	0.78	4.54	0.0	0.0	0.27	0.0	0.0
GSDMC	2351.53	2.2	2.2	40904.3	249.73	249.73	698.41	62.12	16.75	155.5	0.0	5.73
GSDMD	3742.05	2163.77	2163.77	486.75	3467.27	3060.45	2148.82	1295.13	2935.74	1674.06	450.94	106.63
GSTO1	10585.95	1378.57	1378.57	2997.45	4298.64	5041.77	4903.87	1594.73	4010.71	2997.45	1111.82	1104.13
GZMB	3690.52	10.16	10.16	214.27	1208.34	902.89	1721.16	94.67	629.35	152.28	3.63	1.62
HERC5	723.08	52.08	52.08	54.72	708.18	381.68	131.51	64.34	454.09	100.83	110.43	61.25
HLA-A	103551.29	1794.29	1794.29	16727.26	79572.48	70727.3	49322.93	10296.45	31870.96	14561.8	1119.56	2720.15
HLA-B	148488.36	2335.28	2335.28	17317.18	303217.87	116501.39	31215.04	13492.72	47642.77	25179.16	1857.6	3847.29
HLA-DMA	6652.97	84.63	84.63	555.41	6294.04	6699.25	3018.3	1498.22	2119.22	1340.84	299.25	457.25
HLA-DOA	2319.15	10.24	10.24	81.14	339.14	587.13	423.61	139.07	387.02	218.79	29.91	16.63
HLA-DPA1	24153.43	381.68	381.68	819.3	25179.16	34396.12	12853.63	4736.79	9409.14	6207.38	796.86	651.58
HLA-DPB1	15499.21	289.02	289.02	353.59	12415.75	17197.56	6935.54	2627.46	4298.64	3847.29	480.04	507.46
HLA-DRA	54349.29	612.11	612.11	2895.31	81809.59	67846.12	25530.66	8963.45	20310.37	13492.72	1135.2	1167.14
HLA-E	21768.19	1167.14	1167.14	8479.89	35363.15	22225.61	17317.18	6250.56	10296.45	6840.04	896.64	1721.16
IDO1	19618.49	0.0	0.0	371.22	6652.97	2193.99	3742.05	139.07	612.11	961.07	27.84	0.6
IFI35	10225.32	438.59	438.59	1088.92	3768.09	3874.05	3419.52	612.11	2119.22	854.13	336.79	287.01
IFIH1	1745.2	54.33	54.33	3589.58	1127.35	1388.16	988.12	123.5	353.59	115.97	167.9	120.94
IFITM1	68793.23	1331.57	1331.57	16157.44	32767.0	22225.61	17681.08	2271.4	16383.0	6079.61	312.0	217.27
IFITM3	108699.57	2502.97	2502.97	8363.13	82378.63	44452.21	53601.03	14561.8	48643.87	23009.42	2720.15	1268.46
IFNA13	4.13	0.0	0.0	2.76	1.81	1.17	1.08	0.0	0.0	0.0	0.0	0.0
IFNG	543.96	0.0	0.0	26.67	98.04	38.4	66.65	4.06	46.84	6.89	0.89	0.0
IL15RA	3325.99	24.46	24.46	98.73	1175.27	921.88	1096.5	204.07	1015.93	283.05	71.0	21.78
IL1A	4388.98	0.0	0.0	57847.82	591.22	197.09	571.05	1.13	81.71	3.5	0.0	0.46
IL1B	3257.52	1.81	1.81	114.36	1628.26	679.29	1674.06	17.0	295.11	64.8	3.5	2.76
IL27	161.02	2.41	2.41	1.62	40.93	10.96	8.32	0.92	9.48	2.97	1.64	0.72
IL2RB	371.22	22.1	22.1	486.75	258.57	884.29	301.33	86.43	309.83	113.56	2.43	3.35
IL2RG	3280.18	9.06	9.06	518.15	1250.98	2351.53	1059.11	450.94	890.44	503.95	20.86	12.64
IL32	30151.71	173.85	173.85	3103.19	16611.71	12076.21	12329.98	1923.14	10659.59	2485.67	187.71	206.94
IL36G	1857.6	0.0	0.0	12329.98	587.13	124.37	988.12	2.14	111.99	12.83	0.82	14.45
IRF1	8247.98	185.11	185.11	3395.89	4239.45	3614.55	5006.93	567.1	1963.57	723.08	135.24	137.14
IRF7	3235.01	579.04	579.04	7537.18	3665.02	1662.49	1769.57	698.41	1268.46	273.37	620.67	172.65
ITGB7	483.38	56.68	56.68	1295.13	521.76	647.07	334.46	305.55	329.84	151.22	7.63	49.56
KLRD1	181.28	2.23	2.23	55.89	139.07	145.02	92.05	7.06	82.29	28.04	0.82	12.64
KLRK1	150.17	22.26	22.26	140.04	202.66	205.5	138.1	55.89	115.97	32.13	7.28	5.63
KRTDAP	2485.67	9.78	9.78	1622738.51	1151.06	3614.55	20030.74	3.38	78.34	36.01	0.0	14.67
LAP3	9673.69	1331.57	1331.57	3928.15	3639.7	6426.31	6207.38	1551.09	2997.45	2047.0	723.08	1286.18
LAYN	1369.04	40.64	40.64	98.73	587.13	262.2	116.78	100.83	323.03	1119.56	23.59	26.86
LILRA4	123.5	1.68	1.68	0.0	17.64	142.01	28.86	11.64	7.75	12.09	1.3	5.63
LILRB2	2537.92	5.63	5.63	7.82	514.56	518.15	251.48	67.12	195.72	131.51	10.24	21.94
LYSMD2	547.75	89.51	89.51	51.71	381.68	264.03	476.71	170.25	346.29	251.48	120.1	229.72
MLKL	961.07	21.94	21.94	287.01	536.45	389.72	836.53	248.0	316.37	80.57	21.63	34.02
MOV10	3081.75	825.0	825.0	1250.98	5913.33	2148.82	2434.5	1151.06	1359.57	2351.53	1304.15	866.07
NKG7	2485.67	12.83	12.83	775.05	1697.45	1477.58	769.69	127.0	587.13	226.54	11.38	6.89
NMI	1832.01	78.34	78.34	2178.83	1088.92	981.29	1111.82	392.44	878.17	336.79	71.5	12.74
NOD2	144.01	1.69	1.69	1498.22	73.54	191.67	193.01	42.41	85.82	19.82	0.58	1.58
ODF3B	1250.98	466.88	466.88	4512.4	2537.92	1191.69	624.99	703.28	854.13	493.56	98.73	175.07
OGFR	2895.31	656.11	656.11	842.36	2720.15	1199.98	1143.1	497.0	866.07	518.15	567.1	1030.12
OPTN	6516.03	180.02	180.02	1340.84	2351.53	1388.16	3168.41	587.13	1697.45	1191.69	104.42	129.69
PARP12	1617.0	234.57	234.57	995.0	2400.97	1674.06	1745.2	536.45	1127.35	775.05	307.69	232.94
PARP14	1508.65	143.01	143.01	1378.57	1662.49	1044.52	1477.58	616.37	1081.39	271.48	64.34	122.64
PGLYRP4	116.78	0.0	0.0	127486.83	64.8	361.04	82.29	5.28	92.7	27.05	0.0	0.0
PI3	131982.68	6.11	0.0	1656835.72	6294.04	13681.08	65990.84	98.04	473.41	19482.97	15.91	12.09
PLA2G4E	111.21	0.0	0.0	167058.21	128.79	58.71	1216.75	8.58	9.2	12.18	5.59	0.39
PLSCR1	5711.87	170.25	170.25	4095.0	6887.62	3564.78	3257.52	928.3	4328.55	884.29	63.89	518.15
PRF1	1295.13	2.25	2.25	177.53	616.37	679.29	490.14	57.49	217.27	90.77	1.77	2.48
PSMB10	10733.74	426.57	426.57	1183.45	8078.22	5403.7	4639.29	1268.46	1781.89	1250.98	583.07	2104.58
PSMB9	17437.64	75.11	75.11	5292.48	10959.3	12502.12	5555.65	583.07	4639.29	848.22	102.25	86.43
PSME1	9151.82	3212.66	3212.66	9540.5	10440.2	10959.3	10154.69	4066.71	9344.14	4268.94	4450.27	3257.52
PSME2	18819.27	2351.53	2351.53	8658.09	23492.92	12415.75	16157.44	2720.15	9474.59	5183.54	3146.52	5791.62
PYCARD	5292.48	441.64	441.64	9740.98	1745.2	1697.45	3146.52	679.29	2032.85	764.36	57.89	78.34
RAC1	23169.48	5112.16	5112.16	31650.8	8718.32	6699.25	10659.59	5441.3	6294.04	8718.32	3901.01	5219.6
RARS	1757.34	1259.69	1259.69	1519.15	1662.49	1304.15	1572.76	1104.13	1104.13	748.61	902.89	1081.39
RHOG	4671.57	718.08	718.08	2178.83	2303.12	2701.35	2976.74	1059.11	2047.0	1277.29	723.08	348.71
S100A12	981.29	2.76	2.76	4388.98	463.65	226.54	2520.38	50.27	121.79	70.01	2.23	1.97
S100A7	26067.14	6.94	0.0	1.38765328462E9	22535.88	17927.91	52497.92	2.68	118.43	149.12	0.0	0.0
S100A8	158046.64	21.78	21.78	2.180373414E8	132900.7	54349.29	253213.41	1295.13	5479.15	12415.75	46.84	32.36
S100A9	186652.11	64.8	64.8	4.94682652E7	231394.29	126606.21	419990.32	16383.0	29327.18	42054.3	68.55	157.68
SAMD9L	444.72	8.19	8.19	246.28	432.53	514.56	511.0	56.28	239.52	44.25	8.58	7.88
SCO2	4512.4	518.15	518.15	3280.18	3515.68	1417.35	2319.15	1119.56	1233.75	1651.0	447.82	624.99
SECTM1	3690.52	239.52	239.52	764.36	1369.04	1794.29	5366.37	293.07	397.93	532.74	89.51	18.56
SERPING1	24321.43	353.59	353.59	432.53	12329.98	10512.82	10883.59	2796.65	7857.29	5147.73	493.56	204.07
SLA2	183.82	5.77	5.77	14.35	102.25	199.85	104.42	24.63	57.89	27.84	9.06	4.31
SPRR4	264.03	0.0	0.0	12244.81	61.25	2.34	109.66	0.0	1.19	0.0	0.0	0.0
SRGN	9474.59	156.59	156.59	111.99	3060.45	4512.4	2777.33	1369.04	3103.19	1551.09	262.2	136.19
STAT1	9474.59	555.41	555.41	27938.14	6164.49	9474.59	8658.09	941.27	6037.61	1561.89	493.56	830.75
STAT5A	612.11	420.68	420.68	33.78	559.28	780.44	476.71	239.52	493.56	194.36	114.36	20.11
STK10	995.0	172.65	172.65	275.28	460.44	612.11	551.56	195.72	287.01	236.21	39.22	110.43
TAPBP	6699.25	1242.34	1242.34	2451.44	5112.16	5183.54	4239.45	2664.15	3794.3	2018.8	1030.12	902.89
TAPBPL	995.0	314.17	314.17	432.53	860.08	2351.53	1233.75	633.73	785.88	759.08	262.2	44.25
TBX21	84.63	0.37	0.37	13.32	54.72	47.5	31.0	14.14	26.1	9.93	0.54	0.49
TCIRG1	3325.99	559.28	559.28	629.35	5711.87	1378.57	2935.74	1977.24	2018.8	988.12	2255.7	248.0
TDRD7	587.13	170.25	170.25	511.0	738.29	384.34	441.64	223.41	186.4	124.37	75.64	260.38
TMEM140	866.07	156.59	156.59	132.44	890.44	854.13	417.77	329.84	454.09	460.44	162.14	237.86
TMEM229B	409.15	105.89	105.89	45.21	429.54	307.69	242.88	23.25	229.72	106.63	201.25	47.5
TRIM21	2287.2	53.95	53.95	802.41	1437.15	1268.46	1359.57	497.0	642.59	209.84	165.57	118.43
TRIM22	3901.01	74.06	74.06	1617.0	2287.2	2976.74	3060.45	808.0	1651.0	483.38	62.12	35.5
TYMP	8134.41	551.56	551.56	33455.53	22072.07	15180.22	17078.76	1781.89	3820.7	3235.01	65.26	212.78
UBASH3A	54.33	0.0	0.03	39.5	51.35	112.77	42.41	24.11	38.95	14.35	0.47	0.77
UBE2L6	15934.98	441.64	441.64	10512.82	6935.54	8363.13	6652.97	743.43	7749.1	1617.0	346.29	63.45
UGT3A2	63.45	2.25	2.25	0.0	14.56	20.41	11.55	0.35	139.07	8.45	0.45	0.0
USP18	1709.26	56.68	56.68	473.41	1233.75	947.83	723.08	204.07	624.99	281.09	104.42	76.71
WARS	52863.07	1806.78	1806.78	1832.01	28525.2	31650.8	39237.98	2434.5	6516.03	2701.35	1233.75	1199.98
XCL2	264.03	1.11	1.11	291.04	86.43	108.9	96.68	16.88	60.39	14.45	0.0	0.34
ZNF683	10.71	0.22	0.22	3257.52	140.04	88.88	177.53	19.25	49.56	15.34	0.07	0.0
ZNFX1	825.0	305.55	305.55	486.75	633.73	1066.48	599.49	358.54	339.14	647.07	139.07	180.02
