	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3T0.11A.12R.A22L.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.13QJC.0826.SM.5RQKC
EIF4A2	9151.82	24321.43	6471.02	8840.04	4123.49	6037.61	6121.9	6516.03	6983.79	1781.89	8778.97	9673.69	8078.22	9540.5
FAM19A2	53.57	74.58	30.78	56.68	33.54	21.47	21.01	23.08	0.0	0.06	22.59	67.59	39.79	170.25
FCRL3	307.69	20.71	1.0	16.88	0.34	0.95	0.32	2.97	0.0	0.29	35.76	153.34	123.5	642.59
FGR	521.76	87.65	103.69	256.78	30.34	23.93	13.42	82.29	0.0	0.82	253.23	638.15	312.0	507.46
FRA10AC1	591.22	1233.75	480.04	603.67	167.9	258.57	297.17	620.67	0.0	0.54	559.28	540.19	698.41	733.19
GFI1	159.9	32.36	8.19	43.94	1.62	3.72	6.01	19.53	0.0	0.38	32.36	67.59	49.21	162.14
GPRC5D	31.0	0.0	2.63	79.45	9.93	9.2	4.21	1.64	0.0	0.26	21.94	22.92	23.08	45.53
GRAP2	246.28	68.07	16.39	45.85	4.5	3.38	30.12	25.35	0.0	0.34	43.02	120.94	87.65	229.72
HSFX1	23.93	20.71	28.04	42.41	15.68	0.0	0.0	15.56	0.0	0.02	12.74	39.5	39.22	50.98
IGLL5	11112.3	108.14	141.02	18431.96	30.12	4.31	0.92	8.78	0.0	0.38	483.38	2384.37	1167.14	8598.28
KB-1980E6.3	11.3	0.0	0.0	7.34	0.97	0.0	0.0	0.0	0.0	0.01	4.35	4.03	10.96	6.31
KCNN4	1498.22	423.61	24.46	76.71	16.88	7.82	7.88	5.96	0.0	0.92	64.34	148.09	113.56	2451.44
KCTD3	1208.34	2287.2	764.36	1127.35	376.41	454.09	656.11	954.43	0.0	0.58	532.74	563.18	587.13	629.35
KIAA0125	476.71	0.0	4.94	204.07	4.86	0.0	1.51	3.29	0.0	0.19	42.71	128.79	99.43	748.61
KLHL6	497.0	22.43	14.56	175.07	6.84	8.13	4.28	21.94	0.0	0.49	85.82	277.2	143.01	713.11
KLRK1	420.68	72.01	14.56	84.63	1.66	5.96	1.55	42.11	0.0	0.3	171.45	438.59	232.94	1883.54
LCN8	45.21	1.62	0.0	28.45	0.0	0.61	0.0	1.62	0.0	0.0	24.46	26.1	43.02	19.39
MAP3K8	1008.9	665.29	102.25	463.65	74.06	52.82	65.26	255.0	0.0	0.49	323.03	307.69	723.08	571.05
MEI1	616.37	88.88	55.49	866.07	15.68	5.63	11.21	47.5	0.0	0.54	147.06	529.06	195.72	2520.38
MTERFD1	511.0	1088.92	256.78	251.48	201.25	271.48	229.72	217.27	0.0	0.13	341.51	314.17	376.41	343.89
MYO9B	2090.03	595.34	679.29	1208.34	389.72	551.56	457.25	842.36	0.0	0.61	808.0	1175.27	1199.98	1674.06
NFATC1	599.49	500.46	140.04	209.84	59.55	41.22	208.38	234.57	0.0	0.42	256.78	291.04	273.37	395.18
NFX1	728.11	796.86	358.54	412.0	291.04	358.54	246.28	400.71	412.0	125.24	674.59	656.11	607.87	587.13
P2RX5	954.43	7.4	14.03	98.04	5.23	0.95	0.0	3.66	0.0	0.77	143.01	656.11	249.73	1950.0
PBX4	105.89	9.13	40.36	112.77	29.48	32.13	17.77	98.73	0.0	0.68	1059.11	802.41	503.95	1662.49
PIF1	78.34	4.31	4.78	30.12	2.71	3.86	2.84	4.1	0.0	0.73	19.68	43.94	62.12	52.08
POU2AF1	1508.65	9.56	6.84	392.44	1.93	0.93	0.61	0.99	124.37	119.26	140.04	571.05	417.77	1340.84
PSTPIP1	441.64	133.36	29.91	182.55	20.11	15.45	6.21	84.04	0.0	0.57	147.06	329.84	239.52	941.27
PTPRCAP	1191.69	11.38	72.52	420.68	71.0	44.57	39.79	177.53	0.0	0.52	536.45	1757.34	1331.57	1745.2
RAB4B	854.13	122.64	616.37	698.41	423.61	587.13	417.77	583.07	0.0	0.68	1250.98	1295.13	1225.22	1594.73
RNF166	802.41	111.21	295.11	547.75	223.41	251.48	221.86	316.37	0.0	0.56	470.14	759.08	738.29	928.3
RNF175	46.84	30.56	2.68	23.93	4.58	1.58	0.0	4.31	0.0	0.35	10.96	14.03	4.39	37.32
RPA4	2.86	6.67	0.35	2.12	0.0	0.32	0.0	1.33	0.0	0.16	0.8	4.82	0.83	3.82
RPL17-C18orf32	130.6	217.27	59.55	106.63	62.56	50.27	126.12	94.67	0.0	0.1	107.38	135.24	137.14	109.66
S100A13	4152.18	3928.15	5041.77	8901.53	2956.17	2224.63	3768.09	5112.16	0.0	0.74	13033.07	10512.82	10154.69	15607.02
SCML4	205.5	27.25	4.62	22.43	1.95	1.87	0.0	5.54	0.0	0.33	31.9	141.02	59.13	348.71
SEPT1	587.13	1.598261246E7	0.0	148.09	0.0	0.0	0.0	0.0	0.0	0.0	37.85	99.43	73.03	2.669377385E7
SIRPG	325.29	87.65	8.85	46.18	4.82	6.41	0.6	19.82	0.0	0.1	55.49	246.28	122.64	1551.09
SLA2	158.79	22.59	11.21	34.02	2.29	8.65	5.11	15.34	0.0	0.2	32.59	73.03	57.89	155.5
SLAMF6	587.13	29.06	8.78	55.49	2.86	3.06	1.48	17.13	0.0	0.33	87.03	397.93	156.59	2720.15
SLC10A5	12.83	24.11	7.46	14.89	5.11	4.28	4.46	13.22	0.0	0.04	9.7	14.24	16.75	11.47
SLC11A1	74.58	9.85	71.5	183.82	21.63	30.78	7.75	95.34	0.0	0.95	163.28	221.86	136.19	400.71
SLC26A8	4.62	6.26	0.34	4.21	0.33	0.32	0.6	0.66	0.0	0.38	8.99	9.06	19.11	44.25
SSTR3	10.71	0.62	0.0	3.17	0.0	0.62	0.0	0.0	0.0	0.05	1.33	6.06	2.32	34.75
SUPV3L1	819.3	1073.91	379.04	551.56	438.59	450.94	339.14	403.5	0.0	0.65	616.37	738.29	540.19	728.11
TAF1D	2400.97	3614.55	1151.06	1407.55	414.87	848.22	642.59	1277.29	0.0	0.46	1397.83	1457.23	1594.73	2061.24
TBC1D10C	872.1	163.28	28.65	180.02	12.09	13.42	11.55	63.89	0.0	0.46	420.68	872.1	961.07	1427.22
TESPA1	348.71	50.27	17.77	62.12	2.61	4.66	45.21	29.7	0.0	0.22	69.03	175.07	141.02	307.69
TLR9	21.16	2.94	2.68	19.39	1.33	0.65	0.93	5.28	0.0	0.36	12.55	9.7	36.53	40.64
TNFRSF13B	127.0	0.0	1.31	291.04	0.0	0.0	0.0	0.33	0.0	0.18	21.78	64.34	68.07	457.25
TNS4	830.75	368.65	5.45	348.71	0.32	0.3	0.88	2.25	94.67	165.57	334.46	229.72	275.28	262.2
TREML1	58.71	8.25	17.9	31.22	4.24	2.81	0.0	13.83	0.0	0.2	19.25	36.53	33.3	58.71
TTC39C	476.71	503.95	171.45	239.52	127.89	93.35	241.19	211.31	0.0	0.72	120.94	241.19	157.68	392.44
TUBB8	8.92	14.45	3.96	16.15	0.34	3.72	13.52	0.35	0.0	0.02	4.43	4.46	12.0	20.86
TXK	85.82	13.83	9.48	24.63	7.69	5.54	11.04	7.82	0.0	0.41	41.81	148.09	52.82	532.74
UNC13D	563.18	217.27	62.56	195.72	368.65	17.25	73.54	113.56	0.0	0.89	187.71	392.44	412.0	571.05
VPS13A	387.02	616.37	145.02	281.09	90.77	198.47	177.53	260.38	0.0	0.69	267.73	255.0	301.33	379.04
VPS45	915.51	1605.83	480.04	616.37	387.02	473.41	490.14	620.67	0.0	0.64	836.53	830.75	769.69	808.0
XAF1	1135.2	909.17	318.57	371.22	144.01	18.16	14.35	112.77	791.35	299.25	414.87	660.68	1407.55	915.51
ZAP70	624.99	123.5	18.16	120.1	2.68	7.28	2.51	46.5	0.0	0.65	204.07	420.68	511.0	1313.23
ZHX1-C8ORF76	68.07	50.98	12.45	18.29	6.73	9.2	4.78	23.93	0.0	0.27	30.56	28.24	33.06	59.97
ZNF230	87.65	251.48	39.79	49.91	24.46	30.34	35.0	43.63	0.0	0.21	85.22	84.04	64.34	75.11
ZNF33A	669.92	575.03	358.54	403.5	199.85	463.65	214.27	309.83	0.0	0.46	297.17	400.71	361.04	460.44
ZNF419	239.52	387.02	108.9	166.73	58.71	61.25	92.05	144.01	97.36	80.01	293.07	329.84	242.88	305.55
ZNF547	82.29	136.19	40.36	81.14	15.8	8.32	17.64	40.36	0.0	0.0	96.01	84.63	41.52	89.51
ZNF80	87.65	1.3	0.34	3.53	0.0	0.0	0.31	0.67	0.0	0.27	3.72	26.47	20.11	73.54
ZNF93	175.07	145.02	47.84	51.35	33.06	58.3	36.01	49.91	0.0	0.36	86.43	146.03	69.52	119.26
ZUFSP	267.73	253.23	96.68	156.59	69.52	87.65	67.59	106.63	0.0	0.13	172.65	197.09	191.67	176.29
