	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	TCGA.B0.4700.01A.02R.1541.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B8.4620.01A.02R.1325.07	TCGA.38.4625.01A.01R.1206.07
C4orf47	1.16	4.62	26.67	7.11	17.51	26.67	5.19	9.06	6.21	20.56	325.29	153.34	486.75	244.57	262.2	525.39	1159.07	0.0
C8orf22	95.34	8.51	1.71	5.06	1.53	0.0	1.68	1.2	2.32	10.08	1561.89	253.23	3103.19	3081.75	320.8	6381.92	995.0	0.0
CA9	0.0	0.0	0.0	4.54	0.0	0.0	0.0	10.47	0.0	0.0	9151.82	8022.41	15075.35	12943.04	13776.25	13215.02	12160.22	0.0
CACNA1F	1.73	2.29	3.14	3.69	2.84	0.0	0.08	0.0	4.43	10.88	40.07	25.17	16.15	29.48	17.64	27.05	98.73	0.0
CACNG5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82	5.5	91.41	3.53	0.0	1.41	5.73	0.0
CALCR	2.84	3.47	11.55	3.5	3.41	0.0	0.0	4.82	0.0	3.41	35.76	25.91	146.03	13.93	39.22	13.32	591.22	0.0
CALY	1.79	0.0	0.0	0.0	0.14	0.03	0.0	0.0	0.0	0.01	6.62	19.25	2.01	8.65	13.62	14.45	555.41	0.0
CD70	49.21	22.59	28.86	38.4	20.86	23.25	20.11	2.34	23.42	9.27	5292.48	1225.22	5366.37	2133.97	3820.7	3794.3	1832.01	669.92
CDH6	74.58	93.35	72.52	69.52	43.32	35.0	14.78	31.0	51.35	40.64	1208.34	1519.15	3018.3	1721.16	1037.29	2335.28	1119.56	0.0
CIB4	0.0	3.03	0.0	1.41	0.0	7.28	3.44	1.13	5.77	5.02	11.3	28.45	19.53	61.25	7.4	3.96	35.25	0.0
CLDN2	26.86	75.11	104.42	77.79	82.87	77.79	42.11	41.22	24.63	12.27	896.64	208.38	1159.07	2133.97	974.5	1870.53	1447.15	0.0
CLEC18A	2.27	1.97	22.43	0.26	0.41	9.78	6.36	2.94	0.29	4.17	356.05	1388.16	1216.75	305.55	915.51	209.84	1051.79	0.0
COL23A1	3.79	1.87	13.42	1.68	36.79	1.69	4.9	9.2	12.36	15.34	1127.35	1572.76	4066.71	1151.06	1519.15	1199.98	3847.29	0.0
CPA4	22.1	4.86	14.89	0.21	15.11	130.6	7.28	8.78	5.68	16.88	145.02	17.77	194.36	10.55	409.15	40.07	1073.91	158.79
CREG2	0.0	0.0	0.39	0.0	0.0	0.39	0.0	0.0	7.22	2.76	46.18	34.26	70.01	34.75	39.79	17.64	197.09	0.0
CTAGE9	2.41	1.31	1.87	0.89	5.45	0.0	0.0	0.61	0.23	2.94	19.39	16.51	72.52	36.27	22.75	22.1	72.52	0.0
CXCR4	283.05	127.89	500.46	204.07	244.57	426.57	423.61	154.42	327.56	540.19	5751.61	15824.9	9025.81	11345.82	6121.9	6426.31	19082.0	0.0
CXorf57	23.42	26.1	42.11	3.66	13.52	24.99	9.7	13.03	22.59	11.38	38.95	25.17	305.55	181.28	74.06	80.57	412.0	0.0
DLG4	71.0	115.97	232.94	78.34	127.89	379.04	55.1	38.4	139.07	178.77	255.0	389.72	182.55	256.78	181.28	318.57	384.34	0.0
DPYS	0.0	12.0	7.22	0.31	2.78	15.68	0.95	0.87	7.0	2.63	1066.48	45.21	1870.53	1127.35	341.51	2240.11	902.89	0.0
EGLN3	26.86	67.59	131.51	198.47	262.2	150.17	119.26	72.01	94.01	175.07	13123.73	12853.63	13776.25	9945.68	14971.21	5183.54	10512.82	170.25
EN2	4.24	0.87	6.62	8.65	9.63	19.39	7.17	3.23	2.46	0.09	3.38	19.25	17.9	5.54	31.0	11.04	112.77	0.0
EPO	1.25	0.91	1.16	0.0	4.43	0.0	0.36	1.01	4.43	0.77	19.82	1051.79	21.32	141.02	373.81	21.47	1617.0	0.0
ESM1	3.26	23.25	16.27	7.57	7.94	10.24	12.64	9.27	8.99	31.67	1963.57	4123.49	2047.0	7803.01	5112.16	3039.3	4038.61	0.0
FABP4	394590.4	489177.0	716197.51	602247.76	360589.03	569761.05	558035.51	906531.99	1078054.48	1838374.44	358.54	92.05	258.57	743.43	1119.56	166.73	53.19	0.0
FAM153C	0.0	1.93	1.28	3.14	2.94	0.0	4.17	6.52	0.89	5.23	40.07	543.96	212.78	239.52	169.07	265.87	1259.69	0.0
FAT3	24.99	22.92	19.11	7.0	19.97	5.54	1.57	23.25	1.14	3.26	6.01	9.56	10.39	17.0	16.88	8.25	231.32	0.0
FGF11	59.55	35.25	63.89	65.72	54.72	53.57	6.84	4.35	44.25	36.27	1313.23	753.83	2451.44	1073.91	579.04	1963.57	1639.59	0.0
FOXC2	3.0	1.45	10.08	15.34	5.23	2.36	3.08	2.34	11.38	13.72	100.83	223.41	158.79	149.12	145.02	110.43	909.17	0.0
GALNT14	30.34	29.91	27.64	20.11	29.91	25.35	53.19	18.16	224.97	22.59	2287.2	1844.76	4736.79	4481.23	2573.36	4181.07	3325.99	0.0
GRIK4	2.29	4.1	11.82	4.62	0.72	2.66	0.17	20.56	0.16	6.73	36.79	23.42	24.99	6.41	12.55	14.78	339.14	0.0
GSX2	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	1.38	0.0	3.23	0.0	2.41	0.74	0.0	61.25	0.0
HAPLN1	0.0	0.0	8.85	0.0	0.0	0.0	4.9	0.21	0.12	0.15	119.26	85.82	454.09	312.0	110.43	79.45	830.75	0.0
HAVCR1	4.35	1.31	0.0	0.3	0.0	4.82	0.23	1.99	1.35	1.77	38.4	277.2	199.85	426.57	351.14	447.82	525.39	30.56
HSF4	228.13	529.06	629.35	204.07	480.04	275.28	78.34	69.52	293.07	237.86	2796.65	3303.0	3614.55	1950.0	1477.58	6337.83	5594.3	0.0
HSPA4L	12.09	31.67	101.54	15.11	29.27	167.9	3.41	14.78	46.5	58.3	67.59	90.77	165.57	99.43	110.43	96.01	223.41	0.0
IBSP	0.0	0.82	0.0	0.0	0.0	13.62	7.4	0.0	0.0	0.0	103.69	158.79	23.42	12.74	61.25	105.15	158.79	0.0
IGF2BP1	0.0	0.0	1.85	2.1	3.41	0.0	0.0	0.0	0.0	3.35	36.27	12.74	8.13	49.21	11.04	6.16	51.71	0.0
IGF2BP3	1.57	3.32	25.54	9.41	4.06	26.1	1.03	1.83	10.0	16.27	40.64	37.32	61.25	57.89	77.79	41.81	236.21	368.65
KBTBD11	26.47	130.6	83.45	82.87	37.32	62.56	22.92	26.47	117.6	49.21	226.54	392.44	718.08	417.77	376.41	323.03	1088.92	0.0
KCNIP4	7.06	17.9	14.56	10.08	6.52	12.55	10.71	8.45	7.28	19.39	114.36	201.25	198.47	242.88	142.01	109.66	273.37	0.0
KCNJ15	15.68	38.4	63.45	41.81	10.96	253.23	57.89	6.01	37.85	74.06	412.0	161.02	540.19	1044.52	848.22	928.3	785.88	0.0
KCNN1	0.42	0.0	1.48	0.1	1.04	0.09	0.07	0.1	1.17	0.56	11.55	26.28	7.51	19.97	15.11	4.82	52.45	0.0
KMO	2.34	11.38	7.51	31.45	44.89	429.54	10.88	39.79	11.13	19.68	503.95	426.57	633.73	371.22	332.14	289.02	1733.13	0.0
LIF	27.05	57.49	262.2	16.88	44.89	48.87	32.82	11.47	77.25	141.02	603.67	1111.82	1096.5	150.17	612.11	466.88	3716.2	0.0
LMO1	5.73	2.92	13.32	1.91	0.0	1.73	2.23	3.38	0.0	21.01	10.47	23.76	98.04	80.01	32.59	45.85	432.53	0.0
LPPR5	0.39	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	1.19	22.75	5.28	532.74	19.68	4.54	205.5	38.95	0.0
LRRC7	4.43	6.46	3.99	2.94	4.28	5.06	4.13	2.71	5.15	1.39	48.87	49.21	226.54	18.84	25.91	47.84	48.87	0.0
MAP3K7CL	67.59	87.03	120.94	94.01	35.5	187.71	64.8	33.3	96.68	143.01	1617.0	1015.93	3060.45	1447.15	825.0	575.03	1023.0	0.0
MCHR1	1.57	0.43	23.25	0.0	3.53	6.06	0.06	1.58	0.0	3.5	54.33	775.05	896.64	14.14	121.79	26.47	1508.65	0.0
MGAM	4.03	1.35	2.86	2.48	0.82	2.18	41.81	3.41	4.9	29.7	62.12	14.78	126.12	483.38	93.35	82.29	669.92	0.0
MT3	0.0	0.0	0.0	3.35	58.71	6.67	0.0	7.34	5.02	2.2	813.63	301.33	5594.3	387.02	1127.35	73.03	6983.79	0.0
NAGS	5.45	4.13	5.15	18.7	11.04	22.59	67.59	1.87	14.35	32.82	58.3	122.64	75.11	64.34	127.89	20.86	409.15	0.0
NCAM1	48.52	107.38	511.0	94.67	98.73	27.05	18.56	283.05	258.57	244.57	211.31	339.14	1896.65	348.71	221.86	190.34	1674.06	0.0
NDNF	108.9	89.51	447.82	98.04	59.13	205.5	43.32	59.55	180.02	15.0	218.79	1268.46	21.01	1216.75	29.06	32.13	2303.12	0.0
NPAP1	0.0	1.45	0.55	0.0	0.0	0.16	0.0	0.33	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.39	14.67	0.0
NPBWR1	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.52	0.39	0.44	0.0	2.78	0.0	0.0	0.0	0.37	10.79	0.0
NPTX2	2.32	10.16	5.87	23.08	31.22	64.8	32.36	24.99	18.16	13.83	4450.27	2075.59	9088.59	7749.1	3847.29	854.13	8901.53	0.0
NR1H4	0.0	0.0	1.97	0.0	17.38	0.0	0.0	0.0	0.0	0.0	988.12	361.04	1331.57	1208.34	493.56	967.76	1073.91	0.0
NRXN2	17.13	13.12	46.84	6.31	25.35	28.04	4.13	12.36	37.05	30.78	305.55	353.59	323.03	353.59	112.77	529.06	529.06	0.0
OGDHL	0.41	0.44	10.55	1.38	0.0	0.68	0.61	4.54	5.82	3.86	83.45	129.69	232.94	110.43	202.66	289.02	109.66	0.0
OPCML	1.53	4.98	7.57	0.0	0.87	1.33	0.85	1.39	20.11	6.36	21.63	6.62	16.51	84.04	30.12	32.82	1225.22	0.0
OSM	8.06	14.14	21.01	3.89	19.39	26.47	12.55	1.22	22.75	26.86	156.59	242.88	82.29	71.0	249.73	152.28	674.59	0.0
P2RX3	0.0	0.0	0.57	0.89	0.0	0.58	0.0	1.17	0.0	0.0	6.78	10.31	0.78	3.99	0.75	2.18	15.11	0.0
P2RY1	10.96	15.91	18.56	5.45	5.77	42.41	23.59	16.75	14.14	13.03	36.79	12.83	65.72	85.82	64.34	34.02	181.28	0.0
PADI1	0.0	0.0	0.88	0.0	3.38	0.0	0.0	1.03	0.0	1.64	42.71	25.54	9.06	12.18	45.21	12.45	139.07	0.0
PCDHB11	25.72	66.65	68.55	28.45	1.39	18.03	20.41	16.63	8.38	15.56	28.65	49.56	116.78	72.01	110.43	87.03	547.75	0.0
PCDHB5	24.99	33.06	17.77	6.94	22.75	24.99	8.92	14.67	11.82	35.0	24.99	26.1	94.67	44.25	111.21	195.72	698.41	0.0
PF4V1	0.0	1.71	0.0	0.0	2.36	2.56	0.0	0.0	0.0	6.26	57.08	26.1	120.1	115.16	47.84	91.41	118.43	0.0
PFKP	236.21	271.48	743.43	323.03	229.72	241.19	189.02	147.06	1023.0	981.29	6699.25	2739.08	9215.48	4704.07	8658.09	7081.29	7911.95	0.0
PGF	68.55	51.71	194.36	72.01	199.85	507.46	60.82	57.89	116.78	170.25	8598.28	8778.97	35609.13	8778.97	10368.08	3280.18	10440.2	0.0
PMCH	1.6	3.0	0.0	0.0	5.92	2.39	0.0	0.0	2.48	0.0	68.07	88.88	122.64	16.03	66.18	48.52	101.54	0.0
POU3F3	0.0	0.0	0.75	0.79	2.71	1.57	2.27	0.0	3.26	7.63	400.71	909.17	409.15	665.29	460.44	642.59	698.41	0.0
PTPRN	1.62	0.89	0.0	8.38	3.56	7.82	2.84	6.41	0.75	0.83	120.94	34.02	995.0	56.28	13.42	34.26	6887.62	0.0
QPCT	76.71	35.0	229.72	92.05	71.5	101.54	110.43	27.25	287.01	43.94	279.14	145.02	220.32	669.92	616.37	265.87	5791.62	0.0
QRFPR	0.38	0.0	2.41	1.38	2.43	0.0	0.0	2.66	0.0	6.84	373.81	218.79	193.01	242.88	125.24	127.0	249.73	0.0
RAB33A	4.54	8.45	11.04	9.27	14.03	18.84	8.13	9.63	17.64	36.79	78.34	102.25	323.03	53.95	146.03	96.01	293.07	0.0
RBKS	56.28	40.64	141.02	84.04	31.22	65.72	50.98	34.75	50.63	76.71	343.89	532.74	289.02	303.44	211.31	255.0	872.1	0.0
REN	0.39	0.0	0.0	0.89	0.0	0.0	0.0	50.63	0.0	4.66	81.71	130.6	153.34	1268.46	429.54	693.58	728.11	0.0
RP11-242G20.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	4.82	1.85	0.0	3.11	0.0
RP11-763F8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25	3.26	20.56	28.65	13.83	0.0
RP11-826N14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	1.57	1.62	0.0	3.29	0.79	0.0
SALL1	4.06	0.93	20.86	0.23	30.56	63.0	0.99	1.87	27.44	7.46	223.41	532.74	624.99	332.14	368.65	170.25	543.96	0.0
SCG2	0.48	5.32	30.12	2.84	2.27	25.91	2.81	1.62	10.31	43.94	120.94	115.97	1397.83	3955.48	96.01	329.84	161.02	0.0
SEL1L3	106.63	163.28	532.74	94.67	29.7	273.37	125.24	111.99	197.09	633.73	1487.87	1977.24	4066.71	1477.58	1617.0	518.15	2178.83	738.29
SHH	0.0	0.0	0.0	0.84	7.82	0.0	0.0	0.85	0.66	1.36	81.14	201.25	50.27	54.33	12.36	61.25	156.59	0.0
SKAP1	29.7	42.41	75.64	32.36	32.59	39.5	12.18	9.93	57.89	78.89	543.96	532.74	1242.34	830.75	336.79	651.58	1044.52	0.0
SLC10A2	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	42.41	4.43	115.16	105.15	11.13	59.55	53.19	0.0
SLC16A3	34.26	57.08	134.3	193.01	119.26	476.71	395.18	191.67	356.05	540.19	6935.54	4704.07	10225.32	4038.61	8658.09	7280.4	6935.54	0.0
SLC22A11	0.38	0.4	2.66	0.0	5.92	2.23	2.14	1.87	0.0	3.11	273.37	175.07	599.49	713.11	490.14	476.71	656.11	0.0
SLC3A1	1.77	2.34	3.44	0.77	1.06	0.61	2.86	0.0	4.24	3.0	2875.3	2573.36	5995.9	6840.04	2682.69	4450.27	4268.94	0.0
SLC44A3	32.36	90.77	166.73	55.89	105.89	163.28	15.34	27.84	99.43	197.09	336.79	420.68	836.53	258.57	514.56	473.41	500.46	187.71
SLC5A10	1.75	1.43	3.92	1.33	3.53	3.79	2.92	1.36	3.11	7.0	75.11	40.93	397.93	246.28	185.11	133.36	71.5	0.0
SLN	0.0	3.69	0.0	3.82	3.0	6.67	3.5	0.82	28.45	7.82	172.65	15.45	2335.28	15.91	2335.28	7.75	4937.99	0.0
SMIM3	21.94	21.63	0.0	5.28	3.38	0.0	11.47	7.17	1.27	6.31	12.93	15.22	87.65	12.83	17.77	8.32	199.85	0.0
SORCS3	0.39	0.0	0.27	0.0	1.95	0.0	0.0	0.33	0.72	0.27	71.5	156.59	16.15	10.0	167.9	1.1	591.22	0.0
SP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	2.29	0.0	0.0	5.68	6.94	0.0
SPAG4	38.4	48.52	21.63	36.79	41.81	26.1	74.06	33.06	76.71	53.57	6207.38	2319.15	6745.86	2816.11	1639.59	2758.13	3190.46	0.0
SPINK13	0.0	1.3	0.0	0.0	0.0	0.0	6.26	0.0	0.0	2.94	743.43	23.76	1819.35	162.14	132.44	669.92	599.49	0.0
TGFA	5.82	10.88	59.97	18.97	21.01	12.83	3.2	6.41	22.59	66.65	728.11	819.3	2555.58	813.63	718.08	507.46	1498.22	0.0
TM4SF4	9.06	0.87	17.51	24.99	3.96	12.18	2.84	7.51	7.63	4.9	114.36	22.26	37.05	3.99	16.88	7.57	441.64	0.0
TMEM130	1.95	2.94	43.32	2.25	9.34	6.26	3.56	0.92	10.0	11.91	80.57	205.5	120.94	275.28	346.29	395.18	1572.76	0.0
TMEM132E	0.87	0.0	7.0	3.53	0.71	14.78	1.36	0.0	47.17	8.06	35.0	62.12	19.97	41.81	18.03	53.19	82.29	0.0
TMEM151A	0.0	0.85	0.54	0.0	0.0	0.0	0.49	0.0	0.0	0.54	0.77	3.2	3.47	0.0	1.11	1.08	127.0	0.0
TMEM196	0.0	1.25	0.0	1.51	0.0	0.0	0.0	0.0	0.54	0.0	0.0	8.32	6.94	0.8	4.06	0.0	72.52	0.0
TMEM200A	22.59	45.85	55.89	32.36	49.91	226.54	14.89	2.53	158.79	100.83	444.72	264.03	287.01	460.44	318.57	305.55	323.03	0.0
TMEM91	98.04	109.66	133.36	107.38	285.03	120.94	28.45	52.82	132.44	361.04	6840.04	3768.09	8963.45	3901.01	2400.97	7180.15	7032.37	0.0
TMEM92	0.0	1.36	0.02	3.41	0.96	6.36	1.13	0.0	0.0	1.17	629.35	115.16	599.49	334.46	295.11	46.18	764.36	0.0
UGT2B7	0.0	0.0	0.0	2.97	47.17	0.0	1.48	0.0	0.0	6.78	2075.59	1167.14	3491.39	6887.62	3280.18	2032.85	1605.83	0.0
UNC5D	0.38	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	2.66	5.59	1.95	0.82	7.4	2.18	15.91	0.0
UNC80	0.39	0.0	0.14	0.97	0.84	0.15	0.0	0.21	0.0	1.68	0.39	14.24	1.55	1.2	0.38	1.08	13.22	0.0
VEGFA	2367.9	2502.97	1639.59	3820.7	1304.15	1551.09	2875.3	5403.7	1870.53	2835.7	8598.28	18431.96	17558.94	25530.66	33455.53	40062.48	24153.43	2018.8
WDR54	76.71	114.36	152.28	165.57	182.55	234.57	96.01	39.5	220.32	217.27	836.53	921.88	1685.71	961.07	941.27	1135.2	2645.74	0.0
ZNF395	660.68	819.3	934.76	392.44	769.69	583.07	329.84	397.93	444.72	633.73	1467.37	2520.38	5041.77	3443.31	3901.01	2816.11	7382.04	145.02
