	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.E2.A158.01A.11R.A12D.07	GTEX.TML8.0726.SM.4DXTT	TCGA.VS.A957.01A.11R.A42T.07	TCGA.JY.A6F8.01A.11R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.AJ.A3NG.01A.11R.A22K.07	TCGA.D1.A3JQ.01A.11R.A22K.07	TCGA.FL.A1YQ.11A.11R.A32Y.07	GTEX.RWS6.1326.SM.47JXB	GTEX.T2IS.2226.SM.4DM65	GTEX.QCQG.1326.SM.48U24	GTEX.PX3G.2026.SM.48U1H
DENND2A	16.88	7.17	1639.59	9.93	34.02	0.0	239.52	127.0	169.07	884.29	921.88	1498.22	1143.1	591.22
ENPEP	2.32	10.79	102.25	8.19	73.54	0.0	98.04	42.41	38.95	429.54	616.37	633.73	988.12	738.29
F10	8.51	13.93	1331.57	2.36	15.68	0.0	26.67	14.24	70.51	1081.39	1757.34	603.67	802.41	902.89
FAM19A5	3.5	55.1	1651.0	9.63	21.47	0.0	269.6	71.5	21.94	1286.18	2976.74	463.65	1529.73	848.22
FBLN5	98.04	1023.0	1286.18	40.07	249.73	0.0	2224.63	1059.11	1407.55	2956.17	679.29	1477.58	379.04	2555.58
FBXL7	4.66	16.39	1066.48	8.0	46.18	0.0	202.66	87.03	47.5	500.46	583.07	1769.57	409.15	2335.28
FOXL2	23.93	0.36	854.13	1.35	0.0	0.0	151.22	41.22	112.77	1519.15	2287.2	1051.79	2351.53	503.95
FXYD1	11.55	256.78	17804.06	17.0	42.71	0.0	753.83	92.05	713.11	4095.0	2537.92	7485.11	1561.89	2224.63
GLI1	6.31	9.48	186.4	0.44	4.28	0.0	150.17	6.73	35.76	1437.15	1963.57	2875.3	2287.2	169.07
GPR124	31.45	111.21	6983.79	15.34	90.14	0.0	389.72	133.36	217.27	1923.14	5633.22	2417.67	2895.31	1175.27
GPR133	0.33	16.03	579.04	1.46	3.5	0.0	48.18	13.12	127.89	981.29	6250.56	603.67	3303.0	107.38
GPR78	0.62	0.0	32.82	7.0	2.12	0.0	1.46	0.8	1.14	21.63	11.21	1.11	20.56	1.95
GREM2	0.3	1.04	20.71	0.32	0.02	0.0	244.57	9.56	3.23	253.23	753.83	127.89	90.77	921.88
GSTM5	1.5	3.53	2178.83	2.41	5.96	0.0	102.97	46.84	101.54	796.86	1397.83	1127.35	1340.84	612.11
GUCY1A2	6.01	5.59	112.77	2.58	10.63	0.0	66.18	15.45	38.67	177.53	241.19	368.65	389.72	82.87
HEYL	36.27	41.52	764.36	14.35	77.79	0.0	223.41	107.38	171.45	1159.07	753.83	2255.7	412.0	435.55
HHIP	0.58	1.01	7.82	2.71	1.04	0.0	104.42	51.35	3.03	470.14	1096.5	19.68	121.79	25.54
HIC1	15.56	88.26	1175.27	23.59	41.22	0.0	169.07	70.01	60.39	1191.69	2119.22	2335.28	830.75	1331.57
HPSE2	0.0	63.45	497.0	0.0	5.15	0.0	1.2	2.12	7.94	248.0	82.87	133.36	26.47	43.02
HTR2B	1.16	10.88	75.11	2.53	12.83	0.0	149.12	85.22	58.3	381.68	738.29	172.65	775.05	423.61
HVCN1	82.87	78.34	563.18	15.45	22.1	381.68	114.36	39.22	73.03	511.0	1008.9	575.03	518.15	559.28
IGF1	10.31	13.52	17317.18	3.5	3.44	153.34	842.36	361.04	356.05	3280.18	353.59	3639.7	5995.9	1030.12
ISLR	13.83	289.02	30785.28	33.54	66.18	320.8	3665.02	1167.14	2468.49	12502.12	34876.28	4388.98	20737.16	3614.55
JAZF1	8.65	20.11	1088.92	53.19	37.85	0.0	199.85	173.85	214.27	1111.82	813.63	902.89	941.27	1037.29
KANK3	27.44	8.13	303.44	13.52	59.97	0.0	105.89	33.54	39.79	156.59	58.3	373.81	75.64	460.44
KCTD8	0.0	0.33	36.79	0.58	0.0	0.0	3.66	3.38	1.87	52.82	71.0	33.3	98.73	23.93
KIAA1210	0.0	2.56	0.0	0.0	0.0	0.0	11.64	0.43	31.45	146.03	693.58	42.11	161.02	17.9
KIAA1644	0.0	1.43	299.25	0.6	1.71	0.0	50.98	16.39	12.83	217.27	551.56	764.36	454.09	748.61
LPAR1	108.14	14.35	3614.55	137.14	289.02	0.0	116.78	242.88	221.86	1037.29	450.94	1119.56	420.68	170.25
LRRC2	0.0	0.71	59.13	0.0	0.0	0.0	9.06	4.58	4.94	14.56	14.78	10.96	9.27	173.85
LRRN4CL	4.9	6.41	1936.53	2.73	13.03	0.0	170.25	38.4	88.26	353.59	444.72	470.14	363.56	2701.35
LTBP4	2335.28	2502.97	36610.26	669.92	1059.11	0.0	3349.13	1127.35	2351.53	18431.96	11992.79	38430.46	16727.26	4239.45
MITF	111.21	13.72	1135.2	42.71	40.07	0.0	215.77	102.25	93.35	775.05	638.15	255.0	514.56	2573.36
MMP26	0.0	0.0	0.0	0.0	0.0	0.0	86.43	0.05	4.94	4575.41	8718.32	728.11	583.07	22.43
MMRN1	4.03	3.92	713.11	1.07	23.42	0.0	105.15	40.36	97.36	180.02	988.12	36.27	217.27	191.67
MRGPRF	6.73	13.32	4239.45	9.41	81.71	0.0	738.29	156.59	199.85	3081.75	2976.74	7857.29	1685.71	947.83
MSX1	7.46	14.03	239554.43	9.27	127.89	0.0	529.06	518.15	3768.09	5672.41	5219.6	23820.89	813.63	387.02
NAALAD2	0.59	27.44	185.11	10.0	8.65	0.0	24.63	18.03	58.3	93.35	279.14	60.39	202.66	88.26
NDN	14.56	27.64	7803.01	11.38	73.03	0.0	486.75	312.0	281.09	2664.15	13968.57	6037.61	13123.73	3901.01
NDP	4.28	0.0	242.88	16.63	1.45	0.0	115.16	88.88	132.44	323.03	5711.87	591.22	3060.45	2061.24
NLGN3	3.99	6.84	305.55	15.45	2.71	0.0	53.95	17.25	5.63	271.48	1119.56	981.29	277.2	121.79
NPR2	88.88	698.41	688.78	75.64	246.28	0.0	253.23	182.55	429.54	3349.13	1572.76	7749.1	5995.9	583.07
NR2F2	363.56	518.15	4268.94	237.86	587.13	688.78	961.07	665.29	753.83	3742.05	4575.41	2400.97	4704.07	3847.29
NRIP1	64.8	80.01	1378.57	42.11	80.01	0.0	105.89	102.25	166.73	387.02	603.67	638.15	253.23	215.77
OAF	1313.23	42.41	14971.21	60.82	2468.49	0.0	954.43	295.11	563.18	5751.61	3395.89	11664.82	2701.35	2758.13
OGN	1.45	2.18	84109.6	0.56	0.93	0.0	59.13	48.87	19.53	3874.05	1697.45	21768.19	796.86	7749.1
OLFM1	4.06	16.03	2720.15	12.55	153.34	0.0	150.17	26.86	30.12	4181.07	866.07	466.88	30.34	166.73
OLFML3	85.82	587.13	19892.37	52.82	100.13	0.0	1685.71	244.57	698.41	7589.61	9606.86	19082.0	23492.92	1936.53
OSR2	379.04	698.41	2976.74	181.28	500.46	0.0	1051.79	620.67	791.35	6337.83	23009.42	1487.87	18178.19	8598.28
PABPC5	0.3	1.79	108.9	0.64	2.25	0.0	13.22	3.69	6.89	69.52	35.0	73.03	81.71	59.97
PAGE4	0.0	0.0	232.94	0.0	0.0	0.0	1769.57	104.42	395.18	928.3	24321.43	7032.37	1819.35	830.75
PCDHGA6	1.75	19.82	511.0	4.58	6.46	0.0	49.91	29.48	12.74	135.24	226.54	87.65	825.0	177.53
PCDHGA7	0.6	6.21	170.25	2.43	2.34	0.0	43.94	27.84	17.0	77.79	124.37	68.07	289.02	55.89
PHYHIP	12.83	1.58	241.19	1.2	111.21	0.0	64.34	34.02	23.59	521.76	211.31	532.74	438.59	234.57
PLK5	4.24	0.83	130.6	0.0	0.0	0.0	12.83	2.41	6.57	71.5	132.44	208.38	108.14	16.75
PPAP2A	769.69	258.57	3982.99	429.54	470.14	0.0	2061.24	587.13	1127.35	4769.75	2240.11	3257.52	1397.83	2502.97
PRICKLE2	2.63	4.06	1259.69	42.11	10.24	50.63	117.6	75.64	49.56	647.07	579.04	1437.15	447.82	291.04
RASL12	14.67	23.59	2537.92	12.55	141.02	0.0	303.44	95.34	117.6	974.5	2090.03	4095.0	642.59	860.08
RBP5	41.22	54.33	1001.93	55.49	31.9	0.0	148.09	95.34	400.71	599.49	327.56	642.59	432.53	1066.48
RHOJ	10.39	37.59	395.18	16.88	126.12	54.72	145.02	100.83	125.24	466.88	890.44	1008.9	848.22	1359.57
RORB	0.0	0.66	88.26	1.07	1.69	0.0	6.78	7.28	46.5	234.57	529.06	6.67	301.33	49.21
RUNX1T1	0.31	4.1	241.19	1.51	9.48	0.0	54.33	24.81	18.29	260.38	72.52	101.54	158.79	118.43
SDK1	0.92	7.82	9344.14	28.45	24.11	0.0	65.72	30.12	110.43	1427.22	148.09	289.02	595.34	241.19
SEL1L2	0.0	1.22	46.84	0.0	0.0	0.0	41.22	2.46	2.78	76.71	85.82	503.95	59.13	31.67
SFRP4	9.85	312.0	1374046.07	8.65	2.29	0.0	7433.4	289.02	2148.82	131071.0	453265.5	502929.67	236256.4	231394.29
SIX5	228.13	244.57	1277.29	137.14	167.9	0.0	480.04	376.41	438.59	1191.69	1081.39	961.07	718.08	1119.56
SLC26A7	0.3	2.73	40.93	5.54	0.25	0.0	55.49	226.54	31.0	476.71	633.73	10.0	156.59	32.13
SLC45A1	15.91	57.49	55.49	3.29	5.63	0.0	62.12	33.54	14.78	323.03	348.71	166.73	476.71	100.13
SNAP91	0.0	7.28	88.26	0.0	0.0	0.0	5.36	3.26	3.0	55.1	41.81	25.35	60.82	18.56
SNED1	14.56	35.25	1991.0	21.01	37.85	0.0	102.25	49.56	61.25	733.19	1508.65	226.54	1096.5	860.08
SNX21	285.03	131.51	1745.2	120.94	125.24	0.0	429.54	185.11	223.41	872.1	947.83	872.1	397.93	540.19
SPG20	361.04	351.14	1477.58	127.0	56.28	0.0	423.61	813.63	753.83	988.12	460.44	860.08	232.94	896.64
TAX1BP3	2367.9	2178.83	9673.69	3467.27	2178.83	0.0	4575.41	3039.3	4038.61	7857.29	6381.92	9606.86	5112.16	4450.27
TCF23	0.0	0.31	78.89	10.55	0.0	0.0	39.22	16.03	12.64	56.68	660.68	414.87	397.93	183.82
TGM2	80.57	273.37	30785.28	175.07	228.13	0.0	1378.57	1001.93	878.17	9215.48	39785.74	6935.54	53973.86	1832.01
TMEM215	0.0	0.0	271.48	0.02	0.38	0.0	35.25	11.55	0.78	73.03	121.79	17.0	4.54	12.27
TMEM88	53.19	35.25	525.39	13.83	63.89	0.0	234.57	148.09	239.52	540.19	392.44	327.56	423.61	1304.15
TNXB	31.9	34.51	9606.86	27.64	89.51	0.0	490.14	117.6	136.19	4512.4	698.41	4869.99	738.29	4704.07
TPST1	120.94	381.68	1457.23	113.56	166.73	0.0	289.02	260.38	525.39	1088.92	1561.89	514.56	616.37	842.36
TRH	0.28	1.64	4736.79	0.0	0.0	0.0	1.73	35.25	15.91	8078.22	9409.14	669.92	2915.45	28.04
TSHZ3	2.05	12.74	536.45	43.32	20.26	0.0	84.04	49.91	79.45	748.61	2148.82	947.83	1216.75	660.68
TWIST2	0.6	1.3	4123.49	1.81	36.01	0.0	44.25	10.88	63.0	1447.15	1037.29	208.38	1819.35	325.29
VSTM4	6.62	12.45	1487.87	2.36	17.64	32.13	54.72	26.28	32.82	525.39	169.07	1135.2	80.57	289.02
WNT2	2.03	53.57	2090.03	0.35	4.58	0.0	417.77	97.36	152.28	2047.0	5913.33	2816.11	5329.3	432.53
WT1	0.0	2.78	297.17	0.0	0.0	0.0	275.28	60.39	339.14	1340.84	2303.12	4575.41	2451.44	4704.07
YPEL4	2.61	14.35	166.73	9.41	6.36	31.45	24.81	25.17	31.22	118.43	35.25	28.65	70.51	323.03
ZBTB22	269.6	214.27	684.02	267.73	176.29	0.0	316.37	400.71	387.02	629.35	842.36	616.37	647.07	825.0
ZBTB46	22.26	57.08	208.38	16.27	24.46	0.0	74.58	27.05	159.9	264.03	532.74	420.68	503.95	327.56
ZNF516	57.49	339.14	1359.57	73.54	111.99	0.0	551.56	301.33	305.55	2573.36	4095.0	1277.29	3190.46	836.53
