	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.YJ8O.2226.SM.5IFHW	GTEX.12WSB.0626.SM.59HJO	TCGA.VS.A958.01A.11R.A42T.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.91.6830.01A.11R.1949.07	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8089.01A.11R.2241.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.S7SF.0626.SM.4AD4V
AVPR2	2.46	2.01	46.84	156.59	90.14	136.19	400.71	239.52	728.11	629.35	6.84	31.9	12.55	0.0	7.88	0.0	13.72	5.96	45.53
BMP6	12.74	9.13	113.56	242.88	152.28	155.5	587.13	381.68	358.54	988.12	5.02	54.33	75.64	0.0	65.26	0.34	127.0	28.86	35.76
C16orf45	329.84	38.95	457.25	743.43	529.06	525.39	2018.8	2935.74	1427.22	2451.44	24.63	60.39	218.79	0.0	93.35	0.54	397.93	271.48	1923.14
C20orf194	13.22	49.56	191.67	301.33	253.23	293.07	275.28	262.2	414.87	334.46	69.03	31.67	163.28	0.0	111.99	0.52	124.37	81.71	392.44
CA4	0.0	0.0	111.99	718.08	607.87	500.46	1781.89	4704.07	1819.35	4152.18	0.0	4.54	301.33	0.0	36.79	0.39	17.0	27.05	46.5
CAPN11	3.35	1.45	56.68	104.42	118.43	114.36	132.44	106.63	150.17	332.14	2.2	4.35	12.74	0.0	4.17	0.04	8.85	7.88	9.06
CCDC178	0.0	0.87	39.22	307.69	134.3	215.77	463.65	497.0	253.23	1277.29	0.0	0.93	4.24	0.0	2.68	0.0	3.38	5.63	21.01
CCDC3	25.91	62.56	563.18	2004.85	733.19	669.92	2485.67	3168.41	9025.81	2720.15	40.64	83.45	493.56	0.0	137.14	0.42	403.5	260.38	441.64
CCDC36	0.62	0.87	21.01	29.48	25.72	41.22	38.95	57.89	121.79	144.01	2.18	2.61	4.1	0.0	6.21	0.2	4.78	4.43	9.48
CCL14	4.35	11.21	3280.18	12244.81	8840.04	10883.59	75280.1	59063.35	9409.14	164758.26	76.71	253.23	791.35	0.0	363.56	0.04	819.3	105.89	6426.31
CD300LG	0.0	0.0	316.37	1088.92	928.3	872.1	3690.52	5219.6	7230.1	11267.44	0.49	1.71	24.28	0.0	3.23	0.0	9.56	2.29	24.28
CD34	71.0	148.09	2148.82	5633.22	2758.13	3257.52	12853.63	7537.18	9151.82	9740.98	164.42	191.67	1073.91	0.0	305.55	0.0	441.64	423.61	947.83
CD36	2.23	41.22	5112.16	19482.97	13681.08	16611.71	67846.12	101420.22	124863.17	139508.13	20.26	31.9	518.15	0.0	473.41	0.36	148.09	376.41	2209.26
CDNF	11.82	46.84	49.91	75.64	143.01	88.26	224.97	169.07	78.89	193.01	6.78	15.0	78.89	0.0	26.1	0.0	26.47	14.56	16.15
CEP112	2.81	13.52	128.79	395.18	297.17	260.38	748.61	660.68	563.18	1350.18	36.27	87.03	149.12	0.0	92.7	0.49	49.56	39.5	143.01
CNRIP1	14.67	38.67	387.02	665.29	518.15	620.67	1143.1	718.08	791.35	1350.18	16.27	38.67	307.69	0.0	141.02	0.62	198.47	197.09	599.49
CNTNAP3B	49.21	1.17	100.83	182.55	208.38	151.22	118.43	583.07	202.66	2178.83	14.14	105.89	32.13	0.0	8.65	0.36	87.65	20.86	316.37
COBLL1	59.97	327.56	460.44	733.19	536.45	518.15	1540.37	1359.57	4543.8	1757.34	389.72	113.56	353.59	0.0	295.11	0.46	540.19	409.15	211.31
COL25A1	0.0	0.58	12.27	123.5	34.02	39.22	61.68	131.51	100.13	248.0	0.0	1.0	1.83	0.0	1.04	0.27	9.56	0.56	5.87
CPED1	4.62	13.12	258.57	563.18	376.41	305.55	1037.29	928.3	3540.14	1467.37	13.83	22.59	249.73	0.0	77.25	0.17	123.5	145.02	1259.69
CRHBP	0.0	3.11	57.89	77.79	85.22	52.82	351.14	275.28	759.08	291.04	0.28	3.41	8.92	0.0	5.45	0.09	10.71	30.34	18.7
CRIM1	215.77	221.86	1685.71	3190.46	2209.26	1977.24	4671.57	5219.6	5711.87	10154.69	334.46	318.57	1757.34	518.15	688.78	629.35	381.68	312.0	764.36
CXorf36	11.3	27.64	435.55	988.12	551.56	759.08	1487.87	1313.23	1832.01	2351.53	34.26	58.3	223.41	0.0	75.64	0.16	118.43	60.39	198.47
CYBRD1	38.67	64.8	5594.3	6037.61	4704.07	4543.8	6079.61	8134.41	5751.61	8963.45	89.51	406.31	2835.7	0.0	559.28	0.35	733.19	486.75	3349.13
CYGB	100.13	127.0	463.65	624.99	450.94	559.28	1832.01	1175.27	1159.07	3443.31	48.18	44.57	384.34	0.0	336.79	0.26	229.72	1059.11	547.75
DAB1	0.0	1.17	2.58	29.06	28.04	15.91	64.34	22.59	36.79	54.33	0.43	0.0	6.31	0.0	3.0	0.12	32.82	27.84	150.17
EBF1	3.99	12.55	249.73	656.11	450.94	366.09	1167.14	1175.27	2133.97	1508.65	8.99	21.01	80.01	0.0	28.65	0.29	62.56	33.06	154.42
ELTD1	31.9	62.12	941.27	2061.24	1015.93	1388.16	2148.82	1639.59	1529.73	4639.29	55.1	74.06	387.02	0.0	165.57	0.4	69.03	98.73	121.79
EMCN	16.15	28.65	708.18	1936.53	1151.06	1529.73	3303.0	2319.15	3257.52	4152.18	15.0	54.72	521.76	71.5	126.12	172.65	76.71	136.19	389.72
F8	28.45	25.91	285.03	785.88	426.57	444.72	669.92	743.43	723.08	1059.11	52.82	193.01	444.72	0.0	239.52	0.0	32.13	29.48	223.41
FAM105A	21.32	39.79	466.88	237.86	221.86	211.31	232.94	651.58	145.02	1127.35	99.43	53.19	202.66	0.0	264.03	0.31	148.09	148.09	190.34
FAM228B	66.18	123.5	236.21	392.44	295.11	381.68	638.15	679.29	624.99	1044.52	77.25	103.69	336.79	0.0	100.13	0.37	155.5	66.18	518.15
FBXO31	265.87	178.77	543.96	802.41	780.44	684.02	665.29	1487.87	688.78	1447.15	400.71	142.01	346.29	0.0	420.68	0.37	480.04	312.0	974.5
FCGRT	503.95	941.27	2720.15	4575.41	4937.99	6426.31	18431.96	20593.91	5112.16	19082.0	1477.58	1950.0	2627.46	0.0	2915.45	0.95	4671.57	4123.49	3303.0
FEZ2	703.28	616.37	1104.13	2018.8	1313.23	1427.22	3190.46	2148.82	2701.35	3146.52	392.44	587.13	708.18	0.0	1208.34	0.55	511.0	603.67	1561.89
FGD5	13.52	17.13	339.14	387.02	318.57	406.31	791.35	954.43	1096.5	1457.23	57.49	34.51	212.78	0.0	127.89	0.48	136.19	103.69	201.25
FPGT-TNNI3K	6.36	11.55	47.84	40.07	33.78	31.45	116.78	94.67	59.97	178.77	2.68	7.63	12.45	0.0	9.13	0.25	13.42	3.76	55.49
FRMD1	0.0	0.0	8.06	25.54	31.0	8.51	38.67	53.19	92.05	83.45	0.0	0.72	1.22	0.0	0.0	0.0	80.01	17.9	6.89
FRY	43.32	144.01	429.54	738.29	591.22	571.05	872.1	995.0	1397.83	1529.73	14.56	137.14	237.86	0.0	177.53	0.38	325.29	98.04	273.37
FST	108.9	155.5	325.29	327.56	547.75	267.73	435.55	1561.89	348.71	2193.99	24.81	4.35	48.18	0.0	49.56	0.91	82.87	33.06	9.93
GALNT15	2.78	4.9	172.65	1175.27	503.95	521.76	616.37	718.08	301.33	1769.57	1.46	11.73	54.72	0.0	5.23	0.18	55.1	12.83	303.44
GAST	21.78	1.43	0.0	0.0	1.68	5.28	0.0	0.0	0.0	0.0	3.0	0.0	4.58	0.0	0.0	0.0	1.598261246E7	2.4225111E7	8805660.77
GHR	1.25	1.17	244.57	896.64	457.25	351.14	599.49	1059.11	1119.56	1111.82	1.91	2.32	55.89	0.0	9.34	0.44	24.63	9.56	249.73
GIPC3	3.66	12.18	96.68	116.78	30.34	77.79	100.83	79.45	181.28	173.85	9.63	10.63	43.32	0.0	27.84	0.2	105.15	83.45	44.57
GLDN	6.41	1.75	58.71	154.42	61.68	55.1	236.21	255.0	358.54	813.63	57.49	3.11	88.26	0.0	35.25	0.06	45.85	17.51	16.03
GNAI1	8.13	204.07	307.69	1350.18	642.59	764.36	1769.57	1487.87	2119.22	2148.82	122.64	141.02	287.01	194.36	293.07	242.88	102.25	66.18	1417.35
GNAZ	1.25	11.04	80.57	237.86	108.14	156.59	432.53	454.09	423.61	915.51	66.18	27.44	39.5	0.0	4.46	0.24	84.63	29.06	438.59
GNG12	373.81	48.18	1467.37	2047.0	1628.26	1572.76	4704.07	4066.71	4543.8	2956.17	454.09	463.65	988.12	0.0	473.41	0.6	1044.52	1143.1	2240.11
GOLGA8M	0.62	0.31	11.91	45.53	25.17	16.88	39.79	24.63	32.59	76.17	2.32	0.0	8.71	0.0	1.3	0.4	16.39	4.39	4.86
HSD17B13	0.62	3.14	26.28	120.1	120.1	63.45	473.41	293.07	457.25	299.25	1.6	0.0	10.16	0.0	1.79	0.01	6.31	1.16	5.41
HSPA12B	10.96	15.11	198.47	232.94	242.88	265.87	521.76	567.1	1477.58	921.88	19.82	20.71	173.85	0.0	53.19	0.22	81.71	44.25	125.24
HSPB2	7.06	17.9	137.14	368.65	318.57	441.64	1127.35	1268.46	1277.29	1540.37	6.31	11.47	143.01	0.0	57.08	0.41	152.28	87.65	265.87
IL6ST	138.1	145.02	2758.13	3060.45	3325.99	2319.15	2701.35	4972.34	7130.55	11189.6	194.36	684.02	1378.57	525.39	698.41	231.32	507.46	624.99	1216.75
ITIH5	12.27	16.88	507.46	3419.52	1037.29	890.44	4038.61	9215.48	8963.45	4671.57	17.13	17.13	490.14	0.0	74.06	0.21	237.86	144.01	743.43
JAM2	6.16	10.31	579.04	1111.82	830.75	1159.07	3103.19	1378.57	3768.09	4869.99	15.68	43.32	400.71	0.0	113.56	0.1	373.81	190.34	1447.15
KCNIP2	17.64	4.35	332.14	1651.0	1044.52	384.34	2758.13	3081.75	4358.66	3303.0	15.11	40.07	43.02	0.0	26.47	0.66	53.95	20.86	93.35
KIAA1045	1.81	0.0	8.78	13.52	19.82	17.77	50.27	37.05	41.22	115.16	0.0	1.43	4.5	0.0	3.72	0.23	0.53	2.36	24.99
KIF26A	5.77	1.45	67.12	47.5	70.51	71.0	93.35	180.02	318.57	265.87	4.24	56.68	43.63	3.38	5.92	50.27	28.24	5.54	59.13
KL	2.16	0.88	50.27	96.68	90.14	120.1	285.03	140.04	358.54	409.15	1.57	5.28	46.5	0.0	10.63	0.07	24.99	9.13	80.01
LDB2	18.7	34.51	536.45	1369.04	848.22	1167.14	2682.69	1923.14	3564.78	3419.52	27.84	68.07	603.67	0.0	226.54	0.27	262.2	103.69	473.41
LDLRAD2	92.7	129.69	202.66	279.14	275.28	511.0	651.58	595.34	1369.04	813.63	74.06	94.01	159.9	0.0	98.73	0.31	111.99	40.93	204.07
LHFP	40.07	105.15	1617.0	3540.14	2351.53	2997.45	6516.03	9540.5	3928.15	5791.62	53.19	116.78	988.12	226.54	412.0	591.22	329.84	301.33	780.44
LHX6	2.48	5.73	170.25	490.14	138.1	293.07	206.94	723.08	525.39	878.17	8.51	18.43	57.89	0.0	16.39	0.16	46.18	22.26	158.79
LMOD1	8.99	37.32	665.29	1844.76	1674.06	1175.27	1519.15	2573.36	7589.61	6121.9	16.51	35.0	575.03	0.0	81.71	0.49	1936.53	575.03	15934.98
LRRC70	3.96	9.93	143.01	211.31	166.73	255.0	444.72	346.29	384.34	624.99	6.84	15.68	39.22	0.0	13.93	0.2	30.78	45.85	23.76
LRRTM2	0.0	0.29	25.54	27.64	24.81	20.71	80.01	34.51	22.92	105.89	0.83	1.89	5.41	0.0	2.53	0.02	5.06	6.89	9.34
MAP7D3	77.25	10.08	140.04	400.71	189.02	197.09	438.59	603.67	500.46	974.5	55.1	17.77	158.79	0.0	154.42	0.61	102.97	75.64	518.15
MMRN2	62.12	698.41	854.13	1709.26	981.29	1044.52	2148.82	2627.46	3280.18	5329.3	51.35	86.43	529.06	0.0	159.9	0.28	191.67	102.97	441.64
MPDZ	45.85	58.3	429.54	713.11	660.68	753.83	785.88	723.08	1340.84	2090.03	33.54	30.34	307.69	0.0	138.1	0.59	85.22	85.82	540.19
MYOC	0.0	0.0	13.03	1388.16	97.36	208.38	423.61	612.11	1088.92	2351.53	0.0	0.0	49.21	0.0	0.74	0.0	1191.69	123.5	2335.28
MYRIP	0.0	3.96	96.01	100.83	108.9	90.14	503.95	607.87	299.25	521.76	0.85	10.31	13.93	0.0	2.27	0.0	23.76	7.69	48.87
NGFR	1.27	5.19	642.59	674.59	529.06	743.43	599.49	470.14	297.17	1001.93	5.15	6.94	42.11	0.0	20.41	0.52	12.45	40.36	389.72
NOTCH4	33.06	53.19	373.81	819.3	376.41	665.29	684.02	830.75	836.53	1561.89	45.21	108.9	348.71	82.29	130.6	157.68	111.21	60.82	129.69
NPR1	12.83	21.32	269.6	890.44	647.07	559.28	780.44	1059.11	1331.57	1806.78	43.94	19.82	220.32	0.0	81.14	0.46	89.51	50.63	212.78
NPR2	23.59	48.52	265.87	438.59	299.25	463.65	607.87	400.71	764.36	532.74	26.28	116.78	241.19	0.0	118.43	0.79	246.28	185.11	420.68
NTRK2	0.95	0.31	1242.34	2287.2	1417.35	1991.0	5255.91	1605.83	8247.98	5329.3	2.68	9.2	102.97	0.0	9.34	0.33	36.79	8.78	246.28
NXPH3	25.35	3.76	57.49	63.45	133.36	110.43	384.34	146.03	312.0	368.65	13.12	5.41	71.0	0.0	8.19	0.03	81.14	43.02	490.14
OSBPL1A	563.18	29.27	780.44	1709.26	1529.73	1295.13	1806.78	2384.37	2915.45	3467.27	59.97	144.01	406.31	0.0	392.44	0.51	303.44	134.3	1233.75
PARK2	1.23	0.88	28.24	68.55	72.52	55.1	249.73	141.02	195.72	275.28	0.72	5.63	22.92	0.0	5.23	0.12	20.71	9.56	159.9
PARM1	161.02	18.43	583.07	860.08	412.0	703.28	1008.9	2178.83	2739.08	3742.05	28.24	100.83	476.71	153.34	228.13	84.04	182.55	218.79	334.46
PAX3	0.0	0.0	8.45	6.31	10.39	0.85	31.9	10.0	9.63	33.06	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	7.69
PCDHGA6	12.36	21.94	45.53	50.27	40.07	73.03	121.79	67.12	46.84	96.01	10.96	5.32	45.85	0.0	27.05	0.3	15.8	16.27	71.5
PDE2A	4.98	26.86	444.72	1350.18	830.75	1023.0	1037.29	3564.78	1508.65	3467.27	19.82	46.84	157.68	0.0	101.54	0.4	320.8	58.3	819.3
PDE9A	202.66	325.29	301.33	379.04	353.59	241.19	693.58	995.0	339.14	1023.0	12.36	53.57	329.84	0.0	279.14	0.49	85.82	48.52	507.46
PDK4	346.29	202.66	1059.11	6699.25	1950.0	2537.92	2367.9	11664.82	2796.65	19082.0	5.41	723.08	291.04	0.0	638.15	0.39	1594.73	438.59	12676.65
PER3	28.86	57.08	629.35	607.87	698.41	234.57	373.81	974.5	1096.5	728.11	92.05	267.73	183.82	0.0	154.42	0.21	1059.11	363.56	571.05
PGM5	1.89	3.2	224.97	591.22	547.75	547.75	872.1	878.17	4575.41	2400.97	8.25	24.99	199.85	0.0	39.79	0.33	860.08	450.94	16496.96
PHYHIP	10.31	2.03	49.21	85.82	67.12	54.33	20.86	87.65	127.0	71.5	0.96	19.11	34.51	0.0	20.41	0.21	25.72	40.64	39.79
PKD2	25.17	92.05	323.03	669.92	480.04	466.88	878.17	1268.46	1023.0	1030.12	85.22	92.7	521.76	0.0	285.03	0.42	172.65	103.69	738.29
PLCL1	1.83	4.82	68.55	116.78	91.41	135.24	255.0	194.36	669.92	400.71	4.06	7.69	35.0	0.0	25.72	0.06	16.88	8.58	53.95
PPFIA2	3.66	0.59	122.64	34.26	27.64	17.13	40.93	42.71	81.71	59.55	2.73	2.84	20.41	0.0	10.79	0.25	38.12	11.13	4.31
PPP1R1A	1.83	2.56	595.34	2777.33	2682.69	708.18	3257.52	5112.16	10368.08	6983.79	12.0	4.66	26.28	0.0	9.41	0.35	14.56	12.09	3018.3
PREX2	1.55	3.72	122.64	297.17	147.06	127.89	432.53	387.02	656.11	638.15	3.35	10.47	46.5	0.0	17.38	0.28	40.07	28.04	43.94
PROCR	49.91	79.45	438.59	1001.93	473.41	620.67	525.39	928.3	1167.14	988.12	366.09	82.87	688.78	0.0	303.44	0.23	423.61	543.96	332.14
PTRF	1844.76	397.93	3589.58	7857.29	5633.22	5255.91	16843.62	18950.18	31870.96	17558.94	285.03	371.22	3303.0	1963.57	2163.77	1427.22	1359.57	1340.84	4903.87
RAB3IL1	29.91	38.95	381.68	400.71	334.46	414.87	476.71	444.72	432.53	441.64	105.15	43.63	353.59	223.41	152.28	206.94	117.6	117.6	185.11
RBP7	69.03	57.49	1286.18	5147.73	3467.27	3491.39	12589.08	9409.14	10585.95	19214.73	88.88	92.05	157.68	0.0	31.9	0.33	90.14	29.91	211.31
RCAN2	15.68	35.25	473.41	507.46	336.79	309.83	591.22	878.17	1519.15	1378.57	35.25	31.9	339.14	0.0	150.17	0.54	738.29	329.84	896.64
REM1	4.28	6.84	53.19	73.54	46.18	65.72	358.54	181.28	194.36	260.38	14.03	10.24	69.52	0.0	18.56	0.0	32.59	24.81	149.12
RGS6	0.0	1.46	30.34	91.41	50.98	28.04	51.35	98.04	599.49	198.47	16.88	0.0	9.7	0.0	0.59	0.22	23.76	6.06	19.82
RHOB	718.08	1477.58	6983.79	6561.36	4358.66	6699.25	10084.54	17558.94	25530.66	35856.82	674.59	3190.46	5517.27	0.0	1268.46	0.34	4298.64	3794.3	14065.74
RHOJ	19.11	25.54	389.72	587.13	490.14	624.99	802.41	460.44	909.17	866.07	30.78	23.59	299.25	54.72	150.17	228.13	152.28	169.07	954.43
RP11-122A3.2	4.94	5.19	81.14	194.36	173.85	169.07	255.0	466.88	514.56	373.81	2.84	4.39	44.57	0.0	31.9	0.46	52.45	38.95	1191.69
RP11-3B7.1	0.0	0.87	4.17	15.0	12.09	33.3	17.0	19.97	90.14	47.84	2.41	1.48	1.3	0.0	2.78	0.13	0.0	7.94	7.94
SCN1B	23.08	27.84	283.05	339.14	224.97	384.34	480.04	785.88	423.61	1487.87	42.11	46.5	255.0	0.0	146.03	0.69	127.89	97.36	96.68
SCN3B	0.0	0.0	18.16	35.25	59.55	59.55	27.44	40.64	97.36	63.0	4.62	3.2	35.25	0.0	6.62	0.36	17.64	9.2	33.78
SEMA3G	9.2	12.83	559.28	1304.15	753.83	785.88	1369.04	1583.71	2935.74	4419.52	19.39	47.5	224.97	0.0	74.06	0.1	128.79	53.95	189.02
SEPT10	551.56	567.1	1225.22	1870.53	1437.15	1745.2	4181.07	2796.65	3168.41	4010.71	346.29	559.28	1304.15	0.0	1008.9	0.55	813.63	642.59	1674.06
SH3D19	202.66	205.5	728.11	2178.83	1286.18	1119.56	3060.45	4152.18	1963.57	5006.93	146.03	109.66	764.36	358.54	624.99	102.25	967.76	808.0	2090.03
SHANK3	26.47	50.27	289.02	312.0	242.88	366.09	295.11	500.46	555.41	954.43	71.0	78.89	165.57	0.0	147.06	0.77	165.57	50.63	234.57
SLC14A2	0.0	0.0	3.56	32.36	28.86	4.43	119.26	64.8	435.55	60.82	0.96	0.68	2.97	0.0	1.23	0.18	1.5	0.0	3.89
SLC17A7	1.23	0.59	38.67	65.72	27.84	54.72	93.35	45.85	185.11	183.82	4.39	0.71	6.41	0.0	5.11	0.36	18.84	15.91	35.5
SLC26A10	1.89	1.48	16.03	43.32	44.57	86.43	56.28	35.25	156.59	75.11	9.85	7.88	22.26	0.0	13.83	1.14	18.43	17.9	60.82
SLCO1C1	1.83	0.3	29.06	56.28	49.91	74.06	156.59	74.58	183.82	181.28	0.0	42.11	13.93	0.0	10.31	0.0	6.26	13.22	5.87
SLIT3	4.66	50.98	698.41	1923.14	703.28	1233.75	3280.18	7485.11	5555.65	2520.38	8.38	46.18	412.0	0.0	118.43	0.53	162.14	129.69	543.96
SMIM10	20.41	18.29	139.07	339.14	187.71	269.6	490.14	291.04	860.08	620.67	16.15	25.17	221.86	0.0	60.39	0.43	93.35	72.52	312.0
SPRY1	49.21	146.03	2502.97	2645.74	1662.49	2271.4	9151.82	3589.58	2997.45	7642.41	161.02	181.28	1199.98	0.0	547.75	0.52	738.29	563.18	1427.22
SV2B	0.0	0.29	42.11	111.99	58.3	28.45	182.55	343.89	166.73	426.57	0.29	8.99	20.71	0.0	10.0	0.12	4.54	6.11	24.99
SYNPO2	3.72	21.78	616.37	2434.5	848.22	1051.79	2224.63	3467.27	8778.97	6207.38	14.45	37.05	249.73	0.0	40.64	0.43	796.86	301.33	22692.63
SYT15	1.57	6.01	226.54	186.4	301.33	169.07	189.02	224.97	435.55	693.58	7.75	42.71	163.28	65.26	44.57	94.01	53.95	52.82	256.78
TCF7L1	12.36	65.26	483.38	802.41	693.58	633.73	1757.34	1870.53	1794.29	2555.58	24.99	182.55	273.37	0.0	231.32	0.78	167.9	151.22	698.41
TGFBR2	149.12	142.01	2682.69	5555.65	3060.45	3639.7	5517.27	6561.36	6294.04	12853.63	351.14	579.04	1923.14	0.0	1427.22	0.67	890.44	665.29	2255.7
THSD7B	0.0	0.0	32.59	42.11	38.95	35.5	40.64	52.82	145.02	96.68	0.0	0.22	3.08	0.0	1.51	0.0	2.71	0.55	5.41
TMEM47	7.17	50.27	466.88	902.89	616.37	802.41	1561.89	1617.0	3847.29	2193.99	16.39	48.18	363.56	0.0	86.43	0.35	178.77	148.09	1066.48
TMEM55A	89.51	69.03	281.09	384.34	279.14	395.18	860.08	429.54	638.15	813.63	30.56	73.54	201.25	0.0	133.36	0.52	143.01	90.14	890.44
TMEM88	35.0	30.78	256.78	529.06	325.29	559.28	769.69	633.73	1331.57	1697.45	51.35	67.59	100.13	0.0	34.26	0.16	60.39	143.01	395.18
TNFSF12	438.59	348.71	954.43	1183.45	1159.07	1388.16	2573.36	2417.67	3168.41	2895.31	476.71	327.56	1111.82	0.0	848.22	0.67	878.17	842.36	3372.43
TNMD	0.0	0.28	25.72	441.64	289.02	88.88	1769.57	1697.45	2133.97	2956.17	0.0	0.0	0.95	0.0	0.6	0.0	0.0	0.0	8.32
TNNT3	9.34	66.65	78.89	460.44	94.01	204.07	2935.74	1662.49	3395.89	1844.76	13.62	9.63	23.08	0.0	7.57	0.48	20.11	9.7	18.84
TNS1	10.79	58.71	1745.2	3614.55	2468.49	1467.37	1508.65	7032.37	14065.74	7180.15	51.71	441.64	1540.37	0.0	325.29	0.64	1259.69	587.13	9474.59
TPRG1L	928.3	769.69	1233.75	1259.69	1397.83	1369.04	1896.65	1551.09	1216.75	1844.76	728.11	813.63	1167.14	0.0	660.68	0.42	1331.57	780.44	1950.0
TSPAN18	7.4	14.89	387.02	420.68	297.17	371.22	819.3	791.35	2384.37	872.1	35.0	285.03	323.03	194.36	108.14	87.03	190.34	255.0	1447.15
TSPAN4	423.61	305.55	1111.82	1733.13	1378.57	1991.0	3419.52	3768.09	2915.45	3742.05	493.56	1151.06	1819.35	0.0	1628.26	0.95	679.29	595.34	1183.45
TSPAN7	4.7	20.11	1467.37	2133.97	1242.34	1628.26	5403.7	3716.2	5913.33	6745.86	59.97	68.55	902.89	0.0	208.38	0.67	457.25	121.79	2004.85
VIM	1936.53	4298.64	30151.71	46339.95	34396.12	46019.85	89523.81	89523.81	128373.58	103551.29	5913.33	3443.31	19754.96	0.0	15392.14	1.25	10733.74	11909.94	19348.38
WISP2	2.81	1.19	480.04	3018.3	808.0	2178.83	7230.1	5479.15	2573.36	9215.48	11.73	60.82	1313.23	87.03	226.54	325.29	198.47	64.34	28.04
ZNF423	5.23	22.1	234.57	202.66	145.02	183.82	629.35	381.68	1030.12	723.08	7.4	7.0	38.12	0.0	17.38	0.19	63.89	62.56	309.83
