	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.EW.A6SD.01A.12R.A33J.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	TCGA.CN.4734.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	GTEX.XV7Q.2426.SM.4BRV8
MLLT6	473.41	1295.13	4239.45	860.08	884.29	1030.12	1628.26	1628.26	1757.34	1594.73	339.14	454.09	579.04	1417.35	995.0
MRPL45	476.71	961.07	6792.79	748.61	884.29	967.76	1151.06	1127.35	1096.5	995.0	473.41	0.0	0.08	902.89	486.75
MUCL1	2216726.5	919186.72	249727.34	1255646.43	434801.29	419990.32	284880.02	169390.27	887875.81	153724.82	13.42	0.0	0.22	9635979.21	44.89
NOL7	693.58	1143.1	3794.3	808.0	1059.11	1350.18	1407.55	1437.15	1437.15	1111.82	1023.0	0.0	0.61	1191.69	775.05
ODF4	0.0	2.94	7.0	0.0	1.2	0.0	3.14	0.72	8.32	3.41	0.0	0.0	0.0	0.0	0.0
PHF12	414.87	684.02	1508.65	384.34	563.18	507.46	753.83	684.02	896.64	808.0	228.13	0.0	0.87	371.22	173.85
PIK3IP1	603.67	665.29	1225.22	237.86	848.22	1023.0	1551.09	974.5	1350.18	1286.18	466.88	0.0	0.31	246.28	134.3
PIP4K2B	363.56	651.58	2956.17	307.69	703.28	638.15	854.13	1175.27	1295.13	1508.65	463.65	0.0	0.39	518.15	314.17
PLGLB2	16.51	12.27	36.01	14.14	18.7	20.11	14.67	44.57	19.82	34.51	1.97	0.0	0.22	3.0	3.96
POLG2	138.1	185.11	466.88	146.03	156.59	175.07	334.46	273.37	423.61	273.37	46.5	0.0	0.85	141.02	105.15
POM121L7	1.6	5.41	6.67	3.14	1.81	2.63	3.5	6.62	3.0	1.75	0.0	0.0	0.25	1.36	0.13
RNF185	587.13	902.89	780.44	343.89	753.83	872.1	825.0	1015.93	808.0	1183.45	470.14	0.0	0.6	389.72	381.68
RP11-1407O15.2	158.79	267.73	1540.37	159.9	204.07	244.57	599.49	353.59	555.41	426.57	148.09	0.0	1.0	171.45	267.73
RP11-691N7.6	0.0	0.0	5.02	0.0	0.0	3.69	2.68	7.51	5.36	5.36	2.07	0.0	0.0	0.0	0.0
RSAD1	500.46	603.67	2956.17	153.34	460.44	612.11	753.83	753.83	947.83	988.12	162.14	0.0	0.91	915.51	356.05
SLC26A10	26.67	15.22	145.02	23.25	42.11	40.36	142.01	76.17	127.0	34.75	11.64	0.0	1.14	14.78	1.33
SLC6A16	20.26	16.75	75.11	12.74	9.34	47.17	21.63	39.79	75.64	54.72	1.66	0.0	0.43	13.22	7.88
SMIM17	1.91	5.19	15.68	3.0	7.11	8.85	11.04	8.99	12.27	13.22	1.01	0.0	0.21	2.25	0.54
SNX11	267.73	423.61	1651.0	211.31	373.81	463.65	406.31	460.44	438.59	567.1	351.14	409.15	163.28	301.33	295.11
SP2	293.07	400.71	2796.65	142.01	426.57	373.81	518.15	497.0	769.69	503.95	246.28	0.0	0.41	269.6	195.72
SPATA20	368.65	848.22	2047.0	169.07	571.05	791.35	854.13	802.41	2367.9	830.75	521.76	0.0	0.61	791.35	217.27
SPOP	656.11	1216.75	3103.19	336.79	1151.06	1143.1	1111.82	1183.45	1175.27	1322.37	503.95	769.69	264.03	728.11	325.29
STAC2	3874.05	1950.0	5672.41	511.0	1008.9	947.83	3018.3	1936.53	2609.3	2895.31	1.35	0.0	0.37	239.52	31.67
STOX2	9.41	18.56	169.07	4.7	34.51	34.02	74.06	75.11	116.78	111.21	32.13	0.0	0.36	44.57	21.78
SUPT6H	490.14	974.5	2935.74	363.56	928.3	759.08	1030.12	1066.48	1331.57	995.0	748.61	0.0	0.84	674.59	536.45
TMEM14B	1001.93	2032.85	7032.37	1457.23	1331.57	2417.67	1674.06	1617.0	2193.99	2047.0	974.5	0.0	0.72	1208.34	693.58
TMEM14C	2303.12	3540.14	11112.3	2255.7	2520.38	3768.09	2997.45	3081.75	3665.02	2956.17	1487.87	0.0	0.77	1529.73	1457.23
TMEM55B	532.74	733.19	995.0	743.43	543.96	738.29	713.11	620.67	928.3	830.75	785.88	0.0	0.85	353.59	511.0
TOB1	1870.53	3690.52	10084.54	1059.11	4298.64	2520.38	3081.75	2451.44	1936.53	1896.65	718.08	384.34	1066.48	1277.29	1059.11
TOM1L1	872.1	1340.84	2119.22	406.31	507.46	934.76	1233.75	1268.46	1457.23	928.3	529.06	0.0	0.3	244.57	241.19
TSPAN31	1167.14	1378.57	4010.71	791.35	1008.9	1487.87	1143.1	1277.29	934.76	2075.59	941.27	884.29	511.0	785.88	629.35
UNK	341.51	466.88	703.28	358.54	361.04	444.72	679.29	536.45	842.36	591.22	231.32	0.0	0.64	287.01	195.72
VGLL1	23.25	121.79	567.1	24.11	164.42	204.07	169.07	164.42	988.12	226.54	60.39	0.0	0.0	1.69	15.8
WNT8B	2.18	0.68	8.58	0.88	0.42	1.06	2.56	7.69	6.41	0.47	0.0	0.0	0.09	1.27	0.19
ZNF7	400.71	435.55	647.07	155.5	406.31	417.77	642.59	563.18	753.83	733.19	277.2	0.0	0.54	279.14	149.12
