	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13N1W.0726.SM.5MR57	GTEX.ZY6K.0326.SM.5SIBB	GTEX.POMQ.0526.SM.3GADD	GTEX.145LS.1226.SM.5Q5D9
LSM10	0.0	0.54	785.88	1191.69	497.0	1081.39	1208.34	802.41	802.41	1242.34	417.77	1685.71	1369.04	351.14
LST1	0.0	0.36	1350.18	2591.27	1119.56	7280.4	2537.92	2209.26	791.35	5183.54	836.53	7485.11	11992.79	212.78
MAST3	0.0	0.42	114.36	108.9	78.89	143.01	104.42	147.06	82.87	125.24	76.71	214.27	189.02	78.89
MED22	212.78	497.0	248.0	371.22	341.51	412.0	406.31	239.52	221.86	426.57	356.05	555.41	497.0	223.41
METTL4	0.0	0.24	136.19	171.45	59.97	161.02	148.09	145.02	76.71	190.34	45.21	205.5	246.28	76.71
MILR1	0.0	0.39	76.17	177.53	128.79	167.9	193.01	299.25	93.35	161.02	77.79	500.46	361.04	65.72
MRPL21	0.0	0.65	1104.13	1183.45	1250.98	1977.24	1286.18	1216.75	395.18	1369.04	1051.79	2047.0	1350.18	275.28
NEURL4	0.0	0.87	166.73	303.44	148.09	301.33	293.07	218.79	101.54	314.17	159.9	500.46	381.68	84.63
NOL12	0.0	0.41	417.77	559.28	346.29	579.04	412.0	316.37	231.32	638.15	185.11	603.67	503.95	113.56
NOP2	0.0	0.79	1119.56	684.02	688.78	395.18	708.18	215.77	248.0	1015.93	283.05	928.3	819.3	239.52
OTUB1	0.0	1.04	1709.26	2032.85	2682.69	2303.12	2758.13	1745.2	1437.15	2061.24	2417.67	2537.92	2384.37	1388.16
PFKFB4	0.0	0.58	67.12	148.09	32.59	173.85	129.69	60.39	37.05	249.73	24.11	277.2	199.85	44.57
PIK3AP1	0.0	0.21	406.31	423.61	607.87	423.61	387.02	231.32	102.25	1088.92	121.79	1008.9	1119.56	314.17
PIP4K2B	0.0	0.39	450.94	571.05	255.0	872.1	429.54	514.56	267.73	536.45	283.05	633.73	688.78	226.54
PLXNC1	0.0	0.39	215.77	204.07	64.34	181.28	120.1	208.38	81.14	220.32	66.65	283.05	215.77	79.45
PNKP	0.0	0.97	483.38	587.13	842.36	591.22	688.78	543.96	198.47	1044.52	607.87	1015.93	819.3	194.36
POLG	0.0	0.87	665.29	808.0	529.06	967.76	693.58	684.02	420.68	819.3	269.6	1015.93	961.07	224.97
POLR1B	0.0	0.0	287.01	246.28	220.32	191.67	211.31	218.79	129.69	255.0	100.83	226.54	320.8	127.0
PRMT2	1111.82	995.0	1551.09	1617.0	1081.39	2061.24	1733.13	1909.85	1340.84	2163.77	1111.82	2240.11	2485.67	656.11
RARRES3	0.0	0.85	11909.94	8421.31	3614.55	6887.62	17927.91	9876.98	2468.49	16045.82	6935.54	13968.57	19482.97	2351.53
RBM4B	0.0	0.2	206.94	277.2	191.67	426.57	226.54	199.85	124.37	305.55	158.79	403.5	318.57	164.42
RBP5	0.0	0.27	96.68	116.78	226.54	117.6	193.01	75.11	79.45	157.68	171.45	275.28	242.88	52.45
RCBTB2	0.0	0.27	137.14	303.44	68.55	281.09	125.24	249.73	88.26	236.21	66.65	414.87	363.56	62.12
RGAG4	0.0	0.48	262.2	138.1	22.43	114.36	120.1	212.78	48.52	172.65	25.35	384.34	327.56	55.89
RGS14	0.0	0.56	323.03	470.14	253.23	384.34	264.03	343.89	120.94	693.58	264.03	595.34	563.18	189.02
RGS19	0.0	0.25	620.67	825.0	441.64	1159.07	1023.0	743.43	389.72	1286.18	229.72	1242.34	1447.15	253.23
RLTPR	0.0	0.57	31.0	21.47	25.35	94.01	37.32	30.12	16.63	108.9	20.56	102.97	59.13	4.35
RNF31	0.0	0.73	1081.39	1250.98	934.76	1216.75	1277.29	909.17	660.68	1594.73	1073.91	1135.2	1662.49	813.63
RP11-644F5.10	0.0	0.52	17.64	28.24	5.06	46.5	22.1	17.13	12.36	65.26	16.63	74.58	40.07	8.19
S100Z	0.0	0.16	2.01	10.24	4.21	17.13	4.17	13.62	0.73	6.67	1.28	19.11	19.11	3.41
SFTPA2	22225.61	123.5	6014443.23	3134925.09	3995652.37	3806410.22	3940643.03	4851500.88	4079609.54	3313672.43	1800541.22	2493947.08	1229805.58	2053992.24
SIGLEC5	0.0	0.13	214.27	228.13	136.19	95.34	149.12	33.3	32.82	264.03	33.54	246.28	215.77	29.7
SIRT7	0.0	0.78	312.0	473.41	209.84	450.94	351.14	307.69	177.53	463.65	214.27	595.34	540.19	133.36
SLC12A9	0.0	0.41	397.93	703.28	387.02	785.88	612.11	457.25	224.97	1104.13	197.09	1304.15	1051.79	229.72
SLC15A3	1015.93	190.34	6381.92	3060.45	3146.52	7589.61	5441.3	3716.2	3690.52	9540.5	3372.43	9409.14	7485.11	1936.53
SPRY3	0.0	0.25	4.06	3.86	2.58	5.59	4.58	6.16	1.57	6.84	3.5	5.77	8.92	0.42
SRCRB4D	0.0	0.0	36.27	67.12	8.32	72.52	38.95	17.64	5.54	53.57	20.11	72.01	34.26	9.27
SRRT	0.0	1.25	1073.91	1044.52	1295.13	1369.04	954.43	813.63	842.36	1572.76	967.76	1662.49	1159.07	642.59
STRIP1	0.0	0.65	279.14	376.41	241.19	457.25	373.81	285.03	145.02	503.95	173.85	567.1	529.06	150.17
TAF15	1628.26	242.88	1896.65	1936.53	2061.24	2451.44	2739.08	2573.36	1268.46	2895.31	2240.11	2895.31	3081.75	2018.8
TBC1D10C	0.0	0.46	205.5	251.48	180.02	928.3	211.31	178.77	118.43	954.43	153.34	693.58	866.07	80.57
TBC1D22A	0.0	0.68	679.29	647.07	587.13	981.29	540.19	651.58	412.0	567.1	669.92	583.07	813.63	316.37
TECPR1	121.79	201.25	236.21	215.77	195.72	532.74	287.01	334.46	198.47	423.61	157.68	571.05	521.76	66.18
TEP1	0.0	0.96	323.03	397.93	267.73	336.79	363.56	373.81	202.66	587.13	132.44	708.18	575.03	206.94
TLR7	0.0	0.0	52.08	84.63	153.34	124.37	55.89	29.06	13.52	246.28	21.32	366.09	236.21	15.22
TMEM102	0.0	0.0	154.42	177.53	165.57	204.07	234.57	176.29	118.43	186.4	144.01	223.41	214.27	86.43
TMEM106A	0.0	0.38	53.19	185.11	140.04	215.77	182.55	144.01	45.21	265.87	42.11	536.45	514.56	60.39
TNFAIP8L2	0.0	0.0	336.79	780.44	102.25	775.05	379.04	674.59	164.42	591.22	87.03	854.13	1073.91	52.45
TRIM34	0.0	0.19	221.86	133.36	21.63	334.46	164.42	224.97	113.56	239.52	162.14	348.71	423.61	84.04
TRMT2A	0.0	0.87	555.41	563.18	457.25	1001.93	860.08	551.56	486.75	890.44	384.34	1030.12	860.08	381.68
TWF2	0.0	0.47	1191.69	1685.71	884.29	2032.85	1508.65	1583.71	612.11	2018.8	848.22	2163.77	2434.5	435.55
UPF3A	0.0	0.78	624.99	1015.93	397.93	825.0	633.73	525.39	332.14	753.83	289.02	1322.37	819.3	309.83
URB2	0.0	0.0	204.07	124.37	85.82	99.43	118.43	72.01	50.27	166.73	37.32	107.38	158.79	50.27
VARS2	0.0	0.64	669.92	518.15	318.57	612.11	466.88	429.54	265.87	476.71	376.41	698.41	525.39	156.59
VASP	2758.13	616.37	2758.13	2047.0	3235.01	3372.43	2609.3	1870.53	1709.26	3955.48	1628.26	4010.71	3742.05	1794.29
VPS52	0.0	0.55	836.53	890.44	595.34	1175.27	902.89	995.0	698.41	941.27	688.78	1295.13	1096.5	507.46
WDR46	0.0	0.33	603.67	813.63	1088.92	842.36	1030.12	571.05	438.59	1286.18	1023.0	1250.98	1191.69	587.13
YBEY	0.0	0.27	460.44	281.09	223.41	579.04	400.71	379.04	93.35	351.14	180.02	514.56	791.35	85.82
ZBTB48	0.0	0.72	218.79	368.65	356.05	591.22	397.93	387.02	358.54	616.37	339.14	579.04	532.74	366.09
ZCWPW1	0.0	0.37	111.99	136.19	50.63	144.01	99.43	111.21	44.89	127.89	38.12	141.02	162.14	41.52
ZGPAT	0.0	0.95	327.56	384.34	397.93	514.56	536.45	356.05	256.78	941.27	236.21	866.07	764.36	126.12
ZNF335	0.0	0.91	269.6	241.19	138.1	285.03	153.34	148.09	109.66	346.29	138.1	368.65	283.05	64.34
ZNF438	0.0	0.4	144.01	271.48	68.07	309.83	190.34	119.26	128.79	327.56	92.05	358.54	206.94	58.3
ZNF623	0.0	0.39	84.63	132.44	57.89	175.07	135.24	102.25	75.64	162.14	60.82	198.47	165.57	55.1
ZNF646	0.0	0.21	143.01	154.42	50.98	191.67	176.29	152.28	79.45	186.4	94.67	260.38	191.67	45.85
ZNF70	0.0	0.13	28.45	28.86	21.16	31.9	38.4	37.59	11.3	31.9	9.27	53.95	50.27	10.96
ZSCAN5A	0.0	0.16	305.55	256.78	197.09	194.36	162.14	198.47	66.18	303.44	146.03	267.73	318.57	70.51
ZSWIM5	0.0	0.23	63.0	69.03	19.53	171.45	38.12	69.03	18.16	73.03	44.89	70.01	72.52	33.06
ZXDC	0.0	0.23	447.82	463.65	285.03	575.03	395.18	480.04	251.48	476.71	231.32	551.56	493.56	215.77
