	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.ZYFG.0226.SM.5GIDT	GTEX.U8XE.1426.SM.3DB8Q	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.YEC3.0226.SM.5IFJO	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB	GTEX.XQ8I.1126.SM.4BOO2	GTEX.145LS.1226.SM.5Q5D9	GTEX.PW2O.0526.SM.2I3DX
KIFC2	0.0	1.5	134.3	52.45	201.25	68.07	100.83	316.37	244.57	97.36	309.83	656.11	83.45	224.97
LDB1	0.0	0.62	1127.35	954.43	1457.23	400.71	507.46	909.17	934.76	674.59	1059.11	1023.0	540.19	1313.23
LMTK3	46.84	69.03	126.12	24.99	132.44	55.89	59.13	72.01	97.36	62.12	94.67	187.71	53.95	143.01
MGAT1	0.0	0.83	4836.35	5517.27	6381.92	2875.3	3847.29	7331.05	4671.57	4038.61	6037.61	5872.48	1819.35	5076.84
MIB2	0.0	1.16	327.56	194.36	698.41	167.9	148.09	432.53	503.95	381.68	559.28	780.44	175.07	629.35
MRPS25	0.0	1.01	603.67	221.86	1388.16	830.75	1015.93	1794.29	1457.23	540.19	1628.26	1950.0	633.73	1208.34
MRPS36	1051.79	336.79	1268.46	607.87	1819.35	612.11	902.89	1477.58	1286.18	928.3	1322.37	2061.24	563.18	896.64
MST1	0.0	1.0	202.66	31.67	395.18	37.85	89.51	289.02	181.28	90.14	264.03	336.79	90.14	221.86
NADSYN1	0.0	1.13	480.04	511.0	1111.82	591.22	525.39	1030.12	563.18	688.78	866.07	1467.37	420.68	1286.18
NDUFA2	0.0	0.84	1250.98	884.29	3212.66	1340.84	2148.82	2796.65	2645.74	1529.73	2915.45	3124.78	490.14	1883.54
NEIL1	0.0	1.1	336.79	323.03	759.08	89.51	249.73	575.03	688.78	193.01	316.37	429.54	169.07	679.29
NOXA1	0.0	0.58	49.56	26.1	147.06	17.64	38.4	182.55	127.0	87.03	143.01	111.99	63.89	95.34
PARN	656.11	723.08	890.44	392.44	928.3	389.72	567.1	878.17	836.53	511.0	607.87	928.3	476.71	728.11
PDE4C	18.16	66.65	281.09	43.02	830.75	30.56	114.36	507.46	414.87	120.1	525.39	1030.12	92.05	785.88
PDK2	0.0	0.0	1313.23	305.55	1397.83	249.73	583.07	1498.22	934.76	483.38	775.05	1233.75	483.38	1427.22
PIN4	0.0	0.24	346.29	206.94	466.88	279.14	206.94	486.75	332.14	339.14	454.09	356.05	103.69	420.68
PLOD1	0.0	0.61	1457.23	447.82	1313.23	759.08	1923.14	2935.74	1519.15	1268.46	2018.8	1183.45	1008.9	1674.06
PNKD	2004.85	1216.75	3303.0	2520.38	3540.14	2739.08	3564.78	3515.68	3372.43	1896.65	4181.07	3847.29	2178.83	2664.15
POLD4	0.0	0.91	2739.08	334.46	4972.34	813.63	1991.0	4512.4	3280.18	2255.7	3443.31	3168.41	902.89	3190.46
POLR2A	0.0	0.78	2224.63	1819.35	2240.11	1923.14	1175.27	1617.0	2119.22	1519.15	2075.59	1950.0	848.22	2178.83
POLR3GL	796.86	3146.52	902.89	299.25	1639.59	279.14	571.05	1378.57	1417.35	954.43	947.83	1259.69	323.03	796.86
POMT1	0.0	0.58	536.45	387.02	547.75	189.02	299.25	466.88	473.41	309.83	460.44	490.14	316.37	612.11
PPP1R14A	0.0	0.75	2835.7	279.14	1081.39	140.04	406.31	2895.31	1508.65	579.04	884.29	2148.82	379.04	327.56
PPP1R3E	0.0	0.58	106.63	30.56	258.57	65.72	116.78	275.28	264.03	90.77	249.73	343.89	87.03	202.66
PRICKLE4	0.0	0.73	283.05	107.38	947.83	476.71	182.55	392.44	669.92	154.42	287.01	638.15	151.22	1143.1
PROCA1	0.0	0.42	27.25	14.56	62.56	9.41	27.05	70.51	50.63	30.56	67.12	69.52	28.86	126.12
PYROXD2	0.0	0.57	86.43	69.52	264.03	9.85	61.25	228.13	143.01	99.43	206.94	217.27	87.65	483.38
RAET1G	0.0	0.27	24.99	8.45	43.94	6.21	21.94	35.0	46.5	14.67	29.06	13.42	6.78	47.5
RAP1GAP	0.0	0.0	1594.73	1437.15	1617.0	974.5	1313.23	1963.57	1605.83	1295.13	2148.82	2287.2	1268.46	2303.12
RNASE6	0.0	0.07	579.04	142.01	2555.58	199.85	813.63	1781.89	1561.89	336.79	1378.57	241.19	96.01	872.1
RP11-796G6.2	0.0	0.0	66.18	5.73	125.24	10.55	35.76	85.22	59.97	53.95	68.55	32.36	5.06	28.45
RTN2	0.0	0.39	607.87	49.91	769.69	47.17	242.88	738.29	454.09	269.6	356.05	325.29	140.04	791.35
S100A13	0.0	0.74	4388.98	1991.0	7230.1	1369.04	1870.53	3928.15	4769.75	1923.14	3146.52	4268.94	1081.39	2573.36
SCRN2	0.0	0.6	688.78	175.07	995.0	221.86	500.46	896.64	890.44	551.56	808.0	860.08	480.04	1191.69
SEC31B	0.0	1.28	35.5	69.03	127.89	10.39	9.93	84.63	90.77	43.94	131.51	125.24	25.35	145.02
SFTPC	64186.29	44145.15	7.92550749E7	3.402283342E7	2.706640506E7	2.4225111E7	6183532.28	1.161913937E7	5.761735011E7	9635979.21	3676749.88	1.0826562323E8	7053949.4	6.17527469E7
SLC22A18	0.0	0.47	236.21	81.14	497.0	98.04	291.04	633.73	220.32	269.6	409.15	1015.93	283.05	457.25
SLC27A1	223.41	665.29	361.04	50.63	514.56	90.14	162.14	547.75	361.04	299.25	476.71	435.55	226.54	684.02
SLC2A11	358.54	473.41	135.24	85.22	414.87	50.63	204.07	450.94	400.71	150.17	348.71	406.31	115.16	414.87
SMARCC2	688.78	521.76	1119.56	785.88	1096.5	567.1	503.95	915.51	1015.93	583.07	769.69	808.0	435.55	1008.9
SNRNP70	0.0	1.13	2303.12	2400.97	3768.09	1844.76	1529.73	2555.58	3589.58	2502.97	2720.15	3235.01	1135.2	3515.68
SRRM2	5555.65	20737.16	8305.36	4543.8	9344.14	5711.87	5441.3	16611.71	14163.58	4450.27	11035.54	13123.73	4419.52	18178.19
STARD10	0.0	0.49	9876.98	2895.31	6745.86	3665.02	5366.37	7180.15	8022.41	2400.97	4903.87	13033.07	3212.66	10225.32
SUPT4H1	0.0	0.88	1397.83	1378.57	2816.11	1963.57	2148.82	3124.78	2935.74	1963.57	2148.82	1561.89	733.19	2119.22
THAP4	0.0	0.74	1674.06	759.08	1617.0	1073.91	1331.57	1340.84	1088.92	878.17	1662.49	1721.16	703.28	1111.82
THBS3	0.0	0.93	336.79	224.97	684.02	110.43	457.25	620.67	603.67	348.71	638.15	559.28	323.03	796.86
TMEM220	0.0	0.37	543.96	181.28	514.56	101.54	156.59	764.36	532.74	163.28	251.48	190.34	103.69	297.17
TMEM42	0.0	0.17	454.09	71.5	629.35	123.5	341.51	575.03	493.56	271.48	521.76	679.29	223.41	466.88
TNFSF12	0.0	0.67	4239.45	511.0	2163.77	199.85	1066.48	2976.74	2777.33	1540.37	2178.83	3103.19	624.99	3190.46
TOMM7	0.0	0.77	4239.45	3235.01	7433.4	3874.05	3928.15	9876.98	7803.01	3168.41	6516.03	11267.44	2104.58	6337.83
TPSG1	0.0	0.28	29.91	6.78	53.95	2.29	7.06	13.83	21.16	3.59	6.16	17.25	4.21	4.62
TREM2	0.0	0.0	423.61	256.78	1350.18	336.79	1183.45	2090.03	1477.58	1388.16	2032.85	1457.23	1286.18	3901.01
TSKS	0.0	0.16	14.14	0.62	25.72	1.33	1.07	27.64	18.56	4.13	7.06	29.91	1.36	35.0
TST	0.0	0.0	1923.14	688.78	2319.15	1183.45	1832.01	3768.09	2701.35	1617.0	2417.67	2271.4	954.43	2739.08
TUBGCP6	0.0	1.22	318.57	264.03	738.29	221.86	229.72	674.59	607.87	348.71	748.61	669.92	189.02	748.61
UXT	0.0	1.1	1295.13	1551.09	3794.3	2777.33	2976.74	3901.01	3103.19	2935.74	3564.78	2796.65	836.53	2032.85
VSIG10L	0.0	0.65	30.34	9.41	189.02	9.27	15.68	173.85	44.57	19.82	72.01	85.82	14.67	87.65
VSIG4	0.0	0.06	5751.61	2664.15	19892.37	961.07	4769.75	18178.19	13968.57	3372.43	5954.47	6294.04	1781.89	7130.55
ZNF32	0.0	0.56	769.69	368.65	981.29	334.46	733.19	1151.06	1015.93	759.08	796.86	1015.93	353.59	669.92
ZNF519	0.0	0.29	63.45	25.91	39.22	12.93	30.56	75.11	23.25	22.92	59.13	37.05	17.38	54.72
ZNF76	0.0	0.78	476.71	214.27	669.92	275.28	361.04	656.11	555.41	358.54	603.67	432.53	215.77	954.43
