	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZPCL.1626.SM.57WGC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.EJ.A6RA.01A.11R.A33R.07	GTEX.11ZUS.2126.SM.5N9E6	GTEX.13N1W.2026.SM.5K7YU
PAFAH1B3	224.97	1277.29	432.53	435.55	0.0	0.27	753.83	1304.15	633.73	135.24
PCYT2	175.07	1295.13	507.46	583.07	0.0	0.0	684.02	1561.89	860.08	167.9
PDZK1IP1	3.59	964885.69	72.01	567.1	0.0	0.43	1088.92	1066.48	684.02	0.0
PEX11G	60.39	312.0	122.64	149.12	0.0	0.0	373.81	476.71	346.29	20.11
PHKG2	224.97	638.15	503.95	624.99	0.0	1.0	1030.12	1059.11	723.08	420.68
PHPT1	1806.78	3212.66	1844.76	2720.15	1051.79	878.17	4543.8	7032.37	5255.91	1709.26
PMF1	1008.9	1151.06	1529.73	1561.89	0.0	0.66	1819.35	2104.58	1628.26	915.51
PNKD	2119.22	1151.06	2148.82	3124.78	2004.85	1216.75	3467.27	5954.47	3820.7	1844.76
PPFIA3	75.11	1044.52	191.67	246.28	0.0	0.34	599.49	934.76	450.94	47.17
PRPF31	1081.39	466.88	1030.12	1369.04	0.0	0.82	1508.65	1388.16	1088.92	1008.9
PRR19	7.46	43.02	8.92	22.92	0.0	0.0	28.45	35.25	27.84	2.86
PSMC3IP	171.45	234.57	151.22	171.45	0.0	0.67	202.66	161.02	143.01	55.1
PTPN6	175.07	1529.73	497.0	423.61	0.0	0.19	872.1	947.83	759.08	88.88
PTRHD1	379.04	1467.37	559.28	836.53	0.0	0.27	954.43	2335.28	1143.1	260.38
QPCTL	40.36	126.12	99.43	141.02	0.0	0.65	269.6	358.54	214.27	108.14
RAB11B	2148.82	1457.23	1794.29	2537.92	2148.82	536.45	4010.71	4704.07	2400.97	2075.59
RHOD	154.42	21172.91	301.33	555.41	0.0	0.45	830.75	723.08	947.83	17.9
RNF224	0.91	63.89	0.78	0.0	0.0	0.27	10.31	26.86	9.7	2.25
RP11-697E2.6	1.75	1.45	2.41	4.43	0.0	0.15	6.89	3.53	8.65	3.32
RP11-849H4.2	70.51	87.03	47.84	20.71	0.0	0.2	78.34	36.79	81.71	29.48
RPH3AL	88.26	559.28	125.24	105.15	0.0	0.36	190.34	193.01	234.57	72.52
RPP25L	341.51	1119.56	830.75	974.5	0.0	0.0	1143.1	1857.6	1167.14	249.73
SF3B4	769.69	1417.35	1081.39	1111.82	0.0	0.64	1397.83	1135.2	1199.98	759.08
SFN	31.67	1.712973997E7	336.79	1819.35	2417.67	1963.57	4671.57	4095.0	2075.59	73.54
SFTPD	2.66	567.1	5.59	31.22	0.0	0.0	78.89	117.6	72.01	0.53
SH2D3A	20.71	5292.48	62.12	172.65	0.0	0.44	529.06	718.08	403.5	83.45
SHFM1	4836.35	6983.79	6887.62	3060.45	0.0	0.89	5292.48	8479.89	5633.22	4298.64
SLC12A8	16.63	638.15	23.76	13.42	0.0	0.27	106.63	190.34	84.04	17.64
SLC44A4	4.54	73.54	88.88	2271.4	0.0	0.21	2645.74	7485.11	2287.2	8.85
SNAI3	3.53	19.82	13.12	16.03	0.0	0.22	44.57	22.1	26.1	3.79
SPATC1L	220.32	279.14	105.89	248.0	0.0	0.12	974.5	1721.16	693.58	316.37
SPINT1	15.34	17558.94	177.53	1781.89	0.0	0.07	2224.63	4152.18	2193.99	68.55
SPRN	14.45	32.59	14.56	32.82	0.0	0.39	84.04	100.13	50.63	8.0
SRSF9	1685.71	10225.32	2537.92	2701.35	5076.84	457.25	3146.52	4903.87	2816.11	2163.77
STAP2	45.53	12160.22	208.38	1359.57	1340.84	830.75	1745.2	3039.3	1457.23	63.0
STXBP2	117.6	3901.01	872.1	651.58	3820.7	1104.13	1407.55	4038.61	1498.22	244.57
SYNGR2	988.12	4903.87	3060.45	3168.41	0.0	1.08	6516.03	10585.95	4607.24	2555.58
TBC1D2	100.83	9606.86	204.07	175.07	0.0	0.39	371.22	287.01	314.17	50.27
TEX264	759.08	3303.0	1662.49	1963.57	0.0	0.09	2935.74	3103.19	2720.15	447.82
TFCP2L1	0.46	748.61	18.7	117.6	0.0	0.0	186.4	204.07	139.07	1.53
TM2D2	575.03	629.35	559.28	547.75	0.0	0.69	902.89	1059.11	947.83	248.0
TM9SF1	599.49	961.07	974.5	759.08	0.0	0.53	1088.92	1397.83	1073.91	480.04
TMED9	1819.35	5112.16	2609.3	2956.17	0.0	0.6	5112.16	8191.0	3982.99	1350.18
TMEM102	6.57	353.59	57.08	84.63	0.0	0.0	111.21	100.83	58.3	6.36
TMEM216	152.28	309.83	314.17	223.41	0.0	0.03	511.0	441.64	511.0	75.11
TMEM80	429.54	1936.53	591.22	514.56	0.0	0.42	1208.34	1378.57	954.43	403.5
TMEM99	98.73	567.1	343.89	275.28	0.0	0.09	555.41	1030.12	587.13	30.34
TNFAIP8	187.71	1001.93	251.48	316.37	0.0	0.46	633.73	441.64	346.29	397.93
TOR3A	457.25	356.05	540.19	435.55	0.0	0.74	753.83	624.99	543.96	199.85
TRADD	226.54	890.44	305.55	318.57	0.0	0.74	748.61	1044.52	529.06	102.25
TRAPPC6A	540.19	518.15	842.36	954.43	0.0	0.36	2018.8	2875.3	1819.35	381.68
TSTA3	674.59	4388.98	1378.57	1175.27	0.0	0.82	2468.49	2915.45	1551.09	688.78
VAMP8	669.92	20881.4	2047.0	2451.44	0.0	0.73	3690.52	6079.61	3564.78	497.0
WDR53	100.13	212.78	285.03	133.36	0.0	0.39	198.47	187.71	226.54	60.82
WDR93	1.31	1.35	3.76	5.15	0.0	0.0	13.62	14.03	8.58	3.03
WIBG	435.55	2090.03	1119.56	854.13	825.0	842.36	1216.75	2032.85	1427.22	220.32
YBEY	366.09	376.41	242.88	346.29	0.0	0.27	698.41	1119.56	854.13	163.28
YDJC	75.11	674.59	236.21	204.07	0.0	0.67	567.1	743.43	473.41	63.45
ZC3HC1	171.45	118.43	244.57	275.28	0.0	0.0	348.71	323.03	275.28	58.71
ZNF526	30.34	96.01	61.25	113.56	0.0	0.12	146.03	111.99	131.51	53.95
ZNF837	11.04	25.72	25.54	24.28	0.0	0.07	69.03	109.66	53.57	19.39
