	TCGA.BH.A18U.01A.21R.A12D.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A08F.01A.11R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.WRHU.0326.SM.3MJFY	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.38.4625.01A.01R.1206.07
ANXA8	5.77	23.59	10.88	18.29	30.12	12.27	138.1	114.36	2.71	1.93	0.92	142.01	86.43	161.02	18.03	316.37	34.51	432.53	18.43	483.38	1.773381898E7	9116191.76	277.2
ARRDC3	583.07	285.03	1030.12	866.07	214.27	525.39	1733.13	1023.0	255.0	117.6	325.29	733.19	854.13	2148.82	769.69	3515.68	2591.27	2104.58	2335.28	2451.44	1295.13	1304.15	389.72
ATCAY	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.39	0.0	0.4	0.4	1.62	0.26	3.66	0.0	0.06	0.0
B3GALT2	0.62	0.28	3.59	1.79	2.14	0.0	10.0	3.03	2.94	0.53	0.88	3.06	6.41	9.7	0.62	22.1	8.38	8.25	8.25	6.06	1.03	8.99	0.0
BACH2	9.56	4.9	25.35	16.88	11.73	5.41	50.27	45.53	3.44	0.33	15.22	24.81	76.17	68.07	5.32	163.28	95.34	36.01	81.71	53.57	10.88	18.84	0.0
BIRC3	90.77	44.89	273.37	19.11	273.37	128.79	414.87	262.2	54.33	57.49	112.77	293.07	830.75	738.29	99.43	2520.38	934.76	202.66	212.78	228.13	62.56	246.28	224.97
BRINP1	1.28	3.82	10.16	8.45	0.93	1.23	33.3	54.72	0.6	0.27	0.0	21.47	14.67	145.02	3.2	260.38	107.38	99.43	295.11	92.05	0.0	28.24	0.0
C14orf64	2.23	3.23	15.34	5.63	2.48	0.0	36.01	35.0	0.31	0.0	9.34	29.06	90.14	74.06	24.99	84.63	48.87	60.39	329.84	115.97	71.5	312.0	0.0
C15orf27	10.96	7.11	36.79	11.04	10.39	4.58	19.82	19.68	9.06	2.07	10.63	28.86	34.75	38.12	35.5	27.84	24.99	17.9	38.4	56.68	11.82	24.46	0.0
C15orf52	114.36	80.57	231.32	92.05	28.65	348.71	208.38	124.37	50.63	57.49	226.54	351.14	165.57	295.11	37.85	738.29	187.71	172.65	368.65	438.59	409.15	197.09	163.28
C1RL	426.57	353.59	1159.07	723.08	518.15	1044.52	1183.45	1037.29	633.73	780.44	248.0	902.89	836.53	1015.93	647.07	1233.75	1407.55	1037.29	733.19	595.34	199.85	348.71	0.0
C21orf62	0.0	0.0	2.73	2.48	0.65	0.0	0.73	2.81	0.32	0.0	0.32	0.97	2.14	3.29	0.34	2.29	2.29	3.5	2.89	3.56	2.1	0.0	0.0
C2orf40	12.0	10.47	277.2	12.83	19.97	14.24	457.25	607.87	31.67	4.06	1.68	438.59	175.07	620.67	29.06	583.07	3146.52	2090.03	11745.96	249.73	16.03	14.24	0.0
CACHD1	22.1	14.89	113.56	46.18	46.84	21.47	215.77	165.57	54.72	7.88	31.9	153.34	97.36	267.73	84.04	698.41	493.56	514.56	769.69	620.67	28.04	121.79	0.0
CASP12	0.77	1.35	9.27	0.0	7.4	1.73	15.11	5.59	1.36	2.41	0.0	5.41	8.58	20.41	1.45	8.51	76.71	24.46	24.63	28.04	2.89	14.45	0.0
CCDC50	231.32	153.34	607.87	599.49	387.02	246.28	656.11	785.88	309.83	162.14	346.29	521.76	595.34	785.88	525.39	909.17	902.89	1313.23	1304.15	961.07	195.72	309.83	0.0
CD1C	4.74	45.85	87.65	7.0	8.92	5.11	73.03	55.1	4.7	3.99	27.25	63.45	255.0	403.5	20.71	447.82	307.69	120.1	389.72	470.14	49.21	214.27	0.0
CD1E	5.15	36.79	104.42	8.58	23.76	4.66	53.95	47.5	6.46	4.62	27.25	77.25	175.07	395.18	31.45	409.15	150.17	28.45	82.29	106.63	31.0	361.04	0.0
CD69	60.39	30.34	167.9	15.45	67.59	25.54	540.19	145.02	11.13	4.43	70.51	183.82	400.71	660.68	87.65	1322.37	303.44	80.01	251.48	470.14	23.76	107.38	0.0
CDKL1	40.36	19.82	87.65	52.45	94.01	94.01	205.5	149.12	53.57	31.22	45.21	73.03	119.26	175.07	26.67	132.44	124.37	267.73	165.57	108.9	80.01	73.54	83.45
CFHR1	0.0	2.76	1.73	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	2.27	10.55	21.78	1.33	15.11	195.72	7.11	7.57	16.63	0.0	0.0	0.0
CH25H	37.85	15.45	72.01	12.55	19.82	6.41	195.72	20.41	6.52	3.69	24.81	38.95	90.77	361.04	31.9	299.25	457.25	146.03	82.87	178.77	244.57	291.04	0.0
CIB2	40.36	80.57	89.51	44.57	23.93	22.1	234.57	132.44	18.43	25.91	56.28	120.1	69.52	78.89	40.07	142.01	175.07	139.07	156.59	183.82	438.59	373.81	0.0
CKMT2	21.47	19.82	91.41	17.25	20.86	8.13	76.17	51.35	25.91	10.96	18.56	39.22	43.02	52.45	8.78	68.07	112.77	343.89	89.51	295.11	1.68	117.6	0.0
CLASP1	221.86	100.13	348.71	314.17	299.25	339.14	400.71	389.72	249.73	50.27	212.78	285.03	409.15	412.0	325.29	490.14	358.54	532.74	616.37	507.46	497.0	314.17	454.09
CLCA4	0.0	0.0	7.82	1.19	0.29	0.28	14.56	9.78	0.0	0.0	0.0	9.2	7.82	37.59	0.61	55.1	48.18	44.89	51.71	33.78	998912.34	172949.54	0.0
CLEC4C	2.76	2.25	2.23	0.57	0.0	2.36	3.69	2.63	0.0	0.0	6.26	2.39	12.64	40.36	0.0	36.27	9.7	1.07	26.28	58.71	0.0	0.0	0.0
CLIP4	82.29	16.39	332.14	90.14	28.65	20.86	218.79	409.15	38.95	1.36	59.13	202.66	224.97	351.14	46.5	595.34	409.15	642.59	379.04	366.09	2997.45	1639.59	0.0
CLYBL	185.11	61.68	297.17	248.0	107.38	244.57	171.45	173.85	50.98	301.33	91.41	232.94	346.29	262.2	165.57	211.31	248.0	373.81	497.0	457.25	215.77	127.89	0.0
CRB2	0.87	1.36	2.81	2.58	0.84	2.03	10.79	11.55	0.8	0.46	0.82	13.42	19.97	12.64	0.56	93.35	23.08	19.68	12.93	70.01	0.0	0.0	0.0
CREB5	12.55	14.35	39.5	11.21	21.78	13.32	58.3	54.72	14.14	8.65	37.85	36.53	28.86	66.65	9.85	264.03	154.42	379.04	131.51	928.3	8.58	59.13	0.0
CRLF2	0.0	0.0	0.68	0.0	0.0	0.0	2.56	1.77	0.92	0.0	0.0	0.64	0.71	4.78	0.0	2.68	0.38	2.34	0.0	1.73	0.0	2.27	0.0
CXCL1	5.15	12.09	26.1	24.46	1.07	3.0	21.94	69.52	1.35	4.1	13.83	30.56	27.25	70.51	2.12	629.35	500.46	152.28	157.68	34.02	343.89	156.59	0.0
CXCL6	1.03	0.0	9.56	4.7	0.0	0.35	0.77	1.81	0.0	1.99	0.0	3.89	4.66	8.78	0.0	78.89	17.64	28.04	42.11	13.32	100.83	33.54	0.0
CYP26B1	14.56	14.03	74.58	7.11	8.58	12.09	78.34	34.75	25.17	1.5	46.18	84.63	80.57	37.59	8.85	77.25	43.02	180.02	30.56	273.37	67.59	65.72	0.0
DCT	0.29	0.0	18.56	0.57	0.27	0.0	1.69	10.31	0.27	0.0	0.0	3.92	2.01	32.82	1.85	18.56	6.57	16.03	31.9	14.03	1.3	0.69	0.0
DDI1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.34	0.0	0.75	0.0	0.0	0.0	0.4	0.14	0.39	0.0	0.31	0.0
DRD2	3.0	2.16	30.34	2.23	1.0	1.62	40.07	34.51	44.57	0.31	3.14	9.63	13.52	51.35	5.96	47.84	53.95	83.45	124.37	28.04	0.84	9.56	0.0
DSG1	0.26	2.43	9.7	2.78	4.03	0.25	30.78	21.47	0.24	0.0	0.0	8.85	6.67	52.82	1.16	42.71	18.97	27.84	15.8	29.91	21468.49	18950.18	0.0
EDN3	0.0	0.0	32.59	6.89	0.93	0.92	29.91	88.88	0.0	0.0	0.0	34.75	24.46	178.77	1.27	149.12	183.82	69.52	387.02	99.43	132900.7	573724.06	0.0
ENPP2	114.36	51.35	521.76	120.94	167.9	86.43	884.29	674.59	93.35	164.42	120.1	343.89	802.41	915.51	59.13	1963.57	2573.36	6164.49	1233.75	2319.15	30.34	426.57	0.0
EPHA5	0.0	0.0	1.73	0.31	0.32	0.0	1.1	0.36	0.0	0.0	0.31	0.65	0.36	1.85	0.0	0.75	1.91	1.97	0.65	2.97	2.86	15.45	0.0
EQTN	0.0	0.0	2.58	0.0	1.39	0.0	1.2	3.41	0.0	0.0	0.0	0.0	1.55	2.76	0.0	4.46	2.46	3.32	4.58	3.82	0.0	1.97	0.0
FAM126A	71.5	22.75	152.28	41.81	58.3	57.49	334.46	265.87	30.34	9.56	49.91	73.54	159.9	414.87	54.72	571.05	466.88	748.61	842.36	493.56	38.4	190.34	267.73
FAM13C	19.68	9.2	71.0	14.03	27.64	21.16	106.63	93.35	15.34	4.03	28.45	43.63	54.72	110.43	10.24	256.78	379.04	303.44	454.09	435.55	42.41	44.57	0.0
FAM19A2	35.5	40.36	12.93	30.78	18.16	15.11	28.24	23.08	9.85	16.15	21.63	23.76	36.53	59.13	29.91	53.57	40.36	48.18	40.07	25.17	33.78	70.51	0.0
FAM89A	39.79	29.27	124.37	30.78	21.01	31.0	215.77	111.21	35.25	10.79	23.59	76.17	83.45	130.6	100.13	228.13	363.56	884.29	165.57	463.65	78.34	579.04	698.41
FCER1A	15.45	54.72	323.03	35.25	17.9	11.21	454.09	224.97	19.39	27.05	14.24	75.64	152.28	669.92	27.25	316.37	1313.23	293.07	2061.24	866.07	211.31	1051.79	0.0
FGFBP2	1.93	5.06	50.63	1.83	1.87	0.61	50.98	7.22	2.1	6.01	1.2	26.67	26.1	7.88	3.2	57.08	106.63	73.54	47.17	82.29	0.0	13.93	0.0
FLG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.46	0.0	0.0	0.0	0.48	0.68	0.1	1.91	0.66	0.0
FNDC4	55.1	162.14	148.09	63.89	39.22	59.97	251.48	157.68	78.89	67.12	65.26	142.01	158.79	145.02	41.22	201.25	264.03	392.44	183.82	218.79	96.68	356.05	0.0
FRMPD4	0.0	0.0	0.31	0.0	0.0	0.0	1.39	0.32	0.27	0.0	0.0	0.29	0.32	0.33	0.0	1.08	2.2	2.63	1.33	2.94	0.0	1.03	0.0
FRRS1L	0.0	0.29	3.76	5.63	1.27	1.25	6.21	2.12	0.0	0.0	2.16	1.58	2.48	9.93	0.0	7.94	6.06	3.08	22.26	2.16	0.0	0.0	0.0
FRZB	60.82	77.79	441.64	107.38	353.59	107.38	454.09	381.68	120.1	29.48	49.56	329.84	426.57	483.38	76.71	397.93	780.44	423.61	2367.9	420.68	41.22	46.5	0.0
GATA6	33.3	20.71	178.77	74.06	27.44	18.29	115.97	55.1	91.41	17.9	8.78	33.3	66.18	78.34	17.77	166.73	84.63	102.25	162.14	63.45	0.91	10.08	0.0
GNAL	14.24	14.56	59.13	31.45	27.05	12.55	90.14	90.14	53.57	3.35	35.25	75.11	70.51	146.03	9.93	258.57	198.47	271.48	283.05	214.27	444.72	126.12	12.45
GPR15	0.35	1.25	13.93	3.5	0.0	0.0	23.08	0.73	0.0	0.0	0.0	5.87	34.02	100.13	0.35	50.63	72.01	5.54	7.4	2.2	63.0	73.54	0.0
GPR183	114.36	60.82	215.77	21.16	58.3	55.49	551.56	466.88	19.11	21.01	187.71	228.13	575.03	921.88	87.65	1457.23	514.56	339.14	460.44	205.5	55.1	170.25	0.0
HFM1	0.39	0.37	6.21	0.0	1.36	6.11	4.1	6.41	0.68	0.0	0.38	4.24	2.94	12.45	0.73	8.25	11.73	9.63	13.62	27.64	0.0	0.0	0.0
HLF	14.45	2.18	45.53	10.71	8.51	5.68	232.94	140.04	7.28	10.39	19.39	68.55	123.5	202.66	15.68	199.85	529.06	228.13	674.59	2133.97	27.05	37.85	0.0
HS3ST3B1	22.1	8.99	18.16	4.86	30.56	7.75	127.89	28.04	17.64	8.0	28.86	25.54	96.68	78.34	7.4	139.07	46.5	42.11	55.89	15.91	31.45	181.28	59.13
HS3ST4	0.0	0.27	4.94	1.79	0.0	0.0	4.9	4.43	0.0	0.0	0.0	4.66	3.79	34.26	0.61	68.07	77.79	55.89	53.95	23.42	84.63	358.54	0.0
HTR2A	0.91	0.25	4.62	0.26	0.88	0.57	10.96	16.27	0.25	0.0	0.0	5.54	2.03	18.29	0.27	48.87	23.08	8.51	45.21	4.62	1.03	7.4	0.0
IFNE	0.0	0.0	0.0	1.85	0.3	0.0	2.86	0.0	0.91	0.0	0.0	2.86	0.0	5.82	0.64	15.11	7.51	5.36	11.38	1.17	1639.59	323.03	0.0
IGSF10	5.77	21.63	63.89	27.25	10.71	13.42	106.63	50.98	5.06	0.95	2.92	24.63	58.71	96.68	5.45	320.8	620.67	738.29	1529.73	1378.57	0.91	13.62	0.0
IL7	15.68	3.41	33.54	4.43	18.7	4.82	18.97	37.32	4.98	0.61	17.38	26.86	33.06	105.89	27.25	93.35	106.63	49.91	117.6	64.34	49.91	187.71	0.0
INPP4A	140.04	61.68	283.05	198.47	181.28	125.24	248.0	226.54	146.03	44.57	105.89	165.57	269.6	285.03	129.69	348.71	204.07	258.57	221.86	273.37	19.82	48.87	0.0
ITPRIPL1	3.92	4.82	36.79	6.11	4.13	6.84	46.84	32.13	3.35	1.69	14.56	45.21	36.01	75.64	5.5	183.82	158.79	69.03	100.13	97.36	156.59	24.99	0.0
JPH4	6.57	2.76	10.16	5.92	4.82	1.93	18.97	6.01	6.16	0.59	4.94	11.73	3.59	10.16	2.01	6.57	11.47	16.39	71.0	13.52	0.44	9.27	0.0
KCNA4	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.27	0.0	0.0	0.0	0.31	0.32	0.0	0.31	1.41	9.93	1.46	3.59	0.0	1.93	0.0
KCNH5	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.72	0.74	0.0	0.75	1.14	0.38	0.68	2.36	0.0	0.0	0.0
KCNH8	0.38	0.0	17.25	1.97	1.03	0.0	13.12	4.78	1.3	0.0	0.36	4.66	18.84	21.94	3.08	76.71	40.07	27.25	31.22	32.82	0.71	6.57	0.0
KIAA1644	3.66	13.42	8.45	8.38	14.14	7.88	18.16	43.32	11.82	6.16	4.66	17.0	45.21	84.04	3.99	62.56	9.7	14.35	10.63	9.93	0.0	7.57	0.0
KLRC4	2.43	0.0	8.13	0.0	6.62	0.0	19.39	8.38	0.68	0.0	12.74	3.03	16.88	41.81	2.07	26.28	7.11	11.64	0.67	7.82	7.57	6.94	0.0
KRT5	23.59	223.41	2875.3	291.04	159.9	164.42	5672.41	3372.43	40.93	12.0	3.44	4671.57	2335.28	4972.34	297.17	18819.27	8247.98	9151.82	8363.13	21768.19	4.3607468381E8	8.2510357921E8	0.0
KRT6A	16.75	40.07	29.06	21.32	1.75	3.69	89.51	20.56	3.56	3.53	0.0	5.68	61.25	78.34	5.5	94.67	78.89	143.01	31.67	536.45	2.01760973986E9	2.41604469791E9	0.0
LEPR	72.01	6.67	105.89	77.79	29.7	28.86	205.5	223.41	23.25	22.75	23.08	79.45	122.64	366.09	19.68	303.44	890.44	1233.75	543.96	1208.34	77.79	114.36	0.0
LILRA4	11.13	13.62	19.68	31.9	8.99	10.96	40.64	24.99	34.51	1.3	41.81	36.79	163.28	155.5	16.27	194.36	33.3	10.88	52.08	40.07	0.0	16.03	0.0
LINGO2	0.93	0.27	3.89	1.77	0.91	0.0	2.41	4.39	0.57	0.25	0.0	3.66	2.36	9.06	0.29	6.57	3.63	16.03	6.16	3.11	0.0	0.0	0.0
LPPR4	9.48	3.5	30.34	6.01	8.92	5.5	43.94	32.59	5.63	3.23	12.74	16.27	28.65	45.21	3.5	70.51	52.82	102.25	54.72	78.34	25.35	11.91	0.0
LRRTM4	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.62	0.0	0.0	0.0	0.27	2.97	5.82	0.27	0.69	0.33	4.03	3.99	1.45	4.74	10.0	0.0
MAGEE2	0.31	0.0	3.0	3.35	1.25	0.61	3.2	2.41	0.59	0.0	1.5	1.87	1.73	2.14	0.96	1.48	5.96	6.11	8.85	10.63	0.67	1.75	0.0
MAMDC2	6.36	5.87	46.18	22.43	40.93	12.27	137.14	223.41	35.5	11.47	5.63	47.84	59.97	170.25	8.25	241.19	457.25	1088.92	669.92	536.45	2.73	98.04	0.0
MAP3K8	144.01	106.63	426.57	129.69	148.09	99.43	400.71	361.04	85.22	63.89	103.69	341.51	406.31	713.11	74.06	1008.9	854.13	728.11	285.03	1051.79	532.74	507.46	0.0
MEIS2	42.11	15.0	178.77	52.82	47.5	40.93	193.01	169.07	46.84	15.22	39.79	68.07	124.37	199.85	37.32	273.37	529.06	358.54	830.75	297.17	43.02	85.22	0.0
MID1	25.54	5.06	41.81	13.52	15.45	9.06	111.99	68.55	9.06	2.12	12.45	31.45	102.97	117.6	17.77	339.14	293.07	403.5	197.09	223.41	48.18	105.15	0.0
NUTM1	0.0	0.31	0.35	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.39	0.39	0.39	0.15	0.52	10.96	0.13	0.0
OR2B11	0.0	0.0	0.0	0.29	0.3	1.25	0.0	0.34	0.0	0.0	0.0	0.0	0.0	1.79	0.0	4.13	0.36	0.0	1.22	2.43	0.0	0.0	0.0
OR2L13	0.0	0.0	5.32	1.5	0.59	0.0	2.81	5.5	0.0	0.0	0.0	3.11	4.5	8.25	0.93	5.87	25.35	5.23	19.97	3.86	0.0	1.6	0.0
OSTN	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.34	0.0	0.0	0.0	0.0	0.34	6.89	0.0	12.09	14.56	3.86	2.07	13.83	0.0	1.99	0.0
P2RY14	20.26	6.01	31.45	3.44	15.0	12.09	59.55	22.59	10.0	7.75	31.45	34.75	66.65	112.77	4.9	116.78	121.79	199.85	100.13	339.14	42.11	182.55	0.0
PAMR1	25.17	19.82	104.42	24.46	11.47	18.29	141.02	242.88	20.56	56.28	27.05	36.53	47.84	327.56	17.64	463.65	476.71	1295.13	1378.57	1628.26	1030.12	2319.15	0.0
PAPPA	16.03	3.11	25.91	10.0	12.09	13.52	26.47	16.75	4.06	5.63	8.38	7.75	19.97	49.56	3.69	43.02	26.67	39.79	19.97	20.86	2.73	52.82	0.0
PCSK7	454.09	327.56	1151.06	332.14	529.06	480.04	813.63	620.67	432.53	409.15	417.77	693.58	934.76	934.76	591.22	1498.22	848.22	1427.22	620.67	2875.3	620.67	698.41	295.11
PDGFD	65.26	15.68	432.53	71.5	251.48	111.21	483.38	463.65	110.43	52.82	37.32	167.9	191.67	363.56	58.71	718.08	1037.29	1508.65	2090.03	536.45	476.71	2555.58	0.0
PHF21A	320.8	135.24	629.35	334.46	507.46	371.22	486.75	591.22	379.04	258.57	318.57	500.46	511.0	514.56	438.59	651.58	543.96	532.74	559.28	514.56	248.0	265.87	0.0
PLAC8	23.25	65.26	57.49	15.56	12.74	6.94	84.63	69.52	7.94	4.43	36.27	87.65	420.68	444.72	28.45	616.37	329.84	159.9	234.57	127.0	96.01	124.37	2335.28
PLCL2	39.79	22.43	73.54	40.64	49.91	33.06	214.27	82.29	21.78	9.41	63.0	153.34	185.11	165.57	60.82	265.87	215.77	253.23	232.94	291.04	4.62	33.54	0.0
PLXNA4	5.41	3.2	33.54	12.93	7.75	6.11	102.97	41.52	5.02	6.21	22.43	15.45	23.08	33.06	7.94	37.59	55.89	376.41	101.54	177.53	0.0	1.17	0.0
PRDM11	13.22	24.28	90.14	25.54	50.27	69.03	110.43	95.34	110.43	26.47	33.54	55.89	93.35	112.77	27.25	111.21	75.64	68.55	121.79	93.35	28.45	64.8	0.0
PROS1	105.15	61.25	279.14	104.42	121.79	86.43	599.49	555.41	71.5	24.11	69.52	271.48	255.0	647.07	49.91	909.17	1594.73	1896.65	1183.45	764.36	221.86	460.44	0.0
PROX1	2.94	0.31	22.1	4.31	2.53	3.76	29.06	11.38	3.35	0.29	6.36	5.02	7.34	52.08	2.27	86.43	178.77	87.03	135.24	102.25	5.96	23.42	0.0
PRSS35	0.92	0.55	13.62	2.63	1.81	2.68	13.03	3.32	4.06	0.77	0.27	3.63	5.06	4.5	2.16	11.91	20.56	16.63	23.42	14.14	2.12	14.14	0.0
PTGFR	2.05	0.67	16.63	2.58	4.58	1.66	56.28	27.25	1.3	0.34	2.25	12.83	22.59	65.26	0.39	115.16	159.9	287.01	66.65	246.28	1.62	19.39	17.0
PTH1R	20.26	29.06	65.26	14.35	25.72	24.99	85.22	54.33	21.16	4.66	32.13	48.87	67.59	42.71	11.73	115.16	72.01	183.82	217.27	116.78	0.0	131.51	0.0
RFTN2	17.64	8.85	52.08	19.11	51.35	21.32	124.37	60.82	21.78	10.63	28.24	34.51	60.82	66.18	17.9	75.11	78.34	131.51	167.9	205.5	10.96	27.05	0.0
RGS13	14.78	1.83	9.7	8.58	15.8	2.53	32.13	10.71	5.77	1.41	1.87	28.86	26.67	87.03	0.36	239.52	80.57	73.03	43.63	48.52	11.55	18.43	0.0
ROCK2	187.71	94.01	215.77	229.72	309.83	161.02	358.54	348.71	167.9	81.14	189.02	191.67	332.14	470.14	178.77	470.14	403.5	921.88	379.04	536.45	101.54	154.42	149.12
RP11-122A3.2	25.35	21.63	41.22	24.81	20.26	15.68	75.11	74.58	14.89	4.13	15.56	36.01	44.25	115.16	4.5	96.68	218.79	237.86	214.27	152.28	1.57	13.22	0.0
RPH3A	0.0	0.29	4.94	0.6	0.93	1.23	2.81	0.34	0.59	0.27	0.29	2.18	2.07	5.28	0.32	1.85	1.85	16.51	7.22	8.45	0.0	0.4	0.0
RYR3	0.4	0.38	11.04	2.29	0.72	0.39	11.38	7.17	0.38	2.34	2.27	1.38	6.89	15.0	2.41	16.63	12.83	59.55	64.8	124.37	0.14	2.43	0.0
SAMD5	5.77	0.8	29.91	8.92	8.32	4.98	52.45	61.25	1.68	0.47	3.11	22.75	32.13	161.02	3.63	236.21	435.55	264.03	599.49	187.71	70.01	88.26	6.89
SCN2A	2.46	0.54	8.58	2.01	2.97	1.46	16.88	15.8	3.99	0.75	0.25	3.56	6.31	40.36	3.06	33.78	100.13	45.85	224.97	34.75	0.28	0.0	0.0
SCN2B	0.87	0.23	10.47	1.68	1.13	1.11	18.97	15.0	6.41	0.0	1.66	8.13	15.11	23.59	0.26	36.53	53.95	31.67	131.51	112.77	23.08	3.76	0.0
SGCZ	0.0	0.6	0.0	0.0	0.0	0.0	0.35	1.06	0.0	0.0	0.0	0.31	0.35	2.97	0.0	1.85	1.87	2.29	4.78	2.34	0.0	0.0	0.0
SHD	0.35	0.0	12.27	0.34	0.0	1.28	3.23	0.38	0.0	0.0	1.85	0.0	2.14	19.39	0.35	12.45	2.97	0.0	0.95	0.15	0.0	10.71	0.0
SIGLEC6	28.65	6.01	24.11	15.11	20.11	0.66	29.06	12.09	9.06	0.87	0.65	21.94	41.52	138.1	1.01	64.8	25.72	47.17	26.86	45.53	5.68	6.62	0.0
SLC18A2	107.38	34.26	74.58	73.54	98.04	45.85	153.34	90.14	75.64	31.45	13.72	96.68	98.04	285.03	66.65	106.63	218.79	209.84	156.59	150.17	167.9	3146.52	0.0
SLC27A6	4.98	1.71	19.68	5.59	12.55	2.39	53.57	88.26	18.03	0.25	18.7	32.59	29.27	107.38	2.18	293.07	211.31	209.84	543.96	186.4	1794.29	1313.23	0.0
SLC6A14	6.21	0.27	28.86	18.03	0.91	1.19	60.82	34.26	0.0	0.25	0.27	48.52	13.62	205.5	17.25	201.25	303.44	297.17	236.21	242.88	58655.36	44761.41	32.82
