	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A3GJ.01A.21R.A213.07	GTEX.PVOW.1626.SM.48TC9	GTEX.13FHO.1726.SM.5IFGM	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FZD7	1883.54	1447.15	19.39	21.32	165.57	176.29	131.51	140.04	0.0	0.41
GLT8D2	2591.27	1233.75	31.67	16.39	163.28	211.31	172.65	155.5	0.0	0.28
GPR88	11.3	15.91	0.0	0.35	0.66	5.77	3.29	0.93	0.0	0.08
GPX7	791.35	547.75	13.12	25.54	83.45	162.14	111.99	122.64	0.0	0.31
HECTD2	361.04	262.2	12.18	61.25	74.58	191.67	169.07	142.01	0.0	0.48
HIST3H3	1.19	1.6	2.01	0.0	0.0	13.03	6.89	3.56	0.0	0.0
IGF2	19214.73	1923.14	209.84	29.7	483.38	432.53	307.69	277.2	33.78	69.52
IQGAP1	4010.71	4575.41	3325.99	3124.78	2400.97	4543.8	3212.66	3280.18	2520.38	848.22
KCNU1	29.27	0.0	0.0	0.0	0.82	0.79	1.57	0.37	0.0	0.0
KIAA0430	1417.35	1208.34	371.22	271.48	476.71	890.44	669.92	607.87	0.0	0.6
KIAA1045	19.68	14.24	1.51	1.19	5.45	13.42	8.71	5.82	0.0	0.23
KIAA1109	1757.34	1685.71	132.44	273.37	371.22	791.35	743.43	620.67	0.0	0.77
KLHDC1	201.25	167.9	22.1	14.78	55.49	118.43	92.05	86.43	0.0	0.3
KLHL10	12.45	3.29	0.15	1.89	4.43	11.73	11.73	4.13	0.0	0.01
L1TD1	25.91	1.04	0.95	0.46	0.0	1.95	2.94	0.46	0.0	0.01
L3HYPDH	376.41	620.67	95.34	277.2	351.14	915.51	679.29	237.86	0.0	0.91
LGR6	339.14	303.44	2303.12	1.08	146.03	890.44	368.65	429.54	0.0	0.39
LMO3	15.45	260.38	0.0	1.1	43.94	69.52	66.18	33.78	0.0	0.43
LPAR4	61.25	42.41	2.97	1.13	7.22	12.55	19.82	9.27	0.0	0.0
LURAP1L	212.78	1111.82	339.14	4.43	116.78	244.57	105.15	138.1	0.0	0.61
MAP3K12	463.65	406.31	22.59	53.57	305.55	490.14	371.22	327.56	0.0	0.71
MASP2	52.82	47.5	0.89	2.16	9.34	50.63	32.82	31.0	0.0	0.25
MON2	733.19	764.36	275.28	279.14	616.37	1233.75	974.5	896.64	0.0	0.66
NEK10	872.1	89.51	8.92	2.36	13.22	18.56	20.71	11.13	0.0	0.0
NFE2	12.55	6.36	7.11	7.4	7.4	26.47	12.83	4.39	0.0	0.55
NHLRC3	791.35	836.53	182.55	133.36	157.68	713.11	457.25	397.93	248.0	480.04
NID1	1242.34	1242.34	47.17	27.05	426.57	796.86	813.63	293.07	0.0	0.89
NUDT7	420.68	836.53	130.6	211.31	97.36	343.89	305.55	173.85	0.0	0.06
PABPC5	63.0	49.56	0.0	0.0	4.7	18.97	13.72	14.78	0.0	0.21
PCDHB10	246.28	45.21	0.01	21.47	13.22	24.81	22.1	9.93	0.0	0.3
PCDHB12	59.55	18.43	0.01	1.64	13.93	24.63	13.42	6.94	0.0	0.29
PCDHB4	265.87	65.72	0.0	0.0	22.59	32.82	34.26	14.03	0.0	0.3
PCDHB7	88.26	48.52	0.24	1.58	7.11	16.75	14.45	3.99	0.0	0.34
PDE1A	159.9	186.4	8.32	2.03	86.43	164.42	102.25	83.45	0.0	0.34
PDPK1	780.44	651.58	356.05	293.07	412.0	647.07	511.0	480.04	0.0	0.47
PFN2	4972.34	1216.75	287.01	603.67	620.67	1242.34	802.41	775.05	0.0	1.01
PIPOX	44.57	32.13	5.15	11.82	18.84	45.21	28.04	16.75	0.0	0.17
PIRT	2.14	1.11	0.0	0.0	1.22	1.62	2.34	1.17	0.0	0.0
PJA2	1844.76	1721.16	642.59	406.31	567.1	878.17	866.07	620.67	0.0	0.59
PLEKHF1	84.04	166.73	397.93	234.57	241.19	802.41	612.11	466.88	0.0	0.64
POU5F1B	39.79	27.25	18.7	2.84	3.69	48.87	21.63	22.59	0.0	0.09
PPP1R9A	289.02	228.13	0.0	0.38	16.39	75.11	41.52	15.68	31.0	35.0
PRPH2	21.94	22.59	0.0	0.79	22.1	27.64	21.16	16.15	0.0	0.4
PRRT3	206.94	52.08	202.66	11.73	21.16	92.7	59.97	46.18	0.0	0.25
RGS9BP	1.85	9.34	11.21	0.58	9.34	6.41	9.63	8.32	0.0	0.0
RIMBP2	32.59	24.99	1.97	0.71	17.64	182.55	93.35	120.94	0.0	0.15
RMDN2	325.29	194.36	18.29	49.91	28.86	101.54	69.52	78.34	0.0	0.0
RNPC3	521.76	638.15	77.25	102.25	277.2	796.86	698.41	480.04	0.0	0.79
RP11-287D1.3	5.06	4.46	1.22	0.0	2.03	3.06	3.26	0.56	0.0	0.0
SERINC1	4607.24	6250.56	1844.76	616.37	1044.52	1806.78	1709.26	1322.37	0.0	0.46
SFRP1	22225.61	16269.83	2976.74	9.56	848.22	2075.59	1051.79	718.08	0.0	0.24
SLC25A36	1639.59	1417.35	329.84	329.84	583.07	1407.55	954.43	802.41	0.0	0.6
SORBS3	2645.74	2976.74	356.05	1159.07	1896.65	2468.49	2224.63	1757.34	0.0	0.88
SORCS3	0.0	0.3	0.0	0.0	1.22	4.35	2.18	0.8	0.0	0.05
SPINK6	2.58	1.19	3576208.94	0.0	40.36	145.02	48.52	0.0	0.0	0.0
SPRR2E	2.71	8.65	3.522264608E7	45.85	2351.53	40621.74	3168.41	28328.16	0.0	0.0
ST3GAL5	392.44	536.45	29.7	96.68	205.5	312.0	194.36	125.24	0.0	0.62
SUPT3H	251.48	301.33	78.34	78.34	98.73	157.68	153.34	91.41	0.0	0.39
TARSL2	351.14	325.29	26.86	129.69	89.51	190.34	141.02	123.5	0.0	0.47
TAS2R20	24.28	29.7	3.86	4.43	23.08	39.79	31.9	28.04	0.0	0.56
TAS2R5	38.67	49.21	9.34	4.17	37.32	73.54	57.49	27.44	0.0	0.64
TEKT1	2.05	1.07	10.79	0.0	0.69	16.63	7.0	0.0	0.0	0.0
TM9SF3	1870.53	2417.67	1388.16	785.88	819.3	1950.0	1268.46	1059.11	1191.69	75.11
TMEM178A	258.57	389.72	3.17	8.51	52.82	161.02	69.03	49.91	0.0	0.29
TMEM98	4358.66	2148.82	29.27	51.35	466.88	890.44	796.86	559.28	0.0	0.74
TNFRSF11A	121.79	102.97	191.67	18.43	96.68	212.78	135.24	72.01	0.0	0.21
TNKS	417.77	320.8	94.01	95.34	162.14	275.28	223.41	185.11	55.1	44.57
TRIM45	525.39	115.16	40.07	106.63	40.36	146.03	121.79	105.89	0.0	0.25
TTC18	444.72	152.28	94.67	38.4	48.52	137.14	113.56	59.55	0.0	0.22
VPS13C	780.44	791.35	74.58	356.05	214.27	555.41	343.89	277.2	185.11	124.37
WBP2NL	47.17	50.63	23.76	20.11	13.72	36.53	43.32	12.27	0.0	0.28
WDR96	142.01	94.01	10.63	1.62	2.14	25.91	18.56	11.21	0.0	0.0
XPNPEP2	54.33	96.01	3.63	1.25	31.45	154.42	63.45	53.19	0.0	0.26
ZC3H12B	25.35	24.46	0.64	1.31	10.39	15.56	16.51	11.3	0.0	0.14
ZDHHC17	684.02	620.67	68.55	95.34	145.02	420.68	373.81	269.6	0.0	0.72
ZNF280B	6.11	18.03	0.13	0.69	0.78	5.19	2.51	2.51	0.0	0.15
ZNF506	785.88	599.49	190.34	13.83	127.89	426.57	332.14	260.38	0.0	0.53
ZNF528	1088.92	825.0	135.24	8.25	103.69	718.08	713.11	218.79	0.0	0.77
ZNF529	204.07	204.07	12.09	7.63	87.03	194.36	153.34	109.66	0.0	0.68
ZNF540	149.12	142.01	14.56	4.82	50.98	97.36	84.04	86.43	0.0	0.34
ZNF618	397.93	229.72	9.41	84.63	75.64	87.03	87.65	55.49	0.0	0.33
ZNF704	1059.11	551.56	15.91	3.35	47.17	167.9	111.99	81.14	0.0	0.23
ZRANB2	1313.23	1617.0	432.53	848.22	884.29	1870.53	1583.71	1088.92	0.0	0.85
