	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.2W.A8YY.01A.11R.A37O.07	GTEX.14C38.2626.SM.5RQI4	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.7974.01A.11R.2187.07	GTEX.13O3O.0726.SM.5J1N7	GTEX.YFC4.1126.SM.5RQJN	GTEX.144GO.0226.SM.5LUB1	TCGA.21.1076.01A.01R.0692.07	TCGA.AJ.A3BG.01A.11R.A19W.07
LYST	305.55	540.19	154.42	1936.53	148.09	105.15	123.5	0.0	336.79	802.41	1051.79	915.51	260.38	21.63
MBP	403.5	307.69	329.84	1388.16	123.5	267.73	249.73	0.0	579.04	607.87	563.18	1143.1	299.25	295.11
MIDN	5329.3	2796.65	1304.15	4066.71	231.32	332.14	236.21	909.17	1498.22	4095.0	3303.0	1991.0	825.0	674.59
MMRN1	42.11	1561.89	14.89	293.07	0.79	5.59	13.12	0.0	55.89	423.61	110.43	217.27	72.52	16.63
MTF1	376.41	127.89	87.03	1001.93	23.93	47.84	24.11	69.03	102.97	189.02	237.86	165.57	91.41	52.82
MYH11	22.92	150.17	460.44	10084.54	1.51	73.54	7.88	0.0	656.11	5555.65	7130.55	2047.0	1322.37	46.5
MYOC	1.28	0.0	0.83	71.0	1.08	0.0	0.0	0.0	5.23	75.11	38.67	30.56	1.97	0.0
NDEL1	1781.89	1037.29	688.78	2720.15	426.57	595.34	197.09	0.0	796.86	1572.76	3690.52	1583.71	1051.79	620.67
OGN	0.91	414.87	1.57	688.78	0.0	4.78	0.53	0.0	24.28	336.79	287.01	33.54	27.84	1.03
PHLDA1	18560.17	9215.48	1159.07	5329.3	371.22	72.52	44.25	559.28	1359.57	1561.89	4575.41	1745.2	1175.27	41.52
PI16	81.71	376.41	1.64	379.04	0.0	0.0	0.0	0.0	37.59	400.71	75.64	20.71	4.58	0.0
PLAC8	96.01	124.37	15.34	9673.69	9.63	12.45	3.38	2335.28	656.11	10659.59	3515.68	2664.15	1331.57	35.76
PP2D1	3.0	0.91	1.28	5.68	3.23	0.53	0.43	0.0	2.16	10.55	5.11	14.24	1.83	1.51
PPP1R15B	743.43	435.55	341.51	3419.52	536.45	293.07	450.94	0.0	447.82	1769.57	2119.22	2148.82	571.05	147.06
PPP2R2A	5329.3	2997.45	591.22	6887.62	126.12	361.04	108.14	466.88	995.0	1685.71	2047.0	1806.78	954.43	551.56
PYGL	7081.29	3564.78	305.55	19892.37	1407.55	733.19	1277.29	1950.0	2004.85	1583.71	2032.85	2193.99	1467.37	74.58
RABGEF1	890.44	836.53	343.89	1551.09	260.38	285.03	262.2	0.0	327.56	941.27	1259.69	1059.11	483.38	251.48
RASA2	191.67	141.02	116.78	872.1	40.07	27.64	43.32	0.0	186.4	414.87	323.03	291.04	229.72	27.05
RASSF2	47.84	205.5	76.71	2417.67	5.87	8.51	5.96	134.3	191.67	1015.93	1467.37	1208.34	314.17	14.67
RASSF5	6887.62	2178.83	232.94	3280.18	128.79	10.24	5.87	0.0	414.87	2682.69	2193.99	2351.53	638.15	38.12
RC3H1	139.07	159.9	76.71	521.76	66.65	38.12	42.11	53.19	66.18	214.27	295.11	170.25	127.89	36.79
RHOA	10512.82	7803.01	7749.1	28723.62	8538.88	6516.03	4210.15	12676.65	11992.79	14971.21	16496.96	11424.74	10014.87	6745.86
RHOG	2178.83	1936.53	1111.82	17078.76	743.43	688.78	665.29	0.0	2061.24	8247.98	3124.78	6121.9	1769.57	1051.79
RP11-212D19.4	3.89	4.03	0.0	19.82	0.0	4.35	0.0	0.0	2.36	2.25	4.78	10.71	2.41	0.0
RP11-872D17.8	62.56	68.07	5.54	194.36	14.24	56.68	43.63	0.0	75.64	186.4	44.25	133.36	19.25	2.34
RP11-93B14.6	120.1	25.91	0.37	26.67	0.0	0.87	0.0	0.0	15.0	3.72	1.97	9.85	2.34	0.36
RP2	314.17	199.85	117.6	785.88	60.39	122.64	32.36	218.79	208.38	555.41	432.53	500.46	171.45	62.56
S100A8	2.180373414E8	6.482288873E7	854.13	236256.4	127.89	69.03	14.89	0.0	1950.0	229795.93	98646.85	38164.99	9279.58	154.42
SELE	59.97	16.39	14.56	2895.31	12.18	1.23	0.65	0.0	19.53	583.07	2193.99	67.59	35.25	0.44
SEMA4A	1313.23	1023.0	166.73	2875.3	7.88	4.21	12.0	0.0	420.68	941.27	607.87	540.19	733.19	323.03
SERPINB2	2691538.19	721179.07	2.2	16727.26	0.8	0.0	0.0	0.0	5.28	346.29	660.68	76.71	607.87	1.53
SHOC2	624.99	483.38	423.61	915.51	255.0	299.25	214.27	0.0	463.65	872.1	813.63	571.05	470.14	229.72
SRSF3	3372.43	3716.2	3168.41	14663.09	1605.83	1081.39	1369.04	3146.52	2875.3	3589.58	6983.79	4181.07	3280.18	1896.65
STK17B	132.44	212.78	69.03	2609.3	10.55	4.24	2.46	281.09	373.81	3372.43	1991.0	1111.82	551.56	24.46
STK4	217.27	115.97	187.71	1991.0	177.53	95.34	98.73	173.85	332.14	674.59	1015.93	660.68	444.72	64.34
SYNM	19.68	73.54	146.03	2193.99	10.55	22.75	14.89	0.0	134.3	384.34	684.02	555.41	148.09	22.26
TAOK3	460.44	281.09	236.21	2758.13	384.34	190.34	157.68	356.05	490.14	624.99	1794.29	967.76	444.72	57.89
TET2	258.57	239.52	149.12	476.71	35.76	18.97	13.83	0.0	120.94	267.73	420.68	279.14	183.82	31.22
TLE3	1331.57	738.29	674.59	5403.7	85.22	149.12	9.48	543.96	713.11	1781.89	2075.59	1639.59	1023.0	665.29
TMCC3	571.05	239.52	29.7	679.29	10.08	24.11	23.76	136.19	57.08	239.52	493.56	144.01	231.32	16.75
TNFRSF13B	14.03	58.71	3.99	77.25	0.0	0.0	0.0	0.0	29.27	61.25	18.56	6.52	49.21	0.41
TNFSF9	26986.43	1794.29	50.63	3589.58	1.13	0.0	4.9	190.34	154.42	229.72	1583.71	463.65	52.08	58.3
TNIP1	5479.15	3982.99	2148.82	11745.96	2319.15	1268.46	2287.2	0.0	2796.65	10959.3	5329.3	4836.35	1844.76	1896.65
TNXB	48.87	1143.1	28.04	1183.45	38.12	48.18	42.71	0.0	211.31	1295.13	4010.71	7032.37	156.59	19.68
TPT1	182810.84	234624.45	65082.31	368165.8	71219.26	102125.66	49666.0	77396.54	95949.32	233003.78	279017.26	193234.41	101420.22	94628.34
TRIM25	775.05	285.03	332.14	5006.93	312.0	624.99	312.0	0.0	693.58	1331.57	4358.66	3372.43	567.1	423.61
UBN1	2255.7	656.11	587.13	1896.65	353.59	170.25	318.57	0.0	395.18	450.94	583.07	878.17	332.14	327.56
USP3	423.61	684.02	503.95	2777.33	334.46	291.04	212.78	0.0	656.11	1295.13	1030.12	1216.75	684.02	435.55
USP32	1397.83	579.04	429.54	3212.66	267.73	599.49	656.11	0.0	1051.79	1639.59	1350.18	1540.37	493.56	241.19
USP38	205.5	150.17	93.35	909.17	143.01	178.77	91.41	0.0	239.52	423.61	314.17	444.72	155.5	114.36
USP9X	1259.69	476.71	166.73	3955.48	371.22	620.67	327.56	397.93	684.02	878.17	1304.15	1111.82	591.22	384.34
VPS26A	1388.16	1277.29	1088.92	2400.97	262.2	536.45	420.68	0.0	890.44	1769.57	1769.57	1437.15	981.29	620.67
YOD1	660.68	1044.52	67.12	497.0	50.63	24.63	36.79	0.0	130.6	253.23	134.3	379.04	151.22	23.93
ZBTB11	157.68	150.17	147.06	1081.39	105.15	87.03	64.8	0.0	204.07	314.17	547.75	325.29	214.27	71.5
ZC3H12A	7911.95	4481.23	193.01	4066.71	41.52	53.19	73.03	175.07	353.59	4937.99	4066.71	1617.0	450.94	80.01
ZCCHC14	194.36	201.25	217.27	1096.5	128.79	185.11	141.02	80.57	314.17	244.57	356.05	454.09	223.41	94.01
ZCCHC6	1199.98	896.64	312.0	2004.85	307.69	125.24	532.74	190.34	346.29	819.3	860.08	503.95	599.49	183.82
ZNF143	389.72	429.54	314.17	1023.0	395.18	178.77	178.77	0.0	387.02	497.0	450.94	796.86	343.89	202.66
ZNF267	275.28	217.27	138.1	2520.38	45.21	51.35	31.9	0.0	277.2	543.96	629.35	473.41	314.17	45.21
ZNF277	363.56	486.75	361.04	1594.73	281.09	591.22	420.68	0.0	466.88	476.71	591.22	791.35	460.44	218.79
ZSWIM6	457.25	381.68	35.76	1477.58	18.84	31.0	15.11	0.0	318.57	583.07	397.93	348.71	194.36	57.89
