	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.JY.A6F8.01A.11R.A336.31	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.55.7227.01A.11R.2039.07	TCGA.50.8459.01A.11R.2326.07	TCGA.78.7159.01A.11R.2039.07	TCGA.69.8453.01A.12R.2326.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.7974.01A.11R.2187.07	GTEX.145MH.0626.SM.5NQAK	GTEX.QDVJ.0926.SM.2I5FU	GTEX.13VXT.1426.SM.5LU4B	GTEX.11ZTT.0626.SM.5EQLM	TCGA.60.2697.01A.11R.2125.07
LRRIQ1	327.56	2119.22	0.0	0.0	18.84	102.25	18.29	97.36	0.0	55.49	842.36	199.85	237.86	759.08	56.28
MAP3K19	2400.97	68793.23	1.45	0.0	21.01	47.5	23.93	73.54	0.0	32.13	954.43	136.19	275.28	500.46	24.99
MNS1	281.09	1175.27	44.57	101.54	62.56	115.16	81.14	162.14	70.01	101.54	769.69	132.44	267.73	493.56	103.69
MORN5	647.07	2835.7	0.0	0.0	24.11	228.13	10.79	358.54	0.0	115.97	4512.4	884.29	1313.23	2287.2	124.37
MROH9	248.0	660.68	0.0	0.0	1.57	10.79	0.61	29.27	0.0	8.92	111.99	37.85	76.71	105.15	4.74
MS4A8	182810.84	894051.48	1.35	0.0	34.26	543.96	24.28	620.67	0.0	251.48	13306.94	1819.35	3443.31	7695.57	118.43
MUC5B	5.923719433E7	3.066309426E7	74.58	144.01	848.22	2855.44	1304.15	2591.27	0.0	389.72	11035.54	13492.72	2240.11	23009.42	368.65
NDST3	27.44	15.68	0.0	0.0	0.36	3.69	0.67	0.71	0.0	1.27	5.23	1.35	6.36	6.06	1.1
NEK5	64.34	854.13	7.46	0.0	1.6	47.5	8.65	63.0	0.0	35.5	426.57	57.49	164.42	406.31	31.45
NHLRC4	444.72	2224.63	1.81	2.53	22.26	95.34	21.01	106.63	0.0	34.26	902.89	121.79	193.01	444.72	27.44
NME5	2434.5	21026.65	1.28	1.93	92.05	127.0	48.87	186.4	0.0	71.5	3742.05	579.04	1059.11	1977.24	111.99
NME9	1923.14	3039.3	3.69	2.07	18.29	74.06	28.65	104.42	0.0	57.08	1051.79	172.65	353.59	595.34	40.64
NWD1	3742.05	45386.27	0.92	0.0	3.32	50.63	0.04	68.07	0.0	39.79	1268.46	100.83	165.57	579.04	16.27
OMG	2032.85	7433.4	3.63	1.79	80.01	356.05	7.34	688.78	0.0	412.0	12076.21	1304.15	1991.0	6699.25	239.52
PACRG	583.07	2119.22	12.27	1.01	16.03	111.21	21.63	118.43	0.0	36.01	1963.57	376.41	567.1	1066.48	38.95
PCDHGB7	269.6	483.38	37.05	12.27	97.36	165.57	57.49	149.12	0.0	108.9	423.61	129.69	325.29	198.47	110.43
PIFO	9025.81	126606.21	4.06	0.0	88.88	371.22	119.26	748.61	0.0	312.0	18052.61	2434.5	3742.05	8778.97	232.94
PIH1D3	2075.59	8538.88	0.0	0.0	6.06	42.71	0.49	58.3	0.0	19.25	738.29	117.6	193.01	406.31	22.59
PPP1R32	603.67	878.17	30.56	144.01	102.97	185.11	56.28	305.55	0.0	114.36	1745.2	341.51	595.34	921.88	106.63
PPP1R42	1127.35	1977.24	0.0	2.48	7.4	99.43	15.11	91.41	0.0	30.12	1135.2	183.82	293.07	607.87	36.53
PZP	63.89	85.82	1.0	1.17	12.36	54.72	2.53	35.76	0.0	28.24	825.0	127.89	281.09	397.93	20.56
RGS22	47.17	351.14	0.0	0.0	6.84	70.51	14.03	72.52	0.0	41.81	1208.34	137.14	236.21	723.08	45.53
RIBC1	329.84	2047.0	10.47	9.7	27.44	111.21	52.45	159.9	0.0	104.42	1331.57	231.32	507.46	854.13	49.21
ROPN1L	22850.48	184082.4	4.24	1.69	28.65	226.54	103.69	314.17	0.0	132.44	5183.54	620.67	1685.71	2271.4	133.36
RSPH1	60304.42	573724.06	26.47	1.08	51.35	603.67	163.28	890.44	0.0	269.6	8963.45	1769.57	2645.74	5292.48	255.0
RSPH10B	176.29	802.41	4.98	0.0	5.32	43.94	2.29	51.71	0.0	28.65	507.46	49.56	144.01	204.07	10.88
RSPH10B2	49.56	327.56	2.46	0.0	6.06	61.25	6.46	52.82	0.0	18.16	540.19	78.89	115.16	303.44	19.39
RSPH4A	1111.82	11345.82	0.95	2.71	17.9	124.37	23.76	166.73	0.0	70.51	2004.85	441.64	723.08	1605.83	50.98
RSPH9	56.68	214.27	14.45	12.45	17.51	94.67	61.25	100.83	0.0	41.52	638.15	197.09	212.78	392.44	38.95
RTDR1	267.73	791.35	2.78	1.0	9.34	62.12	6.11	71.5	0.0	20.11	460.44	100.83	198.47	314.17	24.28
SLC22A4	85.82	432.53	4.5	3.29	23.76	127.89	17.0	111.99	0.0	74.06	1268.46	181.28	334.46	420.68	67.12
SNTN	47642.77	365622.68	0.0	0.0	63.89	387.02	12.74	507.46	0.0	197.09	6983.79	1540.37	2816.11	4671.57	151.22
SPAG8	518.15	3235.01	16.15	11.47	33.78	153.34	49.91	198.47	0.0	64.34	2075.59	236.21	368.65	884.29	56.68
SPATA18	2485.67	5112.16	77.25	4.74	34.26	206.94	59.13	289.02	0.0	137.14	3768.09	620.67	1313.23	2104.58	94.01
SPATS1	253.23	13123.73	0.0	0.0	2.56	29.91	0.0	48.52	0.0	18.97	363.56	70.01	92.7	148.09	20.56
SPEF1	1662.49	14361.31	0.84	0.0	13.22	136.19	28.45	178.77	0.0	56.28	1208.34	197.09	358.54	438.59	28.24
STMND1	5183.54	29531.18	0.0	1.39	4.7	86.43	63.0	121.79	0.0	39.79	1605.83	295.11	483.38	961.07	29.91
STOML3	5366.37	75803.72	1.48	0.0	8.99	82.87	1.43	40.07	0.0	44.89	1151.06	307.69	289.02	713.11	40.64
TCTE1	187.71	909.17	0.0	0.61	4.78	53.95	2.18	75.64	0.0	33.06	723.08	110.43	251.48	381.68	10.79
TEKT1	8963.45	44145.15	0.0	3.72	19.82	228.13	27.64	303.44	0.0	115.97	4419.52	961.07	1806.78	2417.67	76.71
TEKT4	2976.74	12076.21	0.27	0.78	4.06	39.22	8.06	79.45	0.0	30.12	529.06	103.69	176.29	214.27	10.24
TEX26	85.22	529.06	0.0	0.0	3.38	19.39	3.56	65.26	0.0	14.56	336.79	18.03	27.44	47.5	6.67
TMEM190	35118.87	165904.25	0.14	0.0	87.65	967.76	32.13	316.37	0.0	307.69	5006.93	2720.15	6337.83	5403.7	301.33
TMEM212	325.29	2816.11	0.0	0.0	8.0	40.64	0.0	74.58	0.0	38.95	713.11	105.15	228.13	518.15	29.48
TMEM232	279.14	1685.71	0.85	3.72	23.76	65.72	12.83	99.43	0.0	39.5	848.22	180.02	237.86	830.75	50.63
TTC16	111.99	603.67	0.0	0.0	7.17	47.5	4.28	63.45	0.0	25.54	463.65	56.68	88.88	194.36	15.91
TTC29	1369.04	18950.18	0.3	0.0	5.36	78.89	4.62	105.15	0.0	36.01	928.3	229.72	320.8	521.76	31.67
TTLL10	1167.14	3982.99	1.0	0.46	10.0	167.9	7.82	101.54	0.0	42.71	967.76	228.13	234.57	409.15	33.06
TTLL9	688.78	3614.55	9.41	2.78	11.3	59.13	11.21	68.07	0.0	13.22	376.41	63.0	128.79	208.38	21.63
VWA3B	1529.73	10883.59	2.56	0.0	21.32	129.69	21.32	161.02	0.0	89.51	1769.57	293.07	480.04	624.99	39.22
WDR16	2555.58	12076.21	1.75	0.0	12.27	176.29	9.06	242.88	0.0	101.54	2240.11	403.5	872.1	1417.35	75.64
WDR38	18560.17	100719.65	0.38	0.0	14.45	260.38	15.8	309.83	0.0	120.1	4181.07	860.08	361.04	1721.16	68.07
WDR78	403.5	4481.23	3.11	9.56	43.02	114.36	33.06	139.07	0.0	68.55	974.5	217.27	400.71	890.44	68.55
WDR96	3103.19	32092.64	5.5	6.26	28.04	166.73	26.86	248.0	0.0	116.78	2319.15	409.15	738.29	1286.18	86.43
ZBBX	14867.79	64632.75	0.0	0.0	19.97	130.6	26.28	193.01	0.0	59.13	1651.0	190.34	356.05	559.28	45.85
ZMYND10	60304.42	757033.75	5.63	14.45	101.54	629.35	201.25	921.88	0.0	334.46	16269.83	2739.08	4512.4	6887.62	221.86
ZNF474	457.25	2335.28	6.62	1.58	13.03	59.97	8.58	45.85	0.0	26.28	551.56	84.63	141.02	211.31	17.51
