	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.JX.A3Q0.01A.11R.A32Y.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.HD.A6HZ.01A.12R.A31N.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.CQ.7067.01A.11R.2232.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7438.01A.21R.2132.07	TCGA.CV.7091.11A.01R.2016.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL
LSMEM2	379.04	0.83	1.87	2.66	11.73	13.42	31.45	3.44	0.58	0.41	3.72	103.69	40.36	10.47	108.9
MAPT	1127.35	2.25	9.93	23.25	71.5	212.78	775.05	76.71	19.25	4.86	92.7	1572.76	1417.35	1963.57	2163.77
MB	517068.97	153.34	1008.9	1963.57	5633.22	19348.38	43236.64	6207.38	3168.41	161.02	7485.11	294926.33	345900.08	517068.97	4817989.11
MYADML2	1268.46	0.0	7.28	23.59	53.19	162.14	435.55	13.22	14.03	0.42	43.94	743.43	400.71	63.0	11035.54
MYBPC1	218912.29	11.82	127.89	599.49	1572.76	4328.55	15715.58	1127.35	713.11	0.0	2240.11	80683.28	290865.98	195931.88	938500.81
MYH2	294926.33	0.49	138.1	1096.5	2591.27	8658.09	43840.21	2664.15	961.07	0.0	2645.74	205673.01	186652.11	119776.72	118949.35
MYH4	16.39	0.0	0.0	0.0	0.0	1.04	2.89	0.0	0.3	0.0	0.0	11.64	2.43	1.6	4.66
MYH7	425853.18	1.25	54.72	476.71	3039.3	3103.19	16611.71	954.43	563.18	0.0	674.59	80125.95	85876.94	57051.4	1890058.21
MYL1	828417.36	0.0	769.69	2816.11	6207.38	17927.91	52497.92	4123.49	2104.58	0.0	7911.95	198667.0	800198.39	269512.87	1255646.43
MYL2	925580.18	0.0	529.06	2835.7	11424.74	17197.56	70727.3	5255.91	2915.45	0.0	6887.62	195931.88	348306.01	1155430.26	7560235.84
MYL3	77934.88	3.76	28.04	159.9	229.72	1066.48	4328.55	193.01	217.27	9.56	299.25	12589.08	6652.97	1857.6	869603.57
MYLK2	8134.41	3.41	18.03	23.76	49.21	190.34	536.45	113.56	55.49	0.33	100.13	2119.22	688.78	616.37	2875.3
MYO18A	11745.96	518.15	872.1	1143.1	1519.15	2351.53	6037.61	981.29	599.49	941.27	1498.22	13968.57	7230.1	8247.98	10014.87
MYOM1	17558.94	7.17	15.45	63.89	211.31	518.15	2303.12	162.14	84.63	3.2	264.03	10512.82	13399.51	1950.0	56657.31
MYOT	44145.15	3.38	77.79	170.25	642.59	1359.57	5112.16	409.15	161.02	3.38	723.08	15824.9	13492.72	4769.75	221968.2
MYOZ1	70727.3	6.57	59.97	287.01	733.19	1870.53	6699.25	426.57	273.37	1.69	1051.79	46662.28	57051.4	33688.23	57448.23
MYOZ2	4575.41	0.0	19.25	144.01	327.56	371.22	1991.0	136.19	79.45	0.0	187.71	2816.11	1769.57	1551.09	45701.96
MYOZ3	3235.01	2.23	6.11	35.25	115.16	366.09	934.76	77.25	24.63	1.6	83.45	3847.29	3349.13	848.22	11035.54
NAT8L	43.94	0.43	3.66	8.71	5.92	11.91	26.67	3.66	4.5	0.54	6.67	87.65	83.45	256.78	141.02
NEB	109455.64	2.34	323.03	830.75	3303.0	6840.04	26614.89	2384.37	1561.89	84.63	5219.6	94628.34	78476.96	77934.88	130165.62
NES	1183.45	63.45	293.07	518.15	733.19	1135.2	5147.73	698.41	314.17	262.2	1127.35	2209.26	2335.28	4328.55	5147.73
NMRK2	4937.99	0.79	47.5	71.5	113.56	409.15	2468.49	110.43	112.77	0.0	114.36	2591.27	1721.16	547.75	21026.65
NRAP	52863.07	0.0	43.63	334.46	1119.56	3395.89	8305.36	791.35	325.29	0.0	1487.87	31215.04	46986.85	14461.21	106462.55
NT5C1A	808.0	0.0	0.0	4.24	2.61	23.08	62.12	0.89	3.66	0.0	3.44	466.88	48.52	98.04	73.03
PDE4DIP	57448.23	629.35	486.75	1277.29	3212.66	5791.62	18431.96	1991.0	1143.1	277.2	2468.49	40341.14	18178.19	9945.68	52497.92
PEBP4	11909.94	3.08	0.0	12.45	46.18	218.79	438.59	43.32	40.64	0.0	86.43	3742.05	1143.1	454.09	7589.61
PFKM	21026.65	438.59	633.73	607.87	1259.69	1487.87	4937.99	842.36	796.86	371.22	842.36	21026.65	5329.3	7280.4	7749.1
PGAM2	48643.87	4.66	31.22	172.65	248.0	1159.07	4210.15	244.57	65.72	4.58	332.14	26800.01	36357.37	7130.55	136637.07
PHKG1	3794.3	10.79	15.34	27.05	121.79	239.52	713.11	59.55	55.49	0.0	114.36	3955.48	3540.14	258.57	6745.86
PKIA	19348.38	105.15	22.26	159.9	279.14	723.08	2178.83	392.44	84.04	74.58	417.77	8901.53	12676.65	8421.31	26431.04
POPDC2	2287.2	53.57	17.64	49.21	83.45	297.17	830.75	78.34	50.98	12.0	46.84	1733.13	343.89	2224.63	447.82
PPP1R1A	14163.58	1.51	16.75	20.71	71.5	381.68	842.36	42.71	27.44	0.0	173.85	9808.75	3018.3	3124.78	11584.24
PTP4A3	11504.21	152.28	447.82	1277.29	1561.89	1359.57	6294.04	915.51	567.1	170.25	1519.15	10585.95	8421.31	1806.78	10585.95
PYGM	120609.84	3.63	13.93	180.02	466.88	1617.0	5555.65	215.77	94.67	1.33	191.67	70238.75	23492.92	15392.14	65990.84
RPL3L	11267.44	2.36	24.28	30.56	153.34	260.38	1037.29	61.68	72.52	5.63	120.1	7695.57	2133.97	1233.75	3443.31
SCN4A	1883.54	0.0	8.0	15.68	26.67	96.68	503.95	28.86	13.83	0.0	78.89	1208.34	1313.23	529.06	813.63
SEMA6C	5711.87	80.01	84.04	120.94	228.13	480.04	2047.0	163.28	199.85	73.03	299.25	3928.15	1896.65	928.3	10959.3
SH3BGR	8305.36	68.07	48.87	161.02	291.04	551.56	1529.73	154.42	120.1	12.0	197.09	7280.4	4152.18	2609.3	3768.09
SHISA4	8658.09	133.36	164.42	444.72	551.56	947.83	3039.3	532.74	791.35	109.66	674.59	6516.03	3982.99	915.51	46339.95
SLC2A4	3901.01	0.87	3.17	15.91	34.51	100.83	426.57	29.06	16.88	1.57	29.91	2400.97	1030.12	438.59	2915.45
SLC36A2	1015.93	0.0	0.96	2.81	6.41	21.01	73.03	3.29	2.89	0.0	12.0	289.02	111.21	55.89	353.59
SLCO5A1	307.69	0.65	3.66	20.26	17.13	46.84	202.66	16.39	6.84	1.28	26.67	379.04	366.09	103.69	346.29
SLN	140478.49	3.5	293.07	1651.0	4152.18	11745.96	25179.16	1923.14	1295.13	18.43	4066.71	69753.56	226632.25	37639.55	365622.68
SMCO1	4152.18	0.38	1.57	0.91	9.34	25.54	65.72	4.5	1.79	0.68	2.92	1225.22	417.77	22.75	3768.09
SMPX	21320.18	1.1	163.28	384.34	1119.56	3018.3	7382.04	764.36	316.37	0.0	1806.78	13492.72	42937.97	18819.27	447025.24
SMTNL1	7695.57	3.53	4.74	13.72	195.72	295.11	866.07	84.63	28.04	0.0	65.26	5672.41	6207.38	309.83	20593.91
SMYD1	7485.11	0.0	18.56	48.87	114.36	256.78	1340.84	80.01	34.26	0.0	159.9	4298.64	3303.0	1340.84	8022.41
SPTB	1991.0	45.53	59.97	64.34	136.19	409.15	2400.97	109.66	167.9	9.48	287.01	3212.66	2796.65	1096.5	1457.23
SRL	8598.28	3.35	18.84	59.13	146.03	368.65	1697.45	96.68	66.65	2.29	242.88	5995.9	5366.37	4671.57	7857.29
SYNM	10659.59	95.34	224.97	155.5	466.88	764.36	2367.9	271.48	318.57	38.4	483.38	8078.22	3716.2	1151.06	4836.35
SYNPO2	20451.65	12.45	101.54	536.45	1008.9	3060.45	6250.56	819.3	244.57	11.3	1159.07	9673.69	6079.61	31870.96	12329.98
SYPL2	5633.22	1.53	14.56	36.01	64.8	164.42	830.75	60.82	46.5	0.56	64.8	2997.45	1088.92	1721.16	2573.36
TCAP	152662.96	7.11	473.41	1628.26	4869.99	13586.57	41475.31	3419.52	1529.73	2.39	5711.87	154794.07	331809.5	31870.96	2141216.62
TMEM182	2047.0	53.95	57.08	80.57	135.24	176.29	595.34	147.06	35.76	26.1	156.59	2209.26	551.56	1037.29	1397.83
TMEM38A	7485.11	18.56	77.79	98.73	220.32	497.0	1313.23	120.94	149.12	12.27	212.78	5872.48	1936.53	2271.4	16157.44
TMOD4	14561.8	13.93	30.12	76.17	253.23	708.18	2451.44	165.57	99.43	3.14	389.72	8363.13	5751.61	3847.29	14461.21
TNNI1	189257.69	3.17	848.22	2047.0	3874.05	9474.59	46662.28	3768.09	2018.8	11.55	7331.05	60723.88	76330.98	127486.83	1290947.48
TNNT1	207103.59	27.25	1167.14	2537.92	13399.51	14867.79	76330.98	4736.79	3491.39	1030.12	8247.98	170568.48	35118.87	74243.68	254974.66
UNC45B	3665.02	0.35	15.45	33.06	66.18	189.02	928.3	84.63	33.78	0.0	161.02	2875.3	1662.49	3395.89	1662.49
XIRP1	22072.07	7.34	53.19	161.02	371.22	860.08	4769.75	178.77	25.72	2.07	267.73	6207.38	4038.61	447.82	7966.99
XIRP2	48307.85	0.0	57.49	447.82	902.89	2451.44	6840.04	633.73	301.33	0.0	718.08	15824.9	47642.77	5441.3	45386.27
ZNF106	12160.22	232.94	271.48	327.56	507.46	866.07	2351.53	426.57	242.88	120.94	400.71	6471.02	3103.19	1159.07	6561.36
