	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.ZE9C.1126.SM.4WWBD	GTEX.RNOR.1226.SM.48FDQ	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.T2IS.0826.SM.4DM6L	TCGA.38.4625.01A.01R.1206.07	GTEX.ZE7O.0826.SM.57WCP
ENTPD8	947.83	2367.9	236.21	8.06	6.78	1.69	379.04	0.0	163.28
EPPIN	264.03	1286.18	0.0	0.28	0.0	0.0	4.31	0.0	121.79
ERN2	217400.14	263966.36	293.07	7.4	5.73	8.99	1331.57	0.0	1757.34
FAM169A	139.07	132.44	26.1	16.88	7.17	10.08	32.82	0.0	58.3
FKBP6	6.62	15.8	5.82	2.12	0.0	0.0	9.34	0.0	11.38
GALNT6	4066.71	4972.34	148.09	105.89	59.13	33.3	244.57	341.51	551.56
GJB1	189257.69	292889.12	156.59	28.86	22.92	5.73	211.31	0.0	248.0
GJC3	26.1	19.82	5.73	7.51	1.38	1.36	14.35	0.0	6.01
GMPR	1561.89	1242.34	77.79	57.08	37.59	42.41	108.9	0.0	88.88
GOLM1	4836.35	6079.61	1457.23	236.21	164.42	267.73	2148.82	0.0	1896.65
GPRASP2	543.96	753.83	55.89	81.71	38.12	43.02	96.68	0.0	212.78
HAPLN4	162.14	258.57	0.0	3.14	1.5	0.61	7.17	0.0	9.06
HELQ	248.0	271.48	128.79	153.34	76.17	137.14	195.72	0.0	346.29
HSH2D	1322.37	2047.0	65.72	37.59	13.12	26.47	95.34	0.0	493.56
IGJ	2573.36	269512.87	70.51	1331.57	579.04	279.14	2119.22	7803.01	6294.04
IGLL5	237.86	5076.84	4.5	236.21	55.49	64.34	525.39	0.0	543.96
IRAK1BP1	99.43	113.56	13.93	37.85	18.7	28.45	92.05	0.0	249.73
KCTD19	7.75	8.13	0.37	1.11	0.0	0.0	4.43	0.0	3.53
KCTD8	49.91	19.39	4.43	8.51	3.5	1.69	14.56	0.0	6.06
KIAA1244	612.11	1304.15	29.91	5.06	7.34	5.54	38.67	0.0	237.86
KIAA1324	378516.38	539026.74	403.5	25.91	26.86	66.65	579.04	0.0	1733.13
KIAA1549	37.05	68.07	6.11	6.94	4.58	4.98	21.94	0.0	38.67
KISS1	0.0	10440.2	3.59	5.63	0.0	0.0	35.5	0.0	7.51
KLK3	37.05	52.82	4.58	6.89	4.54	0.0	43.63	0.0	0.0
LPA	5.59	66.65	1.17	5.77	0.74	0.0	7.69	0.0	8.51
LRRC34	239.52	351.14	10.08	29.27	9.27	10.47	49.21	0.0	567.1
LRTM1	0.0	7.17	0.77	1.07	1.16	0.0	2.97	0.0	1.89
MANSC4	7.17	1.97	0.0	1.66	0.0	0.0	3.76	0.0	1.77
MFSD4	457.25	2777.33	60.82	83.45	37.05	62.12	212.78	0.0	836.53
MLPH	28132.47	20881.4	860.08	323.03	187.71	343.89	2997.45	0.0	4972.34
MMD2	2.51	1.13	0.51	0.0	0.0	0.0	0.85	0.0	0.26
MUC16	363097.14	672883.8	82.29	3.76	0.0	1.25	164.42	314.17	1216.75
MUC5B	5.923719433E7	3.066309426E7	19214.73	23.25	0.0	50.27	47642.77	0.0	45701.96
MYCBPAP	76.71	214.27	9.48	31.9	7.22	14.56	45.53	0.0	197.09
MZB1	3467.27	6983.79	14.56	69.03	26.1	22.59	193.01	967.76	466.88
NAT8L	49.21	244.57	2.12	1.95	1.55	2.07	4.74	0.0	5.45
NEO1	532.74	769.69	185.11	384.34	130.6	186.4	507.46	0.0	438.59
NRIP2	80.01	149.12	32.36	63.45	37.59	48.52	87.03	0.0	76.17
NSUN7	371.22	1199.98	41.81	143.01	74.58	70.51	186.4	0.0	764.36
PACSIN1	38.95	28.45	3.2	1.64	2.68	1.71	11.13	0.0	22.75
PCYT1B	3.89	32.13	0.91	5.02	0.89	1.11	12.18	0.0	195.72
PIGR	5458222.35	1.271475112E7	3690.52	195.72	27.84	14.03	4419.52	454.09	13681.08
PPM1H	414.87	420.68	19.68	26.47	1.79	9.48	42.11	135.24	325.29
PROM1	589853.66	641014.63	144.01	43.94	46.18	21.16	211.31	0.0	5555.65
PRRT3	97.36	329.84	27.44	46.5	40.07	27.25	100.13	0.0	185.11
PTPRN2	241.19	221.86	70.51	42.41	11.55	46.18	153.34	0.0	1628.26
RAB42	144.01	69.52	8.58	16.39	7.75	2.94	42.11	0.0	53.57
RBL1	3.2	6.21	0.0	0.0	0.0	0.0	3.06	0.0	0.0
RGAG1	4.74	4.39	1.19	0.0	0.0	0.0	1.62	0.0	1.17
RNF157	309.83	297.17	27.05	24.81	4.31	5.45	63.45	0.0	82.87
RNF165	547.75	244.57	53.95	149.12	33.3	37.85	183.82	0.0	55.89
SAA1	5366.37	5791.62	234.57	209.84	1.99	35.5	540.19	0.0	529.06
SCGB3A1	2326934.84	6.482288873E7	8247.98	341.51	0.0	6.67	5366.37	0.0	2232145.06
SEL1L3	15285.81	8022.41	224.97	189.02	108.9	134.3	271.48	738.29	1143.1
SKAP1	3768.09	17437.64	25.91	62.56	4.46	12.55	95.34	0.0	813.63
SLC44A4	207103.59	569761.05	361.04	59.13	34.02	11.55	1151.06	0.0	18819.27
SLC47A1	1427.22	3955.48	46.18	60.82	28.65	39.22	111.99	0.0	113.56
SLITRK5	409.15	1059.11	4.78	10.0	4.35	4.31	19.39	0.0	17.13
STXBP5L	22.59	19.39	0.21	0.19	0.21	0.0	0.97	0.0	0.36
TFF3	8805660.77	4.61555234E7	15499.21	187.71	106.63	616.37	25530.66	0.0	397335.0
TMEM210	20.56	11.21	0.0	4.31	0.0	0.0	8.92	0.0	5.5
TMEM252	8.58	36.53	3.23	5.5	5.87	3.17	15.11	0.0	9.93
VSIG2	77396.54	117311.73	2935.74	954.43	525.39	848.22	6121.9	0.0	14765.09
VWDE	429.54	420.68	24.28	25.72	4.35	5.92	38.4	0.0	42.71
WFDC2	1.736886224E7	2.009035788E7	4802.93	500.46	146.03	100.83	3639.7	0.0	68318.04
WFIKKN2	54.72	56.68	1.06	2.25	1.04	0.69	4.13	0.0	8.85
WIF1	78.89	4038.61	65.26	112.77	54.33	34.02	246.28	0.0	493.56
WTIP	332.14	221.86	141.02	88.88	120.1	80.01	201.25	34.51	420.68
ZCCHC14	764.36	733.19	279.14	460.44	244.57	356.05	547.75	80.57	234.57
ZNF324B	134.3	256.78	59.55	75.64	77.25	48.87	115.97	0.0	88.88
ZNF549	59.55	260.38	30.34	78.89	46.84	29.06	88.26	0.0	176.29
ZNF790	139.07	241.19	100.83	71.5	26.86	27.84	125.24	43.94	129.69
ZNF85	429.54	301.33	122.64	159.9	111.21	72.52	253.23	0.0	164.42
