	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.38.4625.01A.01R.1206.07
HLA-DQB2	40.36	1417.35	764.36	172.65	97.36	50.63	56.28	134.3	43.32	511.0	115.97	1331.57	348.71	723.08	0.0
HLA-DRB5	521.76	10368.08	2119.22	463.65	638.15	281.09	187.71	265.87	239.52	7433.4	633.73	5403.7	15075.35	10733.74	0.0
HOXA5	24.63	143.01	171.45	48.18	60.82	38.12	21.78	17.0	50.27	90.77	74.06	167.9	64.34	206.94	64.8
ICAM4	1.14	19.11	11.21	2.2	2.34	0.99	0.0	2.48	3.82	11.38	4.35	8.99	5.54	14.89	0.0
IDO1	15.0	660.68	395.18	72.52	19.97	13.62	10.39	31.9	12.74	193.01	62.12	403.5	476.71	470.14	0.0
IFFO2	115.97	205.5	291.04	107.38	161.02	120.94	69.52	49.91	92.05	173.85	64.8	358.54	231.32	483.38	176.29
IKZF1	23.42	249.73	490.14	108.9	68.55	23.93	11.13	61.68	34.51	157.68	115.16	371.22	206.94	808.0	0.0
IKZF3	0.66	78.34	246.28	29.7	19.82	10.88	0.0	12.74	3.03	30.56	19.68	156.59	35.5	379.04	0.0
IL17RD	25.17	208.38	289.02	101.54	136.19	114.36	48.52	126.12	78.89	144.01	24.81	256.78	201.25	244.57	0.0
IL18BP	50.63	1183.45	656.11	137.14	159.9	218.79	82.87	100.83	106.63	339.14	186.4	417.77	775.05	819.3	0.0
IL2RG	73.03	1359.57	2224.63	265.87	214.27	81.14	50.27	215.77	136.19	698.41	327.56	1487.87	679.29	2915.45	0.0
INSL3	1.58	6.11	29.48	3.41	3.26	0.75	0.0	2.05	3.11	13.22	2.36	9.63	6.36	22.92	0.0
ITPRIPL1	7.69	38.12	133.36	15.68	27.05	5.82	1.69	8.32	26.86	33.3	13.93	75.64	41.81	183.82	0.0
KIR3DL2	0.0	6.89	7.82	0.66	0.0	0.36	0.0	0.97	0.99	3.44	1.87	10.79	5.28	9.78	0.0
KLHL6	6.46	144.01	142.01	50.98	35.5	29.48	5.36	34.02	19.11	74.58	44.25	122.64	72.52	497.0	0.0
KLRB1	21.01	232.94	201.25	27.44	34.26	12.36	8.06	20.56	29.27	41.81	24.46	147.06	84.04	241.19	0.0
KLRC4	0.0	39.79	23.93	2.46	0.41	0.0	0.0	2.76	3.14	1.51	13.72	41.81	17.25	26.28	0.0
KLRC4-KLRK1	1.5	130.6	70.51	36.53	17.25	2.76	4.39	0.0	7.17	19.11	18.7	43.63	34.02	88.88	0.0
KLRD1	10.96	180.02	63.89	22.59	20.86	9.48	5.41	14.03	15.91	51.35	18.43	127.89	229.72	181.28	76.17
KLRK1	9.48	273.37	366.09	40.07	22.59	14.14	3.03	32.13	16.51	117.6	121.79	258.57	144.01	420.68	0.0
KRT39	2.36	5.5	1.45	0.32	1.03	0.34	0.0	0.64	0.0	0.68	1.11	1.07	3.82	3.72	0.0
LAIR2	0.0	42.11	31.0	0.66	5.11	0.0	4.35	2.25	0.0	7.51	3.35	57.08	10.55	51.35	0.0
LAMP3	8.99	209.84	237.86	21.16	29.27	6.36	4.31	28.45	8.92	54.33	22.75	190.34	63.45	466.88	0.0
LCK	26.28	329.84	665.29	73.03	71.5	32.36	6.16	48.52	14.35	217.27	97.36	395.18	109.66	909.17	0.0
LEPR	58.3	166.73	189.02	115.97	76.71	53.19	22.75	71.5	53.19	173.85	102.97	366.09	133.36	303.44	0.0
LRRC38	0.3	0.77	2.68	0.0	0.72	0.0	0.0	0.33	0.34	0.36	0.0	1.5	0.39	1.1	0.0
LRRC4C	13.72	279.14	115.97	13.83	32.13	24.28	7.22	30.12	42.11	82.87	75.11	139.07	293.07	165.57	0.0
LTA	0.38	65.72	73.54	6.73	7.06	0.42	0.64	7.88	0.4	27.25	3.89	62.56	20.71	119.26	0.0
MAOB	579.04	2004.85	1721.16	177.53	356.05	115.97	102.25	780.44	547.75	941.27	397.93	5913.33	1540.37	1674.06	0.0
MME	105.15	381.68	954.43	127.0	201.25	99.43	1.2	59.97	273.37	438.59	312.0	503.95	334.46	1277.29	0.0
MOB3B	17.77	88.26	170.25	46.84	49.56	22.92	6.11	25.72	35.0	88.88	25.91	161.02	99.43	231.32	0.0
NMRK2	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	3.17	2.97	2.46	0.0
OR7A5	0.62	7.28	10.96	6.46	2.51	2.48	0.0	2.68	2.39	5.06	0.0	12.64	7.17	6.16	0.0
PDE1C	16.03	76.17	146.03	21.47	38.12	25.91	2.25	13.52	23.25	33.06	8.65	84.04	57.89	132.44	0.0
PGLYRP4	0.0	1.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.39	3.44	2.2	0.0
PIM1	84.04	353.59	651.58	329.84	348.71	120.94	33.54	157.68	318.57	511.0	336.79	825.0	373.81	890.44	954.43
PRKCB	8.13	121.79	334.46	40.93	33.06	7.0	3.69	20.41	5.73	64.34	25.35	204.07	72.52	473.41	49.91
PRKCQ	1.85	64.34	81.71	17.0	12.18	3.82	0.88	7.06	4.66	24.63	10.71	65.26	56.68	122.64	0.0
PTPRCAP	52.08	624.99	1127.35	59.97	129.69	39.22	26.28	66.65	40.36	555.41	209.84	457.25	241.19	1191.69	0.0
PVRIG	7.46	108.9	206.94	12.27	20.41	4.94	0.0	12.09	3.32	53.95	30.56	78.89	78.34	211.31	0.0
PYHIN1	2.92	104.42	191.67	33.3	13.93	7.57	2.97	19.97	7.28	45.21	31.22	104.42	53.19	269.6	0.0
RAC2	486.75	1127.35	2520.38	373.81	890.44	108.14	239.52	836.53	1001.93	1143.1	457.25	1529.73	1508.65	3467.27	0.0
RASGEF1B	67.59	264.03	283.05	70.51	137.14	42.71	10.24	92.7	88.26	170.25	94.01	460.44	183.82	483.38	153.34
RNF150	12.0	44.25	79.45	25.72	28.86	21.78	0.3	9.63	10.47	33.06	35.25	85.22	44.25	198.47	0.0
RNF175	4.06	67.12	25.91	17.25	7.11	12.0	1.79	7.0	6.84	13.52	7.75	31.22	118.43	46.84	0.0
RP1-170O19.20	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	2.12	0.74	1.46	0.0
RP11-385D13.1	0.0	3.47	1.17	0.73	0.4	1.11	0.33	0.38	0.0	0.4	1.58	1.16	3.59	0.43	0.0
RP11-817J15.3	20.11	162.14	49.56	11.55	36.79	3.47	0.0	0.66	5.32	27.64	0.0	116.78	161.02	173.85	0.0
RP1L1	0.32	1.53	3.72	0.35	1.43	0.72	0.29	0.35	0.35	2.51	1.16	1.48	1.97	4.21	0.0
SAMD3	4.35	99.43	194.36	39.22	13.62	5.68	3.44	28.86	6.11	53.57	39.5	88.88	127.89	229.72	0.0
SCGB2A2	736332.6	1800541.22	180294.02	1318073.06	1238359.56	1788103.97	1751305.3	2279047.19	1422501.74	303217.87	8805660.77	149521.18	1345768.59	5403.7	0.0
SFRP1	688.78	1936.53	5594.3	507.46	1250.98	154.42	8.0	135.24	896.64	688.78	193.01	4671.57	2555.58	5594.3	0.0
SLA2	7.88	78.34	142.01	24.46	16.88	9.06	3.17	12.09	4.43	46.18	24.81	97.36	75.11	158.79	0.0
SLAMF6	6.73	198.47	376.41	37.05	29.7	5.63	2.61	22.75	13.93	68.07	43.32	173.85	51.35	587.13	0.0
SLAMF8	13.72	559.28	497.0	75.64	95.34	28.65	38.4	64.34	105.89	267.73	138.1	507.46	403.5	660.68	0.0
SLC6A16	3.72	35.0	23.59	7.22	11.91	6.84	3.76	1.93	3.03	10.24	10.55	14.35	55.1	43.63	0.0
SLFN11	82.29	1127.35	567.1	281.09	201.25	208.38	18.43	128.79	156.59	356.05	228.13	638.15	441.64	660.68	0.0
SLFN12L	1.28	62.56	85.82	16.39	6.01	7.0	0.34	13.32	2.41	37.05	17.25	65.72	21.01	147.06	0.0
SOWAHD	7.82	40.36	11.3	9.2	16.51	4.86	9.34	8.71	7.63	32.59	26.86	11.47	27.64	40.36	0.0
SOX10	106.63	323.03	1250.98	49.56	309.83	10.63	0.66	17.77	170.25	194.36	0.87	713.11	447.82	1709.26	0.0
ST18	0.32	11.38	3.66	4.28	1.41	1.06	2.51	1.97	5.28	6.62	1.14	8.19	7.63	11.04	0.0
STAT4	21.01	138.1	201.25	28.65	23.93	15.0	3.96	17.38	15.0	55.1	50.63	124.37	64.34	291.04	0.0
SUCNR1	4.5	55.1	37.05	19.97	8.51	2.89	0.74	11.91	24.99	31.45	21.32	39.22	23.08	41.52	0.0
TAF4B	16.75	63.89	103.69	28.04	53.19	18.97	1.27	17.77	36.01	36.79	16.88	98.73	81.71	138.1	0.0
TBX21	1.58	32.36	63.45	7.34	6.31	2.86	1.46	6.26	6.73	28.86	13.52	34.51	25.17	60.82	0.0
TESPA1	11.21	94.67	249.73	33.54	27.44	6.73	3.99	14.35	9.41	65.72	27.05	171.45	44.57	348.71	0.0
TLR8	2.61	64.8	60.39	15.34	16.75	2.68	1.87	12.09	5.11	25.72	11.13	72.01	35.0	53.57	0.0
TMEM200C	3.63	17.38	35.76	11.47	13.12	6.57	0.3	5.87	4.31	39.5	0.79	29.48	22.43	41.22	0.0
TNFAIP8	109.66	723.08	1111.82	206.94	155.5	164.42	40.07	198.47	258.57	373.81	279.14	854.13	559.28	1487.87	0.0
TNFSF14	2.34	55.1	59.97	12.74	13.12	8.58	0.97	9.13	0.79	42.71	20.56	59.13	39.5	118.43	0.0
TSLP	7.94	19.11	23.08	3.47	3.99	2.34	0.0	2.2	2.86	10.24	7.88	32.59	10.24	51.35	0.0
TXNRD3NB	0.0	2.25	2.2	1.31	0.69	0.0	0.0	0.0	0.0	0.71	0.75	3.63	1.55	1.51	0.0
UBASH3A	2.12	52.08	132.44	17.9	10.88	3.11	0.3	8.65	1.68	33.78	13.22	76.17	23.25	172.65	0.0
USP44	1.3	15.0	17.64	7.06	5.68	1.48	0.0	3.69	3.44	8.92	5.02	19.53	9.06	28.65	0.0
XCL1	1.19	68.07	30.78	4.5	6.41	1.71	2.18	3.5	3.89	15.45	22.59	57.08	31.45	42.11	0.0
ZNF195	387.02	660.68	490.14	438.59	476.71	429.54	190.34	470.14	368.65	339.14	293.07	432.53	629.35	583.07	0.0
