	TCGA.LD.A9QF.01A.32R.A41B.07	GTEX.T6MO.1426.SM.4DM73	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AA.3697.11A.01R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.H2.A3RI.11A.11R.A220.07	GTEX.13IVO.0926.SM.5KLZP	GTEX.13PDP.1026.SM.5L3FA	GTEX.13NZ8.0226.SM.5J2OK
CYP1A2	0.0	0.0	0.0	0.0	0.0	0.0	20.86	41.81	17.51	39.79	58.3
CYP27B1	98.04	21.78	16.03	45.21	0.0	0.24	109.66	143.01	166.73	195.72	58.71
DDX31	163.28	226.54	182.55	115.16	0.0	0.27	361.04	497.0	470.14	473.41	540.19
DEFB131	6.67	0.0	0.0	0.0	0.0	0.0	107.38	36.01	532.74	389.72	299.25
DIO1	9.7	3.96	0.0	3.23	0.0	0.05	3146.52	2758.13	7130.55	6983.79	48.18
DIO2	215.77	2319.15	10.0	13.12	0.0	0.24	1991.0	2609.3	5831.91	2335.28	2895.31
DMRT3	28.86	0.0	3.69	1.14	0.0	0.14	154.42	305.55	830.75	248.0	591.22
DNAJB4	301.33	281.09	72.01	299.25	0.0	0.21	688.78	543.96	3325.99	4010.71	2451.44
DNAJC28	28.04	42.71	2.84	26.47	0.0	0.0	49.21	88.88	171.45	86.43	122.64
DNASE1L2	38.95	18.29	49.56	13.12	0.0	0.39	70.01	63.0	728.11	441.64	559.28
DOCK9	981.29	595.34	363.56	679.29	0.0	0.55	1216.75	1519.15	3039.3	2796.65	3212.66
EDN3	7.0	16045.82	102.97	195.72	0.0	0.0	68.07	395.18	1628.26	480.04	4066.71
ELMO1	476.71	723.08	32.82	307.69	0.0	0.59	1151.06	2104.58	3303.0	1397.83	1870.53
ESYT3	11.21	19.53	4.62	9.41	0.0	0.33	176.29	287.01	718.08	591.22	563.18
FBF1	129.69	236.21	99.43	63.0	0.0	0.6	543.96	679.29	1183.45	518.15	1340.84
FBXO34	341.51	395.18	285.03	470.14	0.0	0.49	571.05	813.63	967.76	785.88	1127.35
FBXO7	1819.35	2178.83	1561.89	1583.71	0.0	0.89	3742.05	4639.29	4450.27	4388.98	5954.47
FCN2	4.7	16.63	0.0	0.73	0.0	0.04	1.5	6.11	18.7	35.25	13.62
FHDC1	60.82	73.54	22.1	48.87	0.0	0.0	409.15	275.28	438.59	297.17	493.56
FRAS1	33.3	215.77	5.06	13.42	0.0	0.27	260.38	438.59	441.64	511.0	341.51
FRMPD3	6.06	0.08	0.56	2.76	0.0	0.15	107.38	147.06	283.05	127.89	100.13
GABRG1	0.39	1.6	0.0	0.26	0.0	0.0	0.78	1.36	6.94	25.35	13.62
GAGE10	2.05	2.66	0.0	0.0	0.0	0.03	0.0	2.03	8.06	14.14	6.41
GLIPR1L2	5.23	48.52	6.26	8.32	0.0	0.0	10.63	57.08	150.17	99.43	105.89
GPR142	1.6	2.41	0.0	0.55	0.0	0.0	4.31	8.25	23.42	14.24	24.11
HIBCH	264.03	981.29	409.15	392.44	0.0	0.37	551.56	902.89	1529.73	2502.97	1662.49
HIRA	358.54	212.78	332.14	460.44	0.0	0.62	1119.56	1721.16	2935.74	1437.15	1857.6
HIST1H1T	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.11	14.78	19.97	21.78
HIST1H2AC	1044.52	629.35	476.71	896.64	0.0	0.41	1208.34	1594.73	4736.79	5366.37	6887.62
HIST1H2AK	13.22	6.26	10.24	8.71	0.0	0.46	11.64	73.03	156.59	122.64	226.54
HIST1H3E	59.55	28.04	15.34	17.25	0.0	0.03	36.27	61.25	262.2	221.86	275.28
HIST1H4E	10.79	18.43	8.71	5.77	0.0	0.67	4.43	14.56	251.48	253.23	295.11
HIST1H4H	178.77	51.35	30.12	63.89	0.0	0.64	185.11	193.01	2573.36	1745.2	5006.93
HSPA4L	39.79	30.56	19.25	50.27	0.0	0.2	22.92	38.67	540.19	1044.52	460.44
IYD	9.2	0.0	10.39	17.0	0.0	0.01	4972.34	8363.13	15392.14	5147.73	15715.58
KATNAL2	31.9	312.0	16.63	24.99	0.0	0.35	285.03	476.71	529.06	1457.23	1417.35
KCNK13	37.32	18.03	0.74	12.36	0.0	0.0	67.59	92.7	152.28	106.63	214.27
KCTD8	0.74	49.91	0.0	3.41	0.0	0.01	38.67	72.52	275.28	162.14	130.6
KIF27	51.35	77.79	24.99	27.44	0.0	0.39	105.15	147.06	299.25	463.65	325.29
KLF15	12.45	444.72	2.71	85.82	0.0	0.27	128.79	150.17	420.68	497.0	842.36
LCN8	1.19	12.64	0.0	0.0	0.0	0.0	26.67	27.44	138.1	111.99	177.53
LHFPL1	6.36	13.03	0.0	1.16	0.0	0.08	8.32	22.59	30.78	40.36	84.63
MARC1	86.43	295.11	267.73	395.18	0.0	0.33	842.36	1721.16	2119.22	1832.01	1477.58
MDS2	4.9	2.05	4.98	1.83	0.0	0.0	28.24	12.27	44.89	53.19	30.78
MINA	429.54	281.09	348.71	376.41	0.0	0.47	909.17	1628.26	2875.3	2739.08	1259.69
MLNR	2.2	3.86	0.0	1.69	0.0	0.0	11.13	4.62	27.44	11.38	14.67
MSANTD3-TMEFF1	0.0	253.23	0.0	34.75	0.0	0.0	0.0	0.0	579.04	277.2	518.15
MTHFD2L	151.22	358.54	279.14	202.66	0.0	0.4	301.33	346.29	616.37	684.02	536.45
NEBL	182.55	414.87	66.65	59.13	0.0	0.52	974.5	1457.23	2319.15	2664.15	1662.49
NEK4	197.09	146.03	113.56	181.28	0.0	0.12	258.57	329.84	551.56	529.06	642.59
NKX2-8	5.15	0.0	0.0	0.0	0.0	0.0	50.98	34.26	175.07	105.89	75.11
NUPR1	9808.75	6471.02	376.41	4239.45	0.0	0.99	18819.27	12244.81	121448.75	42346.82	57847.82
PAN2	376.41	769.69	540.19	563.18	0.0	1.06	1721.16	2255.7	5555.65	3794.3	4038.61
PARD6G	139.07	114.36	23.08	63.0	0.0	0.56	376.41	470.14	733.19	543.96	669.92
PARP11	110.43	132.44	47.84	60.82	0.0	0.39	130.6	164.42	236.21	224.97	258.57
PAX8	40.36	223512.12	127.89	21.32	0.0	0.21	20737.16	40062.48	55877.28	32540.65	27174.14
PCED1A	698.41	1225.22	656.11	295.11	0.0	1.0	1651.0	1417.35	2119.22	1870.53	2104.58
PRKCQ	60.82	106.63	12.45	28.45	0.0	0.18	309.83	397.93	555.41	457.25	819.3
PRSS16	208.38	896.64	186.4	166.73	0.0	0.0	536.45	909.17	1628.26	954.43	1340.84
QRICH2	140.04	78.89	7.63	18.03	0.0	0.38	159.9	190.34	656.11	265.87	674.59
RAB41	4.86	10.08	0.0	5.59	0.0	0.0	6.57	4.78	26.67	21.16	16.15
RANBP3L	1.1	16.15	0.0	6.16	0.0	0.04	47.84	69.52	37.59	103.69	78.89
RP11-195B21.3	2.46	3.5	0.0	0.55	0.0	0.0	3.23	9.56	14.56	11.47	20.41
RP11-438J1.1	3.76	10.79	3.41	0.0	0.0	0.13	7.57	11.91	56.28	16.27	85.82
RP11-542C16.2	2.86	3.82	0.0	0.0	0.0	0.15	6.73	5.82	22.75	34.02	24.99
RP11-552F3.12	7.63	14.35	11.64	6.01	0.0	0.27	11.91	27.84	88.26	30.12	80.57
RPS6KA6	10.24	52.82	5.02	40.64	0.0	0.17	76.71	133.36	195.72	166.73	152.28
RSPH6A	1.53	0.0	0.0	0.0	0.0	0.0	75.64	91.41	214.27	73.54	170.25
SBK3	4.24	0.61	0.0	4.7	0.0	0.17	5.45	13.32	22.43	53.57	30.78
SCNN1G	16.51	8022.41	0.0	19.39	0.0	0.2	137.14	303.44	514.56	312.0	1096.5
SENP8	37.85	58.3	40.64	52.08	0.0	0.0	67.59	121.79	163.28	169.07	253.23
SETD2	346.29	387.02	218.79	283.05	0.0	0.64	511.0	591.22	1051.79	1023.0	1030.12
SHBG	5.73	31.0	4.54	3.96	0.0	0.01	26.47	19.39	58.71	47.17	23.93
SLC2A10	400.71	1870.53	12.36	180.02	0.0	0.54	346.29	497.0	688.78	511.0	555.41
SLC41A1	323.03	264.03	13.93	193.01	0.0	0.51	836.53	995.0	1350.18	1104.13	1175.27
SLC5A3	71.0	57.49	23.76	59.55	0.0	0.14	275.28	417.77	1963.57	1733.13	1508.65
SMAD9	32.82	414.87	7.11	153.34	0.0	0.29	486.75	698.41	2224.63	1159.07	988.12
SNX1	1697.45	1498.22	1073.91	1594.73	0.0	0.92	2915.45	3742.05	4066.71	4152.18	4328.55
SNX22	79.45	24.81	17.64	33.54	20.86	376.41	854.13	836.53	1183.45	2255.7	2895.31
SPACA5	0.0	0.0	0.0	0.0	0.0	0.0	7.46	7.51	11.38	14.35	21.63
SYT9	4.74	5.87	0.0	1.48	0.0	0.0	10.24	37.32	94.01	69.03	69.52
TCERG1L	15.11	15.68	0.0	1.0	0.0	0.0	218.79	351.14	620.67	1088.92	279.14
THRAP3	1008.9	1015.93	733.19	995.0	866.07	1923.14	1369.04	1457.23	3081.75	2627.46	2591.27
TMCO4	332.14	713.11	371.22	376.41	0.0	0.42	665.29	651.58	1427.22	1883.54	1781.89
TMEM243	830.75	1883.54	872.1	497.0	0.0	0.57	2047.0	2303.12	4704.07	5872.48	4210.15
TPO	66.18	3.29	0.0	356.05	0.0	0.62	36357.37	53973.86	197294.7	25354.3	191899.64
TPST2	703.28	1378.57	291.04	295.11	0.0	0.71	1242.34	1313.23	1950.0	2178.83	3103.19
TRAK2	249.73	208.38	119.26	320.8	0.0	0.31	414.87	583.07	1268.46	1467.37	2032.85
TRIM61	8.25	15.22	1.93	11.64	0.0	0.0	22.59	47.84	154.42	166.73	149.12
TXNL1	1208.34	1529.73	1628.26	1519.15	0.0	0.64	3124.78	5255.91	4769.75	4181.07	3928.15
UBQLNL	11.64	6.89	1.23	4.35	0.0	0.27	21.32	19.25	38.67	33.54	35.25
USP54	201.25	1059.11	246.28	363.56	0.0	0.32	1709.26	2178.83	2133.97	1745.2	2133.97
UTRN	316.37	493.56	12.45	267.73	0.0	0.44	785.88	854.13	1378.57	1159.07	1477.58
YIPF1	1639.59	669.92	403.5	775.05	0.0	0.56	947.83	1127.35	2609.3	2758.13	2047.0
ZBED2	59.97	21.47	15.8	4.28	0.0	0.0	2351.53	2384.37	7433.4	8658.09	9945.68
ZBTB2	183.82	267.73	119.26	176.29	205.5	120.94	438.59	518.15	934.76	775.05	698.41
ZFYVE9	109.66	209.84	62.56	118.43	0.0	0.27	211.31	339.14	607.87	660.68	743.43
ZGLP1	120.94	351.14	29.7	45.21	0.0	0.34	229.72	199.85	547.75	529.06	791.35
ZNF319	120.94	159.9	45.85	63.45	0.0	0.19	155.5	264.03	366.09	237.86	323.03
ZNF680	126.12	320.8	52.08	71.5	0.0	0.41	389.72	563.18	432.53	447.82	529.06
