	GTEX.12WSK.2226.SM.5GCO5	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.13CF3.1426.SM.5K7YY	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XYKS.0526.SM.4BRW2	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.14B4R.1426.SM.5Q5CG	GTEX.1445S.2926.SM.5O993
FAM3A	603.67	1447.15	1674.06	633.73	848.22	339.14	607.87	518.15	0.0	1561.89	0.77	1870.53	1183.45	1806.78	1250.98	896.64	1167.14
FBXL8	52.45	483.38	444.72	115.16	217.27	20.26	42.41	29.7	0.0	275.28	0.88	435.55	176.29	204.07	236.21	166.73	125.24
FLII	2451.44	6792.79	5672.41	4152.18	3614.55	2209.26	3190.46	1651.0	0.0	4937.99	1.39	8538.88	5517.27	6516.03	5147.73	4095.0	3589.58
FXR2	547.75	679.29	813.63	521.76	688.78	438.59	555.41	303.44	0.0	718.08	0.74	1059.11	647.07	1073.91	567.1	567.1	669.92
GIPR	0.95	500.46	713.11	7.06	118.43	31.0	5.59	3.2	0.0	8.58	0.56	231.32	37.05	33.06	20.56	17.51	39.22
GLI4	103.69	579.04	647.07	141.02	239.52	57.89	111.21	59.13	0.0	518.15	0.82	525.39	206.94	244.57	229.72	226.54	81.71
IMPDH1	447.82	1295.13	947.83	638.15	518.15	323.03	303.44	63.0	0.0	1151.06	0.92	2255.7	753.83	1572.76	708.18	825.0	567.1
LAGE3	144.01	759.08	791.35	148.09	521.76	218.79	217.27	132.44	0.0	698.41	0.28	1008.9	525.39	775.05	629.35	595.34	332.14
LRCH4	236.21	1183.45	1709.26	521.76	743.43	476.71	320.8	189.02	0.0	1191.69	1.22	2090.03	1059.11	1359.57	813.63	842.36	866.07
METRN	175.07	1008.9	1605.83	244.57	1594.73	153.34	202.66	114.36	0.0	1950.0	0.67	2855.44	500.46	854.13	1199.98	616.37	595.34
NDUFB7	2997.45	5594.3	6983.79	4671.57	6983.79	1583.71	3280.18	2573.36	0.0	9409.14	0.87	11504.21	6561.36	8538.88	6561.36	6207.38	5041.77
NEIL1	76.17	4704.07	5076.84	201.25	529.06	90.77	89.51	121.79	0.0	341.51	1.1	780.44	325.29	417.77	366.09	279.14	166.73
NPEPL1	353.59	1111.82	974.5	536.45	612.11	217.27	346.29	65.72	0.0	759.08	0.84	941.27	607.87	909.17	607.87	656.11	603.67
NUBP2	656.11	1277.29	1487.87	764.36	1119.56	368.65	500.46	616.37	0.0	1832.01	0.78	2816.11	1605.83	1529.73	981.29	1066.48	884.29
NUDT16L1	218.79	769.69	1096.5	305.55	780.44	371.22	454.09	314.17	0.0	1407.55	0.18	785.88	759.08	934.76	647.07	748.61	457.25
PET100	616.37	2090.03	1477.58	1143.1	1991.0	830.75	1159.07	1066.48	0.0	1498.22	0.61	1963.57	1127.35	2148.82	2335.28	1427.22	884.29
PIH1D1	1216.75	3665.02	3639.7	1191.69	2061.24	909.17	1268.46	890.44	0.0	1950.0	0.72	2163.77	1870.53	2468.49	2004.85	1733.13	1769.57
PPIL2	447.82	1037.29	1104.13	412.0	616.37	368.65	466.88	348.71	0.0	633.73	0.77	825.0	629.35	1119.56	723.08	796.86	591.22
RABEP2	115.16	575.03	629.35	267.73	525.39	175.07	208.38	48.18	0.0	368.65	0.62	460.44	507.46	674.59	521.76	514.56	409.15
RHBDD3	199.85	435.55	567.1	277.2	532.74	152.28	206.94	271.48	0.0	483.38	0.64	1096.5	361.04	808.0	299.25	348.71	343.89
RPS19BP1	1498.22	2875.3	2351.53	1857.6	2434.5	656.11	1295.13	866.07	0.0	3146.52	0.87	6294.04	2061.24	2255.7	2061.24	2075.59	1572.76
SARS2	143.01	791.35	902.89	212.78	460.44	249.73	293.07	206.94	0.0	575.03	0.64	651.58	457.25	802.41	532.74	460.44	412.0
SETD6	199.85	536.45	536.45	195.72	329.84	169.07	218.79	206.94	0.0	403.5	0.75	361.04	435.55	633.73	368.65	363.56	265.87
SGSM2	575.03	2090.03	1529.73	547.75	854.13	237.86	297.17	81.71	0.0	947.83	1.04	1242.34	915.51	1259.69	802.41	651.58	713.11
SH3GLB2	1051.79	4419.52	3614.55	1008.9	1794.29	954.43	684.02	162.14	0.0	1350.18	0.96	3060.45	2468.49	3491.39	2319.15	2591.27	1199.98
SKIV2L	295.11	1044.52	1277.29	595.34	796.86	543.96	483.38	579.04	0.0	878.17	0.96	1572.76	743.43	848.22	1216.75	764.36	674.59
SLPI	2627.46	2986448.72	2053992.24	1551.09	1524599.69	52135.28	15392.14	2178.83	12853.63	938500.81	718.08	62431.08	331809.5	350728.68	1355129.16	345900.08	191899.64
TARBP1	208.38	660.68	909.17	159.9	432.53	239.52	234.57	157.68	0.0	616.37	0.43	733.19	341.51	679.29	483.38	476.71	249.73
TCEB2	4512.4	11424.74	10296.45	6699.25	11827.67	2537.92	4836.35	4639.29	0.0	16843.62	1.01	15075.35	8421.31	14561.8	16383.0	9808.75	6207.38
TRAPPC5	1250.98	4095.0	2609.3	1081.39	2303.12	532.74	1250.98	981.29	0.0	2573.36	0.49	3235.01	1417.35	3018.3	1721.16	1628.26	1540.37
TRMT2A	189.02	1350.18	1498.22	454.09	633.73	223.41	267.73	323.03	0.0	759.08	0.87	1832.01	759.08	1191.69	860.08	947.83	514.56
TTC7A	228.13	555.41	397.93	248.0	400.71	158.79	289.02	166.73	0.0	258.57	0.64	819.3	444.72	674.59	381.68	376.41	353.59
TUFM	2451.44	4239.45	5995.9	3235.01	4239.45	1963.57	3491.39	2739.08	0.0	8479.89	0.67	6164.49	4239.45	7032.37	4419.52	4239.45	2935.74
VPS52	633.73	1242.34	1407.55	728.11	842.36	665.29	813.63	595.34	0.0	1447.15	0.55	1233.75	1073.91	1388.16	1233.75	1322.37	878.17
