	TCGA.C8.A27B.01A.11R.A169.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.X4LF.0626.SM.4QASB	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4586.01A.01R.1443.07
MROH8	8.65	13.52	39.5	71.5	86.43	77.79	0.0	0.17	13.93
MT1X	2163.77	19892.37	22225.61	34876.28	93325.55	15392.14	2148.82	4802.93	5751.61
MYH3	16.15	14.03	17.64	915.51	547.75	1037.29	0.0	0.66	4.58
NDUFS7	543.96	2367.9	3665.02	7642.41	7280.4	4481.23	2468.49	703.28	1104.13
NDUFV2	2976.74	4802.93	4095.0	8247.98	8247.98	4903.87	0.0	0.92	3540.14
PDHA1	1794.29	1950.0	3190.46	10440.2	11267.44	4328.55	0.0	1.25	1259.69
PET112	103.69	728.11	669.92	629.35	819.3	511.0	0.0	0.0	186.4
PHKA1	101.54	46.84	134.3	559.28	363.56	289.02	0.0	0.39	117.6
PITHD1	1096.5	4038.61	1628.26	1216.75	3540.14	2047.0	848.22	353.59	1388.16
PLA2G4D	1.58	3665.02	68.07	2.56	457.25	132.44	0.0	0.0	0.8
PTPN20A	8.58	55.49	12.27	0.99	76.71	31.45	0.0	0.01	1.16
RILP	109.66	110.43	246.28	890.44	529.06	525.39	0.0	0.35	86.43
RP11-650K20.3	5.63	0.0	0.0	10.0	13.03	9.06	0.0	0.0	7.4
RPS26	13399.51	23009.42	14561.8	20310.37	42937.97	19754.96	0.0	0.24	14163.58
RXRG	0.0	31.45	14.67	94.01	135.24	49.21	0.0	0.0	3.26
SEC14L5	2.86	5.77	18.29	142.01	93.35	80.57	0.0	0.09	1.31
SFN	2119.22	1.712973997E7	51775.15	136637.07	77934.88	80125.95	2417.67	1963.57	23169.48
SGCD	15.45	0.0	29.48	409.15	373.81	264.03	0.0	0.27	49.21
SIRT2	909.17	1191.69	1191.69	4512.4	3212.66	2739.08	693.58	896.64	1313.23
SLC25A25	150.17	842.36	400.71	1191.69	1519.15	435.55	0.0	0.23	358.54
SLC25A42	60.82	69.52	185.11	420.68	575.03	363.56	0.0	0.4	43.94
SLC39A2	20.86	13586.57	191.67	221.86	728.11	318.57	0.0	0.21	20.41
SP7	0.0	0.01	0.0	0.47	3.82	1.46	0.0	0.0	0.93
SPATA22	0.34	0.0	3.89	8.0	18.84	2.14	0.0	0.06	1.38
TCEA3	507.46	2935.74	718.08	5633.22	5219.6	3589.58	0.0	0.58	543.96
TCEAL7	5.23	0.36	81.71	303.44	463.65	253.23	0.0	0.26	31.45
TMEM132C	0.37	19.39	20.71	6.73	20.86	21.47	0.0	0.18	1.25
TMEM143	57.49	90.77	195.72	1127.35	1030.12	547.75	0.0	0.3	88.88
TRAK1	277.2	1350.18	476.71	2400.97	1896.65	1467.37	218.79	94.67	244.57
TRPT1	301.33	1697.45	1111.82	1745.2	3212.66	1457.23	0.0	0.66	842.36
TUBB2A	120.1	3419.52	1685.71	4512.4	5711.87	5076.84	0.0	0.45	1030.12
UBAC1	460.44	1295.13	896.64	2520.38	2664.15	1369.04	0.0	0.67	1268.46
UQCC1	283.05	384.34	607.87	1143.1	1519.15	579.04	0.0	0.87	334.46
ZNF385C	22.43	47.84	8.85	47.5	144.01	93.35	0.0	0.13	9.2
