	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CR.7388.01A.11R.2016.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13N1W.0826.SM.5MR5J
KRT6A	2.01760973986E9	2.41604469791E9	190574.09	21468.49	79022.82	7.75	53.19	8.32	267.73	8479.89	6887.62	4.58	0.0
LRR1	206.94	126.12	248.0	191.67	201.25	64.8	96.01	70.51	125.24	123.5	127.89	82.87	65.26
MARCKS	5183.54	3419.52	1529.73	1540.37	2417.67	193.01	438.59	206.94	884.29	1059.11	612.11	373.81	229.72
MTA2	2163.77	1757.34	2032.85	1745.2	1457.23	612.11	1073.91	819.3	1388.16	1477.58	1359.57	813.63	753.83
MTBP	57.08	36.79	95.34	53.95	59.55	7.4	20.56	19.11	22.75	36.79	26.86	21.63	3.99
NDE1	2935.74	1651.0	2004.85	808.0	1369.04	138.1	277.2	190.34	358.54	403.5	356.05	260.38	73.54
NRBP1	3235.01	2209.26	2664.15	2047.0	2591.27	1721.16	1819.35	1794.29	2018.8	2271.4	1909.85	1844.76	1477.58
PCYOX1L	703.28	212.78	156.59	166.73	267.73	53.19	110.43	94.67	119.26	148.09	172.65	118.43	22.59
PFKFB4	928.3	220.32	193.01	117.6	148.09	49.21	76.17	55.89	88.26	129.69	70.51	78.89	23.76
PITX1	163620.18	61999.83	4298.64	368.65	1331.57	0.0	1.35	1.45	8.19	6.52	87.03	0.85	0.0
PLD1	5255.91	3614.55	1225.22	301.33	389.72	39.79	75.64	43.63	73.54	175.07	132.44	63.89	68.55
PPP2R2B	194.36	176.29	64.34	92.7	150.17	12.18	22.75	14.67	59.97	71.0	52.45	52.45	46.18
PSMD1	1529.73	1369.04	2018.8	1268.46	1340.84	1119.56	1001.93	872.1	1331.57	1250.98	1175.27	954.43	723.08
PSMD11	4038.61	1447.15	2915.45	1674.06	2367.9	848.22	848.22	759.08	1073.91	1268.46	860.08	796.86	1066.48
RAP2B	2485.67	1697.45	620.67	343.89	457.25	93.35	157.68	137.14	220.32	295.11	273.37	103.69	33.06
RHBDL2	12853.63	5954.47	241.19	154.42	381.68	20.11	38.4	9.06	55.49	129.69	105.89	26.1	10.16
RNF8	441.64	878.17	435.55	379.04	387.02	183.82	249.73	206.94	251.48	303.44	314.17	251.48	248.0
S100A3	435.55	642.59	155.5	253.23	114.36	18.03	23.08	3.76	62.56	161.02	148.09	48.18	1.25
SERPINB7	1364554.84	5219.6	74.06	70.01	157.68	0.0	2.84	0.0	1.66	16.63	10.88	0.0	0.0
SFRP1	2976.74	11189.6	199.85	128.79	70.51	17.9	4.35	22.43	22.43	122.64	28.65	34.26	7.06
SLITRK6	3349.13	301.33	74.06	68.07	56.28	0.0	1.19	1.73	53.95	48.87	19.97	1.6	0.66
SQLE	6037.61	3146.52	1508.65	780.44	915.51	141.02	77.25	189.02	186.4	289.02	190.34	153.34	134.3
STEAP1B	825.0	363.56	223.41	21.47	54.33	0.0	7.28	2.03	3.41	8.06	14.56	10.39	0.88
SUFU	713.11	303.44	271.48	223.41	195.72	59.13	117.6	94.01	138.1	271.48	181.28	116.78	30.56
SULT1E1	647.07	16383.0	17.64	28.86	25.54	0.0	0.0	0.0	3.03	7.22	3.99	0.0	0.0
TCHH	567.1	172.65	21.78	3.38	7.0	0.47	1.19	2.07	2.48	2.84	3.53	1.91	0.12
TMEM154	18560.17	2664.15	241.19	136.19	85.22	10.96	22.43	11.91	31.0	30.34	46.18	21.94	0.23
TPI1	25005.23	20170.07	22225.61	12415.75	18304.63	8247.98	8191.0	6887.62	10368.08	11345.82	9025.81	7589.61	8247.98
TUBB2B	191.67	193.01	403.5	153.34	83.45	1.51	8.32	2.81	15.34	77.25	25.91	2.61	12.18
UBLCP1	688.78	808.0	579.04	575.03	567.1	264.03	368.65	327.56	438.59	450.94	450.94	409.15	161.02
UCHL5	1313.23	595.34	688.78	406.31	466.88	76.17	138.1	137.14	137.14	249.73	176.29	149.12	172.65
VANGL1	236.21	187.71	289.02	176.29	202.66	18.97	47.84	36.53	73.03	138.1	90.14	75.11	54.72
VDR	616.37	343.89	642.59	323.03	447.82	43.63	59.13	66.65	223.41	301.33	158.79	101.54	17.25
