	GTEX.S4Q7.0926.SM.4AD5D	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.W5.AA31.01A.11R.A41I.07	TCGA.2Y.A9GX.01A.11R.A38B.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14753.1626.SM.5NQ9L
ATPAF1	1674.06	1242.34	884.29	813.63	1407.55	2104.58	3372.43	2104.58	1745.2
BMP10	0.0	0.0	0.0	1.41	6.73	24.28	21.01	24.63	33.54
C1R	46339.95	723.08	1044.52	23330.64	36864.92	180294.02	350728.68	271387.49	117311.73
C1RL	1233.75	540.19	273.37	2032.85	1104.13	4972.34	9279.58	6840.04	3982.99
C1S	14663.09	137.14	123.5	16496.96	27363.16	75280.1	209994.66	131071.0	43236.64
C2	769.69	748.61	199.85	2720.15	8134.41	29943.43	92680.9	59887.86	23986.58
C3	18560.17	4543.8	218.79	212926.09	191899.64	402881.61	1212874.47	1412675.8	573724.06
C4BPA	0.27	2.05	0.0	2976.74	17317.18	214407.12	296977.71	280957.98	27938.14
C5	45.85	11.21	21.94	6745.86	3395.89	18950.18	23169.48	31215.04	3467.27
C6	40.93	1.19	0.0	1023.0	2451.44	99333.0	97288.74	106462.55	12764.83
C8A	0.51	0.0	0.0	1044.52	2835.7	58655.36	119776.72	52135.28	4802.93
C8B	1.3	0.0	0.56	1427.22	4972.34	53230.77	142439.51	102836.01	5329.3
C9	3.79	2.63	1.41	1883.54	7081.29	834179.46	783730.52	925580.18	75280.1
CD14	5041.77	58.3	267.73	1757.34	6699.25	43537.38	32092.64	10154.69	22850.48
CD160	15.45	0.31	2.81	6.89	5.41	8.78	50.27	51.71	11.13
CD302	343.89	69.03	25.54	348.71	1369.04	6745.86	11992.79	7230.1	2816.11
CD5L	0.73	0.3	0.0	59.13	134.3	1437.15	21320.18	13215.02	43.94
CETP	29.91	13.62	4.78	37.59	85.22	368.65	3039.3	1191.69	123.5
CFB	3820.7	426.57	195.72	22850.48	44761.41	153724.82	233003.78	273275.14	66912.05
CFH	7331.05	31.45	49.91	3039.3	16045.82	97288.74	116501.39	67846.12	10585.95
CFHR1	4.66	0.0	8.92	3820.7	17804.06	107948.72	181548.07	133825.1	28923.41
CFHR2	1.75	0.0	0.0	2303.12	14065.74	48307.85	402881.61	116501.39	37639.55
CFHR3	16.39	13.12	49.21	638.15	2319.15	9945.68	10733.74	12589.08	2351.53
CFHR4	2.61	2.34	0.56	182.55	503.95	3768.09	7382.04	5954.47	435.55
CFHR5	1.25	0.0	0.28	283.05	2627.46	12502.12	47313.67	20310.37	4010.71
CFI	497.0	64.34	23.93	2104.58	8363.13	36357.37	55491.3	42346.82	17197.56
CFP	563.18	18.16	13.72	102.97	157.68	1208.34	8078.22	3124.78	718.08
CIDEB	131.51	56.28	12.27	633.73	2018.8	8778.97	18819.27	15392.14	23169.48
CLEC1B	2.27	0.6	0.0	41.22	59.13	1540.37	3303.0	2004.85	403.5
CLEC4G	202.66	0.32	0.3	116.78	137.14	3124.78	11112.3	4095.0	902.89
CLEC4M	4.82	0.3	0.28	52.82	59.13	1242.34	3372.43	1819.35	142.01
CLPP	1216.75	1208.34	1001.93	1639.59	1369.04	1923.14	2485.67	2018.8	2209.26
COLEC10	0.0	4.1	2.53	111.21	117.6	476.71	2018.8	392.44	775.05
COLEC11	83.45	14.45	13.03	660.68	813.63	995.0	1883.54	1794.29	2384.37
CPB2	0.49	4.66	5.54	2032.85	8479.89	92040.7	154794.07	125731.67	80125.95
CPN2	0.84	0.0	0.56	384.34	2875.3	29736.59	41763.8	26986.43	3060.45
CPS1	13.83	5.32	10.39	1617.0	10368.08	149521.18	119776.72	23330.64	58655.36
CRHBP	36.01	0.0	11.91	205.5	234.57	3395.89	6426.31	4836.35	780.44
CYP27A1	1685.71	46.84	52.45	1991.0	12329.98	6652.97	24153.43	6652.97	19482.97
CYP2C8	5.5	9.7	1.45	1529.73	3190.46	49322.93	72715.74	25005.23	59887.86
CYP2C9	1.38	37.59	15.91	2104.58	7695.57	84694.64	80125.95	43537.38	30361.44
CYP2E1	57.08	5.36	3.99	7331.05	20737.16	271387.49	1514068.5	280957.98	1147449.11
CYP39A1	60.39	16.51	20.56	92.05	176.29	1008.9	12160.22	1127.35	1781.89
CYP3A43	1.25	0.89	0.0	7.11	74.58	171.45	389.72	128.79	239.52
CYP8B1	3.89	13.32	0.0	620.67	2004.85	9540.5	187950.38	27553.49	36106.23
DNASE1L3	363.56	4.43	518.15	181.28	426.57	3928.15	12415.75	7803.01	1397.83
DPYD	813.63	27.64	81.71	140.04	426.57	1388.16	1331.57	1378.57	1159.07
EVA1A	7.69	9.27	9.7	366.09	1487.87	7331.05	3794.3	2178.83	954.43
F2	0.17	9.63	0.0	3257.52	21468.49	141455.6	482442.34	378516.38	277089.94
F9	0.27	0.0	0.0	656.11	1991.0	85283.74	65990.84	131071.0	61999.83
FAM163B	10.0	2.05	0.0	24.99	58.71	129.69	62.12	142.01	4.13
FBP1	2303.12	3257.52	127.0	1304.15	5954.47	19348.38	29943.43	7485.11	45386.27
FCN2	4.86	0.59	0.0	166.73	110.43	8598.28	11745.96	8078.22	775.05
FGA	8.25	0.33	0.31	53973.86	182810.84	3200796.55	1412675.8	1763486.6	569761.05
FGB	8.65	1.22	0.6	52497.92	167058.21	4342214.81	1442359.14	3313672.43	869603.57
FGG	5.77	0.92	1.17	43840.21	143430.26	2476720.12	1005860.33	1503610.06	437825.58
FGL1	7.75	0.61	1.14	25354.3	22692.63	513497.31	288856.81	271387.49	131071.0
FMO5	80.57	74.58	27.64	620.67	3874.05	4239.45	10512.82	6561.36	6426.31
GC	0.0	22225.61	0.0	13215.02	51417.5	539026.74	691801.16	499455.67	155870.75
GCHFR	503.95	555.41	2895.31	656.11	2240.11	3081.75	4152.18	3847.29	7331.05
GDF2	0.0	0.0	0.0	34.51	46.5	223.41	1104.13	341.51	88.88
GPLD1	33.54	33.78	33.3	58.71	248.0	1487.87	1963.57	3614.55	647.07
GPR126	239.52	417.77	53.19	2075.59	718.08	4010.71	1191.69	2875.3	723.08
GPR182	4.66	1.75	2.81	9.85	17.51	159.9	314.17	58.71	24.63
HABP2	1.87	6.41	0.29	2287.2	5441.3	53973.86	100023.92	22225.61	10883.59
HAO1	0.0	0.0	0.0	656.11	2609.3	17197.56	41475.31	26067.14	56265.94
HBCBP	4.24	3.23	0.0	4.82	13.22	45.21	79.45	17.64	6.36
HNMT	1216.75	543.96	145.02	1819.35	2133.97	1896.65	5147.73	2573.36	2758.13
HP	633.73	1.83	2.61	144427.91	453265.5	3.671840259E7	3.174442598E7	3.066309426E7	2.614442391E7
HPS5	273.37	102.25	127.0	157.68	559.28	1208.34	373.81	339.14	432.53
HPX	13.42	44.89	17.9	16045.82	65082.31	1048575.0	1838374.44	2511293.86	1472666.19
HSD11B1	120.1	10.71	4.31	967.76	8022.41	21468.49	146444.06	39785.74	165904.25
HSD17B11	1794.29	1216.75	255.0	5517.27	2997.45	7911.95	8963.45	8305.36	4802.93
HSD17B6	336.79	38.12	90.77	1487.87	6652.97	50011.46	215898.44	52135.28	46662.28
IL6R	246.28	98.04	9.41	293.07	1044.52	1073.91	708.18	974.5	1447.15
INHBC	1.79	0.29	0.84	189.02	921.88	7857.29	6207.38	12502.12	1697.45
INS-IGF2	0.0	0.0	0.0	59.55	86.43	7749.1	22692.63	9279.58	332.14
ITIH2	0.39	0.0	0.0	19482.97	20881.4	101420.22	182810.84	122293.5	23169.48
KLB	13.83	2.63	7.22	53.57	457.25	1769.57	2573.36	1023.0	490.14
KMO	20.11	7.94	11.82	125.24	607.87	674.59	1757.34	361.04	679.29
KNG1	5.11	2.34	0.29	4903.87	16611.71	92680.9	1100706.72	120609.84	60723.88
LEPR	379.04	32.13	28.86	162.14	287.01	32092.64	1143.1	1111.82	441.64
LPA	2.94	0.0	0.29	49.21	89.51	3235.01	8305.36	6887.62	305.55
MASP1	81.71	1.5	0.88	256.78	1030.12	2537.92	3372.43	463.65	1819.35
MASP2	8.19	19.82	10.71	738.29	5366.37	7280.4	32315.87	10154.69	98646.85
MBL2	0.0	0.0	0.0	244.57	1519.15	15607.02	19082.0	2720.15	4543.8
MGST1	14461.21	5751.61	3768.09	5672.41	19754.96	53973.86	112532.89	13968.57	68793.23
MT1F	199.85	186.4	52.82	1685.71	2163.77	12676.65	34158.52	24153.43	89523.81
MT1G	236.21	961.07	138.1	10959.3	19618.49	100719.65	215898.44	149521.18	598087.73
MT1H	23.42	201.25	33.78	1407.55	2609.3	10659.59	32315.87	38697.77	25179.16
MTTP	13.52	0.59	1.39	201.25	1259.69	22072.07	22535.88	5329.3	769.69
MYO1B	397.93	201.25	152.28	2004.85	2417.67	9279.58	7280.4	6207.38	6337.83
NUGGC	11.55	0.3	0.57	27.84	126.12	896.64	825.0	723.08	277.2
OIT3	0.0	1.17	4.17	260.38	303.44	1721.16	6381.92	2148.82	536.45
ORM1	30.12	34.02	2.03	101420.22	258533.99	3576208.94	3780117.42	8505707.6	4433454.0
ORM2	12.0	10.88	0.0	19618.49	73221.53	602247.76	1800541.22	998912.34	1093103.58
OTC	4.5	0.29	0.0	339.14	2485.67	591.22	41188.81	2224.63	10883.59
PAH	2.07	4.43	1.99	3257.52	18950.18	42937.97	75803.72	23330.64	23986.58
PLG	1.41	0.6	0.85	5517.27	24321.43	25708.25	691801.16	118949.35	581732.96
PLGLB2	12.83	10.31	20.56	1286.18	4419.52	39237.98	17804.06	42054.3	3768.09
PON3	59.55	63.0	2.29	1417.35	5112.16	35363.15	37639.55	35363.15	39785.74
PRG4	27.25	4.7	1.13	412.0	4298.64	48307.85	62431.08	79572.48	10512.82
PTGR1	3716.2	2119.22	1388.16	1662.49	13033.07	24321.43	46019.85	18304.63	7911.95
RAB37	104.42	5.32	14.35	50.98	94.01	180.02	265.87	457.25	514.56
RASGEF1B	327.56	36.27	61.68	120.94	429.54	3103.19	791.35	1359.57	460.44
RELN	70.01	1.48	0.0	457.25	169.07	1268.46	8718.32	1594.73	39.79
RMDN2	80.57	41.81	57.89	102.25	218.79	764.36	1242.34	470.14	503.95
RP5-1052I5.2	0.0	15.56	0.0	0.0	0.71	54.33	153.34	38.4	38.12
SEC14L4	4.98	3.82	1.99	171.45	295.11	363.56	802.41	780.44	98.73
SEPP1	12415.75	1183.45	5633.22	6426.31	43840.21	84109.6	148488.36	83528.61	94628.34
SERPINA1	1991.0	76.17	62.12	156954.93	355624.68	3383299.76	1452391.55	3780117.42	1155430.26
SERPINA11	0.0	0.3	0.28	961.07	1268.46	35856.82	260332.24	33922.56	1561.89
SERPINA3	8247.98	50.63	19.39	57847.82	83528.61	857631.47	345900.08	900270.11	400098.69
SERPINA6	0.0	2.92	0.0	3928.15	5751.61	35609.13	94628.34	32994.92	13586.57
SERPINA7	0.0	212.78	0.0	708.18	5751.61	51775.15	114103.8	30999.42	4512.4
SERPINC1	3.72	3.53	3.66	5594.3	34635.37	687022.54	3478417.29	1070607.81	663619.99
SERPIND1	28.65	0.0	0.85	1583.71	8363.13	17558.94	165904.25	18950.18	18052.61
SERPINF1	12589.08	85.22	343.89	4038.61	23986.58	26614.89	131982.68	110216.97	61146.25
SERPINF2	141.02	29.27	10.0	3716.2	14461.21	67377.47	92040.7	152662.96	150561.19
SERPING1	26614.89	796.86	708.18	22072.07	46986.85	155870.75	397335.0	211455.3	159145.95
SIAE	318.57	164.42	74.58	384.34	583.07	1674.06	2400.97	1757.34	796.86
SLC10A1	0.0	4.06	0.29	275.28	796.86	1369.04	44761.41	16383.0	18560.17
SLC1A2	6.57	0.31	1.13	24.11	249.73	1199.98	1519.15	44.89	178.77
SLC27A2	59.55	154.42	279.14	409.15	3372.43	65990.84	13123.73	34158.52	3372.43
SLC27A3	825.0	769.69	669.92	1073.91	1757.34	2303.12	1015.93	4481.23	1769.57
SLC38A4	24.63	591.22	3.44	651.58	2915.45	38697.77	18431.96	14461.21	18431.96
SLCO1B1	1.66	0.3	2.78	318.57	1594.73	21768.19	51062.33	7857.29	2835.7
SLCO2B1	1023.0	22.75	53.19	698.41	3018.3	7130.55	13586.57	11827.67	6294.04
STAB2	2.34	8.19	9.48	14.14	29.7	248.0	708.18	138.1	62.12
STEAP3	314.17	147.06	454.09	743.43	1388.16	2400.97	7180.15	10154.69	2835.7
TDO2	24.99	5.63	171.45	1304.15	10368.08	75803.72	19482.97	81244.48	25887.07
TF	23.42	11.82	432.53	16157.44	59887.86	509950.32	1.271475112E7	383800.28	1355129.16
TFR2	15.11	6.57	103.69	3168.41	7966.99	15392.14	101420.22	35363.15	37379.55
TMEM53	253.23	802.41	128.79	368.65	813.63	1259.69	1709.26	961.07	3081.75
TTPA	4.35	5.23	1.69	176.29	934.76	3928.15	5954.47	2997.45	1313.23
UGT1A3	2.23	0.0	0.0	62.56	99.43	1583.71	9151.82	4736.79	743.43
UGT2B4	2.07	0.88	0.57	1594.73	47313.67	161367.56	132900.7	28328.16	16496.96
VTN	87.03	19.97	0.88	16611.71	68793.23	215898.44	762299.34	400098.69	162489.97
