	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.BT.A42C.01A.11R.A23N.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.AA4X.01A.11R.A38B.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CZ.4857.01A.01R.1305.07	TCGA.BP.5008.01A.01R.1334.07	TCGA.B8.5165.01A.01R.1420.07	TCGA.BP.4790.01A.01R.1305.07	GTEX.13QJC.0826.SM.5RQKC
GIPC3	7.11	20.11	74.58	10.47	18.56	25.17	6.67	120.94	87.65	144.01	343.89	258.57	25.72
GJA4	35.5	228.13	536.45	99.43	79.45	236.21	19.97	241.19	848.22	1936.53	1477.58	1467.37	264.03
GPR18	3.23	4.58	18.43	1.71	4.43	10.16	4.03	65.26	20.41	29.91	24.46	57.89	73.03
GPR31	0.0	0.3	0.99	0.0	0.0	0.0	0.0	0.0	2.78	2.92	2.94	8.92	0.0
GPR4	33.78	78.89	237.86	56.28	69.03	153.34	19.25	84.63	470.14	1277.29	728.11	1023.0	61.25
GRAP	19.11	75.64	105.89	28.65	33.06	49.91	17.13	234.57	195.72	195.72	218.79	339.14	181.28
HEG1	72.52	161.02	323.03	61.25	59.55	269.6	24.28	1268.46	633.73	1331.57	2796.65	1167.14	559.28
HLA-G	3.29	12.93	47.17	0.32	3.0	3.56	3.23	189.02	199.85	819.3	249.73	547.75	218.79
IRAK3	9.48	9.34	26.1	8.65	4.21	12.55	2.1	155.5	64.8	134.3	154.42	108.14	104.42
KDR	28.86	128.79	470.14	100.83	90.77	140.04	43.94	819.3	819.3	1594.73	3820.7	2178.83	392.44
KIAA0355	97.36	80.57	231.32	84.63	157.68	187.71	135.24	406.31	262.2	466.88	665.29	450.94	356.05
KLHL10	0.0	1.23	5.02	1.14	2.36	5.11	0.59	5.02	0.82	4.86	3.0	17.9	7.82
LILRA4	3.53	5.77	21.94	0.87	9.06	4.78	1.73	2.71	51.71	50.63	47.17	34.51	35.76
MFNG	18.97	89.51	177.53	28.04	49.91	113.56	23.08	563.18	412.0	447.82	612.11	708.18	395.18
MICAL3	187.71	115.97	314.17	79.45	170.25	277.2	111.21	543.96	981.29	941.27	759.08	571.05	376.41
NES	29.48	176.29	356.05	69.03	102.25	167.9	78.34	872.1	579.04	890.44	1870.53	808.0	314.17
NFATC1	115.97	55.49	166.73	23.93	100.83	121.79	16.88	500.46	144.01	490.14	303.44	339.14	395.18
NOS3	23.08	125.24	251.48	65.26	82.87	70.51	24.99	149.12	403.5	441.64	536.45	473.41	71.0
NR5A2	5.82	7.06	44.89	9.34	10.0	8.92	6.62	77.25	49.56	64.34	58.3	120.94	22.1
NRP1	43.63	265.87	511.0	78.34	144.01	232.94	65.72	2855.44	4010.71	4671.57	6840.04	4802.93	607.87
PCDH12	11.38	55.1	122.64	26.67	41.22	43.94	14.24	175.07	241.19	420.68	981.29	483.38	83.45
PCDH17	7.82	56.28	105.89	31.0	22.92	21.01	6.41	43.63	231.32	384.34	239.52	555.41	28.45
PLVAP	420.68	1225.22	3303.0	967.76	974.5	2004.85	432.53	1407.55	7130.55	14461.21	37379.55	11664.82	3639.7
PODXL	77.79	295.11	928.3	176.29	217.27	297.17	167.9	1037.29	1250.98	3372.43	6121.9	2976.74	738.29
PREX2	10.0	14.03	32.36	5.96	5.63	11.47	5.23	273.37	620.67	373.81	303.44	521.76	101.54
PTGDR	0.34	0.33	2.68	0.3	1.5	2.58	0.31	92.05	12.55	23.25	16.15	37.59	51.35
PTPRG	31.22	61.68	190.34	32.13	120.1	83.45	12.36	444.72	389.72	753.83	1350.18	915.51	287.01
RAMP3	75.64	232.94	493.56	209.84	109.66	356.05	53.19	2573.36	583.07	2351.53	3794.3	2224.63	486.75
RAPGEF5	7.57	59.13	139.07	27.44	61.25	66.18	26.67	647.07	624.99	1096.5	1233.75	988.12	191.67
RFX8	2.61	2.48	8.65	4.54	5.32	2.25	0.0	73.54	11.82	27.64	34.26	19.25	6.62
ROBO4	38.67	89.51	309.83	60.39	85.82	91.41	27.25	563.18	441.64	954.43	1427.22	1023.0	371.22
S1PR1	15.68	109.66	275.28	50.27	47.17	141.02	24.81	1208.34	698.41	2018.8	2935.74	1674.06	808.0
SEPT1	0.0	15.11	57.08	8.13	0.0	0.0	0.0	1.598261246E7	34.26	100.13	52.45	75.64	2.669377385E7
SH2D3C	32.13	115.16	236.21	68.07	63.89	103.69	24.81	320.8	371.22	660.68	688.78	620.67	291.04
SOX17	7.17	25.35	38.67	10.55	15.91	26.1	7.82	48.52	102.97	180.02	111.99	183.82	27.05
ST8SIA4	16.15	26.1	71.0	15.34	14.56	35.25	5.82	93.35	249.73	457.25	656.11	503.95	90.77
STRN3	191.67	244.57	438.59	190.34	199.85	218.79	195.72	1313.23	473.41	466.88	435.55	493.56	429.54
TBXA2R	9.7	19.97	39.79	12.55	14.78	26.86	5.82	46.84	97.36	135.24	258.57	212.78	26.67
TEK	3.29	37.32	95.34	16.75	11.55	37.59	6.41	674.59	131.51	507.46	974.5	403.5	111.21
TM4SF18	16.88	67.12	232.94	60.39	47.5	65.72	24.81	1639.59	860.08	1896.65	1583.71	1225.22	140.04
TNFSF9	38.4	11.64	75.11	12.45	33.54	57.89	3.5	13.93	629.35	343.89	147.06	171.45	24.46
TOMM20	1721.16	1583.71	4210.15	2018.8	3212.66	3690.52	2018.8	7857.29	4481.23	4937.99	5441.3	4328.55	2255.7
VWF	109.66	387.02	928.3	193.01	218.79	237.86	84.04	2178.83	2335.28	4123.49	12160.22	6037.61	1977.24
ZNF366	1.0	8.25	24.46	1.16	6.21	5.45	3.2	56.28	63.45	76.71	226.54	113.56	61.25
ZNF791	86.43	88.26	212.78	134.3	146.03	195.72	149.12	669.92	206.94	199.85	312.0	285.03	503.95
