	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CA.6719.01A.11R.1839.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.DM.A28H.01A.11R.A16W.07	TCGA.86.8280.01A.11R.2287.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.7710.11A.01R.2125.07	GTEX.13QJC.0826.SM.5RQKC
CYTIP	10.79	72.01	115.16	1457.23	329.84	75.64	3.5	16.75	547.75	4450.27	571.05	420.68	1023.0	1745.2
DOCK2	18.16	84.63	167.9	928.3	234.57	101.54	7.28	22.1	414.87	7331.05	423.61	283.05	1250.98	738.29
ELMO1	31.9	121.79	209.84	743.43	633.73	157.68	32.13	92.05	397.93	1572.76	381.68	417.77	813.63	2485.67
EOMES	0.88	2.07	12.64	197.09	31.9	7.51	0.15	0.57	35.5	206.94	59.97	24.28	116.78	199.85
EVI2B	18.7	123.5	301.33	1662.49	341.51	134.3	3.53	19.53	679.29	3742.05	595.34	368.65	2609.3	3235.01
FCRL3	0.3	3.08	18.03	307.69	20.71	4.94	0.0	2.27	74.06	208.38	25.72	18.56	543.96	642.59
FGR	36.01	63.45	129.69	521.76	87.65	172.65	16.03	30.12	463.65	1628.26	420.68	327.56	1857.6	507.46
FUT7	2.32	3.79	4.17	52.45	0.0	4.03	2.48	0.43	38.67	33.78	31.45	18.84	91.41	20.26
GBP5	45.21	33.3	295.11	612.11	426.57	95.34	2.43	12.0	529.06	3665.02	587.13	361.04	587.13	559.28
GMIP	115.97	206.94	318.57	642.59	57.08	309.83	59.55	74.06	381.68	934.76	426.57	341.51	995.0	514.56
GPR174	0.0	3.11	11.21	201.25	37.85	6.84	0.0	0.0	65.72	289.02	40.64	26.1	309.83	249.73
GSAP	69.52	122.64	147.06	503.95	409.15	121.79	96.68	220.32	642.59	1487.87	224.97	241.19	1104.13	934.76
GZMK	0.89	36.01	95.34	780.44	406.31	25.54	0.0	0.67	232.94	995.0	208.38	124.37	384.34	2061.24
GZMM	6.11	19.53	39.79	283.05	37.85	12.45	0.67	2.63	204.07	1081.39	55.89	41.22	329.84	323.03
HLA-DMB	186.4	638.15	1268.46	4671.57	1709.26	507.46	61.25	144.01	5076.84	20881.4	2701.35	1498.22	6381.92	3716.2
HLA-DOB	6.46	17.25	38.67	934.76	18.16	12.64	2.43	32.59	237.86	3103.19	180.02	121.79	1268.46	660.68
IKZF1	5.59	35.0	69.03	808.0	195.72	31.22	1.6	6.26	228.13	6037.61	197.09	118.43	974.5	1199.98
IKZF3	20.56	10.0	21.47	379.04	37.59	7.46	0.0	3.79	78.89	373.81	54.33	35.5	368.65	429.54
IL12RB1	9.34	20.71	33.78	171.45	49.21	37.59	3.35	10.96	111.99	1268.46	93.35	71.0	318.57	135.24
IL2RB	16.51	37.32	105.89	563.18	121.79	47.5	2.12	5.15	258.57	1191.69	376.41	223.41	567.1	532.74
INPP5D	24.99	239.52	236.21	1437.15	483.38	543.96	14.89	403.5	665.29	5995.9	896.64	423.61	2915.45	1745.2
ITGB7	18.97	82.87	82.29	688.78	229.72	63.45	8.51	9.7	301.33	1519.15	379.04	197.09	848.22	1250.98
ITK	1.77	20.26	35.5	406.31	96.68	23.76	1.89	4.78	146.03	3716.2	79.45	60.39	381.68	819.3
LCK	16.75	59.13	105.89	909.17	460.44	172.65	75.11	5.68	460.44	3564.78	279.14	185.11	1467.37	1519.15
LCP2	50.98	138.1	507.46	1457.23	480.04	273.37	40.93	82.29	1059.11	4575.41	1295.13	896.64	1844.76	1268.46
LTA	2.05	4.82	15.34	119.26	15.91	13.22	2.07	1.87	57.89	99.43	36.01	21.63	277.2	31.0
LY75	182.55	27.44	52.82	616.37	332.14	197.09	68.55	19.25	211.31	612.11	273.37	121.79	493.56	258.57
LY9	1.16	12.36	21.78	426.57	11.73	11.38	0.0	2.61	199.85	825.0	83.45	63.45	629.35	718.08
MAP3K8	226.54	171.45	194.36	1008.9	665.29	301.33	147.06	297.17	351.14	1447.15	454.09	511.0	819.3	571.05
MAP4K1	76.17	40.07	87.65	1059.11	65.72	60.82	15.56	16.88	476.71	6079.61	215.77	159.9	1331.57	1794.29
MAST3	55.1	39.5	76.17	215.77	68.07	102.25	75.64	61.68	126.12	299.25	131.51	111.21	406.31	231.32
MYO1G	19.25	37.59	63.0	480.04	49.91	48.52	7.82	13.72	389.72	2004.85	384.34	327.56	1151.06	368.65
N4BP2L1	95.34	101.54	110.43	684.02	1407.55	175.07	65.26	67.59	363.56	934.76	287.01	162.14	860.08	703.28
NCKAP1L	17.64	175.07	194.36	988.12	130.6	161.02	8.85	31.0	420.68	4066.71	567.1	289.02	1540.37	591.22
NELL2	7.28	20.41	24.99	214.27	36.53	28.45	5.68	17.25	93.35	1030.12	173.85	167.9	193.01	1583.71
NKG7	57.89	67.59	141.02	1051.79	329.84	115.16	5.87	13.12	403.5	3820.7	483.38	212.78	1242.34	518.15
P2RY10	1.16	8.58	45.85	392.44	180.02	11.91	0.24	0.17	132.44	1242.34	116.78	39.22	563.18	507.46
P2RY8	4.94	11.64	21.01	220.32	8.92	13.12	1.57	3.0	57.49	312.0	36.53	27.05	204.07	48.18
PARP15	0.61	8.0	18.03	476.71	106.63	21.63	2.68	4.1	120.94	2335.28	44.57	43.63	988.12	669.92
PIK3CG	1.48	11.64	27.05	182.55	57.49	9.41	0.0	1.08	57.08	273.37	90.77	38.12	237.86	37.85
PLA2G7	46.18	65.72	151.22	612.11	159.9	141.02	3.47	26.47	356.05	642.59	476.71	224.97	591.22	371.22
PLEK	20.56	71.5	277.2	1331.57	234.57	108.14	7.11	33.54	669.92	836.53	718.08	376.41	2434.5	463.65
PRAM1	8.78	13.12	29.48	120.94	20.71	53.95	9.85	13.72	130.6	507.46	85.22	74.58	638.15	171.45
PTPN7	16.03	37.32	86.43	674.59	120.1	56.68	10.39	12.09	403.5	2434.5	297.17	244.57	961.07	848.22
PTPRC	15.8	113.56	314.17	3018.3	435.55	138.1	7.75	26.47	1015.93	6983.79	941.27	543.96	4210.15	2935.74
PYHIN1	1.46	12.36	31.22	269.6	698.41	15.91	0.73	3.72	103.69	698.41	44.89	42.41	244.57	514.56
RHOH	8.19	38.4	141.02	1331.57	97.36	23.08	2.01	2.03	334.46	2627.46	318.57	180.02	1259.69	1697.45
SASH3	18.7	72.01	211.31	1322.37	143.01	96.68	7.94	26.67	575.03	3690.52	466.88	297.17	2573.36	1250.98
SCNN1B	18.16	47.17	42.41	253.23	143.01	107.38	10.55	28.45	607.87	83.45	575.03	237.86	775.05	432.53
SCNN1G	0.65	2.18	0.89	75.64	8.38	5.23	0.0	0.3	59.13	75.11	93.35	19.25	153.34	172.65
SELL	7.94	93.35	84.63	1697.45	172.65	33.54	1.06	4.35	348.71	279.14	231.32	121.79	4481.23	1709.26
SEPT1	0.0	12.93	22.92	587.13	1.598261246E7	2.81	0.0	0.0	127.89	1733.13	55.89	24.63	555.41	2.669377385E7
SH2D1A	3.47	10.31	37.85	307.69	108.9	8.92	0.0	2.27	89.51	738.29	53.19	33.78	256.78	273.37
SIRPG	8.71	21.01	30.78	325.29	87.65	21.78	0.71	4.28	140.04	376.41	96.68	55.1	332.14	1551.09
SIT1	8.71	27.05	47.5	435.55	14.45	38.4	0.26	3.11	186.4	954.43	94.01	78.34	698.41	660.68
SLAMF1	2.63	13.42	19.11	343.89	89.51	14.14	0.64	2.05	120.1	571.05	74.58	43.94	297.17	271.48
SLAMF6	2.34	21.01	36.79	587.13	29.06	30.34	5.11	13.72	148.09	1340.84	94.01	94.67	559.28	2720.15
SLFN12L	1.46	5.19	19.68	147.06	98.73	6.01	0.0	2.94	66.18	571.05	34.75	26.47	150.17	190.34
SP100	540.19	743.43	1259.69	2384.37	2956.17	1135.2	551.56	441.64	1519.15	3820.7	1883.54	1745.2	3081.75	2351.53
SP140L	185.11	71.0	143.01	555.41	954.43	242.88	62.12	164.42	559.28	2224.63	339.14	392.44	878.17	738.29
SPOCK2	24.81	127.0	159.9	981.29	56.68	135.24	18.03	30.12	603.67	8022.41	406.31	241.19	2148.82	2351.53
SSTR3	0.29	1.03	1.1	10.71	0.62	0.09	0.0	0.0	5.41	6.11	3.92	1.97	29.06	34.75
TAGAP	2.92	23.59	57.49	674.59	52.45	25.91	1.45	2.43	198.47	928.3	199.85	90.77	612.11	303.44
TBC1D10C	13.72	42.41	92.05	872.1	163.28	49.56	8.0	13.62	460.44	7485.11	173.85	172.65	1561.89	1427.22
TBX21	1.17	3.11	7.94	60.82	4.43	4.31	0.42	0.46	50.27	463.65	19.39	12.18	109.66	140.04
TIGIT	10.71	31.22	57.49	373.81	32.13	22.59	1.03	2.89	163.28	483.38	131.51	72.01	325.29	1208.34
TLR10	0.59	3.79	8.85	307.69	5.23	1.22	0.0	0.6	63.89	41.52	47.84	10.39	775.05	195.72
TLR5	18.56	28.65	92.05	400.71	392.44	40.93	7.94	9.27	135.24	140.04	165.57	161.02	189.02	109.66
TMC8	32.59	56.68	93.35	836.53	297.17	111.21	67.12	42.71	579.04	5041.77	256.78	215.77	1806.78	1794.29
UBASH3A	2.32	6.89	17.13	172.65	13.93	8.32	0.53	1.1	66.65	616.37	40.93	25.91	190.34	341.51
UBD	48.18	232.94	316.37	6294.04	1639.59	1457.23	20.41	92.05	2451.44	11345.82	1551.09	890.44	2287.2	679.29
WDFY4	3.82	43.02	55.49	647.07	30.56	26.86	3.03	9.78	185.11	1583.71	209.84	96.01	866.07	244.57
ZNF831	0.3	1.71	3.41	70.01	37.32	2.27	0.0	0.32	18.56	285.03	7.82	4.21	57.08	176.29
