	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.13OW8.0426.SM.5J2NR	GTEX.ZTTD.2726.SM.57WFA	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.13X6J.0826.SM.5LU32	GTEX.X4XY.0826.SM.4E3JM	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.145MG.0826.SM.5Q5C2	GTEX.11O72.2326.SM.5BC7H
ARHGEF37	0.0	0.18	2032.85	3039.3	1936.53	2777.33	3039.3	3742.05	2018.8	2468.49	420.68	684.02	55.89	15.8	187.71	1.6	156.59	43.63	172.65	58.3	28.24
ARRDC1	1051.79	162.14	1923.14	3190.46	2193.99	2555.58	1909.85	2895.31	2119.22	2119.22	1806.78	1322.37	1651.0	1066.48	842.36	1167.14	902.89	1127.35	954.43	995.0	540.19
ATP11C	0.0	0.66	780.44	1191.69	808.0	1119.56	981.29	1044.52	967.76	819.3	395.18	769.69	111.21	110.43	180.02	115.16	164.42	191.67	187.71	204.07	403.5
ATP2A3	0.0	0.99	2417.67	3901.01	1617.0	4671.57	3372.43	4704.07	1794.29	3018.3	412.0	223.41	295.11	191.67	1159.07	75.11	511.0	226.54	447.82	575.03	108.14
B3GALT4	0.0	0.25	571.05	738.29	620.67	764.36	518.15	723.08	486.75	723.08	273.37	320.8	361.04	144.01	332.14	167.9	356.05	293.07	277.2	366.09	125.24
C11orf53	0.0	0.0	0.87	2.23	8.32	9.78	1.89	6.94	4.13	10.96	20.41	1.71	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0
C14orf132	0.0	0.29	629.35	1001.93	854.13	536.45	480.04	571.05	674.59	255.0	267.73	536.45	13.03	5.96	85.22	4.17	77.79	90.77	49.21	43.02	88.88
C16orf47	0.0	0.0	3.66	11.64	6.89	3.35	5.54	5.32	3.86	3.06	2.05	0.79	0.47	0.0	3.5	0.0	3.47	0.0	4.82	0.77	1.04
C1QTNF1-AS1	0.0	0.01	65.72	71.5	25.35	47.84	70.51	80.57	42.41	4.74	7.88	4.24	9.93	0.0	6.46	2.01	2.46	5.19	2.73	0.67	0.0
C20orf202	0.0	0.0	33.3	72.01	56.68	51.35	53.95	42.71	32.13	23.93	8.65	8.65	6.06	2.43	8.32	4.7	11.21	2.81	11.64	10.16	4.21
C3orf36	0.0	0.18	684.02	1950.0	842.36	961.07	1304.15	915.51	941.27	444.72	38.4	50.27	84.63	21.16	36.01	23.08	24.99	15.22	9.78	13.32	27.05
C9orf170	0.0	0.0	9.06	17.13	6.67	4.24	3.23	10.63	9.48	5.11	2.29	4.21	0.45	2.07	1.0	0.48	1.66	1.97	1.0	2.39	0.0
CA14	0.0	0.06	808.0	884.29	420.68	563.18	642.59	629.35	540.19	497.0	59.13	60.82	14.67	46.5	42.71	24.81	125.24	31.0	68.55	71.0	15.22
CDK18	0.0	0.67	1359.57	3257.52	2075.59	1508.65	1991.0	1909.85	2004.85	1407.55	791.35	616.37	291.04	241.19	368.65	444.72	348.71	447.82	387.02	417.77	379.04
CDRT15L2	0.0	0.0	2.66	6.67	3.08	3.29	6.06	2.78	4.28	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRDL2	0.0	0.14	190.34	253.23	181.28	182.55	329.84	283.05	543.96	133.36	57.08	241.19	14.67	0.0	10.47	0.0	8.32	10.63	12.36	5.15	16.39
CHST11	381.68	134.3	497.0	563.18	703.28	591.22	470.14	629.35	379.04	277.2	289.02	165.57	258.57	66.18	66.18	19.11	91.41	53.57	135.24	101.54	72.52
CREB3L1	0.0	0.31	1378.57	5112.16	713.11	2384.37	2935.74	2287.2	2468.49	1427.22	1628.26	791.35	51.35	234.57	353.59	6.46	258.57	343.89	147.06	99.43	307.69
CRTAC1	0.0	0.0	4152.18	802.41	1540.37	4038.61	1883.54	3901.01	2720.15	5183.54	108.9	1857.6	20.11	42.41	249.73	90.77	988.12	147.06	679.29	764.36	146.03
ELP3	0.0	0.28	1697.45	1340.84	1697.45	2104.58	1487.87	2255.7	2537.92	1073.91	420.68	1151.06	409.15	521.76	543.96	397.93	397.93	490.14	432.53	476.71	432.53
GATA2	0.0	0.69	6250.56	9279.58	2758.13	6561.36	4512.4	8598.28	6983.79	7911.95	1378.57	3103.19	120.94	63.0	95.34	22.59	166.73	96.68	60.82	99.43	39.79
GPX6	0.0	0.0	17.38	25.72	10.88	11.91	4.54	25.54	28.24	3.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSTM1	0.0	0.36	22.59	33922.56	12764.83	38430.46	33.3	53973.86	29736.59	65.72	38.4	16.27	819.3	18.97	7.17	32.59	3190.46	29.06	30.78	7.75	1286.18
HAUS7	0.0	0.77	988.12	2627.46	1617.0	1605.83	1757.34	2032.85	1769.57	723.08	836.53	1369.04	830.75	764.36	1015.93	435.55	854.13	723.08	928.3	688.78	547.75
HOXA4	0.0	0.56	253.23	248.0	165.57	279.14	400.71	231.32	170.25	164.42	112.77	265.87	66.18	18.97	73.03	12.0	94.67	32.13	59.97	75.11	24.99
HOXA6	0.0	0.3	57.49	47.84	54.33	106.63	69.52	89.51	35.0	121.79	55.89	68.55	0.0	0.0	1.2	0.0	2.2	1.75	1.19	3.41	0.67
HS3ST5	0.0	0.0	171.45	86.43	66.18	181.28	155.5	264.03	129.69	211.31	3.2	31.0	0.0	0.58	0.38	0.55	0.38	0.96	0.38	0.35	0.14
HS6ST1	0.0	0.59	2287.2	3303.0	1286.18	1519.15	1991.0	2119.22	1857.6	1340.84	1044.52	603.67	258.57	312.0	802.41	199.85	624.99	514.56	688.78	698.41	579.04
IL18R1	0.0	0.67	323.03	361.04	363.56	299.25	409.15	460.44	454.09	95.34	63.89	58.3	68.55	28.86	25.91	6.67	26.86	35.76	27.05	21.16	39.22
ILDR1	0.0	0.0	693.58	1216.75	1037.29	988.12	830.75	1427.22	1088.92	769.69	218.79	412.0	109.66	224.97	137.14	115.16	182.55	189.02	186.4	256.78	93.35
ISYNA1	0.0	0.67	4575.41	5791.62	6381.92	4736.79	3955.48	5517.27	5403.7	4010.71	2816.11	3768.09	2351.53	314.17	1143.1	547.75	1073.91	567.1	785.88	1159.07	356.05
KCNH7	0.0	0.0	6.62	4.39	3.5	2.07	3.0	1.23	4.9	1.55	0.53	3.38	0.0	0.34	0.72	0.66	0.36	0.0	0.0	0.0	0.36
KCTD4	0.0	0.0	6.36	7.88	3.76	4.03	8.51	3.99	4.03	2.58	0.0	2.84	0.48	0.55	1.3	0.85	0.48	0.0	0.91	0.0	0.0
KRTAP5-8	0.0	0.08	1.77	8.65	9.48	4.7	3.69	11.21	6.46	1.97	2.43	4.28	1.64	0.0	3.23	1.53	0.41	3.03	1.97	0.56	0.0
LAMP2	3018.3	2682.69	2485.67	4450.27	2645.74	3955.48	4181.07	6699.25	4704.07	3768.09	2758.13	3443.31	1617.0	2434.5	1417.35	1857.6	2367.9	1950.0	2075.59	2664.15	3928.15
MCF2	0.0	0.0	563.18	1508.65	1242.34	1250.98	974.5	1417.35	1088.92	825.0	118.43	226.54	5.36	6.57	26.47	2.68	25.35	15.22	21.63	32.13	6.84
ME1	0.0	0.62	842.36	1175.27	854.13	866.07	1037.29	1037.29	1015.93	1268.46	273.37	392.44	80.57	198.47	94.01	126.12	144.01	163.28	138.1	103.69	146.03
METAP1	0.0	0.68	890.44	896.64	1417.35	934.76	954.43	995.0	1096.5	1073.91	830.75	1167.14	301.33	432.53	514.56	387.02	466.88	579.04	525.39	518.15	460.44
MFSD9	0.0	0.0	273.37	397.93	316.37	381.68	303.44	420.68	376.41	318.57	126.12	164.42	96.01	126.12	102.25	90.14	123.5	129.69	141.02	171.45	100.13
MIA2	0.0	0.0	13.42	4.9	21.63	28.04	19.97	7.63	19.97	24.81	0.0	29.91	0.0	0.0	0.0	0.0	6.62	0.0	0.0	0.0	0.0
MS4A8	0.0	0.0	521.76	43.63	651.58	1407.55	1008.9	825.0	708.18	1498.22	18.97	305.55	0.0	0.0	1.66	0.0	0.0	0.0	0.0	2.66	0.0
MTA1	0.0	1.33	2451.44	5441.3	2895.31	1662.49	2555.58	3540.14	3419.52	1540.37	1268.46	1359.57	1844.76	830.75	928.3	2303.12	1250.98	2319.15	1583.71	1340.84	941.27
MTRNR2L12	0.0	0.0	866.07	1295.13	603.67	620.67	915.51	490.14	902.89	358.54	1023.0	651.58	31.67	332.14	267.73	75.11	44.89	140.04	36.01	0.0	81.71
MYO1E	0.0	0.59	988.12	2573.36	1745.2	1870.53	1397.83	1628.26	1806.78	909.17	414.87	896.64	656.11	332.14	473.41	480.04	397.93	220.32	414.87	426.57	802.41
NDRG4	0.0	0.65	1936.53	3690.52	3349.13	2090.03	2335.28	2976.74	2758.13	1350.18	595.34	1167.14	67.59	56.28	291.04	32.36	341.51	74.06	197.09	149.12	88.26
NFIB	58.71	49.91	748.61	1313.23	1059.11	583.07	1023.0	842.36	981.29	947.83	490.14	796.86	381.68	253.23	1233.75	114.36	441.64	423.61	473.41	348.71	435.55
NFYB	0.0	0.35	2956.17	4038.61	5791.62	5147.73	5831.91	5517.27	6164.49	2609.3	961.07	1359.57	497.0	493.56	896.64	529.06	718.08	500.46	764.36	679.29	775.05
NKD1	0.0	0.39	89.51	130.6	95.34	39.22	96.68	73.54	105.89	27.25	75.64	22.43	6.36	1.68	16.27	0.88	19.53	11.21	30.56	23.42	4.66
NRXN3	0.0	0.21	447.82	629.35	343.89	246.28	460.44	366.09	356.05	271.48	23.59	497.0	12.64	5.06	37.85	7.28	23.08	19.53	18.43	17.51	21.16
NSDHL	0.0	0.0	872.1	954.43	1233.75	1088.92	961.07	1143.1	753.83	842.36	518.15	507.46	503.95	497.0	397.93	334.46	426.57	429.54	371.22	423.61	307.69
NUP50	511.0	165.57	503.95	854.13	591.22	529.06	713.11	599.49	713.11	642.59	463.65	511.0	173.85	275.28	341.51	470.14	305.55	371.22	303.44	285.03	277.2
P2RX2	0.0	0.2	460.44	1662.49	473.41	947.83	579.04	647.07	796.86	110.43	381.68	181.28	9.34	2.56	15.56	0.0	12.0	0.74	23.93	2.41	3.2
PAQR8	55.1	65.72	1151.06	884.29	1023.0	1617.0	1628.26	2502.97	1617.0	2796.65	112.77	363.56	43.63	41.81	77.25	65.26	68.07	77.79	51.35	69.52	65.72
PCDH11Y	0.0	0.0	14.45	9.63	10.16	8.58	12.0	14.56	7.22	3.26	2.12	4.82	0.0	0.0	2.58	1.46	1.0	1.95	0.8	0.96	0.61
PDE4DIP	1572.76	60.82	1407.55	3540.14	2935.74	3081.75	2018.8	2555.58	2451.44	1331.57	665.29	934.76	769.69	769.69	1529.73	256.78	1059.11	842.36	1286.18	954.43	896.64
PGAP2	0.0	0.21	4802.93	8247.98	7485.11	6250.56	4575.41	11035.54	6935.54	2255.7	1685.71	1304.15	688.78	1023.0	896.64	785.88	954.43	909.17	1104.13	947.83	665.29
PIWIL4	0.0	0.56	114.36	115.97	77.79	167.9	211.31	187.71	161.02	66.65	58.3	65.72	36.53	11.13	82.29	6.62	68.07	38.4	55.1	47.17	20.26
POGLUT1	171.45	432.53	483.38	780.44	571.05	476.71	633.73	521.76	525.39	507.46	265.87	351.14	124.37	180.02	201.25	133.36	139.07	178.77	138.1	169.07	135.24
PRR26	0.0	0.08	58.71	45.85	31.0	10.16	36.27	16.15	18.03	21.32	16.39	5.77	2.01	1.57	7.06	1.45	3.23	2.78	6.78	2.29	2.18
PRR5	0.0	0.67	733.19	1572.76	802.41	1008.9	854.13	1519.15	785.88	759.08	830.75	620.67	293.07	183.82	381.68	155.5	273.37	287.01	242.88	285.03	285.03
PSG5	0.0	0.0	5.02	9.13	10.16	8.45	6.41	2.1	15.0	7.94	0.0	0.0	0.0	0.0	6.11	0.0	0.0	10.63	2.76	0.0	0.0
RAD54B	0.0	0.0	139.07	158.79	126.12	166.73	212.78	169.07	325.29	170.25	100.13	123.5	31.9	28.65	69.03	17.38	65.72	22.75	34.02	54.72	22.75
RASL10B	0.0	0.35	1167.14	2875.3	2104.58	1199.98	902.89	1277.29	1119.56	450.94	55.89	131.51	70.01	58.3	6.26	4.03	13.72	37.59	11.64	2.56	13.93
RASL11B	0.0	0.14	579.04	896.64	567.1	796.86	503.95	1331.57	947.83	819.3	76.71	175.07	5.19	13.42	39.5	1.07	53.57	30.12	8.06	37.59	24.28
RBBP7	2739.08	264.03	6207.38	12853.63	8901.53	9025.81	8305.36	9279.58	9808.75	5112.16	3928.15	3146.52	2720.15	2148.82	2303.12	1936.53	2400.97	2104.58	1923.14	2417.67	2271.4
REPS2	51.71	395.18	473.41	866.07	620.67	713.11	629.35	928.3	679.29	583.07	226.54	183.82	38.12	52.82	91.41	18.56	100.83	52.82	66.18	88.26	106.63
RHBDD2	0.0	0.69	7280.4	20737.16	8191.0	9025.81	8778.97	12676.65	8598.28	5751.61	3901.01	3018.3	5403.7	3515.68	3146.52	4095.0	4010.71	2701.35	3103.19	3901.01	1991.0
RHOBTB1	0.0	0.46	460.44	679.29	473.41	483.38	559.28	555.41	525.39	381.68	152.28	182.55	64.34	59.97	180.02	68.07	162.14	102.97	158.79	70.51	75.11
RNF144A	0.0	0.27	295.11	412.0	237.86	307.69	447.82	438.59	366.09	273.37	175.07	166.73	58.3	76.71	135.24	35.5	133.36	71.0	95.34	105.15	87.65
SEMG1	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11	4038.61	353168.2	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0
SEMG2	0.0	0.0	726195.27	1041331.96	711250.37	1864037.21	1556634.79	1611529.43	1264380.15	3028138.0	836.53	214407.12	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0
SERPINF2	0.0	0.0	1135.2	4937.99	4704.07	2664.15	2417.67	4010.71	3665.02	1242.34	423.61	941.27	81.71	7.88	19.53	2.76	11.04	114.36	15.34	11.47	70.01
SLC35E1	503.95	1359.57	988.12	1605.83	764.36	1088.92	1015.93	1167.14	928.3	1233.75	860.08	785.88	463.65	559.28	848.22	426.57	547.75	591.22	529.06	563.18	563.18
SLC9A1	0.0	0.68	2287.2	3589.58	1977.24	2816.11	2777.33	3847.29	2468.49	2224.63	890.44	854.13	493.56	555.41	420.68	633.73	470.14	417.77	403.5	532.74	277.2
SLCO2A1	0.0	0.83	6699.25	10154.69	5594.3	7230.1	9606.86	8247.98	5872.48	5555.65	1051.79	1167.14	1685.71	1498.22	1794.29	476.71	2434.5	579.04	2163.77	1340.84	1304.15
SMOX	0.0	0.73	493.56	1628.26	656.11	587.13	595.34	896.64	607.87	368.65	1037.29	493.56	389.72	154.42	253.23	180.02	186.4	197.09	346.29	150.17	463.65
SPINK2	0.0	0.0	16383.0	21026.65	34396.12	33922.56	17078.76	33688.23	46339.95	12853.63	95.34	8718.32	35.76	52.08	24.63	6.11	16.39	14.24	23.25	27.05	24.11
STAC2	0.0	0.37	1304.15	6516.03	5594.3	4210.15	3955.48	4388.98	3665.02	3491.39	92.7	1023.0	7.51	4.98	0.73	0.83	0.95	2.68	1.66	0.0	4.06
SULT2A1	0.0	0.0	303.44	397.93	444.72	237.86	144.01	551.56	318.57	193.01	1.51	38.95	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
SYT10	0.0	0.0	29.91	33.06	37.05	32.59	30.56	33.3	56.28	10.16	0.0	12.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SYT9	0.0	0.0	183.82	97.36	124.37	366.09	314.17	323.03	172.65	507.46	92.7	24.81	1.83	14.67	57.89	8.38	53.57	102.25	23.76	80.57	32.13
TBC1D30	0.0	0.39	244.57	624.99	260.38	514.56	503.95	480.04	318.57	346.29	128.79	180.02	30.56	92.7	25.91	17.64	36.27	63.0	31.9	28.65	46.84
TBC1D8	0.0	0.51	1322.37	3372.43	2682.69	2384.37	2287.2	2163.77	1991.0	595.34	638.15	748.61	143.01	111.99	267.73	341.51	228.13	190.34	303.44	147.06	228.13
TFG	0.0	1.11	2287.2	5076.84	2240.11	2573.36	2645.74	3794.3	3349.13	2591.27	1685.71	1883.54	1950.0	2287.2	1745.2	1662.49	2090.03	1896.65	1697.45	2255.7	2287.2
TMC4	954.43	211.31	2855.44	5954.47	3794.3	4066.71	3257.52	5183.54	2976.74	2895.31	2047.0	2075.59	2591.27	2090.03	2119.22	2935.74	2104.58	1870.53	2664.15	2119.22	1242.34
TMED6	0.0	0.0	127.89	341.51	162.14	285.03	127.89	246.28	316.37	237.86	5.23	37.32	18.7	5.41	12.09	2.48	8.0	13.72	8.25	9.63	8.06
TMEM101	0.0	0.14	5517.27	4543.8	5403.7	11189.6	11745.96	11745.96	7911.95	14065.74	1037.29	5995.9	830.75	947.83	860.08	612.11	830.75	860.08	785.88	902.89	543.96
TMEM132E	0.0	0.06	27.44	83.45	29.27	48.52	45.53	85.22	96.68	32.59	17.77	8.78	17.25	2.61	3.53	0.92	11.13	16.39	5.32	13.72	2.73
TMEM51	346.29	819.3	674.59	921.88	518.15	684.02	514.56	624.99	620.67	473.41	435.55	332.14	181.28	111.21	157.68	38.4	127.89	100.13	191.67	163.28	285.03
TMEM63A	473.41	579.04	1159.07	1159.07	1277.29	1268.46	1369.04	1477.58	1457.23	1819.35	928.3	854.13	320.8	223.41	567.1	547.75	457.25	624.99	684.02	363.56	444.72
TNFRSF11A	0.0	0.21	206.94	409.15	162.14	221.86	303.44	305.55	218.79	297.17	47.17	104.42	17.77	2.76	42.71	5.63	71.0	27.44	43.63	48.87	23.08
TREX1	0.0	0.59	1073.91	1167.14	1066.48	1617.0	1135.2	1388.16	1304.15	1605.83	981.29	921.88	651.58	260.38	273.37	137.14	395.18	435.55	236.21	476.71	108.9
TRMT6	0.0	0.11	688.78	1709.26	409.15	1023.0	902.89	909.17	791.35	412.0	208.38	361.04	217.27	194.36	178.77	143.01	189.02	178.77	143.01	186.4	151.22
TSC2	587.13	728.11	2682.69	4181.07	3349.13	2682.69	2777.33	3639.7	2335.28	2335.28	1662.49	1519.15	1769.57	1437.15	1583.71	1733.13	1909.85	1883.54	2224.63	1819.35	1216.75
WNT9B	0.0	0.01	305.55	450.94	466.88	525.39	127.0	555.41	262.2	176.29	2.36	102.97	6.21	0.44	1.95	0.88	3.82	4.03	0.69	0.89	2.46
WWC3	66.18	63.89	1498.22	2915.45	2163.77	1697.45	1991.0	2400.97	1806.78	2090.03	483.38	660.68	454.09	162.14	447.82	283.05	567.1	351.14	412.0	305.55	460.44
ZNF503	363.56	130.6	1259.69	981.29	808.0	543.96	656.11	872.1	854.13	878.17	120.94	376.41	124.37	113.56	106.63	136.19	265.87	217.27	96.68	220.32	127.0
