	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0B7.01A.12R.A115.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW
KLC1	1277.29	981.29	780.44	1191.69	961.07	1407.55	1259.69	1388.16	0.0	0.85	3303.0	2351.53	3349.13
KLHL18	242.88	275.28	133.36	334.46	264.03	249.73	267.73	212.78	0.0	0.4	1111.82	1044.52	1369.04
KRT79	1.08	2.25	0.28	9.78	0.39	26.86	49.56	48.18	0.0	0.0	236.21	50.27	66.65
KRTAP16-1	0.0	0.0	0.0	2.25	0.0	0.0	0.43	0.0	0.0	0.0	5.59	0.28	0.61
KRTAP5-4	0.0	0.32	0.0	9.63	0.0	0.0	0.0	1.04	0.0	0.0	36.79	2.41	0.0
LAMA5	995.0	490.14	902.89	651.58	1651.0	961.07	1151.06	1388.16	0.0	1.66	3901.01	1991.0	1561.89
LDHD	1066.48	38.67	348.71	73.54	31.0	78.34	353.59	218.79	0.0	0.32	1583.71	974.5	1628.26
LMCD1	1340.84	381.68	555.41	854.13	693.58	808.0	1674.06	2240.11	0.0	0.39	5913.33	902.89	392.44
LRIT2	0.0	0.0	0.0	0.35	0.0	0.0	0.8	0.34	0.0	0.0	2.03	1.45	2.53
MACROD1	209.84	348.71	483.38	363.56	199.85	518.15	389.72	511.0	0.0	0.62	3955.48	3665.02	2520.38
MPZL2	483.38	217.27	339.14	679.29	647.07	486.75	728.11	954.43	0.0	0.42	3540.14	1437.15	1857.6
MUCL1	2216726.5	602247.76	262.2	167058.21	1273174.62	985160.01	434801.29	419990.32	0.0	0.22	9635979.21	5.19	191.67
NCCRP1	392.44	13.22	0.0	1551.09	1378.57	69.52	293.07	58.3	0.0	0.25	2816.11	346.29	2018.8
NOV	127.89	26.67	82.29	90.77	267.73	54.33	1340.84	587.13	0.0	0.02	2701.35	61.68	287.01
OGDH	1037.29	748.61	785.88	1304.15	1059.11	830.75	1191.69	1066.48	0.0	0.61	4239.45	5711.87	4836.35
ONECUT1	5.87	0.0	0.0	0.38	0.0	0.0	2.92	0.0	0.0	0.0	10.79	0.0	9.41
PINK1	1191.69	599.49	1059.11	1628.26	947.83	599.49	1135.2	1477.58	0.0	0.47	4210.15	4239.45	5479.15
PLEC	1167.14	934.76	229.72	836.53	1572.76	665.29	1572.76	813.63	1104.13	37.32	3742.05	3540.14	1977.24
PLEKHG1	125.24	75.11	26.28	166.73	128.79	34.26	267.73	232.94	0.0	0.28	759.08	221.86	197.09
PLEKHM2	890.44	503.95	392.44	769.69	616.37	447.82	848.22	688.78	0.0	0.92	2047.0	1617.0	2133.97
PLP1	9.48	1.91	6.06	22.92	1.97	0.96	50.98	77.79	0.0	0.33	341.51	135.24	260.38
PPAPDC3	49.21	12.0	8.38	51.71	38.4	28.24	91.41	100.83	0.0	0.34	759.08	1119.56	514.56
PQLC1	616.37	273.37	406.31	587.13	412.0	532.74	872.1	802.41	0.0	0.74	1883.54	1015.93	836.53
PROCR	242.88	153.34	236.21	241.19	186.4	309.83	470.14	647.07	0.0	0.23	2609.3	703.28	1605.83
RASIP1	218.79	61.68	134.3	307.69	183.82	112.77	277.2	866.07	0.0	0.54	2502.97	842.36	708.18
RCAN2	228.13	80.01	62.56	249.73	197.09	67.12	669.92	620.67	0.0	0.54	1388.16	2855.44	808.0
SBK3	4.43	0.41	2.01	2.78	0.93	0.0	11.91	3.82	0.0	0.17	30.56	127.89	15.91
SLC10A6	12.64	8.25	30.12	34.26	17.13	7.28	59.97	47.17	0.0	0.16	603.67	154.42	130.6
SLC25A11	1059.11	1167.14	769.69	1143.1	698.41	633.73	928.3	1233.75	0.0	0.0	3467.27	2384.37	3303.0
SLC9B2	86.43	155.5	61.68	129.69	59.13	22.43	275.28	195.72	0.0	0.44	620.67	183.82	166.73
SLCO3A1	136.19	57.08	379.04	336.79	198.47	106.63	403.5	389.72	295.11	224.97	995.0	571.05	555.41
SLITRK2	0.73	0.96	0.0	3.2	1.19	0.32	5.77	3.82	0.0	0.19	24.11	6.57	7.69
SMR3A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.97	0.0	0.0	8.25	7.34	11.82
SOX7	61.68	18.7	22.1	87.03	39.22	30.34	129.69	497.0	61.25	115.16	1159.07	902.89	728.11
SRPK3	441.64	169.07	2.78	100.13	255.0	4.66	8.65	8.65	0.0	0.64	1883.54	674.59	2047.0
SYNPO	638.15	134.3	124.37	718.08	417.77	567.1	1096.5	1733.13	358.54	406.31	4298.64	4181.07	2701.35
THBD	255.0	67.12	368.65	460.44	120.1	366.09	444.72	1066.48	0.0	0.59	4450.27	1572.76	2224.63
TKTL1	0.74	0.0	2.1	7.11	1.99	0.0	25.54	9.41	0.0	0.13	49.56	13.12	12.64
TLL1	17.77	6.52	7.51	43.94	18.03	14.24	103.69	85.22	0.0	0.05	353.59	60.39	151.22
TMBIM1	2209.26	896.64	1073.91	3081.75	1769.57	2485.67	3039.3	3847.29	2520.38	180.02	7857.29	5672.41	7382.04
TNFAIP8L3	76.71	41.81	24.11	175.07	46.84	38.4	165.57	151.22	0.0	0.53	575.03	285.03	703.28
TNFSF14	4.35	8.58	4.17	36.27	35.76	3.11	11.04	76.71	0.0	0.17	303.44	17.13	113.56
TRIP10	1066.48	406.31	567.1	603.67	460.44	934.76	1143.1	1216.75	0.0	0.44	4298.64	4268.94	4328.55
TRPM6	6.06	0.0	0.0	6.62	0.83	1.3	12.0	35.25	0.0	0.21	133.36	15.56	27.25
TSPAN7	251.48	41.22	41.22	872.1	66.18	64.8	921.88	2777.33	0.0	0.67	6745.86	12329.98	10440.2
WSCD1	24.81	2.66	4.54	14.89	6.84	15.45	41.22	38.12	0.0	0.19	190.34	29.27	51.71
ZBTB47	218.79	127.0	80.01	148.09	146.03	102.25	414.87	265.87	106.63	108.9	612.11	1322.37	1242.34
