	TCGA.XF.AAN8.01A.11R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.3320.01A.02R.1325.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CJ.5689.01A.11R.1541.07	TCGA.B8.5545.01A.01R.1672.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
LMBRD1	551.56	1073.91	2032.85	2047.0	633.73	2193.99	2119.22	1936.53	1709.26	1199.98	775.05	176.29
LPIN2	197.09	69.03	466.88	583.07	258.57	454.09	698.41	406.31	555.41	343.89	0.0	0.67
LRRK2	71.5	37.32	1467.37	1259.69	532.74	780.44	1388.16	470.14	521.76	229.72	0.0	0.11
MAP7	21.01	1923.14	791.35	941.27	21.78	507.46	1088.92	295.11	327.56	146.03	0.0	0.0
MAVS	105.89	134.3	476.71	353.59	277.2	248.0	543.96	208.38	314.17	232.94	0.0	0.51
METTL7A	1674.06	1277.29	2720.15	3690.52	1950.0	3060.45	5183.54	1407.55	2555.58	1183.45	327.56	1529.73
MGAM	33.54	0.0	995.0	1030.12	0.72	583.07	860.08	193.01	555.41	93.35	0.0	0.42
MIA2	0.0	0.0	202.66	205.5	7.63	140.04	277.2	34.02	195.72	21.01	0.0	0.0
MIOX	1.57	6.84	2997.45	3081.75	258.57	1295.13	2875.3	2335.28	825.0	171.45	0.0	0.23
MOB3B	64.8	100.83	486.75	301.33	8.85	387.02	435.55	165.57	105.15	77.25	0.0	0.27
MYO3A	1.55	819.3	115.16	108.14	0.39	86.43	111.21	32.36	48.52	45.53	0.0	0.0
MYO9A	61.25	68.07	890.44	583.07	139.07	381.68	878.17	229.72	435.55	212.78	54.33	215.77
NADK2	232.94	136.19	703.28	547.75	295.11	395.18	679.29	318.57	423.61	387.02	229.72	532.74
NBEAL1	22.1	71.0	228.13	173.85	53.19	93.35	178.77	104.42	127.89	90.14	0.0	0.2
OR2C1	0.0	1.95	6.67	2.68	0.67	1.69	3.38	1.51	3.17	1.81	0.0	0.0
PANK1	17.13	226.54	890.44	409.15	124.37	198.47	412.0	151.22	163.28	70.51	0.0	0.0
PBLD	81.14	34.26	1819.35	2400.97	116.78	1001.93	2209.26	947.83	1313.23	547.75	0.0	0.32
PDPK1	106.63	356.05	591.22	460.44	215.77	507.46	551.56	329.84	389.72	301.33	0.0	0.47
PDZK1	6.21	0.0	9945.68	7695.57	669.92	6792.79	8963.45	2367.9	5913.33	1870.53	0.0	0.26
PGAP1	26.86	218.79	120.1	101.54	23.42	96.01	128.79	63.45	102.25	57.08	0.0	0.54
PHOSPHO2	44.57	43.94	187.71	129.69	34.75	109.66	159.9	66.18	115.97	49.91	0.0	0.01
PKHD1	0.0	21.94	353.59	299.25	0.39	143.01	400.71	48.18	191.67	27.25	0.0	0.0
PKP4	323.03	830.75	1977.24	1487.87	693.58	1104.13	1950.0	842.36	1030.12	629.35	325.29	426.57
PLEKHF2	92.7	269.6	563.18	420.68	295.11	341.51	629.35	220.32	318.57	279.14	0.0	0.38
PPARA	44.57	293.07	470.14	336.79	125.24	234.57	358.54	156.59	248.0	163.28	138.1	183.82
PREPL	161.02	178.77	1909.85	1674.06	417.77	1216.75	1508.65	988.12	1208.34	551.56	0.0	0.48
PRKD1	129.69	1.22	348.71	299.25	25.35	214.27	384.34	224.97	208.38	133.36	0.0	0.46
PROSC	432.53	376.41	1605.83	1529.73	514.56	1508.65	1819.35	808.0	753.83	866.07	967.76	314.17
RAB17	32.59	1208.34	1757.34	1477.58	116.78	775.05	2163.77	1259.69	733.19	563.18	0.0	0.55
RAB3IP	82.87	373.81	1175.27	1295.13	171.45	571.05	1030.12	432.53	435.55	265.87	0.0	0.61
RCHY1	248.0	264.03	1030.12	848.22	181.28	733.19	1175.27	500.46	703.28	497.0	0.0	0.51
RGP1	96.68	159.9	591.22	514.56	131.51	429.54	591.22	224.97	429.54	232.94	0.0	0.52
RIT1	376.41	2758.13	1832.01	1950.0	543.96	1015.93	1662.49	1167.14	1467.37	1073.91	473.41	137.14
RP11-407N17.3	0.0	0.0	178.77	258.57	9.2	172.65	248.0	64.8	217.27	39.22	0.0	0.0
SCTR	2.34	58.71	163.28	63.45	3.17	57.89	149.12	47.5	129.69	35.25	0.0	0.01
SECISBP2L	108.14	277.2	728.11	607.87	204.07	563.18	738.29	400.71	518.15	346.29	0.0	0.11
SEPSECS	31.0	77.25	368.65	403.5	96.01	224.97	381.68	161.02	229.72	152.28	0.0	0.28
SETD3	718.08	624.99	2178.83	1991.0	947.83	1857.6	1639.59	1175.27	1519.15	1037.29	0.0	0.71
SLC12A6	28.45	7966.99	525.39	441.64	88.26	281.09	638.15	147.06	151.22	128.79	0.0	0.61
SLC17A1	0.0	0.0	981.29	718.08	1.83	158.79	902.89	395.18	412.0	60.82	0.0	0.0
SLC22A2	3.44	0.0	2104.58	5672.41	10.24	3124.78	3820.7	1268.46	3168.41	1295.13	0.0	0.0
SLC27A2	11.38	1977.24	1697.45	2032.85	1.07	409.15	1628.26	320.8	323.03	156.59	0.0	0.0
SLC3A1	0.0	0.0	13215.02	18052.61	2209.26	15180.22	13968.57	6471.02	12160.22	2682.69	0.0	0.28
SLC5A10	0.39	38.12	1216.75	2417.67	136.19	583.07	1733.13	848.22	271.48	185.11	0.0	0.27
SLC6A13	4.62	1.14	7180.15	7857.29	3280.18	2485.67	9344.14	1233.75	3847.29	638.15	0.0	0.0
SMAD5	189.02	414.87	775.05	679.29	239.52	521.76	902.89	339.14	571.05	336.79	0.0	0.4
SMTNL2	79.45	0.0	476.71	314.17	6.11	212.78	493.56	244.57	327.56	107.38	0.0	0.23
SNX2	1111.82	1268.46	2573.36	1794.29	1111.82	2468.49	2573.36	1662.49	1745.2	1594.73	866.07	532.74
SNX29	153.34	108.14	785.88	753.83	166.73	759.08	896.64	348.71	381.68	301.33	0.0	0.4
SNX30	74.06	63.0	426.57	332.14	141.02	175.07	371.22	156.59	353.59	111.21	0.0	0.06
SOWAHB	1.99	1662.49	231.32	199.85	4.86	100.83	211.31	40.36	105.89	28.24	0.0	0.0
SOX6	3.5	114.36	325.29	183.82	50.27	57.89	265.87	112.77	217.27	71.5	0.0	0.29
STX17	140.04	316.37	406.31	323.03	195.72	265.87	397.93	175.07	271.48	167.9	0.0	0.42
SWT1	27.64	36.01	163.28	138.1	40.07	105.89	147.06	84.63	101.54	64.8	0.0	0.2
SYDE2	10.08	2.34	65.72	59.13	0.0	34.75	72.01	23.25	40.93	12.83	0.0	0.01
SYNJ2BP	125.24	191.67	435.55	473.41	157.68	403.5	571.05	297.17	444.72	283.05	0.0	0.27
TBC1D14	395.18	1331.57	842.36	713.11	358.54	507.46	854.13	674.59	728.11	466.88	0.0	0.46
TLN2	148.09	6.67	728.11	961.07	129.69	708.18	1111.82	273.37	450.94	312.0	0.0	0.34
TMED8	50.98	50.27	438.59	423.61	113.56	314.17	500.46	166.73	291.04	165.57	0.0	0.4
TMEM106A	102.97	7.46	651.58	470.14	199.85	281.09	429.54	208.38	241.19	193.01	0.0	0.38
TMEM135	214.27	223.41	802.41	961.07	343.89	836.53	764.36	417.77	603.67	323.03	0.0	0.32
TMEM37	708.18	679.29	4937.99	3303.0	1457.23	5147.73	5831.91	3280.18	3372.43	2367.9	0.0	0.33
TRHDE	10.08	9.41	242.88	251.48	0.37	130.6	260.38	96.68	89.51	29.06	0.0	0.04
TRMT1L	52.45	136.19	555.41	480.04	180.02	343.89	438.59	237.86	366.09	265.87	0.0	0.15
TRPM3	1.53	0.0	273.37	198.47	0.73	78.89	277.2	47.84	52.45	9.78	1.16	24.99
TSHZ1	125.24	234.57	669.92	660.68	130.6	599.49	872.1	381.68	500.46	287.01	104.42	78.34
TTC12	57.49	98.04	395.18	371.22	126.12	234.57	403.5	166.73	172.65	137.14	0.0	0.19
UPB1	3.47	0.0	466.88	866.07	26.47	387.02	713.11	232.94	256.78	161.02	0.0	0.28
USP30	101.54	161.02	325.29	267.73	185.11	255.0	361.04	193.01	248.0	212.78	0.0	0.21
USP54	88.26	708.18	277.2	224.97	123.5	175.07	332.14	145.02	239.52	167.9	0.0	0.32
VIL1	32.82	50.63	1167.14	1397.83	20.26	327.56	2148.82	59.55	363.56	65.26	0.0	0.53
VPS13A	64.34	269.6	674.59	379.04	229.72	273.37	376.41	127.89	237.86	126.12	0.0	0.69
WDFY3	69.03	251.48	813.63	1001.93	141.02	400.71	988.12	358.54	603.67	283.05	0.0	0.6
WDR31	6.62	110.43	134.3	105.15	32.13	56.68	161.02	33.54	82.87	9.93	0.0	0.0
WDR72	5.54	0.0	860.08	629.35	0.74	447.82	616.37	283.05	571.05	119.26	0.0	0.34
ZC3H12C	31.22	3.41	129.69	169.07	27.05	67.12	172.65	43.63	91.41	55.1	0.0	0.27
ZFP30	27.64	38.67	139.07	119.26	35.25	75.64	169.07	55.1	101.54	85.22	0.0	0.34
ZFP37	15.56	2.12	88.88	87.65	31.67	48.87	107.38	51.35	100.13	30.12	0.0	0.19
ZNF221	8.51	11.64	41.22	27.25	11.47	17.77	52.45	15.8	22.1	19.53	0.0	0.1
ZNF429	37.05	190.34	316.37	269.6	96.68	255.0	332.14	155.5	273.37	159.9	0.0	0.28
ZNF658	10.16	37.85	91.41	59.97	30.12	67.12	108.14	40.07	78.89	26.28	0.0	0.0
ZNF684	20.26	14.67	136.19	116.78	37.85	70.01	178.77	70.51	92.05	62.56	0.0	0.17
