	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.BP.4988.01A.01R.1334.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.B2.4101.01A.02R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5931.11A.01R.1858.07	TCGA.50.6595.11A.01R.1858.07	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.OHPM.0526.SM.2YUMJ
ARSG	98.04	143.01	115.16	204.07	105.89	166.73	0.0	0.39	52.45	92.7	52.45	17.77	57.49
BRD8	854.13	1313.23	1844.76	1551.09	1745.2	1277.29	0.0	0.65	417.77	638.15	348.71	356.05	500.46
C11orf35	189.02	224.97	156.59	199.85	244.57	110.43	0.0	0.52	45.53	69.03	53.19	41.52	32.82
C17orf66	4.24	1.13	10.96	10.63	11.64	4.03	0.0	0.23	0.0	4.9	3.76	1.58	0.0
C19orf71	78.34	108.14	127.0	77.79	115.16	58.3	0.0	0.61	18.7	33.78	27.25	11.82	13.93
C1orf101	8.45	13.42	16.51	36.79	18.84	16.51	0.0	0.15	5.87	10.96	10.0	10.88	6.73
C1orf213	150.17	127.0	277.2	113.56	144.01	130.6	0.0	0.16	26.67	36.79	31.22	14.03	16.15
C20orf197	2.68	2.71	23.93	14.24	10.79	10.08	0.0	0.37	6.06	6.11	0.0	0.16	2.48
C5orf45	728.11	974.5	4181.07	1963.57	2090.03	1242.34	271.48	129.69	435.55	536.45	397.93	379.04	212.78
C5orf54	24.46	50.98	218.79	212.78	234.57	214.27	0.0	0.0	18.56	57.08	24.28	3.99	23.93
C9orf163	8.25	17.13	9.2	14.35	11.91	4.74	0.0	0.16	2.34	2.78	0.88	1.28	2.32
CACNA1F	14.78	17.64	86.43	58.3	32.82	30.34	0.0	0.3	7.11	12.74	6.06	19.11	5.59
CCDC168	0.34	0.34	1.71	2.41	1.13	1.46	0.0	0.0	0.0	0.0	0.32	1.81	0.16
CCDC40	119.26	67.59	231.32	163.28	164.42	211.31	0.0	0.33	71.5	92.7	44.89	57.49	46.18
CDK10	1651.0	1709.26	4210.15	2609.3	4512.4	1674.06	0.0	1.0	718.08	954.43	521.76	540.19	607.87
CHKB	1757.34	2090.03	4328.55	1977.24	2816.11	1407.55	0.0	1.22	656.11	1051.79	591.22	435.55	271.48
CLCN2	120.1	191.67	110.43	115.16	120.94	84.63	0.0	0.69	37.85	59.55	24.28	23.25	24.11
CLK4	583.07	629.35	1651.0	1322.37	1806.78	921.88	0.0	0.66	212.78	366.09	130.6	94.01	113.56
COL27A1	417.77	463.65	902.89	599.49	1104.13	660.68	0.0	0.93	52.82	92.05	89.51	33.78	146.03
CTC-241N9.1	17.25	12.18	127.89	60.82	57.89	44.25	0.0	0.0	21.78	43.94	4.86	0.0	25.35
CTU1	96.01	111.21	71.5	39.79	49.56	42.71	0.0	0.18	38.95	38.4	11.47	29.06	33.54
CYB5RL	40.93	75.11	80.01	97.36	96.01	87.03	0.0	0.0	52.45	60.39	27.44	17.9	30.34
DDX26B	228.13	371.22	480.04	269.6	329.84	228.13	101.54	135.24	74.58	120.1	65.26	85.22	10.63
DDX41	1304.15	1757.34	3742.05	2148.82	2434.5	1709.26	0.0	0.78	961.07	1104.13	525.39	743.43	848.22
DNHD1	195.72	244.57	567.1	215.77	327.56	142.01	0.0	1.06	87.65	96.01	81.14	181.28	30.78
DZIP1L	224.97	237.86	194.36	334.46	389.72	173.85	0.0	0.49	35.5	115.16	58.71	28.45	34.51
FAM153C	41.81	53.57	2720.15	703.28	825.0	131.51	0.0	0.48	36.27	14.89	5.19	3.23	39.5
FAM193B	1447.15	2271.4	5831.91	2255.7	4388.98	1819.35	0.0	1.45	698.41	1008.9	454.09	571.05	267.73
FAM209A	7.57	20.71	32.59	10.71	10.55	8.06	0.0	0.45	0.0	8.51	5.28	5.45	0.83
FAN1	226.54	285.03	343.89	346.29	256.78	291.04	0.0	0.45	95.34	209.84	100.13	30.34	91.41
FBXO44	457.25	738.29	1127.35	688.78	902.89	629.35	309.83	368.65	361.04	441.64	336.79	242.88	204.07
GDF9	4.74	16.63	44.57	38.95	30.78	20.71	0.0	0.09	7.28	10.08	0.28	2.78	0.28
GOLGA8I	31.45	33.54	134.3	55.49	135.24	64.8	0.0	0.43	18.16	38.4	16.03	4.66	5.06
GOLGA8S	7.88	7.94	39.22	13.62	40.07	17.77	0.0	0.32	2.66	8.71	2.34	1.71	1.53
GPR61	17.13	27.64	16.63	29.06	36.79	6.57	0.0	0.17	3.32	8.25	0.0	2.05	5.77
HARS2	529.06	698.41	988.12	733.19	842.36	808.0	0.0	0.64	312.0	543.96	223.41	185.11	234.57
HDAC10	1008.9	1359.57	2075.59	921.88	1259.69	660.68	0.0	0.96	351.14	532.74	336.79	182.55	147.06
HEXIM2	138.1	120.1	256.78	291.04	301.33	409.15	0.0	0.0	86.43	153.34	21.32	14.35	65.72
HSD17B3	35.5	15.91	81.71	90.14	90.14	68.07	0.0	0.79	13.72	21.32	12.93	5.19	0.72
IFT81	128.79	142.01	395.18	373.81	293.07	249.73	0.0	0.32	147.06	193.01	182.55	38.12	50.98
INTU	102.97	165.57	267.73	176.29	150.17	86.43	45.21	36.27	56.68	77.25	52.45	29.48	35.5
IRF5	536.45	299.25	890.44	669.92	995.0	351.14	0.0	0.55	226.54	356.05	231.32	102.25	232.94
KIF12	5711.87	3716.2	1662.49	3349.13	4066.71	1467.37	0.0	0.06	27.84	49.21	14.35	6.84	28.45
LIAS	142.01	283.05	325.29	239.52	309.83	287.01	0.0	0.06	82.29	139.07	63.45	23.25	73.54
LPIN3	656.11	1151.06	1583.71	1001.93	1167.14	647.07	159.9	332.14	126.12	171.45	98.73	47.5	61.68
LRIT3	6.89	5.02	10.0	9.34	10.24	6.41	0.0	0.27	3.82	3.41	1.13	4.5	1.5
LRRD1	1.2	1.64	2.76	4.13	3.03	3.66	0.0	0.06	0.0	0.52	0.0	0.0	0.27
MAMDC4	181.28	180.02	563.18	444.72	466.88	199.85	0.0	1.03	23.93	38.67	23.93	10.39	29.27
MAN2C1	3257.52	4239.45	7382.04	4038.61	5831.91	2645.74	0.0	1.62	1199.98	2047.0	1963.57	713.11	665.29
MAPK15	262.2	218.79	1183.45	1216.75	764.36	275.28	0.0	0.46	59.97	180.02	164.42	76.17	61.68
MAPK8IP3	1583.71	1697.45	3982.99	2090.03	2047.0	1088.92	0.0	1.69	327.56	493.56	395.18	647.07	101.54
MFSD12	848.22	780.44	2075.59	1340.84	1870.53	1081.39	0.0	0.87	921.88	748.61	567.1	836.53	961.07
MS4A4E	55.89	100.13	118.43	63.0	91.41	43.32	0.0	0.49	11.13	10.55	4.1	1.73	5.02
MUC6	4.13103505E7	2.782734531E7	6.94	4.5	1.14	3.69	0.0	0.08	0.8	0.43	0.0	0.0	0.0
N4BP2L2	1216.75	1498.22	2573.36	2047.0	2119.22	1794.29	0.0	0.79	1167.14	1378.57	1044.52	591.22	753.83
NME8	2.81	1.5	93.35	54.33	50.63	55.1	0.0	0.37	11.64	15.68	19.97	2.71	0.37
NUDT13	42.41	61.68	133.36	107.38	133.36	64.34	0.0	0.17	36.79	62.56	11.38	1.01	16.75
NUP62CL	73.54	42.11	68.55	195.72	121.79	105.89	0.0	0.0	19.11	27.64	16.39	10.47	11.04
ORC2	307.69	381.68	470.14	480.04	392.44	318.57	248.0	206.94	152.28	260.38	187.71	277.2	90.77
OXER1	38.67	92.05	217.27	152.28	167.9	127.0	0.0	0.38	31.22	36.27	13.93	5.68	12.45
PAN2	1127.35	1369.04	3515.68	1806.78	2537.92	1350.18	0.0	1.06	336.79	536.45	246.28	131.51	120.94
PARP10	571.05	1037.29	2739.08	2061.24	2287.2	1605.83	0.0	0.89	836.53	1159.07	343.89	115.97	397.93
PARP6	1259.69	1794.29	1709.26	1551.09	1819.35	1447.15	753.83	318.57	1030.12	967.76	642.59	447.82	450.94
PATL2	80.57	95.34	947.83	281.09	329.84	189.02	0.0	0.65	25.35	54.72	86.43	20.71	9.34
PCBD2	170.25	194.36	182.55	309.83	253.23	332.14	0.0	0.03	87.65	127.89	66.18	33.3	90.77
PCED1A	890.44	878.17	2133.97	1175.27	1529.73	967.76	0.0	1.0	379.04	532.74	237.86	348.71	334.46
PHPT1	1883.54	2133.97	3768.09	3212.66	5831.91	2758.13	1051.79	878.17	1733.13	1685.71	1417.35	961.07	1498.22
PHYKPL	1199.98	1250.98	4937.99	4123.49	3874.05	2502.97	0.0	1.03	669.92	967.76	633.73	246.28	483.38
PIGL	587.13	902.89	1096.5	490.14	642.59	325.29	0.0	0.53	154.42	223.41	224.97	175.07	95.34
PLA2G6	872.1	1250.98	1259.69	878.17	981.29	551.56	0.0	0.91	209.84	420.68	157.68	45.53	143.01
PLEKHG4	201.25	253.23	323.03	403.5	126.12	199.85	0.0	0.49	84.63	108.14	43.63	11.21	82.29
PNMA3	10.0	37.05	105.15	336.79	65.26	94.67	0.0	0.61	2.03	6.78	3.26	4.7	0.0
PPFIA4	46.84	19.97	890.44	733.19	1268.46	336.79	0.0	0.67	5.28	27.25	43.32	21.63	3.29
PPP1R16A	1407.55	1216.75	1340.84	1519.15	1977.24	961.07	0.0	0.78	490.14	624.99	253.23	264.03	332.14
QTRT1	890.44	1628.26	3467.27	2047.0	2520.38	1059.11	0.0	0.99	476.71	466.88	368.65	152.28	403.5
RFNG	988.12	1250.98	1051.79	872.1	1159.07	703.28	0.0	0.83	748.61	808.0	336.79	341.51	341.51
RINL	178.77	189.02	547.75	289.02	368.65	457.25	0.0	0.35	81.14	159.9	162.14	20.86	90.77
RLTPR	84.04	108.9	1023.0	111.99	153.34	104.42	0.0	0.57	29.27	83.45	32.13	25.35	15.8
RNF44	738.29	1250.98	1721.16	1529.73	1304.15	1037.29	0.0	0.61	563.18	780.44	866.07	988.12	312.0
RNPC3	426.57	612.11	1135.2	1066.48	860.08	559.28	0.0	0.79	190.34	295.11	228.13	88.26	72.01
RP11-574K11.31	41.81	55.1	63.0	32.82	40.64	31.45	0.0	0.58	17.64	21.78	19.82	11.04	12.36
RP11-644F5.10	34.51	105.89	264.03	102.97	155.5	73.54	0.0	0.52	20.41	27.84	23.25	26.28	9.06
SH3D21	267.73	674.59	825.0	454.09	353.59	329.84	0.0	0.68	113.56	85.22	57.89	123.5	56.68
SLC25A52	9.34	2.32	2.03	3.06	8.13	4.31	0.0	0.0	1.27	0.0	0.0	0.0	1.19
SLC35E2	154.42	169.07	264.03	110.43	177.53	180.02	0.0	0.41	66.18	140.04	32.82	63.89	29.7
SMCO2	49.21	34.75	12.83	6.11	3.35	15.11	0.0	0.37	2.14	1.23	2.86	1.89	0.66
SPATC1	1.62	4.17	21.63	17.51	4.13	6.94	0.0	0.08	3.32	3.82	1.62	1.27	6.78
SPG11	890.44	1051.79	1540.37	1233.75	1183.45	995.0	0.0	0.88	620.67	954.43	575.03	271.48	454.09
SPRY3	5.54	5.59	14.78	8.45	9.63	10.08	0.0	0.25	5.28	6.89	5.45	1.0	2.48
STAG3	82.29	152.28	567.1	366.09	412.0	181.28	0.0	0.61	31.22	57.08	44.89	54.33	9.93
STX16-NPEPL1	125.24	253.23	363.56	221.86	162.14	92.05	0.0	1.22	34.51	52.45	86.43	24.99	6.01
TBC1D9B	1819.35	2104.58	3467.27	2796.65	2855.44	2384.37	620.67	555.41	1295.13	1437.15	759.08	432.53	902.89
TMCO6	368.65	429.54	500.46	480.04	587.13	438.59	0.0	0.33	134.3	251.48	108.9	85.82	122.64
TMPRSS5	9.34	12.27	27.05	13.22	21.16	24.11	0.0	0.58	8.38	7.06	4.94	0.73	2.14
TNFRSF14	2520.38	3564.78	5255.91	5633.22	11035.54	4972.34	0.0	1.3	1697.45	2271.4	1286.18	583.07	305.55
TP53BP1	339.14	429.54	703.28	555.41	450.94	497.0	0.0	0.39	221.86	289.02	403.5	486.75	170.25
TRIM41	454.09	684.02	934.76	638.15	728.11	521.76	0.0	0.68	457.25	426.57	123.5	132.44	211.31
TRIM52	191.67	256.78	1111.82	669.92	854.13	603.67	0.0	0.78	175.07	283.05	217.27	155.5	123.5
TTC31	426.57	457.25	819.3	669.92	708.18	647.07	0.0	0.57	256.78	400.71	170.25	75.11	152.28
TTC34	17.64	24.28	39.79	71.5	63.0	15.34	0.0	0.25	6.62	18.03	3.08	0.43	1.62
TTN	8.06	11.3	94.01	12.64	10.16	6.94	0.0	0.18	7.11	18.56	9.56	4.82	11.91
TUBGCP3	189.02	275.28	423.61	346.29	291.04	309.83	0.0	0.65	237.86	316.37	102.25	41.81	249.73
TYK2	2148.82	3395.89	7642.41	2816.11	4512.4	2664.15	0.0	1.35	1397.83	1857.6	967.76	921.88	493.56
UBXN11	395.18	521.76	1733.13	1088.92	1467.37	665.29	0.0	0.67	312.0	540.19	301.33	293.07	226.54
VAMP1	162.14	334.46	1127.35	258.57	444.72	293.07	0.0	0.79	120.94	169.07	136.19	69.03	44.25
VENTX	18.29	32.82	18.03	105.15	25.54	45.85	0.0	0.67	22.59	37.59	7.75	7.11	14.89
WDR19	563.18	599.49	1088.92	813.63	1008.9	438.59	0.0	0.74	336.79	521.76	224.97	409.15	173.85
WDR60	299.25	316.37	693.58	780.44	791.35	595.34	0.0	0.65	212.78	262.2	220.32	115.97	185.11
WDR90	703.28	854.13	1572.76	1073.91	1135.2	698.41	0.0	0.97	171.45	307.69	142.01	59.97	87.65
ZBED5	660.68	819.3	1008.9	1008.9	872.1	713.11	0.0	0.69	476.71	674.59	255.0	140.04	307.69
ZFP41	118.43	133.36	102.25	163.28	90.77	163.28	0.0	0.23	81.71	114.36	43.02	36.53	110.43
ZFYVE19	780.44	718.08	921.88	988.12	860.08	961.07	0.0	0.35	327.56	444.72	221.86	159.9	264.03
ZMAT1	161.02	206.94	647.07	536.45	941.27	381.68	0.0	0.65	108.14	180.02	154.42	5.45	26.47
ZNF337	316.37	283.05	753.83	457.25	567.1	450.94	0.0	0.82	226.54	279.14	204.07	78.89	147.06
ZNF354B	253.23	329.84	563.18	406.31	563.18	316.37	0.0	0.91	65.72	144.01	54.72	92.05	78.89
ZNF596	96.01	125.24	199.85	265.87	234.57	140.04	0.0	0.52	79.45	90.14	48.18	15.56	15.56
ZNF83	1447.15	693.58	4671.57	2351.53	3794.3	1529.73	248.0	148.09	438.59	738.29	555.41	314.17	198.47
ZNF846	460.44	435.55	457.25	376.41	249.73	221.86	0.0	0.37	117.6	137.14	128.79	53.95	53.19
