	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.RWS6.1826.SM.47JXX	GTEX.13U4I.2426.SM.5LU34	GTEX.13O61.1226.SM.5KM21	GTEX.WH7G.1026.SM.4LVML	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HF.7132.01A.11R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.7735.01A.11R.2055.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
LGALS12	1.22	1.2	3.32	2.89	2.86	18.84	2.41	0.0	0.18	6.06	12.93	97.36	63.0	5.96	111.21	26.86	12.18	3.76	31.45
LPCAT3	830.75	1191.69	995.0	902.89	866.07	551.56	447.82	0.0	0.61	1594.73	2209.26	2956.17	2915.45	2645.74	3515.68	2367.9	3874.05	2335.28	1437.15
LPIN2	67.12	191.67	180.02	262.2	186.4	131.51	172.65	0.0	0.67	872.1	583.07	1135.2	336.79	713.11	2451.44	1015.93	1208.34	521.76	351.14
LRFN1	0.96	15.56	18.16	18.97	18.03	5.54	10.79	0.0	0.53	38.95	129.69	113.56	36.01	29.27	90.77	58.3	39.22	35.5	34.02
MOGS	595.34	660.68	642.59	921.88	647.07	665.29	587.13	0.0	0.89	1044.52	1225.22	3060.45	1008.9	1175.27	2758.13	1540.37	1674.06	1159.07	1059.11
NKX2-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.21	14.56	0.21	0.78	13.22	0.92	0.0	0.0	1.31
OPRK1	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	13.32	3.14	4.43	14.78	1.16	0.0	2.14	1.6
PGC	5.23	2.01	8.99	8046889.67	141.02	0.0	1.27	0.0	0.0	2310861.52	1916442.45	1.011504819E7	221968.2	513497.31	5128124.01	2068278.89	5690009.96	4885245.74	2654482.97
PLEKHG6	2.81	84.63	141.02	12.45	4.98	19.39	4.31	0.0	0.27	191.67	332.14	769.69	961.07	599.49	1127.35	435.55	358.54	423.61	91.41
PPDPF	3589.58	5006.93	23330.64	11664.82	9740.98	15934.98	7803.01	0.0	0.95	13776.25	15075.35	38966.94	34396.12	40621.74	32767.0	20310.37	21768.19	36357.37	21617.82
PRKAR1B	299.25	299.25	343.89	397.93	373.81	76.17	348.71	0.0	0.48	251.48	457.25	693.58	521.76	363.56	738.29	384.34	267.73	281.09	361.04
PROC	2.51	17.51	31.22	24.11	3.72	10.08	2.71	0.0	0.31	36.53	87.65	307.69	54.72	63.0	181.28	154.42	142.01	104.42	37.59
PRR18	0.0	1.07	0.17	1.77	1.73	0.0	0.0	0.0	0.0	2.41	7.63	24.11	4.82	2.23	16.15	6.73	4.86	0.0	0.84
RAB3C	0.93	5.15	19.39	22.1	9.63	0.0	1.93	0.0	0.0	21.01	206.94	193.01	143.01	42.71	151.22	58.3	94.01	45.21	49.91
RAB40B	140.04	463.65	447.82	616.37	381.68	97.36	54.33	0.0	0.36	547.75	450.94	1540.37	896.64	1286.18	1709.26	759.08	743.43	503.95	473.41
RGS7	0.0	1.5	1.83	1.93	0.0	0.0	1.81	0.0	0.01	9.41	23.42	124.37	40.36	17.51	57.08	31.45	41.81	49.91	17.64
RRBP1	1225.22	890.44	1477.58	921.88	733.19	2075.59	2148.82	2255.7	228.13	6516.03	6207.38	11584.24	5995.9	8538.88	12415.75	5255.91	6792.79	4038.61	1388.16
SCAMP5	53.95	87.03	74.58	83.45	92.7	20.71	57.49	0.0	0.06	303.44	532.74	825.0	1651.0	144.01	2090.03	651.58	575.03	435.55	271.48
SEC14L4	0.0	0.29	0.77	1.51	1.5	0.0	0.0	0.0	0.0	4.46	76.71	66.18	231.32	33.54	25.17	14.03	22.43	13.93	12.64
SLC39A7	1331.57	1794.29	1594.73	1008.9	1127.35	1397.83	1709.26	0.0	0.82	2047.0	2956.17	6294.04	3124.78	2720.15	5219.6	3419.52	3491.39	2758.13	1794.29
SMOC1	5.5	3.63	5.73	40.93	34.02	5.73	50.63	0.0	0.37	71.0	111.21	389.72	204.07	64.8	595.34	260.38	120.94	76.71	74.06
SRMS	1.25	0.0	8.65	15.11	0.0	8.85	7.75	0.0	0.11	73.54	12.55	208.38	33.06	139.07	60.39	16.75	21.94	22.1	30.34
TCEB3CL	0.0	0.18	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.43	9.34	3.41	3.41	5.77	2.34	0.44	0.0	1.73	0.47
TERT	3.96	0.0	0.0	8.0	0.0	3.26	10.0	0.0	0.21	12.0	3.53	80.57	41.22	12.64	52.82	5.63	7.82	4.5	9.63
TIAM2	27.25	127.0	134.3	150.17	133.36	41.52	50.63	0.0	0.34	147.06	195.72	483.38	110.43	190.34	327.56	144.01	150.17	110.43	105.15
TMEM214	1127.35	1378.57	1313.23	1498.22	1378.57	974.5	1015.93	0.0	0.91	2627.46	2075.59	3212.66	2816.11	2148.82	3280.18	2816.11	3060.45	2163.77	1651.0
TMEM229A	0.0	2.46	1.41	21.47	2.1	0.0	0.0	0.0	0.01	3.0	3.79	177.53	7.75	9.2	96.68	3.59	55.89	31.45	19.39
TMEM52	19.82	22.75	37.59	31.0	37.32	1.33	7.82	0.0	0.35	228.13	279.14	647.07	82.29	275.28	693.58	126.12	190.34	429.54	190.34
TP53I13	769.69	665.29	624.99	1119.56	981.29	368.65	490.14	0.0	0.77	842.36	961.07	2240.11	1378.57	1651.0	1883.54	1313.23	842.36	796.86	1066.48
ZFPM1	16.75	45.53	22.1	128.79	20.86	46.84	29.7	0.0	0.41	679.29	348.71	928.3	921.88	656.11	1096.5	587.13	796.86	460.44	412.0
ZNF764	33.3	131.51	114.36	140.04	170.25	29.7	56.68	101.54	145.02	182.55	202.66	575.03	191.67	214.27	444.72	190.34	223.41	142.01	212.78
ZNF850	13.32	10.31	3.99	7.0	5.73	0.6	4.9	0.0	0.39	38.4	55.49	80.57	42.41	63.89	93.35	20.41	23.93	17.0	15.22
