	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.4858.01A.01R.1305.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZPU1.0826.SM.57WG2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L
CTD-2349B8.1	8.38	6.67	1.07	3.11	9.41	0.0	0.0	0.0	3.5	0.0	0.0
DGUOK	2090.03	2591.27	2075.59	2537.92	2956.17	836.53	890.44	1191.69	981.29	1015.93	1088.92
DNAJC9	723.08	384.34	309.83	159.9	483.38	115.97	75.11	130.6	86.43	121.79	41.81
DSN1	423.61	473.41	281.09	325.29	493.56	84.04	51.71	95.34	80.57	178.77	52.82
EME1	149.12	146.03	94.01	62.56	117.6	7.22	3.59	10.96	6.57	17.9	3.29
EZH2	2148.82	301.33	271.48	147.06	224.97	78.89	47.5	27.84	23.42	34.26	6.67
FAM72B	215.77	86.43	53.19	53.95	142.01	21.47	21.63	30.12	7.0	12.64	9.13
FAM83D	6607.01	209.84	74.06	138.1	262.2	67.59	35.5	20.56	49.91	30.56	11.55
FANCG	785.88	607.87	514.56	305.55	603.67	118.43	47.17	191.67	105.15	111.99	41.22
GPAA1	2384.37	2537.92	1950.0	2976.74	2739.08	1277.29	961.07	1044.52	1923.14	974.5	376.41
GPR114	28.04	85.82	42.71	42.71	42.41	21.16	8.65	12.55	12.27	15.34	27.05
GS1-259H13.10	10.24	54.33	0.0	11.64	63.0	0.0	0.0	0.0	0.0	0.0	7.46
H2AFV	4095.0	3847.29	3614.55	3235.01	5219.6	1519.15	1832.01	1857.6	1447.15	1628.26	1477.58
H2AFX	1909.85	432.53	890.44	540.19	995.0	232.94	107.38	198.47	158.79	105.89	57.89
HAUS8	525.39	220.32	232.94	176.29	231.32	414.87	82.29	106.63	141.02	142.01	92.05
HK2	438.59	2133.97	473.41	819.3	2271.4	53.95	19.39	4.03	7.17	2.76	5.15
IFRD1	1397.83	420.68	583.07	591.22	1159.07	698.41	201.25	571.05	571.05	525.39	480.04
IGF2BP3	629.35	532.74	14.24	132.44	532.74	7.51	0.0	16.03	0.32	0.25	7.4
IL15RA	579.04	1111.82	1051.79	780.44	2193.99	285.03	529.06	341.51	256.78	287.01	669.92
INTS8	974.5	607.87	603.67	536.45	647.07	334.46	212.78	170.25	323.03	373.81	96.01
ISL2	18.56	5.06	3.96	3.5	5.36	2.16	0.0	0.0	6.21	0.0	1.33
KCTD5	1250.98	493.56	332.14	480.04	579.04	135.24	414.87	185.11	212.78	189.02	129.69
KIAA1024	4.06	15.34	7.17	14.14	23.76	1.75	0.72	0.83	0.19	0.58	0.0
KIF23	660.68	323.03	133.36	159.9	287.01	23.76	0.62	6.78	8.38	11.55	4.03
KIF4B	0.0	0.34	1.07	0.35	1.14	0.0	0.0	0.0	0.0	0.0	0.0
KIFC1	902.89	361.04	202.66	138.1	358.54	16.51	2.92	21.94	7.46	8.32	2.03
KNSTRN	470.14	301.33	226.54	299.25	493.56	86.43	145.02	58.3	209.84	173.85	123.5
LSM5	2627.46	2209.26	1467.37	1857.6	3235.01	872.1	1639.59	1322.37	764.36	780.44	796.86
LUZP6	49.91	155.5	358.54	84.04	713.11	239.52	0.0	0.0	0.0	0.0	58.71
MAPKAPK5	967.76	633.73	595.34	567.1	607.87	320.8	463.65	387.02	334.46	366.09	246.28
MARS	2796.65	2303.12	2351.53	1923.14	1757.34	1508.65	1388.16	872.1	1030.12	974.5	647.07
MCF2L2	84.04	25.54	16.88	2.81	38.95	1.99	0.0	6.06	7.69	12.64	3.17
MICB	738.29	239.52	214.27	111.21	139.07	81.71	18.56	77.79	14.56	17.77	5.96
MND1	1295.13	102.25	72.01	40.07	123.5	16.88	3.56	27.84	14.03	11.21	3.17
MTA3	848.22	638.15	457.25	555.41	775.05	583.07	205.5	339.14	334.46	231.32	177.53
MYCBPAP	47.5	12.64	19.25	9.56	15.8	4.5	0.0	0.57	0.68	2.81	0.0
NAA38	825.0	1477.58	1081.39	698.41	1199.98	470.14	438.59	454.09	555.41	607.87	460.44
NDC80	363.56	208.38	176.29	120.94	229.72	17.25	8.32	17.25	6.57	13.62	5.63
NEUROG3	2.63	4.06	1.08	0.36	3.06	0.0	0.0	4.78	0.0	0.0	0.0
NPM3	2351.53	1143.1	521.76	890.44	1059.11	441.64	361.04	420.68	195.72	201.25	176.29
NRBP1	2627.46	2224.63	1781.89	1697.45	2956.17	1111.82	1369.04	1407.55	1023.0	718.08	1073.91
NUDT1	2104.58	1508.65	890.44	1350.18	1870.53	170.25	67.12	194.36	153.34	169.07	111.21
NUMBL	753.83	339.14	384.34	403.5	521.76	149.12	11.64	80.01	37.32	126.12	24.99
OTUB1	2956.17	2004.85	2178.83	1819.35	2047.0	1242.34	974.5	1143.1	1378.57	718.08	836.53
PDAP1	4181.07	5403.7	2720.15	3372.43	7433.4	1119.56	2319.15	1467.37	1594.73	1369.04	1923.14
PHTF1	217.27	271.48	281.09	348.71	363.56	134.3	162.14	109.66	123.5	115.16	63.45
PIF1	403.5	78.34	113.56	107.38	63.0	3.96	1.99	14.89	8.65	5.73	2.12
PLP2	12076.21	7911.95	5147.73	3146.52	11267.44	256.78	403.5	244.57	129.69	152.28	376.41
PPAP2C	389.72	1369.04	197.09	414.87	796.86	273.37	21.01	113.56	126.12	87.65	14.24
PPP4C	3515.68	3039.3	2997.45	1909.85	2895.31	2417.67	1551.09	2645.74	3103.19	2335.28	1806.78
PRAME	209.84	1583.71	299.25	954.43	1304.15	10.24	0.0	0.0	0.0	6.11	31.9
PSMG3	1378.57	2351.53	1044.52	2319.15	3060.45	638.15	363.56	638.15	563.18	438.59	204.07
PSRC1	854.13	152.28	144.01	206.94	353.59	14.35	8.45	18.84	9.63	96.01	73.03
REEP4	1242.34	595.34	551.56	500.46	1104.13	417.77	56.28	301.33	194.36	176.29	145.02
RGS19	420.68	679.29	612.11	551.56	780.44	88.88	258.57	94.01	103.69	82.87	40.07
RHOG	1583.71	1909.85	2319.15	1721.16	2209.26	679.29	1073.91	1023.0	693.58	441.64	559.28
RIC8A	1008.9	2835.7	1594.73	2319.15	2502.97	529.06	775.05	483.38	503.95	603.67	473.41
RNF216	647.07	521.76	325.29	343.89	616.37	156.59	153.34	105.15	88.26	142.01	100.13
RP11-1118M6.1	1.33	0.34	1.07	0.35	1.14	0.0	0.0	0.0	0.0	0.0	0.0
RP9	660.68	277.2	384.34	323.03	674.59	177.53	131.51	175.07	246.28	307.69	94.01
RPS6KB2	2451.44	842.36	1023.0	688.78	1350.18	825.0	603.67	733.19	743.43	733.19	665.29
SAAL1	403.5	316.37	305.55	258.57	460.44	275.28	186.4	113.56	102.25	291.04	77.79
SERPINH1	13872.08	3564.78	4802.93	9740.98	36106.23	2133.97	381.68	1268.46	5329.3	358.54	381.68
SH3GL1	1250.98	2485.67	1447.15	2287.2	3280.18	759.08	356.05	748.61	633.73	669.92	723.08
SLC15A4	480.04	1639.59	1388.16	1477.58	1745.2	409.15	267.73	397.93	457.25	314.17	277.2
SLC2A1	11267.44	13492.72	1447.15	9151.82	14971.21	67.59	16.88	35.25	53.19	22.59	47.84
SLC2A6	50.63	139.07	145.02	125.24	281.09	72.01	111.99	112.77	33.54	46.84	7.11
SMTNL1	34.02	8.25	18.29	5.32	16.63	8.99	1.99	17.25	3.0	13.42	0.0
SNRPA1	2148.82	1350.18	1268.46	1769.57	1662.49	1088.92	947.83	728.11	567.1	693.58	595.34
SPECC1L-ADORA2A	1.36	0.34	0.72	0.35	1.14	0.0	0.0	0.0	0.0	0.0	0.0
STYXL1	1295.13	703.28	1066.48	1159.07	1963.57	529.06	587.13	1104.13	490.14	647.07	346.29
TACC3	4239.45	802.41	684.02	583.07	660.68	159.9	25.91	77.25	41.81	89.51	20.56
TACR2	46.18	35.5	16.51	13.93	21.63	9.2	4.9	1.77	5.02	0.45	3.86
TCTEX1D2	718.08	293.07	476.71	507.46	703.28	92.7	35.5	64.34	44.89	55.89	29.91
TICRR	2178.83	53.95	23.93	37.32	54.33	11.55	0.0	1.62	5.15	0.88	0.0
TMEM185A	660.68	514.56	447.82	262.2	1104.13	178.77	101.54	149.12	142.01	157.68	63.45
TRIM47	2119.22	1277.29	1417.35	1617.0	1685.71	248.0	246.28	76.17	363.56	249.73	202.66
TSC22D4	1359.57	974.5	1208.34	981.29	1561.89	325.29	202.66	928.3	323.03	339.14	251.48
VSIG10L	743.43	141.02	26.28	120.1	150.17	22.1	7.82	112.77	10.71	33.78	3.53
WDR62	251.48	55.89	45.53	54.72	42.11	11.47	7.94	6.94	6.16	11.73	5.41
XPO6	2701.35	2075.59	1950.0	1551.09	2119.22	490.14	536.45	616.37	567.1	660.68	529.06
ZFPL1	1322.37	723.08	954.43	995.0	1639.59	860.08	358.54	848.22	616.37	633.73	314.17
ZNF783	444.72	325.29	193.01	154.42	329.84	90.14	4.66	26.1	17.77	40.36	9.56
