	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.BC.A69I.01A.11R.A311.07	GTEX.12696.0826.SM.5EGGE	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
LRFN4	738.29	426.57	229.72	119.26	1044.52	567.1	1216.75	6.84	24.81	43.02	0.0	0.78	232.94	316.37	101.54	400.71	208.38	255.0	165.57	149.12
LRP11	708.18	1051.79	457.25	1369.04	934.76	1159.07	1529.73	68.55	77.79	84.04	0.0	0.42	429.54	371.22	409.15	327.56	429.54	368.65	529.06	493.56
LRRC10B	379.04	127.89	55.49	82.29	223.41	20.56	215.77	7.46	14.56	1.53	0.0	0.0	10.47	12.27	17.38	6.21	7.0	5.68	16.75	6.73
LRRN2	1073.91	638.15	438.59	444.72	112.77	521.76	981.29	7.28	5.41	0.0	0.0	0.36	69.03	24.28	25.72	26.28	36.01	27.05	32.36	39.79
LY6G6C	189.02	125.24	48.87	27.05	13.93	5.32	69.03	0.0	1.97	0.29	0.0	0.66	1.33	0.0	4.31	7.69	3.08	1.91	12.27	1.51
MAPK12	406.31	348.71	48.18	156.59	587.13	177.53	796.86	186.4	80.01	23.59	0.0	1.07	346.29	40.64	103.69	48.87	264.03	126.12	98.73	256.78
MARCH10	59.97	25.91	21.16	9.2	88.88	15.0	158.79	0.0	0.0	0.0	0.0	0.0	10.08	2.86	7.94	17.64	9.27	12.74	18.16	2.81
MDK	10959.3	4123.49	3124.78	6164.49	5711.87	1806.78	11189.6	329.84	1617.0	92.05	0.0	0.34	3982.99	1191.69	2004.85	1617.0	2451.44	2573.36	2400.97	5041.77
MRPS27	884.29	1023.0	1216.75	1322.37	1059.11	878.17	1519.15	723.08	587.13	713.11	0.0	0.28	1037.29	802.41	1096.5	878.17	974.5	890.44	872.1	934.76
MYBL2	441.64	35.76	27.05	16.75	103.69	71.5	134.3	8.13	17.51	1.04	0.0	0.21	2.48	2.1	1.62	0.85	2.68	2.58	3.89	7.82
MYO1C	4769.75	2573.36	1143.1	2075.59	2609.3	2555.58	4210.15	450.94	647.07	435.55	0.0	0.8	2855.44	1277.29	1832.01	1407.55	1909.85	1639.59	1561.89	1963.57
MYT1	175.07	130.6	7.51	81.14	60.82	90.14	150.17	0.0	0.0	2.27	0.0	0.01	0.95	1.83	0.95	1.43	1.48	0.99	2.73	0.0
NEK10	703.28	753.83	356.05	571.05	860.08	426.57	1407.55	0.0	8.32	6.62	0.0	0.0	23.93	19.53	47.17	19.11	28.65	17.25	26.28	28.65
NEURL	738.29	866.07	20.56	182.55	43.94	395.18	660.68	0.0	1.45	8.0	0.0	0.31	18.56	43.63	215.77	40.93	33.54	25.17	46.18	43.02
NUP43	368.65	450.94	327.56	543.96	293.07	511.0	450.94	161.02	66.18	162.14	348.71	967.76	273.37	237.86	206.94	191.67	323.03	279.14	303.44	307.69
OAS1	620.67	1233.75	638.15	1001.93	3491.39	2417.67	4210.15	769.69	323.03	232.94	0.0	0.41	229.72	373.81	381.68	287.01	157.68	143.01	511.0	595.34
OPRD1	6.46	1.03	0.31	0.0	1.58	2.05	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARN	738.29	967.76	728.11	947.83	791.35	854.13	808.0	273.37	327.56	361.04	656.11	723.08	703.28	591.22	723.08	607.87	703.28	624.99	651.58	713.11
PARP1	2119.22	1909.85	2555.58	2682.69	1447.15	3257.52	1388.16	669.92	819.3	836.53	0.0	0.66	1437.15	728.11	1015.93	780.44	1111.82	872.1	934.76	1175.27
PDLIM5	2209.26	2816.11	2193.99	1359.57	1498.22	1936.53	3018.3	457.25	441.64	688.78	5751.61	6652.97	1191.69	688.78	1216.75	775.05	1233.75	759.08	928.3	928.3
PDS5B	521.76	400.71	277.2	457.25	256.78	595.34	769.69	146.03	74.58	112.77	127.0	447.82	351.14	171.45	297.17	220.32	348.71	279.14	309.83	228.13
PLCD4	65.72	220.32	87.65	221.86	166.73	89.51	312.0	9.7	9.63	13.52	0.0	0.36	28.65	47.17	21.01	27.64	52.45	12.45	28.24	39.5
PODXL2	1923.14	1806.78	563.18	660.68	612.11	244.57	2075.59	2.68	6.16	21.94	208.38	181.28	67.59	153.34	90.14	82.87	70.51	70.51	53.95	348.71
POLH	202.66	314.17	190.34	242.88	167.9	329.84	269.6	71.5	50.27	57.49	0.0	0.25	105.89	73.54	115.16	82.29	105.89	87.03	100.13	197.09
PRKAR2B	500.46	514.56	248.0	46.18	180.02	269.6	624.99	2.29	4.78	29.48	0.0	0.47	143.01	125.24	94.67	35.5	197.09	173.85	153.34	94.01
PSMD3	3955.48	1950.0	2573.36	2018.8	2468.49	2224.63	4298.64	2451.44	1639.59	1923.14	2956.17	318.57	1561.89	1721.16	1540.37	1572.76	1407.55	1529.73	1457.23	1651.0
PTPLAD2	220.32	334.46	287.01	291.04	642.59	389.72	780.44	8.45	17.38	35.25	0.0	0.27	90.77	43.02	63.89	54.72	90.14	63.0	99.43	80.57
RAD21	3874.05	2758.13	1697.45	3716.2	2119.22	6037.61	4512.4	796.86	373.81	624.99	3372.43	1119.56	1183.45	1023.0	2104.58	1104.13	1540.37	1313.23	1745.2	1167.14
RMND5A	514.56	629.35	353.59	438.59	389.72	540.19	435.55	262.2	323.03	361.04	205.5	173.85	348.71	283.05	366.09	256.78	368.65	295.11	387.02	316.37
RSPH1	633.73	723.08	384.34	540.19	529.06	248.0	1143.1	6.11	1.04	14.03	0.0	0.0	102.25	63.0	42.71	113.56	70.51	30.12	117.6	91.41
RTBDN	332.14	1127.35	25.72	406.31	713.11	341.51	1540.37	0.0	33.54	0.0	0.0	0.16	1.58	1.6	0.0	0.0	3.03	2.89	8.78	0.0
RTN4RL1	642.59	480.04	177.53	170.25	463.65	493.56	518.15	11.47	43.63	21.63	57.49	75.64	147.06	177.53	144.01	101.54	150.17	123.5	129.69	244.57
SCGN	571.05	85.22	0.83	43.94	429.54	36.01	769.69	19.39	9.78	30.12	0.0	0.0	16.39	25.35	14.24	80.57	67.12	62.12	43.32	49.21
SEMG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11
SIX2	503.95	759.08	19.68	163.28	205.5	187.71	555.41	3.59	1.45	2.29	0.0	0.2	19.82	8.06	7.34	6.84	21.01	12.09	14.03	59.55
SLC22A15	115.97	146.03	37.32	96.01	51.35	114.36	106.63	65.72	1.39	11.47	0.0	0.52	26.28	13.22	21.32	19.11	33.06	29.91	24.99	32.13
SLC4A7	575.03	1191.69	447.82	426.57	470.14	536.45	543.96	32.82	33.78	17.25	0.0	0.21	127.89	65.72	170.25	107.38	132.44	82.29	161.02	151.22
SRMS	55.89	98.04	47.17	23.42	49.56	54.33	102.97	0.52	0.0	2.68	0.0	0.11	0.0	1.58	2.71	1.22	1.27	2.43	0.39	51.71
STIP1	3665.02	2367.9	2148.82	2255.7	2664.15	2816.11	3039.3	1350.18	954.43	791.35	0.0	0.0	1844.76	1806.78	1870.53	1583.71	2032.85	1605.83	1819.35	2061.24
SUSD3	5255.91	7589.61	2209.26	3690.52	5147.73	5672.41	11909.94	543.96	256.78	318.57	0.0	0.28	99.43	28.65	92.7	38.12	40.64	31.45	56.28	90.77
SYT12	341.51	1417.35	651.58	432.53	674.59	1111.82	1639.59	3.35	232.94	208.38	0.0	0.28	69.52	281.09	142.01	127.0	102.97	146.03	376.41	102.97
SYT13	2400.97	466.88	2.1	176.29	7.57	334.46	1059.11	0.0	0.0	0.37	0.0	0.22	0.85	0.87	1.66	3.03	0.47	0.0	47.5	1.3
TBXAS1	289.02	246.28	249.73	156.59	309.83	244.57	423.61	27.05	115.16	137.14	0.0	0.47	84.63	55.1	79.45	57.89	48.18	53.19	66.65	101.54
TIGD3	62.12	47.84	22.92	31.67	37.32	48.52	62.12	1.46	9.7	0.0	0.0	0.08	3.99	13.42	6.31	8.78	12.55	10.0	11.3	6.52
TLR7	40.07	49.21	48.52	42.41	40.93	75.11	16.27	1.28	2.12	0.0	0.0	0.0	12.09	3.2	5.96	5.19	4.21	9.27	6.31	15.34
TMCO3	1794.29	3060.45	713.11	1674.06	1397.83	2178.83	2271.4	271.48	138.1	285.03	0.0	0.85	607.87	563.18	688.78	529.06	551.56	660.68	480.04	612.11
TRIM4	791.35	872.1	583.07	775.05	651.58	796.86	1066.48	376.41	197.09	202.66	0.0	0.34	500.46	460.44	529.06	629.35	551.56	616.37	480.04	497.0
TUSC3	4736.79	743.43	1151.06	1322.37	2119.22	1519.15	2739.08	244.57	88.88	12.93	0.0	0.83	981.29	368.65	928.3	738.29	693.58	633.73	961.07	660.68
UQCRC2	2976.74	4512.4	3039.3	3614.55	3847.29	2855.44	4704.07	2875.3	2303.12	2739.08	0.0	1.11	3540.14	2758.13	3395.89	3168.41	3614.55	2758.13	3103.19	3589.58
