	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
RAPGEF4	81.14	159.9	148.09	255.0	507.46	511.0	120.94	6.78	0.0	0.31
RFPL4B	3.06	3.92	1.35	2.12	1.28	8.71	0.0	0.0	0.0	0.02
RP11-307N16.6	1.79	0.68	1.39	2.05	2.03	8.65	0.0	0.27	0.0	0.0
RP11-80A15.1	1.73	4.7	11.3	12.27	25.54	27.44	18.29	0.6	0.0	0.0
RPGRIP1	19.25	29.7	11.13	62.12	40.93	62.56	6.16	0.89	0.0	0.01
S100A7	26986.43	16.88	11.13	84.04	603.67	830.75	1.38765328462E9	20310.37	0.0	0.54
SATB1	303.44	389.72	438.59	909.17	1191.69	1015.93	23.76	132.44	76.71	173.85
SEMA3C	1233.75	2645.74	1561.89	7695.57	6207.38	10440.2	154.42	105.15	0.0	0.55
SEPSECS	99.43	143.01	151.22	242.88	224.97	275.28	77.25	21.16	0.0	0.28
SHC4	19.97	136.19	35.5	435.55	307.69	392.44	3.92	2.25	0.0	0.02
SLC22A4	53.57	84.63	67.59	109.66	153.34	314.17	3.38	31.0	0.0	0.05
SLC22A9	0.0	0.0	0.35	0.0	0.0	0.56	0.0	0.0	0.0	0.0
SLC35E2	80.01	162.14	151.22	229.72	133.36	466.88	38.67	40.36	0.0	0.41
SLC45A2	1.11	1.75	2.16	2.27	2.86	8.58	0.0	0.24	0.0	0.08
SOAT2	3.86	4.1	3.44	5.68	4.82	5.73	1.0	0.87	0.0	0.16
SOGA3	7.57	18.03	10.0	22.1	12.45	16.75	2.92	1.16	0.0	0.0
SPTLC3	155.5	218.79	158.79	642.59	486.75	547.75	3303.0	27.25	503.95	80.01
SRGAP3	99.43	100.83	86.43	167.9	166.73	239.52	72.01	21.16	0.0	0.0
SSPN	265.87	616.37	599.49	1397.83	1617.0	1870.53	4.62	21.78	0.0	0.17
SYT9	2.48	81.14	46.18	130.6	29.91	392.44	4.7	0.29	0.0	0.0
TAS2R10	2.66	5.82	7.4	9.34	12.55	15.0	0.0	0.88	0.0	0.17
TAS2R19	3.89	8.85	2.32	7.06	3.59	8.51	0.0	7.11	0.0	0.29
TAS2R3	0.0	2.84	1.1	4.24	3.47	11.21	0.78	0.0	0.0	0.0
TMEM101	620.67	1721.16	1322.37	1151.06	10512.82	11584.24	988.12	583.07	0.0	0.14
TMEM17	54.33	63.45	60.39	80.57	54.72	143.01	94.01	31.0	0.0	0.0
TOM1L1	791.35	1191.69	780.44	1605.83	2303.12	1977.24	1467.37	525.39	0.0	0.3
TRIM6	73.03	112.77	140.04	185.11	387.02	435.55	214.27	74.06	0.0	0.35
TTC23L	4.39	24.99	17.25	41.22	13.22	81.71	1.25	3.32	0.0	0.0
UNC13C	3.89	3.06	9.41	1.97	16.88	18.43	1.77	0.0	0.0	0.05
UNC79	2.48	4.43	1.77	8.99	5.82	26.28	1.07	0.29	0.0	0.07
USP47	651.58	974.5	872.1	981.29	1662.49	1674.06	387.02	366.09	273.37	285.03
ZC3H14	796.86	1104.13	1044.52	1388.16	1407.55	1733.13	403.5	718.08	713.11	791.35
ZDBF2	22.75	63.0	66.18	253.23	169.07	248.0	0.42	10.08	0.0	0.3
ZNF436	551.56	587.13	432.53	698.41	941.27	1037.29	567.1	85.82	0.0	0.0
ZNF473	136.19	151.22	137.14	234.57	166.73	229.72	44.57	97.36	0.0	0.0
ZNF486	143.01	267.73	165.57	825.0	368.65	866.07	28.24	1.43	0.0	0.34
ZNF506	218.79	403.5	351.14	540.19	624.99	785.88	190.34	37.59	0.0	0.53
ZNF676	38.12	42.41	31.0	102.25	119.26	127.0	0.47	0.0	0.0	0.19
ZNF680	172.65	423.61	314.17	521.76	733.19	915.51	145.02	72.01	0.0	0.41
ZNF98	74.06	76.71	52.82	361.04	198.47	379.04	7.69	0.0	0.0	0.0
ZNF99	1.36	5.63	2.39	10.0	12.36	18.43	0.0	0.0	0.0	0.01
