	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YFC4.1226.SM.5LU9R	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	TCGA.85.7710.11A.01R.2125.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.EL.A3ZP.11A.11R.A23N.07
FUT8	102.97	183.82	56.68	50.27	56.28	84.04	95.34	55.1	113.56	66.65	125.24	283.05	0.0	703.28	457.25	540.19	457.25	73.03	514.56	400.71	379.04
GAB3	56.28	97.36	15.34	14.89	9.34	45.85	57.89	32.13	45.53	57.08	12.93	67.12	34.75	397.93	204.07	928.3	231.32	9.48	161.02	198.47	90.77
GIMAP1	68.55	65.26	14.35	12.27	11.73	60.82	57.08	42.11	47.5	47.17	11.47	53.19	0.0	532.74	387.02	500.46	381.68	41.22	269.6	412.0	181.28
GIT2	435.55	438.59	356.05	309.83	486.75	314.17	497.0	429.54	447.82	384.34	325.29	607.87	0.0	974.5	669.92	802.41	1015.93	124.37	1030.12	954.43	748.61
GLB1L	93.35	52.45	59.97	45.85	20.26	64.34	64.8	39.22	87.65	34.51	37.32	94.67	113.56	327.56	323.03	575.03	202.66	18.03	115.97	218.79	351.14
GPR174	5.15	22.26	0.0	1.04	1.53	3.76	7.69	2.58	2.84	10.24	0.0	33.54	0.0	202.66	93.35	88.26	309.83	0.06	95.34	223.41	62.12
GPR55	5.82	8.78	1.33	0.0	0.0	8.78	13.62	3.41	2.2	7.75	0.0	33.78	0.0	33.3	8.13	13.72	56.68	1.07	8.65	26.67	7.75
GPR83	2.66	1.71	0.14	0.64	0.47	0.46	1.39	0.23	0.47	1.31	0.0	2.76	0.0	4.03	3.03	4.1	12.36	0.26	6.62	73.03	46.84
GPRIN3	10.96	28.45	4.03	3.92	3.63	10.55	12.09	6.21	16.88	9.7	1.55	21.01	0.0	285.03	77.79	127.89	217.27	3.59	105.89	109.66	65.26
HCST	211.31	339.14	91.41	81.71	87.65	420.68	166.73	125.24	189.02	234.57	31.67	307.69	0.0	4095.0	2609.3	4328.55	1977.24	220.32	2047.0	1135.2	629.35
HEXA	860.08	1143.1	860.08	587.13	603.67	1250.98	1044.52	503.95	679.29	454.09	547.75	1044.52	0.0	2915.45	2502.97	3928.15	3060.45	397.93	1697.45	2758.13	2835.7
HHIP	1.1	8.85	0.0	0.0	0.0	0.26	0.0	0.0	0.48	0.0	0.0	18.29	0.0	42.41	47.17	120.1	571.05	4.31	6.94	6.73	10.47
IKZF1	61.68	140.04	10.08	10.96	8.78	31.67	55.89	24.46	27.84	68.07	12.09	94.67	0.0	1340.84	312.0	3168.41	974.5	3.82	669.92	432.53	234.57
IKZF3	17.51	43.94	0.68	1.89	0.93	9.13	17.0	3.92	8.32	20.71	0.0	38.12	0.0	226.54	65.26	1111.82	368.65	0.92	314.17	159.9	78.89
IL11RA	341.51	253.23	94.01	59.13	148.09	231.32	325.29	229.72	107.38	269.6	195.72	703.28	0.0	1617.0	1037.29	2351.53	612.11	67.59	454.09	1286.18	1529.73
ITGA4	31.22	81.14	22.59	11.55	7.34	27.64	89.51	22.26	33.06	35.0	2.32	81.71	0.0	947.83	309.83	620.67	688.78	5.87	361.04	423.61	241.19
ITGAL	62.56	183.82	16.15	19.68	12.18	89.51	101.54	51.35	54.72	96.68	9.48	473.41	0.0	4903.87	909.17	2555.58	1950.0	2.68	1369.04	1001.93	420.68
ITGB7	237.86	255.0	22.26	387.02	51.35	583.07	397.93	403.5	334.46	444.72	212.78	595.34	0.0	1923.14	457.25	915.51	848.22	291.04	490.14	878.17	303.44
ITK	29.7	70.51	4.54	14.14	5.54	24.63	31.0	10.24	14.78	31.22	3.08	72.01	48.18	830.75	283.05	2351.53	381.68	8.0	435.55	316.37	186.4
KIAA0125	5.82	24.63	0.0	2.71	0.0	1.22	0.78	2.48	0.0	8.58	0.0	81.14	0.0	802.41	62.56	444.72	525.39	0.0	507.46	289.02	99.43
LAT	435.55	759.08	129.69	148.09	124.37	543.96	417.77	323.03	447.82	432.53	134.3	420.68	0.0	1331.57	543.96	1331.57	1135.2	26.86	1111.82	1991.0	896.64
LCK	65.72	215.77	10.63	16.03	35.0	113.56	98.73	40.64	90.77	112.77	5.63	307.69	0.0	1781.89	426.57	1572.76	1467.37	34.51	1216.75	1191.69	529.06
LIMD2	249.73	1119.56	133.36	218.79	162.14	409.15	346.29	155.5	283.05	397.93	25.72	463.65	0.0	2451.44	909.17	1745.2	3901.01	42.41	4123.49	2417.67	1417.35
LPXN	144.01	323.03	92.05	63.0	87.03	218.79	183.82	105.15	153.34	178.77	44.89	215.77	0.0	3235.01	813.63	2018.8	1745.2	29.48	1216.75	1023.0	543.96
LY9	13.62	38.67	1.38	0.04	3.35	22.1	14.56	6.84	6.78	31.67	2.97	59.55	0.0	796.86	271.48	733.19	629.35	2.61	444.72	332.14	185.11
MATN2	490.14	603.67	19.68	201.25	23.76	307.69	417.77	301.33	514.56	356.05	361.04	1081.39	0.0	884.29	890.44	854.13	764.36	239.52	1250.98	3325.99	4769.75
MDM1	221.86	320.8	92.7	121.79	78.89	89.51	253.23	231.32	138.1	194.36	115.97	251.48	0.0	341.51	387.02	450.94	361.04	33.06	603.67	363.56	371.22
MEI1	29.06	52.45	17.0	15.91	13.42	37.05	21.47	14.67	22.59	18.43	14.24	115.97	0.0	2287.2	591.22	4481.23	674.59	4.62	379.04	540.19	195.72
MYO1G	85.22	176.29	27.84	88.88	22.59	135.24	78.34	48.18	84.04	104.42	29.27	167.9	0.0	2255.7	348.71	748.61	1151.06	23.08	540.19	438.59	231.32
NAALADL1	201.25	305.55	60.82	27.84	42.41	221.86	118.43	150.17	164.42	145.02	64.34	209.84	0.0	563.18	392.44	376.41	356.05	48.52	323.03	269.6	223.41
NIPSNAP3B	24.63	26.67	6.78	4.9	5.54	28.04	28.24	14.78	6.94	32.36	25.91	61.25	0.0	74.58	82.87	40.07	111.99	10.31	111.99	147.06	154.42
OGG1	262.2	575.03	361.04	281.09	241.19	429.54	239.52	214.27	334.46	334.46	187.71	327.56	463.65	486.75	497.0	441.64	579.04	75.64	928.3	603.67	454.09
PARP15	29.91	76.71	4.54	13.52	7.46	43.63	41.81	19.53	22.1	46.18	6.06	158.79	0.0	1233.75	150.17	961.07	988.12	0.21	1277.29	420.68	209.84
PARVG	195.72	384.34	85.22	75.64	98.73	295.11	163.28	135.24	178.77	193.01	35.5	336.79	0.0	2555.58	954.43	3614.55	2417.67	22.1	1529.73	1477.58	703.28
PBLD	16.51	84.04	9.48	5.45	7.4	8.71	12.27	13.42	19.68	18.56	32.59	122.64	0.0	109.66	102.25	209.84	102.25	19.68	178.77	77.25	102.25
PDCL	177.53	221.86	144.01	170.25	129.69	141.02	221.86	173.85	198.47	153.34	176.29	226.54	0.0	312.0	414.87	395.18	432.53	152.28	242.88	246.28	307.69
PRKD3	190.34	312.0	142.01	93.35	118.43	171.45	248.0	142.01	135.24	155.5	78.34	214.27	0.0	791.35	540.19	497.0	642.59	59.97	429.54	444.72	376.41
PSTPIP1	141.02	212.78	34.02	100.13	44.57	231.32	178.77	93.35	90.14	93.35	26.1	208.38	0.0	995.0	299.25	830.75	656.11	27.44	500.46	743.43	239.52
PTPN7	72.01	165.57	19.39	183.82	26.86	105.89	66.18	48.52	71.5	86.43	26.1	214.27	0.0	1909.85	181.28	1250.98	961.07	7.88	819.3	543.96	295.11
PVRIG	27.64	94.67	1.13	5.68	5.19	31.22	17.25	14.67	8.13	43.63	0.0	66.65	0.0	543.96	229.72	607.87	406.31	1.28	753.83	256.78	125.24
PYHIN1	15.0	48.87	3.56	9.7	4.66	18.97	22.75	15.11	7.94	15.68	5.5	54.33	0.0	441.64	262.2	289.02	244.57	3.99	281.09	248.0	113.56
RAB39B	1.93	4.35	0.65	0.84	0.44	1.77	2.61	1.07	1.38	3.72	0.07	9.41	0.0	121.79	34.02	70.01	72.52	0.0	45.21	57.08	35.76
RASAL3	108.9	190.34	34.02	31.22	32.36	132.44	107.38	64.34	115.16	155.5	15.68	470.14	0.0	2032.85	429.54	1605.83	961.07	16.39	1151.06	1119.56	447.82
RERE	1023.0	1369.04	420.68	285.03	301.33	665.29	723.08	1233.75	967.76	941.27	486.75	1073.91	0.0	1304.15	1023.0	2163.77	915.51	363.56	1662.49	1407.55	1508.65
RGL4	9.41	14.35	3.35	3.47	1.91	15.91	6.11	2.18	4.78	13.42	1.68	27.44	0.0	30.56	18.03	14.89	199.85	0.6	106.63	93.35	49.91
RIBC1	20.56	45.53	5.32	25.35	2.66	8.51	17.77	22.92	18.43	17.51	6.11	36.79	0.0	255.0	381.68	414.87	130.6	22.92	28.04	84.04	126.12
RLTPR	45.53	125.24	4.54	14.78	33.78	63.0	41.81	16.27	25.91	98.04	10.55	138.1	0.0	842.36	131.51	988.12	693.58	4.39	665.29	599.49	248.0
RNF166	251.48	400.71	187.71	172.65	217.27	441.64	406.31	202.66	303.44	301.33	204.07	507.46	0.0	1487.87	961.07	1208.34	1295.13	74.06	1119.56	802.41	738.29
RP11-505K9.4	4.17	1.81	0.0	0.0	0.0	0.0	0.0	4.58	2.05	0.32	0.0	25.91	0.0	16.39	19.25	16.27	15.34	1.0	5.19	22.43	17.77
SALL2	93.35	47.5	17.77	8.92	7.4	71.5	66.18	71.0	25.72	109.66	20.26	94.01	0.0	226.54	189.02	297.17	131.51	12.64	237.86	325.29	336.79
SASH3	140.04	353.59	38.67	29.48	34.51	180.02	124.37	81.71	135.24	232.94	16.51	228.13	0.0	2209.26	384.34	2417.67	2573.36	39.22	1447.15	1073.91	470.14
SCIMP	32.59	84.04	4.78	3.59	2.43	36.79	20.86	15.45	19.39	38.67	1.57	26.1	0.0	457.25	140.04	836.53	764.36	3.92	429.54	218.79	106.63
SCML4	12.83	26.1	1.77	2.03	0.79	5.32	16.51	4.82	3.89	15.68	2.61	42.41	0.0	303.44	61.68	1551.09	193.01	0.0	215.77	165.57	59.13
SCN9A	4.06	2.58	1.73	0.82	0.0	3.26	5.59	5.06	4.24	5.68	2.71	8.51	0.0	53.95	31.22	53.19	28.45	3.47	32.13	8.71	10.0
SEZ6	0.53	20.86	0.0	0.0	0.0	0.59	0.0	0.59	1.22	0.0	0.0	9.2	0.0	0.05	4.17	25.91	4.03	0.0	59.55	2.48	1.46
SIRPG	27.44	63.0	1.69	10.16	14.56	64.8	30.34	16.03	15.11	44.25	0.0	48.18	0.0	336.79	27.25	813.63	332.14	8.25	417.77	297.17	122.64
SIT1	28.24	83.45	1.62	4.28	6.26	30.56	22.1	11.21	10.79	57.08	2.27	65.26	0.0	1073.91	112.77	1397.83	698.41	3.5	941.27	368.65	137.14
SLAMF1	15.8	30.12	5.02	1.87	0.47	9.06	17.51	7.51	12.27	20.26	1.99	39.5	0.0	371.22	50.98	473.41	297.17	1.0	205.5	195.72	87.03
SLAMF6	30.78	53.19	2.92	4.9	2.56	18.43	24.46	9.48	10.79	30.34	3.23	46.5	0.0	884.29	44.89	5672.41	559.28	4.82	769.69	307.69	156.59
SMARCA1	172.65	187.71	32.36	20.56	15.8	116.78	159.9	124.37	89.51	119.26	88.88	201.25	0.0	444.72	457.25	251.48	253.23	32.82	293.07	555.41	995.0
STAC3	27.25	59.13	17.64	37.32	26.1	49.21	50.27	18.29	30.78	24.11	32.13	92.7	0.0	293.07	78.89	251.48	265.87	86.43	90.77	142.01	107.38
STXBP3	728.11	854.13	551.56	738.29	503.95	466.88	1044.52	612.11	693.58	633.73	660.68	808.0	0.0	981.29	878.17	780.44	872.1	612.11	738.29	915.51	902.89
TBC1D10C	94.67	195.72	14.56	29.7	33.06	95.34	90.14	60.39	69.03	152.28	14.78	444.72	0.0	3901.01	753.83	5366.37	1561.89	14.14	1519.15	1378.57	961.07
TBC1D13	332.14	301.33	248.0	194.36	212.78	293.07	293.07	343.89	329.84	334.46	201.25	339.14	130.6	514.56	358.54	684.02	473.41	165.57	412.0	633.73	669.92
TBX21	7.17	10.71	1.85	3.11	3.11	15.68	8.92	6.84	6.62	5.36	0.39	30.56	0.0	241.19	242.88	209.84	109.66	0.0	63.89	77.25	38.95
THEMIS	5.45	7.63	0.37	1.81	1.22	4.39	9.41	1.87	2.58	5.54	0.52	26.28	0.0	713.11	82.87	281.09	88.26	3.26	55.1	72.01	23.93
TIGIT	17.64	68.07	2.58	7.22	16.88	28.04	13.93	7.82	11.73	24.99	6.06	35.25	0.0	470.14	144.01	423.61	325.29	6.21	214.27	246.28	130.6
TREML1	4.86	6.52	6.01	12.83	3.03	1.31	3.89	5.19	3.69	9.27	0.0	15.34	0.0	61.25	38.67	63.45	137.14	0.0	147.06	61.25	33.3
TRIM56	287.01	214.27	115.16	111.99	73.03	175.07	260.38	287.01	287.01	217.27	44.57	279.14	0.0	277.2	105.89	376.41	423.61	46.18	563.18	323.03	301.33
TVP23A	13.62	18.16	4.54	5.68	3.89	14.03	10.71	10.24	6.94	10.71	9.78	32.59	0.0	139.07	46.5	86.43	73.03	1.55	81.14	48.18	37.59
UBASH3A	11.82	29.7	0.91	0.58	2.63	17.9	15.22	7.28	9.93	13.83	0.77	31.45	0.0	400.71	43.02	332.14	190.34	9.85	140.04	167.9	50.98
WAS	152.28	301.33	56.28	73.03	44.57	199.85	124.37	107.38	128.79	182.55	47.84	167.9	0.0	738.29	332.14	1651.0	1561.89	33.3	1277.29	928.3	395.18
WDR17	5.45	2.34	0.0	1.1	0.0	3.96	30.12	4.94	2.05	7.51	6.62	48.87	0.0	55.1	72.52	57.49	57.89	0.36	31.67	52.45	70.01
ZAP70	53.19	134.3	8.92	24.28	24.63	82.87	77.25	28.65	61.68	69.52	15.8	403.5	0.0	1199.98	579.04	1143.1	872.1	6.94	718.08	1277.29	511.0
ZBTB25	94.67	125.24	78.34	145.02	105.89	83.45	155.5	63.45	59.97	85.22	90.14	161.02	71.0	208.38	175.07	226.54	242.88	55.49	384.34	223.41	183.82
ZBTB40	163.28	173.85	113.56	91.41	122.64	150.17	145.02	117.6	118.43	151.22	87.03	202.66	0.0	329.84	157.68	497.0	283.05	48.87	277.2	289.02	265.87
ZC3H12D	47.84	124.37	12.74	9.7	6.26	41.52	24.81	18.84	57.49	36.53	12.74	56.68	0.0	392.44	32.13	674.59	420.68	4.98	629.35	162.14	127.0
ZFP1	85.82	102.97	81.71	43.94	54.33	75.11	124.37	70.01	63.45	77.25	72.52	88.26	0.0	191.67	136.19	133.36	162.14	92.7	167.9	142.01	170.25
ZNF235	67.59	48.52	57.49	54.72	31.67	30.34	32.13	35.0	39.22	53.57	30.12	64.34	0.0	131.51	112.77	123.5	101.54	18.97	135.24	104.42	78.34
ZNF248	124.37	175.07	63.0	73.03	72.52	86.43	114.36	119.26	96.01	99.43	87.65	258.57	0.0	332.14	204.07	234.57	209.84	36.27	285.03	332.14	316.37
ZNF318	229.72	277.2	118.43	137.14	98.73	194.36	206.94	159.9	165.57	214.27	133.36	260.38	0.0	299.25	226.54	316.37	348.71	86.43	587.13	307.69	379.04
ZNF658	50.98	36.53	32.59	21.32	37.05	36.01	55.89	48.87	31.22	59.13	38.12	92.05	0.0	95.34	62.12	82.87	48.52	43.63	44.25	53.57	76.71
ZNF671	50.63	82.87	39.22	20.56	22.43	63.45	55.89	49.21	46.5	62.56	19.97	90.77	0.0	373.81	289.02	460.44	269.6	9.27	239.52	339.14	242.88
ZNF683	5.36	13.32	0.0	3.23	10.88	23.25	20.41	3.82	5.92	15.45	1.41	150.17	0.0	819.3	214.27	125.24	30.34	3.69	132.44	120.1	52.82
ZNF831	3.86	9.34	0.0	0.21	0.0	2.16	4.24	1.06	1.85	4.94	0.0	10.88	0.0	85.22	12.64	244.57	57.08	1.07	56.68	52.08	27.25
