	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0IK.01A.12R.A056.07	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
DNAJA1	2417.67	1457.23	1883.54	3018.3	1628.26	2816.11	6652.97	3639.7	2915.45	0.0	0.0	4736.79
DPM1	791.35	848.22	967.76	1073.91	802.41	1662.49	3847.29	1697.45	2351.53	0.0	0.75	1167.14
DPM2	358.54	1572.76	1844.76	1159.07	312.0	409.15	2485.67	2367.9	1199.98	0.0	0.51	587.13
DTX4	119.26	571.05	125.24	68.55	46.84	11.3	921.88	181.28	47.84	0.0	0.55	26.67
FAM136A	483.38	669.92	1151.06	514.56	441.64	503.95	1794.29	1561.89	921.88	0.0	0.2	283.05
GALNT14	16.63	106.63	1037.29	58.3	14.03	108.14	1769.57	796.86	158.79	0.0	0.72	256.78
HAT1	1183.45	902.89	2209.26	1628.26	1313.23	1059.11	2468.49	1757.34	1936.53	0.0	0.61	1529.73
HNRNPD	1023.0	4575.41	7130.55	5594.3	842.36	981.29	9088.59	5183.54	4639.29	0.0	1.3	3540.14
HNRNPUL2	358.54	698.41	703.28	1127.35	217.27	381.68	1304.15	679.29	684.02	312.0	395.18	444.72
ISOC2	934.76	2701.35	2090.03	1104.13	728.11	759.08	4123.49	1572.76	947.83	0.0	0.34	2061.24
KIF9	142.01	473.41	327.56	599.49	336.79	299.25	723.08	684.02	819.3	0.0	0.12	185.11
KMO	92.7	796.86	1030.12	49.21	40.93	10.39	1487.87	88.88	221.86	0.0	0.04	0.17
LLPH	497.0	802.41	785.88	802.41	417.77	532.74	1870.53	1529.73	1096.5	0.0	0.27	780.44
LUC7L2	64.8	303.44	148.09	551.56	75.11	133.36	674.59	403.5	406.31	0.0	0.0	267.73
MCTS1	961.07	1417.35	1233.75	1073.91	947.83	902.89	4481.23	3639.7	1175.27	0.0	0.43	830.75
MPHOSPH6	500.46	1685.71	2319.15	1030.12	693.58	343.89	4358.66	4419.52	1923.14	0.0	0.53	486.75
MRPL16	511.0	1008.9	830.75	1073.91	500.46	277.2	1883.54	769.69	1225.22	0.0	0.41	1208.34
MUCL1	16611.71	2216726.5	386469.83	919186.72	21.47	20.56	1255646.43	114103.8	1299926.74	0.0	0.22	9635979.21
NDUFA1	2701.35	4095.0	3794.3	3257.52	2384.37	2303.12	12943.04	11504.21	6935.54	0.0	0.8	7230.1
NDUFA8	607.87	2384.37	3325.99	1605.83	607.87	633.73	4328.55	4769.75	2335.28	0.0	0.21	3325.99
NKAP	269.6	358.54	392.44	351.14	244.57	336.79	1015.93	830.75	432.53	0.0	0.54	397.93
NUP85	928.3	974.5	1066.48	808.0	559.28	457.25	2224.63	1159.07	878.17	0.0	1.0	1151.06
PBDC1	277.2	825.0	470.14	651.58	353.59	435.55	1794.29	934.76	1023.0	0.0	0.34	567.1
PIN4	206.94	620.67	902.89	629.35	201.25	199.85	1295.13	638.15	775.05	0.0	0.24	329.84
PITPNC1	164.42	884.29	460.44	258.57	57.49	167.9	1216.75	563.18	291.04	373.81	249.73	620.67
POLE3	1008.9	1378.57	1066.48	1437.15	967.76	909.17	3168.41	3124.78	1733.13	0.0	0.68	1427.22
PREB	941.27	1477.58	1709.26	1259.69	796.86	665.29	1923.14	1896.65	1295.13	0.0	0.34	1208.34
PSMB7	2573.36	4607.24	7803.01	3716.2	2537.92	2573.36	8840.04	8963.45	5751.61	0.0	0.99	5954.47
PSMC3	1819.35	2739.08	3146.52	2485.67	2004.85	2591.27	4010.71	2997.45	3874.05	0.0	0.85	3419.52
RFT1	166.73	563.18	470.14	532.74	237.86	305.55	896.64	536.45	309.83	0.0	0.0	309.83
RNF113A	223.41	381.68	412.0	356.05	275.28	295.11	1051.79	583.07	371.22	0.0	0.59	287.01
RPIA	244.57	260.38	403.5	329.84	141.02	201.25	591.22	493.56	414.87	0.0	0.06	295.11
SARNP	947.83	2400.97	2627.46	1674.06	733.19	802.41	3716.2	2591.27	2627.46	0.0	0.91	1923.14
SEC61B	2319.15	9409.14	9606.86	5831.91	1870.53	1709.26	18689.27	16383.0	8778.97	0.0	0.67	3467.27
SLC25A14	218.79	275.28	307.69	305.55	260.38	262.2	791.35	743.43	283.05	0.0	0.25	117.6
SLC25A5	3280.18	9409.14	5555.65	4869.99	2047.0	2193.99	39510.91	21320.18	10084.54	0.0	0.62	12853.63
SLC27A3	423.61	603.67	1008.9	497.0	279.14	293.07	1151.06	1081.39	896.64	0.0	0.0	872.1
SLC5A6	616.37	1977.24	2777.33	830.75	718.08	438.59	3124.78	2090.03	915.51	0.0	0.57	896.64
SNRPG	2287.2	2758.13	5711.87	2915.45	1950.0	1662.49	7433.4	7749.1	4869.99	0.0	0.73	2895.31
SNX12	909.17	902.89	1044.52	974.5	872.1	743.43	1208.34	896.64	1151.06	0.0	0.45	915.51
SPATA33	42.11	153.34	366.09	181.28	50.98	78.89	583.07	343.89	183.82	0.0	0.23	93.35
SRP19	1111.82	2537.92	2777.33	1832.01	1199.98	1023.0	4010.71	4543.8	3349.13	0.0	0.55	1225.22
SRSF7	1991.0	1936.53	2555.58	3168.41	1977.24	1721.16	4607.24	2664.15	3018.3	0.0	0.62	3146.52
SSB	1794.29	1397.83	2400.97	1628.26	1225.22	1286.18	4010.71	2255.7	2400.97	0.0	0.83	2319.15
SSBP1	3039.3	4123.49	4512.4	3794.3	1674.06	2384.37	9215.48	6792.79	5441.3	0.0	0.42	3847.29
STMN1	1709.26	2335.28	6381.92	2502.97	674.59	1447.15	15499.21	9808.75	3124.78	7485.11	400.71	4836.35
TACO1	237.86	412.0	381.68	450.94	189.02	327.56	1037.29	866.07	587.13	0.0	0.0	595.34
TARBP2	379.04	1233.75	660.68	603.67	423.61	507.46	1519.15	674.59	616.37	0.0	0.0	457.25
TARDBP	796.86	2018.8	2335.28	2573.36	808.0	1242.34	2997.45	2682.69	2178.83	0.0	0.93	2240.11
TIMM10	988.12	1369.04	1870.53	1191.69	1008.9	896.64	2627.46	1051.79	2032.85	0.0	0.4	1844.76
TIMM23	1359.57	1819.35	1963.57	1540.37	1135.2	1268.46	3372.43	2032.85	1781.89	0.0	0.38	1721.16
TPBGL	0.93	5.92	11.82	4.17	0.72	0.05	72.52	8.71	2.32	0.0	0.0	3.41
TSEN34	915.51	1359.57	1639.59	1104.13	651.58	1487.87	3639.7	1457.23	1733.13	0.0	0.71	738.29
TXN	4328.55	9540.5	12076.21	6037.61	3257.52	3540.14	20030.74	26067.14	11424.74	0.0	1.14	12160.22
USP39	896.64	1030.12	1605.83	1037.29	583.07	665.29	1794.29	1674.06	1143.1	0.0	1.07	1225.22
ZMAT2	1331.57	1286.18	1794.29	2367.9	1015.93	1397.83	4038.61	2645.74	2303.12	0.0	0.6	1870.53
ZNF259	318.57	1066.48	1073.91	490.14	376.41	289.02	1498.22	836.53	470.14	0.0	0.14	1023.0
