	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A4A5.01A.21R.A260.31	GTEX.14E6E.0726.SM.5S2R3	GTEX.XXEK.0326.SM.4BRVV	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.KU.A6H8.01A.21R.A34R.07	GTEX.131XF.2826.SM.5EGKH	TCGA.FP.7735.11A.01R.2055.13	GTEX.146FR.2026.SM.5NQAI	GTEX.YEC3.1426.101806.SM.5PNXX
LIMK2	713.11	155.5	181.28	4268.94	4671.57	2609.3	1870.53	1721.16	2591.27	1151.06	708.18	178.77	341.51	283.05
LY6D	13.62	5.87	33.54	2.1503555688E8	6.17527469E7	20737.16	32092.64	38430.46	62431.08	21617.82	6792.79	5.15	3.08	2645.74
MARVELD3	65.26	0.45	0.0	813.63	346.29	305.55	111.21	104.42	273.37	88.26	41.81	2.94	17.13	10.63
MLF1IP	273.37	21.63	17.64	1594.73	647.07	500.46	361.04	381.68	327.56	297.17	92.7	12.27	50.27	30.56
MMP13	7.57	0.0	0.0	5791.62	4328.55	356.05	18.29	12.93	1151.06	23.25	2.76	0.0	0.0	1.93
MREG	62.12	15.11	11.04	1304.15	825.0	366.09	748.61	743.43	417.77	256.78	231.32	6.26	37.05	16.88
NCCRP1	6.16	0.0	2.29	1196176.45	663619.99	1143.1	5791.62	9025.81	1268.46	1250.98	346.29	1.43	1.89	327.56
NCKAP5	4.46	1.75	14.89	131.51	92.7	45.85	73.54	52.08	84.04	38.4	21.78	4.24	8.0	5.68
NKPD1	1.51	0.88	0.89	251.48	289.02	31.67	5.54	11.3	27.44	9.27	10.31	0.55	0.85	1.43
NKX1-2	0.74	0.0	0.0	1104.13	5.28	4.1	7.46	4.46	1.13	1.16	1.6	0.0	0.0	0.0
NTF4	26.28	0.0	0.0	5183.54	4769.75	450.94	135.24	115.97	226.54	164.42	78.34	0.0	2.34	1.69
NXPH4	6.06	0.0	0.91	13215.02	429.54	420.68	81.71	127.0	336.79	63.0	61.68	0.95	6.06	3.76
OR2A7	9.06	6.11	2.68	1233.75	518.15	138.1	94.01	90.14	20.41	39.22	59.13	7.75	7.46	5.02
PLCH2	323.03	0.0	0.49	37639.55	43236.64	3349.13	540.19	909.17	559.28	463.65	158.79	4.31	9.13	6.78
PLEKHN1	42.41	0.46	1.36	4123.49	3690.52	127.89	607.87	1044.52	305.55	265.87	165.57	1.81	5.54	4.43
PPP1R13L	808.0	165.57	131.51	18560.17	15607.02	7280.4	4066.71	4704.07	5751.61	2255.7	974.5	142.01	332.14	226.54
PRKD2	708.18	387.02	265.87	2018.8	1277.29	1119.56	896.64	825.0	1183.45	769.69	723.08	303.44	669.92	432.53
PTPN3	67.59	10.24	4.31	1304.15	1143.1	162.14	591.22	830.75	307.69	423.61	497.0	23.76	40.64	14.35
RAD51AP2	0.0	0.0	0.88	5.96	14.78	7.69	6.06	3.53	4.06	5.41	2.76	0.74	0.2	0.0
RANGAP1	974.5	743.43	878.17	2855.44	1819.35	2104.58	2502.97	1628.26	2075.59	1733.13	1467.37	759.08	497.0	525.39
RFWD3	197.09	121.79	88.26	620.67	373.81	551.56	389.72	314.17	348.71	208.38	150.17	100.83	181.28	79.45
RHBG	0.0	0.0	0.92	169.07	429.54	59.13	45.85	55.1	7.4	10.71	14.03	0.0	0.78	0.0
S1PR5	74.58	0.0	0.0	67377.47	8963.45	642.59	198.47	175.07	473.41	135.24	87.03	0.21	3.26	2.56
SLC12A8	96.01	13.52	13.22	638.15	214.27	277.2	143.01	162.14	237.86	111.99	29.48	2.92	18.7	12.45
SLC44A5	19.25	3.96	7.11	260.38	15392.14	414.87	191.67	361.04	128.79	85.22	8.38	5.28	1.81	0.61
SPAG17	3.41	0.46	0.47	1540.37	5076.84	384.34	368.65	518.15	127.89	269.6	7.22	2.92	6.26	5.73
SQLE	356.05	42.11	85.82	6037.61	3146.52	5913.33	2163.77	1167.14	915.51	414.87	244.57	83.45	105.15	63.0
SRD5A1	103.69	52.08	53.95	2434.5	4010.71	2224.63	947.83	748.61	543.96	500.46	208.38	40.07	72.01	52.08
STON2	59.97	47.84	28.24	1883.54	1477.58	571.05	314.17	260.38	1467.37	299.25	387.02	27.25	63.45	20.11
STX6	366.09	255.0	226.54	1721.16	708.18	884.29	490.14	490.14	669.92	368.65	353.59	165.57	262.2	211.31
SYT8	144.01	0.96	7.75	3235.01	3443.31	483.38	1467.37	249.73	764.36	1594.73	450.94	0.0	7.11	0.0
TBC1D22B	166.73	159.9	128.79	318.57	397.93	371.22	279.14	289.02	218.79	195.72	180.02	151.22	127.0	156.59
TFAP2A	108.14	20.41	6.26	1909.85	1397.83	1883.54	759.08	947.83	1277.29	660.68	262.2	8.85	46.5	48.18
TFAP2C	88.26	9.06	1.77	1037.29	1059.11	551.56	547.75	647.07	688.78	457.25	134.3	2.94	68.55	14.78
TGM5	0.77	6.11	0.91	5672.41	3564.78	157.68	339.14	171.45	327.56	92.7	30.34	0.0	8.25	6.89
TNFSF10	1806.78	612.11	267.73	74243.68	27938.14	9740.98	1794.29	1977.24	10883.59	1697.45	791.35	211.31	1457.23	397.93
TP73	38.67	3.06	3.11	5633.22	1477.58	497.0	113.56	96.01	255.0	105.89	275.28	1.99	8.45	3.44
TPRXL	3.82	1.35	4.46	4038.61	4066.71	400.71	190.34	318.57	130.6	205.5	91.41	1.27	4.62	17.25
UCN2	16.15	0.0	6.16	199.85	571.05	339.14	29.91	29.06	320.8	47.17	18.29	0.0	1.33	6.16
ULBP2	74.06	1.75	2.23	1216.75	130.6	224.97	149.12	89.51	674.59	51.71	34.75	3.89	2.2	6.36
VAV3	52.82	29.06	3.59	2032.85	2335.28	780.44	1295.13	1208.34	728.11	713.11	134.3	13.22	18.29	11.55
WNT7B	69.03	0.0	2.68	26248.46	12502.12	669.92	211.31	186.4	660.68	115.97	73.03	0.0	15.34	3.35
XDH	50.63	0.0	0.0	2796.65	551.56	1104.13	316.37	102.25	65.72	27.44	20.41	0.0	0.0	24.99
