	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.UPIC.1126.SM.4IHLO	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.11DXY.0526.SM.5EGGQ	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13
DNMT1	866.07	511.0	460.44	769.69	149.12	457.25	164.42	145.02	189.02	1685.71	1417.35	2384.37	2271.4	1322.37	2434.5
ELAVL1	848.22	848.22	813.63	802.41	775.05	551.56	466.88	336.79	748.61	941.27	995.0	1794.29	1605.83	890.44	1651.0
FEN1	532.74	249.73	209.84	248.0	132.44	165.57	155.5	87.03	97.36	563.18	450.94	1628.26	575.03	414.87	1407.55
FOXK2	591.22	518.15	332.14	341.51	127.89	185.11	104.42	133.36	159.9	1369.04	738.29	1477.58	1233.75	688.78	1023.0
GJD4	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98	3.08	14.56	1.41	1.3	3.99
GSG2	48.18	22.59	4.78	7.63	0.58	1.16	0.0	0.56	2.14	171.45	92.05	220.32	93.35	78.34	212.78
GSPT1	2367.9	1268.46	1359.57	995.0	759.08	878.17	848.22	796.86	713.11	1950.0	2384.37	2384.37	4152.18	1540.37	2367.9
HELLS	236.21	94.01	82.29	48.18	14.67	26.86	4.7	8.0	6.06	665.29	258.57	921.88	525.39	414.87	547.75
IGF2BP2	902.89	68.55	381.68	175.07	14.35	44.25	17.9	43.94	10.55	2384.37	934.76	1617.0	1286.18	915.51	1388.16
KIF18B	172.65	37.85	6.89	18.29	1.23	5.96	0.77	1.77	0.71	1191.69	81.14	753.83	314.17	133.36	353.59
KIF20B	121.79	42.71	36.53	34.75	2.71	24.99	18.29	19.11	16.03	249.73	177.53	249.73	217.27	115.16	187.71
KPNA2	1073.91	447.82	480.04	529.06	183.82	283.05	193.01	134.3	152.28	2875.3	1447.15	2895.31	1697.45	1225.22	2047.0
KRT6A	2.01760973986E9	2.41604469791E9	2.25	0.0	0.0	1.77	0.0	2.53	4.31	33.78	9.34	629.35	116.78	11.21	36.79
MAD2L1	802.41	232.94	52.82	55.89	28.65	32.13	24.11	8.71	19.39	1015.93	303.44	974.5	583.07	223.41	532.74
MCM10	84.04	6.26	7.57	11.04	2.94	3.2	0.59	2.14	0.0	115.97	76.17	301.33	248.0	80.57	305.55
MED13	224.97	325.29	198.47	289.02	62.56	221.86	228.13	167.9	175.07	500.46	490.14	1304.15	529.06	332.14	412.0
MED14	567.1	285.03	532.74	299.25	129.69	244.57	154.42	275.28	163.28	995.0	651.58	1001.93	813.63	486.75	915.51
MKI67	339.14	76.71	15.0	44.57	1.89	13.83	3.23	5.5	0.75	665.29	409.15	1781.89	1001.93	397.93	1059.11
MTBP	57.08	36.79	28.86	57.08	3.86	18.84	7.28	7.57	8.92	126.12	74.06	624.99	167.9	88.88	108.14
MTFR2	65.72	24.99	8.0	13.62	8.19	11.04	2.76	2.03	4.06	81.71	150.17	177.53	110.43	66.18	96.01
MTHFD1L	89.51	103.69	267.73	258.57	111.21	109.66	29.06	43.32	133.36	334.46	493.56	1096.5	995.0	450.94	616.37
NCAPG	185.11	51.71	13.62	25.72	0.0	8.71	4.66	4.24	2.18	332.14	90.77	343.89	218.79	107.38	198.47
NUP155	236.21	214.27	198.47	128.79	81.14	102.25	78.34	71.0	69.03	414.87	273.37	884.29	395.18	289.02	511.0
ORC6	224.97	59.55	33.78	38.95	6.78	12.64	0.0	2.25	4.7	339.14	170.25	638.15	303.44	87.03	358.54
PHF16	98.04	81.71	117.6	102.25	54.33	87.03	80.01	54.72	62.12	417.77	159.9	529.06	275.28	129.69	193.01
PIGA	441.64	397.93	119.26	145.02	36.79	90.14	68.07	54.72	58.3	277.2	175.07	603.67	170.25	190.34	221.86
POTEF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.14	10.63	69.52	60.82	10.39	77.79
POTEI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.14	10.39	37.05	21.94	1.57	24.99
PRIM2	161.02	52.45	64.8	111.99	41.52	31.0	21.01	18.43	33.06	262.2	142.01	301.33	204.07	130.6	256.78
PTPRE	241.19	303.44	69.52	121.79	17.77	111.21	55.49	19.82	6.78	246.28	241.19	1769.57	343.89	400.71	327.56
RCC2	2224.63	2148.82	612.11	547.75	128.79	281.09	105.15	71.5	118.43	3212.66	1721.16	3395.89	4358.66	1259.69	1806.78
SAPCD2	493.56	157.68	36.79	16.39	2.43	4.54	1.73	1.93	4.31	896.64	373.81	1350.18	262.2	444.72	387.02
SPATS2	587.13	961.07	339.14	232.94	71.0	130.6	38.12	40.64	49.91	825.0	441.64	679.29	389.72	476.71	603.67
SRSF1	1950.0	2148.82	1963.57	1794.29	866.07	1447.15	1111.82	1286.18	1037.29	3540.14	2915.45	5594.3	3794.3	2627.46	4298.64
SRSF10	764.36	796.86	1037.29	1143.1	514.56	961.07	764.36	674.59	713.11	2739.08	1733.13	2956.17	2335.28	1697.45	2133.97
TAP2	1685.71	1397.83	414.87	429.54	183.82	371.22	264.03	208.38	392.44	1233.75	802.41	2367.9	1844.76	473.41	1008.9
TBC1D31	88.26	55.89	53.95	55.1	12.36	47.5	19.11	24.81	20.41	209.84	123.5	329.84	228.13	162.14	134.3
TCF3	595.34	890.44	579.04	738.29	191.67	381.68	159.9	361.04	275.28	2351.53	1350.18	3372.43	1159.07	988.12	1651.0
TMEM194A	158.79	144.01	92.05	87.65	47.17	84.04	52.45	49.91	51.35	392.44	241.19	647.07	387.02	194.36	301.33
TMPO	1159.07	412.0	507.46	665.29	141.02	423.61	409.15	579.04	256.78	1561.89	1277.29	2682.69	1857.6	1208.34	1359.57
TOPBP1	392.44	121.79	140.04	262.2	41.22	154.42	72.01	35.0	78.34	713.11	647.07	988.12	928.3	500.46	842.36
TUBGCP4	172.65	197.09	366.09	173.85	107.38	167.9	122.64	127.89	172.65	454.09	348.71	638.15	420.68	314.17	480.04
UHRF1BP1	50.98	49.21	95.34	76.71	18.43	46.5	37.59	20.56	19.39	217.27	169.07	348.71	185.11	104.42	165.57
VHL	521.76	414.87	318.57	312.0	115.97	295.11	127.0	212.78	180.02	753.83	813.63	1135.2	1044.52	713.11	928.3
WHSC1	551.56	194.36	275.28	223.41	50.98	131.51	75.64	67.12	72.52	819.3	571.05	1407.55	1073.91	521.76	947.83
XPOT	703.28	595.34	426.57	466.88	166.73	327.56	275.28	178.77	336.79	1008.9	981.29	1883.54	1388.16	665.29	1135.2
ZFP64	212.78	279.14	226.54	162.14	95.34	120.94	100.83	121.79	104.42	915.51	312.0	480.04	713.11	329.84	599.49
ZMYND19	559.28	679.29	189.02	412.0	248.0	312.0	187.71	180.02	218.79	1023.0	603.67	1313.23	679.29	674.59	438.59
