	TCGA.GD.A3OS.01A.12R.A220.07	TCGA.A2.A25A.01A.12R.A16F.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N8.A4PQ.01A.11R.A28V.07	TCGA.NA.A5I1.01A.21R.A28V.07
MTG1	928.3	708.18	1015.93	483.38	490.14	384.34	466.88	0.0	0.43	1844.76	1295.13
MTG2	1143.1	753.83	1208.34	728.11	571.05	305.55	273.37	808.0	307.69	1561.89	2075.59
NAGK	3874.05	2209.26	2701.35	2434.5	1819.35	1096.5	13306.94	0.0	0.35	3280.18	4095.0
NCCRP1	373.81	25.54	14.35	146.03	10.31	46.5	1196176.45	0.0	0.25	57.08	303.44
NDUFS8	2645.74	2178.83	4328.55	2591.27	1268.46	1369.04	2400.97	0.0	0.75	5517.27	6607.01
NT5C3B	1857.6	819.3	1023.0	995.0	808.0	470.14	223.41	0.0	0.99	1651.0	2178.83
NUDT1	1685.71	633.73	733.19	486.75	460.44	150.17	2451.44	0.0	0.56	2255.7	1519.15
OVOL3	1.64	1.43	1.87	0.0	0.0	0.0	13.32	0.0	0.07	2.07	11.82
PABPN1	2915.45	2451.44	3325.99	2271.4	1477.58	733.19	1605.83	2090.03	2434.5	3742.05	4543.8
PALM	1059.11	457.25	1015.93	486.75	156.59	87.65	8.06	0.0	0.73	842.36	890.44
PARP10	1745.2	656.11	2816.11	1037.29	336.79	454.09	988.12	0.0	0.89	2075.59	890.44
PFDN2	4450.27	2335.28	2485.67	2816.11	2090.03	559.28	2351.53	0.0	0.6	2855.44	3039.3
PIGZ	116.78	95.34	152.28	127.89	53.57	50.98	169.07	0.0	0.43	39.22	199.85
PLA2G15	848.22	358.54	371.22	283.05	669.92	158.79	163.28	0.0	0.19	473.41	961.07
PLEKHA4	2287.2	775.05	1175.27	974.5	264.03	47.5	73.54	444.72	142.01	1781.89	1295.13
PLEKHO1	2104.58	1498.22	1457.23	830.75	490.14	241.19	43.94	0.0	0.69	2645.74	3690.52
PLXND1	3372.43	3146.52	2875.3	2434.5	1594.73	579.04	223.41	0.0	1.17	1977.24	4152.18
PPP1R9B	928.3	599.49	669.92	698.41	379.04	397.93	866.07	0.0	0.62	921.88	890.44
PROCA1	75.64	29.48	102.97	64.34	21.32	20.11	55.49	0.0	0.42	105.89	144.01
PTDSS2	511.0	376.41	674.59	447.82	158.79	163.28	162.14	0.0	0.73	854.13	1037.29
PXMP2	753.83	351.14	638.15	363.56	693.58	376.41	441.64	0.0	0.06	813.63	1286.18
RAPGEFL1	348.71	123.5	289.02	218.79	28.24	21.01	47974.16	0.0	1.28	273.37	356.05
RBM10	1259.69	599.49	961.07	647.07	532.74	559.28	1051.79	0.0	0.87	988.12	1427.22
RCCD1	476.71	109.66	205.5	119.26	74.58	53.95	293.07	0.0	0.38	226.54	279.14
RILPL1	289.02	248.0	379.04	275.28	157.68	69.52	44.57	0.0	0.38	414.87	384.34
RNASEH2C	665.29	1051.79	1447.15	830.75	493.56	738.29	341.51	0.0	0.57	1950.0	2209.26
RPL13	125731.67	72213.45	118127.7	54349.29	40621.74	14461.21	100719.65	0.0	1.62	80683.28	104271.56
RPL35	78476.96	42641.37	66449.85	42641.37	21919.61	23492.92	75803.72	0.0	1.62	65990.84	87681.42
RPS9	47642.77	38430.46	57051.4	38697.77	19892.37	22850.48	41763.8	28723.62	6121.9	52497.92	67377.47
RPUSD3	1081.39	559.28	836.53	571.05	460.44	201.25	599.49	0.0	0.27	1143.1	708.18
RSPH10B	7.4	0.79	6.16	0.79	2.18	6.16	3.17	0.0	0.0	12.93	11.82
S100A7	149.12	1.16	5.68	0.0	7.51	0.06	1.38765328462E9	0.0	0.54	7.94	2133.97
SAMD1	1268.46	884.29	1437.15	848.22	511.0	297.17	1127.35	848.22	1151.06	2303.12	1277.29
SCAP	974.5	896.64	1037.29	808.0	579.04	521.76	872.1	624.99	186.4	1605.83	1745.2
SIVA1	3491.39	1857.6	3280.18	2209.26	1617.0	1044.52	1781.89	3443.31	121.79	3690.52	6207.38
SMARCD3	3303.0	728.11	1127.35	493.56	260.38	165.57	108.9	0.0	1.04	1551.09	1407.55
SMIM20	947.83	669.92	679.29	693.58	718.08	325.29	119.26	0.0	0.46	1233.75	738.29
SPRN	64.34	25.17	79.45	22.59	12.55	30.56	32.59	0.0	0.39	76.71	130.6
SRRT	3280.18	1733.13	2976.74	1977.24	1199.98	450.94	1674.06	0.0	1.25	3018.3	3103.19
SSBP4	2133.97	1216.75	2224.63	1208.34	414.87	595.34	620.67	0.0	0.65	3820.7	4802.93
STK32C	733.19	181.28	305.55	153.34	85.22	99.43	82.29	0.0	0.58	423.61	785.88
STOML1	353.59	236.21	303.44	221.86	148.09	148.09	301.33	0.0	0.16	406.31	368.65
TBCD	1508.65	1081.39	2555.58	1322.37	679.29	1073.91	1286.18	0.0	0.88	1674.06	2777.33
TIAF1	223.41	185.11	209.84	131.51	111.21	36.01	420.68	159.9	81.71	264.03	220.32
TMEM42	860.08	281.09	438.59	241.19	211.31	187.71	287.01	0.0	0.17	432.53	587.13
TRMT61A	435.55	136.19	318.57	182.55	98.73	69.52	56.68	0.0	0.42	466.88	376.41
TSPAN4	1977.24	1674.06	3103.19	1519.15	669.92	559.28	126.12	0.0	0.95	2701.35	4123.49
TUBGCP2	1313.23	1135.2	1709.26	1088.92	1066.48	1008.9	909.17	0.0	0.87	2178.83	1950.0
UBTD1	447.82	351.14	575.03	420.68	217.27	178.77	612.11	0.0	0.49	579.04	723.08
UBXN1	2609.3	2555.58	4607.24	2720.15	1540.37	1216.75	2224.63	0.0	0.97	5995.9	4769.75
UNC119	1104.13	500.46	780.44	703.28	395.18	314.17	525.39	0.0	0.72	1135.2	1745.2
WDR18	954.43	454.09	1104.13	819.3	412.0	232.94	1008.9	0.0	0.24	1277.29	884.29
WDR46	2255.7	748.61	1313.23	1059.11	563.18	941.27	551.56	0.0	0.33	1508.65	2384.37
WDR77	514.56	473.41	503.95	470.14	420.68	305.55	947.83	0.0	0.43	860.08	836.53
YJEFN3	139.07	26.86	143.01	47.5	17.13	15.0	33.06	0.0	1.01	341.51	229.72
ZNRF1	693.58	591.22	674.59	575.03	473.41	55.89	1457.23	0.0	0.47	854.13	1008.9
