	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A0HF.01A.11R.A056.07	TCGA.BH.A0HK.01A.11R.A056.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.AO.A0JE.01A.11R.A056.07	TCGA.AN.A0FK.01A.11R.A034.07	GTEX.12KS4.0726.SM.5FQSX	TCGA.34.2608.01A.02R.0851.07	TCGA.18.3412.01A.01R.0980.07	TCGA.58.8392.01A.11R.2326.07
FAM83C	5.11	0.0	31.45	17.13	0.0	0.0	0.34	5.36	0.0	0.0	17.77	177.53	303.44
FETUB	2.07	0.32	21.94	13.42	0.0	0.0	0.0	1.36	0.0	44.89	82.87	127.0	379.04
FGF19	7.34	0.29	49.91	31.0	0.29	0.3	0.0	8.19	0.0	848.22	2.25	267.73	13.03
FOXE1	15.91	0.0	102.97	52.45	0.0	0.0	0.0	10.96	0.0	0.0	289.02	493.56	1104.13
FXYD3	21172.91	25530.66	102125.66	70727.3	6935.54	32994.92	10296.45	15075.35	14663.09	5872.48	29943.43	386469.83	53230.77
GALR2	0.39	0.36	8.06	6.11	0.36	0.37	3.44	3.59	0.0	5.45	4.13	74.06	24.81
GAST	1.99	0.0	35.76	23.93	0.0	0.0	0.0	5.77	0.0	0.0	47.17	199.85	96.01
GBP6	61.25	4.24	314.17	146.03	2.71	8.32	5.63	49.56	1.83	10.79	441.64	1216.75	947.83
GDA	10.08	0.0	74.06	31.22	0.0	1.81	0.0	8.32	0.0	0.95	65.72	435.55	241.19
GJB4	10.71	0.32	49.91	27.05	0.93	0.33	0.0	11.21	0.0	0.0	42.71	271.48	23.08
GJB5	63.45	2.23	269.6	151.22	12.27	2.61	5.5	77.79	3.17	0.58	435.55	1594.73	775.05
GJB6	137.14	0.34	890.44	409.15	2.78	0.0	2.58	106.63	0.0	6.06	1651.0	4038.61	6250.56
GPR87	138.1	3.69	532.74	229.72	13.32	20.86	36.53	55.49	1.55	0.0	1819.35	2537.92	547.75
GSTA1	518.15	0.64	3257.52	1529.73	1.87	9.13	0.0	371.22	8.06	89.51	796.86	17317.18	6561.36
GSTM5	447.82	31.22	2609.3	1340.84	54.72	10.08	54.33	361.04	15.56	583.07	111.99	18819.27	12.45
GTF2A1L	6.67	1.16	22.43	6.94	0.0	0.0	5.87	9.93	3.63	8.06	28.24	50.63	68.55
H2BFM	0.0	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	11.73	0.65
HOXD13	2.73	0.93	21.47	9.34	0.31	6.52	0.0	1.01	5.54	0.0	0.64	102.97	182.55
IGF2BP3	14.56	2.2	64.8	30.12	1.57	10.71	0.67	25.35	4.06	27.84	124.37	409.15	743.43
IL1A	3.92	1.77	16.03	9.34	0.27	0.28	0.6	7.0	0.0	21.32	143.01	91.41	27.44
IL36A	6.46	0.0	58.71	53.19	0.0	0.0	0.0	4.94	0.0	7.4	6.94	303.44	49.91
IL36RN	9.78	0.0	48.18	11.21	0.34	0.0	8.85	8.58	0.0	2.76	26.67	97.36	447.82
ISM2	0.69	0.62	7.88	2.29	0.31	0.0	0.32	1.69	1.27	2.1	4.39	24.63	79.45
KCNMB2	7.46	1.48	44.25	32.13	0.56	0.26	4.43	2.61	0.26	16.39	29.7	170.25	20.41
KDM5D	3.38	0.0	14.67	11.04	0.4	0.0	0.0	3.69	0.0	248.0	275.28	41.81	76.71
KLHL4	16.15	5.02	54.72	44.25	2.32	3.0	10.16	10.63	4.74	34.02	14.14	239.52	28.65
KLK9	0.68	0.0	9.06	8.99	0.0	0.0	0.0	4.66	0.0	52.45	53.19	53.19	16.75
KRT13	3419.52	6.67	21468.49	10368.08	1.64	0.56	291.04	2417.67	0.0	1359.57	2915.45	110983.6	33688.23
KRT5	5633.22	159.9	29943.43	14065.74	713.11	135.24	336.79	3467.27	1.17	166.73	33688.23	130165.62	77934.88
KRT74	0.36	0.0	5.63	1.64	0.0	0.0	0.34	3.29	0.0	4.86	2.27	26.86	27.84
KRT76	1.35	0.0	5.92	4.78	0.0	0.0	0.0	0.99	0.0	0.0	1.27	38.67	1.08
KRT85	0.38	0.0	8.92	2.81	0.99	0.0	0.0	1.43	0.0	0.45	2.03	2.48	18.97
KRTDAP	316.37	2.78	1883.54	1066.48	0.0	8.58	2.89	217.27	0.0	39.79	909.17	12764.83	4358.66
LGI3	4.35	0.36	29.91	12.0	1.0	0.0	0.0	2.14	0.36	412.0	88.26	136.19	98.73
LHFPL1	2.58	1.73	32.59	13.03	4.35	2.07	0.57	10.24	6.21	5.02	14.56	121.79	33.78
LY6D	583.07	0.0	3901.01	2119.22	8.71	2.32	22.43	555.41	0.0	59.97	728.11	24153.43	902.89
LY6G6E	0.0	0.0	5.92	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	22.1	41.22
LYPD2	8.71	0.0	60.39	15.91	1.28	0.0	0.0	16.15	0.0	22.1	34.02	397.93	120.1
MAGEA4	10.71	0.0	47.5	18.84	2.71	0.0	0.0	17.0	0.0	4.8191909177997E11	395.18	15.91	1870.53
MAGEA9	1.71	0.0	18.84	3.72	0.0	0.0	0.33	2.34	0.0	2.05	27.84	8.19	1044.52
MAP7D2	1.81	1.33	13.62	10.71	2.27	1.36	1.38	8.85	0.69	7.34	18.43	84.04	94.01
MPL	1.38	1.89	5.15	1.53	0.31	0.0	0.97	1.36	0.0	5.06	2.25	1.55	0.74
MROH9	0.35	0.0	3.72	0.0	0.32	0.0	0.65	1.01	0.32	10.08	12.64	0.8	0.78
MT1E	1991.0	669.92	14561.8	6745.86	1896.65	559.28	1175.27	3190.46	267.73	12943.04	4575.41	2502.97	255.0
MUC20	356.05	463.65	854.13	406.31	36.53	961.07	51.35	135.24	218.79	92.05	638.15	4481.23	633.73
MUC4	13.22	4.35	77.79	29.91	1.35	5.77	2.76	54.72	4.7	115.16	255.0	395.18	1936.53
NAPSA	46.5	22.26	209.84	113.56	10.31	7.63	17.25	27.64	9.13	35609.13	4671.57	551.56	1674.06
NECAB2	24.46	3.96	65.26	37.59	8.45	2.39	4.1	23.76	1.36	11.64	22.1	409.15	71.5
NKX2-1	0.74	0.0	8.38	4.7	0.0	0.0	0.0	0.72	0.0	450.94	231.32	30.56	133.36
NLGN4Y	0.34	0.0	5.63	3.72	0.0	0.0	0.0	1.66	0.31	47.84	140.04	15.34	3.47
NOX1	1.77	0.65	20.56	1.57	0.32	1.31	0.0	0.69	0.65	0.0	5.82	30.12	1.53
NPPB	1.39	0.0	13.72	6.84	0.0	0.0	0.0	3.17	0.0	10.39	0.0	1.85	0.0
NR0B1	4.62	0.0	46.5	34.02	0.0	0.0	0.0	4.54	0.0	0.0	0.49	224.97	6.41
NR2E1	1.68	0.0	8.25	3.35	0.3	0.0	0.0	0.66	0.0	0.0	0.91	62.56	11.38
ODC1	872.1	336.79	2018.8	1030.12	616.37	220.32	182.55	802.41	551.56	2178.83	3039.3	6792.79	2287.2
OSGIN1	147.06	76.17	802.41	316.37	44.57	77.79	59.13	175.07	43.94	435.55	1183.45	3820.7	1639.59
OTOP3	2.01	0.0	14.78	7.63	0.0	0.0	0.32	3.26	0.0	0.0	1.13	101.54	239.52
P2RY1	15.34	9.06	80.01	63.89	2.56	5.82	8.06	31.67	5.73	55.89	147.06	551.56	320.8
PCP4L1	26.1	6.67	150.17	80.01	1.33	13.42	6.89	15.45	5.15	35.5	136.19	802.41	748.61
PDE4C	11.91	2.14	52.82	22.59	4.86	2.53	3.26	12.45	1.81	27.25	18.16	379.04	24.99
POU4F1	0.37	0.0	4.06	0.4	0.0	0.0	0.0	0.36	0.0	0.0	1.31	8.06	23.76
PRDM13	0.35	0.0	1.01	3.69	0.0	0.0	0.0	0.34	0.0	0.0	8.51	16.27	11.04
RHCG	147.06	1.04	791.35	438.59	0.39	0.0	0.0	88.26	0.39	158.79	228.13	5183.54	6983.79
RPS4Y1	63.45	0.0	406.31	161.02	0.0	0.0	0.0	44.25	0.0	6164.49	7537.18	1225.22	688.78
S100A12	62.12	0.0	432.53	189.02	1.85	0.0	3.0	48.87	0.0	409.15	148.09	4769.75	2061.24
SCGB1A1	53.57	0.0	376.41	208.38	0.0	0.0	0.0	50.27	0.0	7485.11	23986.58	1073.91	848.22
SCGB3A2	94.01	1.51	417.77	246.28	0.0	0.0	0.0	62.12	0.0	9540.5	7966.99	1183.45	2090.03
SDK1	26.28	60.39	376.41	43.32	13.62	40.36	13.83	58.3	37.05	848.22	379.04	236.21	638.15
SERPINB13	23.93	0.0	173.85	52.45	0.0	0.0	0.0	16.75	0.0	1.91	323.03	679.29	2645.74
SERPINB2	69.03	30.56	361.04	185.11	10.71	7.69	1.58	180.02	1.85	8479.89	195.72	2400.97	536.45
SERPINB3	49.21	0.0	309.83	145.02	0.0	0.36	0.0	33.54	0.0	11.13	1143.1	1286.18	3124.78
SFN	1519.15	738.29	6250.56	2956.17	860.08	450.94	884.29	1477.58	633.73	2645.74	20737.16	33688.23	16269.83
SFTA3	2.86	0.0	32.82	5.54	0.0	0.0	0.0	2.12	0.0	2720.15	624.99	63.0	202.66
SFTPA1	98.04	0.0	612.11	269.6	0.0	0.0	0.0	63.0	0.0	193234.41	8134.41	1322.37	8479.89
SFTPA2	151.22	1.38	738.29	339.14	29.27	1.07	1.41	118.43	2.34	239554.43	11424.74	1745.2	12589.08
SFTPB	221.86	0.74	1674.06	718.08	1.41	0.4	0.77	223.41	0.74	142439.51	34876.28	3955.48	16157.44
SGPP2	23.59	13.72	312.0	45.53	5.68	273.37	5.92	23.42	76.17	120.94	299.25	389.72	764.36
SLAMF9	8.32	12.36	173.85	68.55	8.06	10.16	3.11	11.13	10.63	26.67	49.56	228.13	420.68
SLC47A2	3.96	0.97	16.39	4.39	1.28	0.0	2.68	1.75	0.32	6.78	30.34	28.65	101.54
SNX31	9.85	6.06	59.55	17.64	0.33	0.34	3.32	7.63	0.0	0.65	11.82	220.32	62.56
SOST	9.34	0.0	35.25	23.76	0.0	0.32	0.0	7.57	0.0	9.34	902.89	269.6	241.19
SOX21	4.39	0.31	27.64	17.77	0.31	0.0	0.0	7.28	0.31	8.85	98.73	186.4	543.96
SPRR1A	262.2	0.0	2209.26	1135.2	0.0	0.0	0.0	205.5	4.06	69.52	1059.11	10585.95	22380.2
SPRR1B	224.97	0.0	1936.53	703.28	0.0	0.0	0.0	185.11	0.0	127.0	4671.57	8901.53	18304.63
SPRR2A	420.68	0.0	2720.15	1277.29	0.0	0.0	1.83	358.54	0.0	94.67	1037.29	9606.86	12415.75
SPRR2B	2.63	0.0	40.93	2.18	0.0	0.0	0.0	1.27	0.0	0.0	121.79	239.52	307.69
SPRR2D	83.45	0.0	532.74	256.78	0.0	0.0	0.0	63.89	0.0	60.39	1674.06	1259.69	6840.04
SPRR2E	129.69	0.0	679.29	406.31	0.0	0.0	3.5	95.34	0.0	28.24	669.92	2682.69	3395.89
SPRR2F	18.56	0.0	94.67	27.84	0.88	0.0	0.0	18.97	0.0	0.0	29.27	69.03	473.41
SPRR2G	8.51	0.0	14.78	15.56	0.0	0.0	0.0	0.0	0.0	2.58	100.83	237.86	329.84
SPRR3	974.5	0.0	6121.9	2935.74	7.11	0.0	0.0	591.22	0.0	84.04	4450.27	37121.34	46986.85
TCF21	0.78	0.72	4.62	2.58	0.37	0.38	0.39	0.77	0.72	264.03	73.03	12.55	15.8
TMPRSS11B	2.01	0.46	18.56	6.06	0.0	0.0	0.0	0.97	0.0	0.0	2.18	53.19	9.06
TMPRSS11D	32.13	0.62	248.0	108.14	0.31	0.32	0.33	37.05	0.32	92.7	154.42	587.13	397.93
TMPRSS11F	2.68	0.29	21.94	7.06	0.0	0.0	0.0	1.64	0.0	0.0	17.9	108.14	44.89
TMSB4Y	0.0	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	26.86	23.42	2.58	1.3
TP53AIP1	34.26	9.06	202.66	63.45	6.26	1.79	8.13	36.27	3.89	1.33	128.79	785.88	102.97
TRIM7	51.35	7.88	217.27	99.43	7.75	3.26	10.08	35.5	7.88	8.51	100.13	1359.57	507.46
UGT1A1	14.03	0.0	143.01	65.26	0.0	0.0	0.0	16.39	0.0	0.0	128.79	890.44	368.65
UGT1A10	10.47	0.0	63.0	16.15	0.0	0.0	0.0	5.82	0.0	49.21	22.43	176.29	3820.7
UGT1A4	2.36	0.0	16.39	8.13	0.0	0.0	0.0	0.34	0.0	5.63	6.01	53.57	57.08
UGT1A7	128.79	0.0	830.75	389.72	1.11	0.0	0.0	92.7	0.25	0.0	688.78	3928.15	819.3
UPK1B	110.43	0.0	660.68	353.59	0.0	0.0	0.0	84.63	1.17	5.28	232.94	3589.58	6037.61
USH1G	3.03	0.32	14.14	6.31	0.62	0.32	4.39	2.34	0.32	0.0	38.4	85.22	129.69
USP9Y	0.39	0.0	12.18	4.03	0.0	0.0	0.0	2.51	0.0	127.89	256.78	30.56	26.28
UTY	1.41	0.0	3.11	3.08	0.0	0.0	0.0	0.36	0.0	75.64	96.68	13.62	8.0
ZFY	0.35	0.0	8.0	1.14	0.0	0.0	0.0	1.01	0.0	80.57	75.11	10.24	6.36
