	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.11DYG.1926.SM.5H12I	GTEX.139UW.1126.SM.5IJEJ	GTEX.147F4.0926.SM.5Q5EO	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11P82.1126.SM.5BC5K	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.13FXS.2826.SM.5LZYC	GTEX.14ABY.0726.SM.5Q5DF	GTEX.XMK1.1026.SM.4B65H	GTEX.ZUA1.2826.SM.59HLE	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.Y9LG.1826.SM.4VBQC	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.ZVZP.1726.SM.5GZWY	GTEX.12WSH.0226.SM.5GCOG	GTEX.14A5H.0726.SM.5Q5DW	GTEX.1212Z.0426.SM.5FQT6	GTEX.13112.0326.SM.5P9IW
ANKRD7	28.86	72.52	59.55	19.39	96.68	0.0	1.93	4.35	13.42	7.46	7.63	11.73	1.93	6.57	7.57	3.35	19.53	7.57	21.78	3.63	8.0	9.93	5.02	6.11	6.16	2.71	23.76	175.07	33.06	8.65	42.11	0.0	9.78	15.68	7.28	120.1	18.7	2.53	3.92	52.82	25.54	93.35	62.12	368.65	258.57
ASB17	12.27	5.19	2.53	0.97	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	1.07	0.0	1.06	0.0	0.48	0.0	0.0	2.51	0.0	8.71	0.0	4.74	4.39	2.34	0.64	3.2	5.54
BANF2	10.55	40.64	71.0	12.36	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.0	0.0	2.27	0.0	0.0	0.0	0.0	4.28	19.25	3.96	5.02	0.0	0.0	0.0	5.54	0.0	16.75	3.47	7.46	14.03	57.08	67.59	27.44	14.35	170.25	255.0
BOD1L2	0.0	20.71	15.8	6.16	3.32	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.06	0.0	0.78	7.4	2.53	0.0	2.1	0.0	0.27	0.38	0.27	5.41	1.55	19.11	0.96	6.78	4.46	7.75	4.86	20.71	20.86
BPIFA3	31.22	3.79	3.89	1.68	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	4.62	1.62	0.0	1.53	0.0	0.48	0.0	0.0	3.63	1.58	4.74	5.87	7.34	3.29	2.14	1.16	12.45	12.0
BRDT	12.64	52.82	29.48	2.89	37.59	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.28	8.45	2.41	0.77	3.47	0.0	0.0	0.0	1.33	6.57	0.69	12.74	19.97	29.7	10.16	4.13	3.17	10.88	13.52
C12orf42	13.83	4.94	1.53	6.41	4.66	12.55	0.0	4.17	0.75	2.53	3.17	2.86	0.79	3.35	0.68	0.69	2.86	0.34	2.39	0.0	1.71	2.03	1.04	2.18	0.0	1.68	0.0	15.0	13.12	0.0	4.86	4.06	0.0	3.82	3.82	4.9	2.46	17.0	30.56	14.14	3.35	3.76	5.59	28.65	31.0
C12orf50	15.91	5.92	5.87	3.0	3.82	1.23	0.0	0.83	0.0	0.0	0.0	0.0	1.91	3.06	0.0	0.87	0.87	0.87	0.0	0.0	0.84	0.44	0.45	0.04	0.43	2.94	1.2	9.7	2.68	0.57	2.2	0.03	1.07	0.23	0.02	10.16	1.14	13.72	11.64	11.64	1.71	5.63	6.67	14.78	18.43
C16orf90	5.54	2.29	12.74	3.29	12.09	0.0	0.87	0.0	1.0	0.0	0.0	0.92	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	1.48	0.0	0.78	4.03	0.68	0.65	2.1	0.0	1.81	0.0	0.0	3.5	0.0	3.0	8.99	5.96	4.28	2.56	1.93	6.16	5.5
C17orf105	15.91	1.28	11.38	7.63	2.48	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.51	0.0	0.43	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.85	0.0	0.21	0.58	1.66	4.94	1.51	0.37	1.71	0.0	0.19	1.39	0.0	2.89	1.27	3.66	8.32	10.47	0.97	1.53	1.38	16.27	10.96
C17orf50	9.34	29.7	14.03	7.4	6.46	0.92	4.43	6.57	5.45	0.61	0.0	8.19	9.27	2.39	2.25	1.95	0.0	1.97	1.22	0.66	2.56	1.55	2.94	3.06	1.93	1.99	4.9	54.33	8.0	10.88	5.5	2.66	2.53	9.78	2.51	28.86	3.79	8.19	14.03	3.26	12.45	28.45	8.32	34.75	48.87
C17orf64	9.2	24.46	6.31	2.43	20.86	1.07	0.0	4.94	0.78	11.73	0.0	0.72	1.25	1.14	0.0	7.69	1.75	3.72	1.68	0.0	4.35	11.82	6.01	0.0	0.0	7.82	3.92	26.86	3.92	2.05	5.96	0.0	1.81	3.72	1.81	28.45	1.13	13.83	8.99	15.45	10.16	8.99	5.19	40.93	36.79
C17orf74	21.47	9.48	10.24	6.67	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	6.11	2.05	0.0	1.53	0.53	0.49	0.37	0.0	3.59	0.75	5.11	7.51	7.69	5.87	4.86	2.63	14.35	18.03
C1orf65	4.9	3.96	2.76	1.75	131.51	0.37	0.74	1.17	0.41	0.0	0.0	2.12	0.0	1.27	0.0	0.0	0.38	0.0	0.0	1.79	0.77	0.36	0.37	0.0	0.51	0.0	0.46	5.82	0.88	0.27	2.36	0.69	0.0	0.28	0.0	4.62	1.06	2.27	2.12	9.06	0.0	18.56	1.07	38.67	57.89
C20orf144	9.48	5.41	21.47	11.21	22.59	7.82	5.63	6.16	10.96	8.51	3.41	3.47	11.91	5.32	8.25	5.15	4.31	3.11	8.92	2.41	3.79	4.94	2.23	4.17	5.15	0.0	1.69	29.06	4.9	5.19	10.0	4.1	4.86	2.78	2.41	30.56	2.34	7.69	9.63	12.55	7.82	29.27	15.22	44.89	97.36
C2orf53	34.51	14.56	14.03	4.66	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.52	6.67	2.12	0.0	1.66	0.55	1.14	0.0	0.24	4.46	1.14	5.32	16.88	18.7	11.21	4.9	1.41	12.64	15.45
C2orf57	37.59	8.32	15.68	1.87	4.98	0.0	0.0	0.61	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.47	0.0	0.16	7.4	3.0	0.05	2.66	0.27	0.26	0.27	0.0	6.06	1.69	2.73	19.82	23.25	8.58	9.41	2.29	23.42	25.17
C5orf50	0.0	7.0	7.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	2.73	2.56	3.76	0.0	4.24	0.0	0.0	3.56
C7orf62	9.2	2.71	4.98	1.83	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.56	3.82	0.38	0.36	1.6	0.0	0.66	0.38	0.0	0.97	0.38	5.59	1.06	0.91	0.0	5.41	2.58	6.94	11.13
CABS1	18.43	13.12	22.43	4.31	5.96	0.0	0.0	0.27	1.13	0.28	0.0	1.04	0.0	1.08	0.0	0.83	1.89	0.15	1.11	0.0	0.0	1.46	1.51	0.0	1.77	0.0	2.56	35.25	13.52	0.0	9.56	0.0	2.01	0.0	3.86	17.38	4.54	4.82	9.48	22.75	4.7	6.21	2.86	15.8	11.13
CALR3	25.35	5.68	1.04	2.97	3.35	4.06	2.92	2.97	2.58	3.47	4.82	2.03	1.51	1.38	3.03	2.76	2.41	0.0	0.0	1.07	1.99	1.97	0.29	0.0	4.24	0.0	1.46	23.76	4.98	0.0	4.39	1.85	0.0	0.91	1.46	21.16	3.06	3.99	15.22	18.16	10.24	6.89	0.0	32.59	21.01
CCDC179	10.55	9.06	1.87	4.86	0.0	0.0	2.34	0.0	1.31	0.0	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	2.81	0.0	0.0	0.0	0.0	1.19	7.88	0.0	0.0	1.16	0.0	0.0	0.93	1.35	6.16	0.0	4.82	8.51	6.52	2.41	5.96	0.0	10.24	12.0
CCDC27	4.21	4.17	2.07	0.0	0.0	0.29	0.0	0.0	0.73	0.3	0.0	0.3	0.0	1.1	0.29	0.96	0.25	0.26	0.23	0.27	0.24	0.58	1.31	0.0	0.0	0.0	0.0	5.02	2.1	0.0	1.03	0.0	0.0	0.0	0.0	1.57	0.68	1.69	3.59	1.41	0.0	1.6	0.75	7.17	7.51
CCDC42	10.08	17.64	7.4	4.5	14.45	2.36	0.0	0.77	0.0	0.8	0.0	2.86	3.26	0.0	0.0	2.39	1.17	0.0	4.28	0.0	0.0	2.29	2.78	0.0	0.0	0.93	0.64	16.03	5.23	0.65	1.95	0.0	0.0	2.53	2.07	13.22	1.3	5.73	4.78	15.22	8.78	11.47	11.73	66.65	55.49
CCDC62	17.51	10.96	6.52	4.43	5.5	2.53	3.56	4.78	3.26	1.48	2.58	3.0	1.68	2.32	3.69	2.97	4.13	2.61	4.31	1.99	4.39	3.2	1.81	4.62	1.95	1.73	4.1	19.82	7.34	3.14	6.11	3.92	2.92	5.02	3.92	9.63	2.86	18.7	14.56	10.88	4.78	10.96	9.27	14.78	26.1
CCDC70	6.21	19.97	9.34	5.36	4.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	6.41	2.32	0.25	2.2	1.25	0.0	0.27	0.43	5.23	1.07	7.0	3.59	13.22	3.38	5.77	2.46	15.91	13.32
CCER1	4.82	9.93	1.06	0.96	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.58	0.07	0.84	0.0	0.0	0.2	0.0	1.5	0.08	9.48	4.86	4.43	2.1	1.36	2.29	4.7	4.46
CETN1	21.32	21.47	12.36	3.5	4.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.61	4.03	2.27	0.22	1.13	0.84	0.74	0.51	0.39	4.98	0.0	6.31	4.17	14.78	4.82	5.06	2.23	17.25	15.56
CMTM2	10.08	127.0	70.01	35.25	129.69	10.55	0.72	16.75	4.86	6.01	11.13	1.87	4.66	10.16	8.06	2.92	22.75	0.0	43.02	14.89	24.11	8.13	12.83	12.83	5.19	2.89	22.75	170.25	76.71	4.86	22.59	15.91	12.18	52.82	13.03	170.25	18.16	43.32	29.7	183.82	70.01	54.33	39.5	164.42	170.25
CST8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	1.48	0.0	0.0	0.0	0.0	1.04	0.0	0.0	1.5	0.0	1.36	1.85	4.35	0.0	0.77	1.2	2.89	3.69
CXorf27	1.57	14.89	14.67	3.96	26.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	1.43	0.0	1.69	0.0	0.0	0.0	0.0	3.41	0.84	10.96	0.0	0.0	7.11	1.95	0.0	9.93	8.99
CYLC2	11.55	1.31	3.0	1.68	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.17	7.82	0.62	0.0	0.66	0.0	0.17	0.0	0.0	1.85	0.47	0.0	0.0	0.0	0.0	3.63	0.37	8.06	8.51
DDC8	12.36	11.38	5.11	4.98	2.53	0.56	0.0	1.01	1.13	0.0	0.57	0.0	0.64	0.59	0.56	1.95	5.63	0.54	2.84	0.57	3.38	1.41	0.0	1.41	0.39	0.0	2.34	6.84	3.2	1.33	0.0	0.87	1.03	1.1	0.0	3.59	0.52	8.78	2.78	7.94	12.18	2.68	0.66	11.91	15.11
DDI1	0.68	8.06	7.11	2.25	1.39	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.14	0.61	0.09	0.65	0.0	0.0	0.0	0.0	1.41	0.22	5.36	7.82	5.59	1.31	1.66	0.88	3.72	4.7
DEFB123	28.86	16.75	0.0	0.0	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17	1.6	0.0	2.41	0.0	0.0	0.97	1.33	1.17	0.0	2.94	2.73	11.04	6.84	3.14	1.75	12.93	5.11
DKKL1	34.51	43.02	47.5	20.71	94.67	2.25	8.71	11.3	14.56	5.11	8.06	5.11	12.93	18.43	10.08	7.06	14.35	13.42	14.67	14.78	9.56	7.46	17.25	4.66	8.71	16.75	20.56	101.54	22.59	8.19	38.4	34.02	16.75	15.11	16.03	78.89	13.12	5.28	18.43	45.53	60.39	17.25	8.78	96.01	78.34
DMRTB1	10.0	9.41	3.17	2.86	11.64	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	2.46	0.87	0.57	0.91	0.0	0.0	0.39	0.37	1.55	0.51	6.62	5.5	3.53	8.38	15.68	7.63	52.82	26.86
FAM187B	70.51	4.78	0.88	1.91	2.58	0.0	0.0	0.46	1.03	0.0	0.93	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	2.05	0.91	2.29	2.86	0.4	0.0	0.0	1.83	11.55	3.08	0.0	1.5	0.0	1.23	1.07	2.53	6.84	1.64	8.25	18.03	7.88	5.82	4.46	0.73	10.16	11.04
FAM71A	3.38	4.03	6.26	2.68	6.67	1.2	0.0	0.0	0.45	0.0	0.41	0.0	0.0	0.85	1.22	0.0	0.0	0.0	0.78	0.88	0.0	1.17	0.0	0.0	0.0	0.0	1.25	13.93	6.36	0.37	3.17	0.39	0.92	0.17	3.11	9.56	0.39	11.38	5.82	4.94	2.01	21.16	7.69	46.5	52.08
FNDC8	3.56	5.45	23.42	6.46	8.65	3.26	3.17	0.0	0.68	0.62	2.51	2.16	2.03	1.85	0.6	0.0	1.07	3.14	2.16	0.74	1.81	1.41	0.0	0.0	0.0	1.22	4.98	23.25	4.39	0.0	4.9	0.0	0.0	2.58	0.0	13.22	2.58	6.06	4.66	11.73	5.15	12.36	8.85	29.48	30.78
FSCB	12.09	3.0	3.92	2.58	5.36	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	3.79	0.6	0.13	0.41	0.0	0.26	0.27	0.0	1.51	0.0	6.16	7.0	8.0	1.85	2.16	0.8	9.41	7.75
GAPDHS	3.23	19.82	24.63	7.75	11.38	1.1	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.0	0.0	2.29	14.24	3.79	0.06	4.31	0.0	0.65	0.95	0.0	10.39	2.84	0.0	0.0	9.06	7.94	23.59	10.16	70.51	92.05
GK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.17	0.0	0.0	0.72	3.99	1.07	0.16	0.39	0.27	0.52	0.0	0.51	3.29	0.27	7.34	5.59	3.66	1.81	2.46	1.3	7.88	7.34
GSG1	70.51	16.51	41.81	12.09	21.47	1.35	1.3	1.83	3.23	0.43	0.42	1.89	4.7	0.93	2.86	0.93	0.0	1.45	0.43	1.01	0.0	0.89	1.91	0.67	0.4	0.27	1.64	29.27	7.88	1.57	5.82	0.0	1.66	2.66	1.46	17.64	5.59	7.57	7.4	56.28	28.86	18.84	9.7	66.65	66.18
GTSF1L	20.71	22.75	31.9	13.52	31.45	1.41	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	20.56	5.06	0.8	0.66	2.18	1.48	0.96	1.81	9.85	0.38	0.0	16.15	29.48	13.72	43.02	10.71	106.63	126.12
HDGFL1	3.56	26.86	14.78	1.87	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	1.17	0.0	0.0	0.04	0.0	0.0	0.65	6.11	2.14	0.27	0.83	0.0	0.97	0.0	0.27	5.02	0.04	8.0	0.85	24.28	3.99	4.7	3.66	11.04	12.18
HEMGN	8.06	5.28	4.06	1.69	30.56	0.0	0.0	1.3	0.48	0.0	0.0	0.89	1.53	0.0	0.43	0.85	0.0	0.0	1.25	0.0	0.0	0.41	0.0	0.52	0.0	1.31	1.19	8.19	2.36	0.15	1.73	0.83	0.32	0.52	1.31	5.92	0.99	2.56	9.34	13.83	2.66	21.32	8.78	50.98	34.51
HMGB4	57.49	47.5	31.22	14.67	8.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	9.7	4.62	0.54	1.81	0.0	1.6	1.46	0.48	8.65	3.29	18.16	16.27	14.45	8.45	22.43	7.06	41.52	38.95
HORMAD1	195.72	11.82	16.75	232.94	4.74	0.0	2.76	4.06	1.36	0.45	3.29	0.0	1.89	0.0	0.0	4.17	0.84	2.94	1.58	0.91	2.43	0.0	0.0	3.29	1.23	2.14	2.2	11.13	3.96	1.14	3.56	0.0	0.44	0.0	1.45	5.59	1.73	134.3	4.94	21.63	12.09	6.89	3.86	23.08	11.91
IQCF1	31.0	11.91	5.41	5.19	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.52	0.0	1.81	6.57	1.48	1.06	2.27	0.0	0.68	0.42	0.0	3.26	1.11	3.38	3.23	15.45	10.79	3.56	1.08	10.39	13.42
IQCF2	11.3	5.82	4.9	5.02	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	4.66	1.1	0.0	1.62	0.0	0.0	0.0	0.0	3.96	1.57	1.75	18.84	14.78	4.24	5.92	0.0	11.21	12.0
IRGC	61.25	15.56	14.35	7.34	7.06	0.0	0.0	1.04	1.17	0.57	0.0	0.0	0.0	1.69	0.0	0.58	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.24	0.48	0.0	2.51	8.92	2.39	0.44	2.68	1.81	0.21	0.11	0.0	5.5	1.22	12.18	16.03	13.93	2.39	8.13	2.29	15.11	15.68
KCNH7	0.55	3.26	1.77	0.89	1.51	0.0	0.0	0.0	0.0	0.0	0.3	0.31	0.35	1.33	0.0	0.0	0.31	0.0	0.61	0.34	0.0	0.3	0.31	0.55	0.0	1.08	0.52	3.82	0.0	0.53	0.0	1.04	0.52	0.55	0.0	0.0	0.0	4.43	2.2	1.5	4.58	0.0	0.69	2.61	1.77
KIF2B	19.11	11.3	10.71	1.5	1.35	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	5.41	1.27	0.0	0.75	0.64	0.0	0.06	0.0	3.35	0.72	2.71	12.93	16.63	5.54	3.63	2.63	8.51	9.48
