	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.ZF.A9RM.01A.11R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.44.7672.01A.11R.2066.07	TCGA.22.4596.01A.01R.1201.07
HEXB	1487.87	1286.18	3103.19	2816.11	2609.3	2573.36	1183.45	1044.52	1529.73	3847.29	2895.31	5555.65	4869.99
HSPA5	3794.3	3847.29	5479.15	5479.15	6935.54	6294.04	4328.55	5711.87	3060.45	6561.36	4450.27	10585.95	6745.86
HYOU1	1051.79	1199.98	1407.55	1769.57	2240.11	1359.57	1628.26	1015.93	1340.84	1883.54	1487.87	3540.14	1936.53
ICAM1	161.02	201.25	323.03	389.72	698.41	438.59	149.12	69.03	211.31	616.37	361.04	5954.47	3540.14
IL10RA	32.82	47.84	108.14	46.5	150.17	92.7	8.99	32.13	115.97	76.17	27.44	796.86	780.44
IL12RB1	9.7	7.11	23.25	8.99	15.11	20.11	2.81	8.78	26.86	29.27	21.16	132.44	153.34
IL16	28.45	44.57	84.63	52.82	105.15	43.94	7.28	21.78	123.5	70.51	39.22	728.11	603.67
IL1RAP	46.5	24.46	63.45	94.67	297.17	34.51	61.68	53.95	58.3	202.66	87.03	236.21	312.0
INHBA	16.63	76.17	232.94	163.28	307.69	221.86	2.84	16.63	29.7	312.0	91.41	262.2	414.87
ITGAV	356.05	255.0	435.55	417.77	764.36	363.56	379.04	285.03	139.07	796.86	249.73	1467.37	1457.23
ITGB2	194.36	148.09	532.74	454.09	723.08	348.71	16.39	79.45	371.22	470.14	281.09	4038.61	4298.64
JAK1	808.0	460.44	713.11	674.59	1135.2	743.43	591.22	693.58	656.11	1151.06	466.88	1331.57	1286.18
KLHL5	58.3	69.03	176.29	183.82	231.32	130.6	57.89	124.37	85.82	242.88	186.4	595.34	785.88
LAPTM5	470.14	532.74	1457.23	878.17	1991.0	878.17	119.26	262.2	941.27	1594.73	1322.37	7081.29	8840.04
LAT2	44.25	53.57	78.89	45.21	121.79	56.68	21.32	25.35	98.73	119.26	40.64	808.0	693.58
LILRA5	2.81	12.45	30.34	9.27	67.59	68.07	0.0	1.97	31.67	61.68	17.13	156.59	212.78
LILRB2	12.18	22.59	73.54	27.84	123.5	81.14	1.16	9.48	36.01	147.06	38.67	223.41	493.56
LILRB4	33.3	55.89	189.02	85.82	212.78	120.94	3.69	21.47	129.69	167.9	44.25	1233.75	995.0
LRRC25	13.52	26.28	68.55	31.45	72.01	28.86	3.96	13.72	26.28	49.21	15.45	299.25	400.71
LST1	127.0	152.28	305.55	123.5	339.14	157.68	21.94	69.03	341.51	387.02	130.6	1745.2	2591.27
MARCO	5.23	37.32	44.89	29.48	115.97	79.45	3.08	8.19	18.43	137.14	14.89	3146.52	909.17
MICALCL	34.02	62.12	57.89	120.94	115.16	59.97	59.55	29.7	154.42	157.68	100.13	77.25	74.58
MILR1	18.97	10.16	53.57	24.46	54.33	35.5	11.91	3.63	28.86	59.13	61.68	130.6	187.71
MNDA	17.0	24.28	82.29	49.91	142.01	48.87	5.32	14.67	33.3	106.63	22.1	684.02	1127.35
MPEG1	37.32	40.07	104.42	59.97	187.71	71.5	4.78	27.25	83.45	100.83	44.25	403.5	587.13
MRC1L1	12.18	8.51	59.55	15.56	87.65	28.86	0.59	2.01	42.71	69.52	26.47	287.01	872.1
MS4A4A	62.12	63.45	242.88	100.13	260.38	125.24	3.44	29.06	121.79	242.88	43.32	780.44	1143.1
MS4A6A	232.94	244.57	896.64	334.46	896.64	420.68	21.47	114.36	466.88	669.92	239.52	2609.3	6121.9
MYO1G	26.28	28.24	43.94	21.63	63.45	57.08	5.59	6.52	59.13	61.25	17.9	547.75	503.95
NCF2	23.42	36.27	104.42	69.03	218.79	87.65	5.36	17.38	53.19	186.4	39.5	836.53	1030.12
NCKAP1L	18.43	29.48	133.36	42.41	111.21	41.81	2.56	19.68	70.01	82.29	14.89	571.05	723.08
NFAM1	6.26	10.08	29.48	16.03	30.12	13.42	2.25	12.64	16.15	22.75	7.69	119.26	144.01
NFKB2	688.78	483.38	536.45	532.74	1167.14	579.04	624.99	441.64	457.25	1183.45	551.56	1008.9	813.63
NFKBIE	429.54	450.94	368.65	412.0	466.88	429.54	199.85	249.73	253.23	616.37	417.77	669.92	660.68
OSM	3.82	11.38	90.77	13.22	139.07	126.12	0.87	2.94	22.26	91.41	19.25	37.85	242.88
OSMR	29.06	73.03	214.27	103.69	289.02	124.37	16.88	58.71	69.52	708.18	93.35	1407.55	1757.34
P2RY13	4.82	2.71	13.83	5.87	21.32	3.53	0.57	2.92	13.93	17.13	3.69	121.79	273.37
PABPC1	212926.09	375901.76	668235.84	348306.01	447025.24	554180.87	76861.91	368165.8	632189.57	296977.71	726195.27	31650.8	61571.56
PABPC5	0.37	2.71	6.41	3.41	8.0	2.84	1.11	1.31	1.23	2.78	5.82	7.46	11.3
PCDHB2	37.85	4.82	15.11	105.15	305.55	295.11	8.13	17.25	11.73	151.22	12.09	166.73	84.04
PCDHGA4	4.5	5.73	12.83	11.13	26.67	49.21	4.43	7.46	7.06	15.68	4.35	22.1	241.19
PCDHGC3	45.85	77.25	113.56	183.82	309.83	173.85	45.53	70.01	73.54	275.28	26.67	348.71	334.46
PIK3CD	18.84	21.63	45.21	50.27	77.79	32.59	13.62	52.82	59.13	74.58	18.56	314.17	356.05
PILRA	48.18	55.1	120.94	98.04	198.47	102.25	49.21	29.48	139.07	131.51	54.33	599.49	583.07
PLAUR	108.9	348.71	612.11	555.41	928.3	1250.98	137.14	231.32	373.81	988.12	591.22	3491.39	2895.31
PTPRC	32.59	33.3	101.54	57.08	186.4	75.11	8.92	22.75	195.72	128.79	20.11	1051.79	1529.73
RGS18	3.47	2.36	17.13	7.11	23.08	7.4	1.95	3.26	7.94	9.85	7.06	52.82	267.73
SASH3	44.57	41.52	77.25	53.57	108.9	53.95	7.28	20.26	155.5	107.38	21.94	656.11	890.44
SGK3	57.08	47.17	62.56	128.79	145.02	101.54	58.71	98.04	67.59	138.1	121.79	147.06	232.94
SIGLEC9	7.69	7.46	38.67	12.74	40.36	16.63	1.16	2.66	9.85	31.22	10.79	163.28	154.42
SIL1	1015.93	1242.34	1407.55	1313.23	1340.84	1769.57	412.0	842.36	1066.48	2271.4	1191.69	2319.15	1519.15
SIRPB1	4.5	0.71	10.39	22.75	33.78	14.14	4.43	8.13	28.86	37.59	8.0	84.04	81.14
SLC11A1	39.79	47.84	125.24	106.63	172.65	154.42	17.38	20.11	23.42	158.79	71.5	890.44	525.39
SLC12A2	44.89	92.05	162.14	181.28	262.2	381.68	112.77	53.19	49.56	224.97	114.36	457.25	208.38
SLCO2B1	50.27	73.54	218.79	141.02	320.8	88.26	50.63	34.02	112.77	316.37	73.54	928.3	1388.16
SNX20	16.27	15.11	36.79	12.74	44.89	23.25	1.14	10.39	43.94	41.22	10.79	295.11	368.65
SPA17	135.24	177.53	343.89	231.32	389.72	255.0	159.9	88.26	297.17	379.04	166.73	301.33	525.39
SPI1	102.97	132.44	327.56	181.28	373.81	226.54	11.91	48.87	169.07	414.87	151.22	2004.85	2367.9
STARD4	7.0	14.24	26.28	64.8	52.45	149.12	8.38	30.56	20.11	67.12	64.8	256.78	223.41
TBXAS1	50.27	38.12	100.13	89.51	152.28	85.22	6.21	41.52	65.26	137.14	52.82	902.89	819.3
TCTN3	457.25	258.57	571.05	567.1	684.02	540.19	493.56	473.41	503.95	642.59	532.74	713.11	813.63
THBS1	127.89	591.22	1407.55	1119.56	1991.0	842.36	616.37	457.25	1066.48	1540.37	769.69	1388.16	1844.76
TLR8	1.06	2.39	10.0	4.66	17.38	6.67	0.3	2.29	4.9	8.32	2.48	79.45	126.12
TNFAIP3	79.45	92.05	239.52	320.8	708.18	947.83	157.68	173.85	171.45	607.87	497.0	612.11	848.22
TREM1	11.55	33.78	71.0	42.71	135.24	133.36	4.78	5.28	27.05	140.04	77.79	4481.23	2047.0
TRIB3	289.02	536.45	698.41	221.86	896.64	718.08	269.6	189.02	884.29	866.07	129.69	780.44	842.36
TTYH2	7.69	20.26	42.41	17.13	76.71	15.91	14.14	33.3	19.97	102.25	14.24	62.56	125.24
VAPA	2537.92	2271.4	3847.29	3395.89	3491.39	3690.52	1127.35	2075.59	2119.22	4639.29	4239.45	4038.61	4181.07
WISP1	3.53	28.45	109.66	83.45	132.44	131.51	2.56	5.92	25.17	88.26	44.57	511.0	490.14
ZNF267	114.36	89.51	205.5	217.27	229.72	133.36	142.01	170.25	191.67	234.57	135.24	231.32	406.31
