	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.145MF.0726.SM.5Q5BT	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	GTEX.WRHU.0926.SM.4E3IG	GTEX.14E6C.2626.SM.5RQJP	GTEX.RWSA.0826.SM.2XCBF	GTEX.13OVI.0826.SM.5KLZ8
CLASRP	0.0	1.5	490.14	1059.11	1104.13	909.17	2032.85	2485.67	2485.67	1806.78
CLEC4E	0.0	0.23	79.45	19.53	70.51	55.89	149.12	366.09	543.96	113.56
CLK3	0.0	0.66	1407.55	1111.82	1417.35	1037.29	1991.0	2209.26	2032.85	1757.34
CLMN	194.36	37.05	759.08	114.36	53.19	64.34	435.55	473.41	723.08	206.94
COL23A1	0.0	0.41	55.1	126.12	318.57	277.2	6561.36	1073.91	4769.75	698.41
COL25A1	0.0	0.27	1.6	7.63	22.1	9.41	260.38	63.45	190.34	26.28
CORO2B	0.0	0.24	237.86	30.12	16.39	27.44	214.27	138.1	220.32	63.0
CWF19L1	0.0	0.59	460.44	248.0	249.73	368.65	384.34	486.75	532.74	373.81
CXorf48	0.0	0.0	0.0	0.39	0.75	0.0	1.46	3.03	4.31	0.0
DACT1	0.0	0.45	170.25	33.78	90.14	54.72	183.82	307.69	441.64	376.41
DCDC2C	0.0	0.0	0.0	0.0	0.0	0.0	3.03	2.1	3.32	0.0
DDX23	0.0	0.83	1023.0	1127.35	934.76	1051.79	1259.69	1628.26	1674.06	1572.76
DDX25	0.0	0.13	1.83	18.16	39.22	8.19	125.24	327.56	339.14	115.97
DDX31	0.0	0.27	148.09	287.01	400.71	244.57	612.11	555.41	693.58	679.29
DGKG	0.0	0.73	11.21	13.72	1.64	13.12	35.25	143.01	199.85	81.71
DHX38	0.0	1.03	947.83	688.78	616.37	587.13	1159.07	1529.73	1268.46	1104.13
DIRAS2	0.0	0.0	4.94	3.32	12.27	1.93	28.24	17.77	20.26	10.47
DNALI1	0.0	0.39	23169.48	218.79	287.01	336.79	934.76	1096.5	2090.03	813.63
DTHD1	0.0	0.0	808.0	0.33	0.3	1.69	10.71	1.89	4.17	2.46
ERCC5	0.0	0.83	764.36	808.0	872.1	915.51	1369.04	2224.63	1991.0	1467.37
FAM115C	0.0	0.27	41.52	9.78	12.45	10.79	32.82	29.06	49.21	14.24
FAM133B	0.0	0.58	291.04	334.46	435.55	341.51	607.87	599.49	555.41	450.94
FAM185A	0.0	0.3	81.71	90.77	116.78	89.51	145.02	130.6	152.28	120.94
FAM211B	0.0	0.58	97.36	713.11	358.54	256.78	6607.01	1529.73	4704.07	723.08
FCN2	0.0	0.04	0.77	0.0	0.0	0.0	8.25	22.92	25.54	4.13
FKSG48	0.0	0.32	4.46	0.0	5.19	0.0	9.85	20.71	16.75	4.58
FOXN1	0.0	0.12	1.85	1.14	0.1	1.19	16.63	4.82	7.63	5.41
GBA2	0.0	1.27	543.96	1639.59	2075.59	1167.14	2224.63	2303.12	2434.5	2018.8
GCFC2	0.0	0.43	231.32	429.54	384.34	414.87	563.18	665.29	713.11	591.22
GTF2IRD2	0.0	0.39	289.02	269.6	559.28	426.57	1208.34	902.89	1127.35	638.15
GTF2IRD2B	215.77	211.31	483.38	373.81	607.87	447.82	1250.98	1143.1	1427.22	1030.12
GYPC	0.0	0.85	1104.13	346.29	301.33	223.41	988.12	1572.76	2075.59	872.1
HEMGN	0.0	0.18	1.2	0.0	0.33	0.09	12.45	2.94	2.29	1.39
HFM1	0.0	0.2	20.71	4.58	21.63	24.99	95.34	137.14	151.22	50.63
HGF	0.0	0.44	723.08	29.91	5.32	29.27	71.5	137.14	190.34	58.3
HMGCR	0.0	0.0	1250.98	289.02	253.23	316.37	575.03	395.18	633.73	371.22
HSDL1	0.0	0.43	332.14	305.55	642.59	426.57	1175.27	974.5	1378.57	1008.9
IL16	0.0	0.71	178.77	92.7	54.33	71.0	708.18	208.38	343.89	59.97
IRF8	0.0	0.46	1529.73	68.55	14.03	53.95	118.43	69.03	231.32	57.89
ISCA1	0.0	0.43	470.14	551.56	878.17	483.38	974.5	909.17	1037.29	941.27
KCND2	0.0	0.09	3.86	0.62	1.71	5.54	27.64	13.62	15.8	1.2
KCNJ1	0.0	0.26	8.25	0.57	1.17	2.51	30.78	12.27	15.0	0.66
KCNK2	0.0	0.14	15.22	2.76	57.89	18.97	103.69	91.41	125.24	98.73
KIAA0556	0.0	0.51	796.86	289.02	251.48	287.01	738.29	371.22	921.88	412.0
KIF19	0.0	0.0	620.67	2.58	2.41	2.66	224.97	24.81	21.32	21.01
KLHL41	0.0	0.06	50.27	12.93	15.34	14.67	25.35	29.06	40.64	25.54
LRFN1	0.0	0.53	18.97	6.16	8.06	4.54	27.84	19.11	16.15	17.38
LYVE1	0.0	0.35	366.09	71.5	9.63	91.41	483.38	660.68	1008.9	59.55
METTL3	0.0	1.16	738.29	909.17	1023.0	703.28	1508.65	1467.37	1639.59	1572.76
MID1	0.0	0.54	947.83	26.67	27.84	37.05	142.01	158.79	226.54	45.85
MPP6	107.38	50.98	82.29	59.97	87.65	92.05	73.54	145.02	264.03	141.02
MT1M	0.0	0.33	269.6	84.04	144.01	149.12	603.67	1051.79	5441.3	967.76
MTCH1	0.0	0.66	5441.3	9088.59	11267.44	5441.3	21617.82	14361.31	18560.17	14765.09
MTERFD3	152.28	135.24	267.73	273.37	493.56	316.37	616.37	1250.98	1378.57	947.83
MYOT	0.0	0.27	4.24	3.79	2.66	4.86	29.27	42.41	48.18	12.18
NEGR1	0.0	0.27	124.37	12.74	15.68	14.24	199.85	96.01	108.14	46.84
NGDN	0.0	0.91	1127.35	825.0	1104.13	748.61	1135.2	1883.54	1639.59	1268.46
NKAIN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25	10.55	2.94
NRXN1	0.0	0.07	9.27	0.0	0.0	0.0	12.83	11.3	14.89	1.93
OCM	0.0	0.04	2.71	2.92	1.01	3.41	12.83	7.46	23.25	2.27
OLFM2	0.0	0.3	441.64	65.26	154.42	85.82	277.2	466.88	500.46	202.66
P2RX2	0.0	0.2	29.91	0.84	0.0	0.0	8.19	1.25	4.58	1.36
PCOLCE2	0.0	0.21	2895.31	10.79	2.84	28.45	878.17	215.77	397.93	45.85
PDE4B	0.0	0.42	703.28	90.14	93.35	77.79	438.59	381.68	400.71	60.82
PDLIM3	0.0	0.46	1340.84	145.02	260.38	145.02	1508.65	785.88	1359.57	607.87
PEX1	0.0	0.59	323.03	237.86	287.01	256.78	460.44	595.34	647.07	518.15
PGPEP1L	0.0	0.0	2.51	0.0	0.0	0.0	4.17	1.99	4.17	1.39
PHF2	173.85	269.6	665.29	387.02	555.41	567.1	713.11	796.86	866.07	693.58
PHF21B	0.0	0.33	1.36	14.89	13.62	13.52	95.34	83.45	106.63	65.26
PIM3	0.0	0.64	2367.9	842.36	825.0	981.29	1487.87	1674.06	1794.29	1498.22
PIWIL4	0.0	0.56	27.84	28.24	10.24	21.78	77.79	33.06	66.18	31.45
PKNOX2	0.0	0.37	194.36	29.48	1.58	24.46	320.8	113.56	97.36	73.54
PRPF40B	0.0	0.84	395.18	551.56	591.22	497.0	974.5	1277.29	1242.34	1127.35
RADIL	0.0	0.35	111.99	12.83	14.67	9.48	441.64	64.34	110.43	70.51
RALGDS	0.0	0.49	1936.53	518.15	769.69	1259.69	1477.58	1417.35	1883.54	848.22
RBAK	0.0	0.54	88.88	68.55	61.25	68.55	134.3	169.07	186.4	118.43
RHAG	0.0	0.0	0.46	0.0	0.0	0.0	1.46	1.11	1.93	0.0
RIC3	0.0	0.61	532.74	406.31	426.57	366.09	1104.13	1242.34	1437.15	1104.13
RIMKLB	0.0	1.01	1008.9	483.38	497.0	423.61	1508.65	1167.14	1551.09	1030.12
SCML2	0.0	0.46	1.38	19.82	32.59	14.24	98.04	59.13	48.52	41.81
SDR39U1	0.0	1.07	954.43	1639.59	2148.82	1286.18	2502.97	2915.45	2956.17	3303.0
SERPIND1	0.0	0.0	13586.57	0.0	0.0	0.11	16.75	2.61	3.63	1.48
SETD6	0.0	0.75	221.86	403.5	503.95	332.14	599.49	981.29	813.63	656.11
SH2D4B	0.0	0.0	1.66	0.25	0.53	0.26	4.94	4.46	4.5	1.66
SIGLEC11	0.0	0.0	73.54	2.94	0.2	1.53	9.48	7.69	13.93	3.41
SLC22A10	0.0	0.0	6.78	0.0	0.0	0.0	0.0	1.16	1.41	0.75
SLC25A14	0.0	0.25	325.29	208.38	299.25	180.02	490.14	426.57	567.1	397.93
SLC45A4	0.0	0.49	463.65	190.34	149.12	193.01	974.5	303.44	540.19	258.57
SMPD4	0.0	1.07	497.0	1008.9	1059.11	764.36	1467.37	1529.73	1417.35	1159.07
SP140	0.0	0.39	297.17	54.72	6.46	21.63	111.99	41.81	82.29	37.59
SPDYE1	0.0	0.12	6.46	3.69	3.08	2.53	8.71	7.0	8.78	6.84
SRRT	0.0	1.25	723.08	1639.59	1639.59	1397.83	2935.74	3540.14	3103.19	2240.11
ST3GAL6	0.0	0.22	463.65	88.88	132.44	53.19	193.01	341.51	229.72	85.82
SUGP2	0.0	1.25	486.75	1037.29	1350.18	780.44	2591.27	2287.2	2520.38	1662.49
TAF11	0.0	0.83	480.04	454.09	753.83	493.56	878.17	1417.35	1259.69	878.17
TAS2R14	0.0	0.35	35.0	25.91	57.08	26.67	69.52	85.82	80.57	63.45
TMEM253	0.0	0.26	6.62	38.4	60.82	11.64	470.14	205.5	525.39	145.02
TMUB2	0.0	0.64	525.39	1073.91	884.29	764.36	1369.04	1378.57	1477.58	1378.57
TNNT3	0.0	0.48	480.04	9.63	0.0	9.48	256.78	239.52	289.02	39.5
TRA2B	2090.03	1540.37	1781.89	1605.83	2032.85	1909.85	2609.3	2520.38	3395.89	2351.53
TRAPPC2P1	0.0	0.42	287.01	258.57	348.71	303.44	353.59	423.61	616.37	384.34
TRPV1	0.0	0.49	32.82	5.96	1.99	0.0	36.53	66.65	62.56	18.29
USP40	0.0	0.67	559.28	603.67	688.78	591.22	819.3	1066.48	995.0	780.44
VASH2	0.0	0.28	16.88	3.08	7.17	11.38	15.22	29.91	46.5	17.25
WDR59	0.0	0.79	295.11	607.87	583.07	486.75	1127.35	921.88	1225.22	1051.79
WSCD2	0.0	0.16	17.9	1.28	19.11	16.88	139.07	169.07	181.28	224.97
ZDHHC11B	0.0	0.72	61.68	15.11	43.94	14.03	155.5	165.57	234.57	164.42
ZKSCAN5	0.0	0.14	59.97	97.36	92.05	93.35	125.24	112.77	172.65	105.15
ZNF3	0.0	0.54	444.72	429.54	409.15	361.04	567.1	674.59	693.58	555.41
ZNF433	0.0	0.48	147.06	139.07	139.07	122.64	187.71	229.72	199.85	159.9
ZSCAN1	0.0	0.0	43.63	49.21	62.56	16.63	341.51	187.71	258.57	127.0
