	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4494.01A.01R.1206.07	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31	GTEX.ZV6S.0926.SM.57WGB
AMTN	0.0	0.0	0.96	9.13	32.36	0.0	23.25	10.96	20.86	41.52	7.82	12.27	2.16	0.0	0.0
ANKRD36	0.0	0.74	19.11	130.6	163.28	40.07	180.02	138.1	146.03	151.22	66.65	45.85	28.86	130.6	38.67
ARHGAP33	0.0	0.96	53.19	236.21	198.47	37.32	287.01	264.03	297.17	361.04	129.69	69.52	33.78	211.31	54.33
ARHGAP39	0.0	0.08	66.65	108.14	161.02	45.53	208.38	127.0	102.25	214.27	129.69	135.24	85.82	111.21	47.84
BICD1	0.0	0.57	98.73	363.56	521.76	143.01	928.3	412.0	122.64	412.0	170.25	283.05	229.72	208.38	143.01
C1orf111	0.0	0.03	0.32	1.23	7.94	0.0	12.18	4.13	0.89	9.2	0.91	0.93	0.0	0.78	0.47
C6ORF50	0.0	0.62	2.51	24.28	18.97	4.17	42.71	38.4	25.91	55.89	17.77	22.26	6.21	23.59	0.8
C7orf63	0.0	0.08	52.82	271.48	1923.14	171.45	3349.13	447.82	109.66	1277.29	432.53	435.55	116.78	74.06	59.97
CCDC154	0.0	0.91	5.41	70.51	72.52	34.51	231.32	149.12	187.71	54.72	61.25	135.24	49.21	5.5	2.58
CCNL2	0.0	1.89	638.15	2835.7	2451.44	890.44	3874.05	4298.64	2555.58	4181.07	2104.58	1498.22	884.29	1819.35	406.31
CHKB-CPT1B	0.0	1.03	8.13	156.59	175.07	34.26	301.33	279.14	171.45	327.56	113.56	60.82	34.26	150.17	6.06
CLTCL1	0.0	0.78	40.64	127.89	256.78	35.5	332.14	113.56	246.28	150.17	139.07	92.05	106.63	64.34	27.05
CPT1B	0.0	1.3	39.22	616.37	780.44	147.06	842.36	928.3	612.11	1044.52	417.77	226.54	67.12	417.77	49.56
CRAMP1L	0.0	0.8	46.18	241.19	299.25	77.79	325.29	312.0	244.57	255.0	231.32	221.86	143.01	195.72	138.1
CSAD	0.0	1.55	40.93	688.78	1127.35	171.45	1350.18	1769.57	866.07	1781.89	525.39	371.22	159.9	336.79	31.0
CTB-50L17.14	0.0	0.47	1.33	13.72	21.94	1.64	33.06	37.85	19.25	45.21	7.11	8.32	0.0	10.71	3.11
DCST2	0.0	0.66	6.78	32.82	61.25	8.25	65.72	78.89	71.0	154.42	33.78	16.63	20.11	28.24	2.61
DEFB129	0.0	0.0	0.0	0.0	0.64	0.0	0.92	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E4F1	0.0	0.85	232.94	753.83	743.43	341.51	796.86	607.87	830.75	848.22	591.22	379.04	454.09	358.54	211.31
FAM194B	0.0	0.66	0.0	10.79	19.68	13.52	40.93	27.25	44.57	27.05	15.22	21.94	2.23	5.63	1.57
FAN1	0.0	0.45	63.45	251.48	497.0	202.66	438.59	373.81	175.07	480.04	299.25	320.8	182.55	253.23	111.99
FBXO38	0.0	0.25	223.41	599.49	713.11	325.29	733.19	616.37	583.07	400.71	435.55	559.28	366.09	387.02	256.78
FGF22	0.0	0.17	0.0	12.74	10.63	11.13	21.32	3.14	15.56	18.97	2.66	0.0	6.84	0.8	10.88
FKSG68	0.0	0.0	0.0	0.0	7.94	0.0	4.31	3.47	0.0	6.73	0.0	0.0	0.0	0.0	0.0
FRG1B	0.0	0.38	106.63	277.2	460.44	187.71	409.15	201.25	303.44	366.09	239.52	40.36	127.89	389.72	120.1
GGA1	0.0	0.92	651.58	1216.75	1127.35	909.17	1467.37	1487.87	1127.35	1369.04	1286.18	961.07	866.07	769.69	571.05
GRIPAP1	651.58	483.38	341.51	1015.93	890.44	743.43	934.76	921.88	934.76	825.0	825.0	647.07	483.38	521.76	232.94
GSTT2	0.0	0.73	84.04	100.13	529.06	656.11	660.68	116.78	547.75	123.5	525.39	40.07	40.07	17.77	18.16
HIST1H2AD	0.0	0.39	0.0	38.4	122.64	113.56	417.77	85.82	30.78	197.09	71.0	3.08	29.27	42.11	15.56
HIST1H2AK	0.0	0.46	10.63	24.81	111.21	23.59	234.57	145.02	11.55	99.43	53.95	10.39	42.71	16.03	0.0
HIST1H2BN	0.0	0.33	31.9	70.01	100.13	66.65	178.77	81.14	43.32	75.64	40.93	34.75	52.08	46.84	3.69
HIST1H3D	0.0	0.65	58.71	214.27	438.59	281.09	1088.92	293.07	271.48	651.58	186.4	61.68	242.88	130.6	28.04
HIST1H4E	0.0	0.67	4.39	42.41	295.11	32.59	441.64	351.14	226.54	1498.22	33.3	17.25	40.64	12.55	7.11
HIST1H4H	0.0	0.64	56.28	1508.65	3039.3	909.17	4038.61	703.28	587.13	934.76	480.04	297.17	1127.35	70.51	161.02
HIST1H4I	0.0	0.35	1.14	20.11	50.27	28.24	50.27	63.0	15.0	41.81	11.64	3.96	6.46	17.38	8.85
HIST4H4	0.0	0.54	17.77	131.51	521.76	54.33	1721.16	1088.92	56.68	287.01	110.43	54.33	102.25	66.18	21.63
IKBKB	0.0	1.22	379.04	934.76	825.0	603.67	1561.89	1447.15	1427.22	748.61	529.06	961.07	547.75	547.75	395.18
KCNK15	0.0	0.58	26.67	36.27	43.63	14.35	122.64	52.08	77.25	38.95	21.63	47.84	34.26	0.0	7.57
KHNYN	0.0	0.91	353.59	698.41	693.58	316.37	813.63	830.75	769.69	599.49	521.76	529.06	412.0	693.58	412.0
LINC00999	0.0	0.42	10.16	37.85	64.34	14.03	53.19	56.28	38.4	80.01	37.59	37.05	23.93	36.79	27.84
LZTR1	0.0	0.99	497.0	928.3	1175.27	521.76	1081.39	1277.29	1073.91	1183.45	775.05	497.0	466.88	483.38	346.29
MAP3K10	0.0	0.8	154.42	363.56	486.75	157.68	441.64	470.14	329.84	395.18	341.51	234.57	133.36	255.0	256.78
METTL3	0.0	1.16	260.38	928.3	1286.18	400.71	1397.83	1674.06	1167.14	1583.71	974.5	616.37	665.29	708.18	249.73
MON2	0.0	0.66	138.1	351.14	387.02	215.77	529.06	503.95	435.55	500.46	314.17	435.55	220.32	314.17	121.79
MST1	0.0	1.0	36.79	363.56	444.72	107.38	466.88	417.77	327.56	961.07	215.77	159.9	52.08	82.87	45.21
MYEF2	0.0	0.8	88.26	612.11	928.3	221.86	1001.93	1081.39	327.56	518.15	371.22	511.0	223.41	12.45	684.02
NKTR	223.41	85.22	41.52	466.88	796.86	146.03	902.89	884.29	638.15	775.05	389.72	500.46	165.57	444.72	102.97
NRBP2	0.0	1.11	127.0	718.08	1104.13	376.41	928.3	555.41	674.59	1883.54	473.41	297.17	208.38	470.14	334.46
PCDHGA10	0.0	0.28	9.78	12.55	140.04	130.6	221.86	11.82	37.85	108.14	115.97	17.51	50.27	24.63	73.54
PCGF2	0.0	0.91	738.29	1674.06	1437.15	1313.23	1359.57	1167.14	1259.69	1359.57	1119.56	1096.5	890.44	647.07	420.68
PLA2G2A	0.0	0.47	42.41	299043.36	311742.51	701458.36	558035.51	228208.61	558035.51	10296.45	513497.31	751804.53	565825.41	606436.73	5672.41
PLGLB1	0.0	0.46	5.32	71.0	72.52	16.88	94.01	74.58	52.08	82.87	49.91	22.1	5.45	32.36	13.52
PLGLB2	0.0	0.22	5.68	33.06	31.22	1.1	37.85	8.65	11.38	37.85	40.64	10.79	2.32	0.0	4.46
POM121L7	0.0	0.25	0.0	2.16	4.31	0.64	5.68	5.77	1.41	8.99	1.01	0.0	0.0	0.0	0.0
RBM5	0.0	1.22	476.71	2163.77	2178.83	830.75	3039.3	2835.7	3018.3	3874.05	1832.01	2163.77	884.29	1407.55	536.45
RNF207	0.0	0.83	18.56	206.94	400.71	29.91	376.41	309.83	460.44	450.94	136.19	162.14	56.68	329.84	18.43
RNPS1	0.0	1.17	2573.36	3395.89	5255.91	3395.89	5255.91	3190.46	4388.98	4607.24	4358.66	2956.17	3060.45	4181.07	4123.49
RP11-1407O15.2	0.0	1.0	91.41	346.29	361.04	172.65	567.1	684.02	277.2	441.64	242.88	316.37	140.04	265.87	157.68
RP11-347C12.1	0.0	0.83	17.0	60.39	124.37	8.85	137.14	123.5	92.7	134.3	36.79	52.45	30.12	31.67	8.06
RP11-446E24.4	0.0	0.04	0.0	0.0	1.11	0.42	1.13	0.39	0.39	0.42	0.0	0.0	0.0	0.73	0.0
RP11-6L6.2	0.0	0.0	0.0	4.13	3.82	0.0	12.0	7.11	5.15	69.52	5.19	0.0	0.0	0.0	1.77
SCN8A	0.0	0.33	0.69	19.97	53.19	2.07	79.45	29.48	6.01	11.38	9.13	23.76	4.21	1.2	2.32
SETD4	0.0	0.44	406.31	299.25	392.44	231.32	379.04	248.0	341.51	305.55	273.37	172.65	209.84	172.65	96.01
SH3D21	0.0	0.68	44.89	132.44	293.07	76.17	187.71	180.02	163.28	307.69	61.25	135.24	110.43	45.21	9.27
SH3GLB2	0.0	0.96	1242.34	2627.46	4268.94	1572.76	3820.7	5872.48	3419.52	5329.3	2609.3	2609.3	1709.26	2075.59	1819.35
SLC12A5	0.0	0.05	20.26	30.56	127.89	110.43	147.06	21.01	76.17	131.51	7.28	8.25	21.78	49.56	17.0
SLC25A27	0.0	1.06	12.36	371.22	551.56	59.55	1066.48	1073.91	575.03	1733.13	262.2	218.79	88.26	6.52	95.34
SNRNP70	0.0	1.13	2855.44	6121.9	6079.61	3589.58	9344.14	8134.41	7695.57	8022.41	4358.66	3614.55	3665.02	3955.48	1769.57
SNRPD3	0.0	0.8	2163.77	3039.3	4802.93	3349.13	4769.75	3639.7	3168.41	2895.31	2645.74	3325.99	3168.41	2351.53	2319.15
SRRT	0.0	1.25	1127.35	2104.58	2351.53	1605.83	2720.15	1388.16	2255.7	2555.58	2335.28	1733.13	1870.53	1857.6	698.41
TARBP1	0.0	0.43	197.09	713.11	1359.57	291.04	1135.2	1304.15	684.02	941.27	669.92	620.67	249.73	647.07	73.03
TBC1D3C	0.0	0.91	6.78	41.22	139.07	5.73	115.97	94.67	21.63	134.3	6.84	58.3	17.38	12.64	0.89
TBC1D3G	0.0	1.04	5.82	98.73	185.11	24.99	143.01	221.86	133.36	323.03	76.17	43.02	25.91	58.3	12.45
TBC1D3H	0.0	0.99	7.11	87.03	94.67	5.59	134.3	86.43	53.57	145.02	25.91	19.39	6.01	28.45	0.16
TCEB3C	0.0	0.0	0.0	0.0	1.35	0.0	1.36	0.47	0.0	1.48	0.0	0.0	0.0	0.0	0.0
TCTE3	0.0	0.16	0.0	3.79	9.13	0.0	11.21	16.03	8.0	2.25	0.0	5.68	3.35	4.46	2.27
TIMM23B	0.0	0.0	246.28	223.41	616.37	152.28	514.56	493.56	237.86	108.14	316.37	229.72	186.4	102.97	133.36
TMEM75	0.0	0.08	0.0	0.0	3.0	0.0	2.61	4.5	0.87	4.31	0.0	1.77	0.0	0.57	0.0
TRMT2A	0.0	0.87	1111.82	1225.22	1583.71	1023.0	1745.2	1662.49	1639.59	1487.87	1369.04	878.17	854.13	642.59	387.02
TTC14	0.0	0.91	187.71	454.09	629.35	299.25	909.17	915.51	679.29	981.29	392.44	460.44	320.8	143.01	132.44
TTC31	0.0	0.57	146.03	384.34	318.57	211.31	438.59	466.88	341.51	376.41	262.2	327.56	186.4	329.84	221.86
TUBGCP6	0.0	1.22	166.73	620.67	733.19	323.03	915.51	854.13	748.61	1111.82	674.59	409.15	301.33	417.77	123.5
UBR5	0.0	0.55	612.11	1242.34	1191.69	698.41	1340.84	1183.45	1059.11	1561.89	988.12	884.29	872.1	718.08	674.59
USP50	0.0	0.01	4.13	0.0	4.58	0.0	9.13	5.87	2.1	5.45	1.77	2.2	2.23	2.01	0.0
WDR4	0.0	0.22	182.55	211.31	343.89	74.58	346.29	228.13	205.5	154.42	205.5	125.24	181.28	332.14	74.06
ZNF337	0.0	0.82	95.34	253.23	312.0	136.19	351.14	361.04	295.11	559.28	258.57	182.55	121.79	214.27	107.38
ZNF497	0.0	0.13	14.24	52.45	75.64	32.59	104.42	57.49	65.72	112.77	69.52	56.28	27.84	65.26	9.27
ZNF692	0.0	1.11	334.46	1498.22	1508.65	660.68	1697.45	2018.8	1733.13	3467.27	1208.34	624.99	503.95	595.34	189.02
