	TCGA.E9.A245.01A.22R.A16F.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1LH.11A.22R.A14D.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.13FTY.2226.SM.5J1ND	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RM2N.1926.SM.48FCU	GTEX.145MF.0826.SM.5QGQA	TCGA.38.4625.01A.01R.1206.07
GOLGA8A	139.07	819.3	63.89	239.52	995.0	1909.85	2855.44	0.0	12.27	165.57	0.0
GRIPAP1	825.0	854.13	688.78	665.29	551.56	981.29	1104.13	397.93	403.5	406.31	651.58
GTF2IRD2B	543.96	854.13	316.37	567.1	1001.93	1023.0	1143.1	368.65	127.89	346.29	215.77
HECTD4	490.14	607.87	559.28	497.0	441.64	836.53	988.12	138.1	164.42	169.07	0.0
HNRNPA1L2	228.13	255.0	142.01	157.68	295.11	318.57	291.04	17.0	34.51	86.43	0.0
HNRNPD	3794.3	4736.79	3665.02	3039.3	6164.49	8305.36	7966.99	2047.0	1950.0	2224.63	0.0
ING5	201.25	414.87	248.0	351.14	429.54	660.68	521.76	136.19	80.57	118.43	175.07
JMJD7-PLA2G4B	41.52	91.41	33.78	41.52	117.6	236.21	224.97	9.85	19.53	25.91	0.0
KCNAB3	11.47	26.67	14.78	10.08	33.3	96.01	75.64	2.39	8.65	3.14	0.0
KDM6B	262.2	493.56	140.04	277.2	387.02	555.41	476.71	141.02	244.57	59.97	149.12
KIAA1107	29.7	95.34	19.68	50.27	62.12	167.9	125.24	1.27	7.06	15.0	0.0
KLHDC1	62.56	138.1	45.21	48.18	100.83	119.26	141.02	13.03	17.0	33.06	0.0
LHFPL1	8.58	15.45	6.57	1.91	19.25	17.9	17.64	0.0	5.59	0.0	0.0
LRP1B	4.39	8.25	2.73	2.43	20.41	4.21	35.25	3.66	1.01	0.96	0.0
MARK2	733.19	1216.75	656.11	825.0	1008.9	974.5	1151.06	125.24	221.86	73.54	373.81
MBD1	638.15	961.07	483.38	848.22	1008.9	1397.83	1378.57	387.02	334.46	314.17	0.0
METTL14	295.11	373.81	283.05	291.04	389.72	358.54	476.71	151.22	215.77	191.67	159.9
MYLK4	11.73	20.11	7.75	6.16	18.56	21.01	19.68	3.47	4.31	2.07	0.0
N4BP2L2	1111.82	1844.76	872.1	1594.73	1844.76	3190.46	2935.74	181.28	325.29	497.0	0.0
NDST2	320.8	525.39	195.72	329.84	358.54	587.13	540.19	131.51	152.28	109.66	0.0
NFKBID	110.43	111.21	121.79	69.52	111.21	285.03	285.03	28.24	17.13	27.44	0.0
NICN1	457.25	476.71	124.37	301.33	387.02	753.83	890.44	201.25	104.42	191.67	0.0
NPIPA3	4.54	183.82	84.04	52.82	100.83	58.71	193.01	0.0	11.04	23.25	0.0
NTN5	6.41	62.56	10.71	7.28	41.22	88.26	105.15	0.0	0.0	3.5	0.0
NUP54	438.59	620.67	454.09	389.72	703.28	753.83	796.86	99.43	316.37	239.52	0.0
PACRGL	325.29	412.0	218.79	204.07	356.05	651.58	414.87	47.17	137.14	139.07	0.0
PAXIP1-AS2	46.18	242.88	85.22	151.22	197.09	441.64	291.04	16.51	66.18	53.57	0.0
PCSK4	75.11	134.3	55.49	53.19	76.71	323.03	301.33	65.26	20.41	78.34	0.0
PKDREJ	3.06	7.28	1.55	1.38	4.03	6.31	6.57	0.58	0.18	0.57	0.0
PKIA	9.93	167.9	50.27	17.38	191.67	251.48	248.0	1.16	2.76	5.32	0.0
PLA2G4B	61.68	82.87	42.11	59.55	161.02	329.84	368.65	41.52	42.11	78.34	0.0
PLA2R1	133.36	447.82	237.86	155.5	454.09	265.87	384.34	18.56	14.35	12.83	0.0
POLI	457.25	890.44	267.73	480.04	620.67	1685.71	1498.22	21.32	38.12	50.27	0.0
POM121C	525.39	785.88	341.51	684.02	563.18	1159.07	1030.12	285.03	325.29	218.79	0.0
PPEF2	0.78	2.36	0.0	0.4	0.75	1.99	2.27	0.0	0.0	0.66	0.0
PRMT10	142.01	185.11	126.12	77.79	201.25	267.73	273.37	61.25	47.84	63.89	0.0
QRSL1	190.34	189.02	165.57	164.42	224.97	211.31	301.33	70.51	114.36	85.82	0.0
RAD52	145.02	246.28	143.01	172.65	204.07	460.44	420.68	24.81	27.25	78.89	0.0
RERE	1225.22	1651.0	728.11	791.35	1639.59	1819.35	1977.24	232.94	236.21	144.01	0.0
RFX3	57.08	120.94	23.76	77.25	81.14	100.83	175.07	6.52	6.01	9.56	0.0
RGMB	201.25	348.71	262.2	202.66	444.72	842.36	791.35	136.19	53.95	98.04	0.0
RP1-139D8.6	2.43	2.14	0.0	0.0	2.41	4.03	4.21	0.0	0.0	0.0	0.0
SALL3	0.69	0.37	0.4	0.0	0.0	0.22	2.34	0.0	0.0	0.0	0.0
SEC31B	64.8	172.65	33.54	45.53	100.13	470.14	283.05	25.72	33.54	86.43	0.0
SELE	87.65	473.41	16.39	0.59	56.28	825.0	769.69	21.47	34.26	6.11	0.0
SGSM2	1427.22	1844.76	769.69	647.07	1617.0	2573.36	1963.57	206.94	100.13	228.13	0.0
SLC24A1	170.25	336.79	127.0	239.52	301.33	595.34	371.22	54.72	83.45	73.03	102.25
SOCS7	161.02	353.59	99.43	258.57	183.82	417.77	397.93	7.94	35.0	4.66	0.0
SPEN	583.07	848.22	400.71	660.68	915.51	813.63	928.3	195.72	255.0	264.03	0.0
SPIN2A	8.58	29.7	7.82	11.91	12.45	62.56	38.12	2.51	2.01	1.85	0.0
SPTSSB	129.69	1350.18	43.02	20.41	177.53	4802.93	2537.92	2.32	0.0	1.08	0.0
STAT5B	698.41	1111.82	423.61	660.68	1167.14	1832.01	1127.35	387.02	264.03	373.81	358.54
STK36	381.68	651.58	591.22	438.59	490.14	1662.49	1233.75	107.38	75.64	97.36	0.0
TAS2R3	3.14	8.25	0.41	3.53	6.89	5.5	11.64	0.0	0.0	0.0	0.0
TAS2R4	5.68	21.47	1.68	10.47	15.11	17.9	19.82	0.0	0.66	1.77	0.0
TBCK	309.83	563.18	195.72	299.25	376.41	1023.0	674.59	107.38	111.21	163.28	0.0
TFAP2C	61.25	1437.15	759.08	297.17	2485.67	753.83	1037.29	3.03	6.78	0.0	108.9
TFAP2E	5.96	18.7	6.78	4.94	15.8	70.01	37.05	1.5	0.0	0.0	0.0
THAP9	42.41	94.67	37.59	44.89	78.89	149.12	123.5	11.55	26.1	37.32	0.0
TMEM63A	961.07	2271.4	1008.9	890.44	1417.35	2609.3	2163.77	819.3	341.51	497.0	473.41
TMTC2	131.51	409.15	137.14	87.65	163.28	679.29	521.76	9.34	16.51	4.03	0.0
TOP3A	368.65	426.57	265.87	444.72	373.81	511.0	511.0	194.36	239.52	297.17	0.0
TRMT10B	181.28	353.59	151.22	258.57	221.86	379.04	429.54	33.54	38.4	73.54	0.0
TRMT13	110.43	236.21	148.09	142.01	242.88	409.15	438.59	11.55	55.89	96.01	0.0
TSC2	1175.27	1605.83	878.17	941.27	1519.15	2645.74	2417.67	698.41	571.05	559.28	587.13
TTC21A	101.54	140.04	67.12	77.25	106.63	368.65	371.22	17.77	21.63	23.93	0.0
TTC23L	17.64	35.0	24.99	14.78	34.75	53.19	82.29	7.51	2.43	5.92	0.0
TTLL4	205.5	909.17	483.38	305.55	629.35	1143.1	1388.16	153.34	129.69	79.45	0.0
USP22	2061.24	4298.64	1437.15	2351.53	2664.15	2875.3	5329.3	406.31	748.61	450.94	543.96
USP40	540.19	603.67	551.56	473.41	599.49	1015.93	1088.92	273.37	334.46	748.61	0.0
VHL	397.93	866.07	332.14	497.0	688.78	1088.92	813.63	115.97	137.14	194.36	376.41
ZBTB1	463.65	866.07	583.07	525.39	674.59	902.89	848.22	59.13	133.36	206.94	0.0
ZFP82	127.89	115.97	35.5	162.14	141.02	303.44	212.78	6.11	2.1	5.54	0.0
ZKSCAN3	77.79	162.14	52.82	120.94	96.68	170.25	301.33	20.71	14.67	24.63	52.08
ZMAT1	67.59	785.88	136.19	177.53	267.73	753.83	961.07	3.79	30.56	96.68	0.0
ZNF135	83.45	224.97	141.02	30.56	202.66	1175.27	665.29	5.5	0.34	13.22	0.0
ZNF177	34.51	72.01	32.13	28.45	48.87	178.77	101.54	6.01	0.82	3.69	0.0
ZNF211	124.37	187.71	228.13	159.9	387.02	854.13	728.11	28.04	36.79	62.56	0.0
ZNF229	40.36	171.45	119.26	117.6	119.26	493.56	285.03	0.84	2.01	30.34	0.0
ZNF385C	35.0	75.64	20.11	73.54	108.9	130.6	157.68	5.68	0.0	10.96	0.0
ZNF418	105.89	156.59	170.25	24.28	163.28	595.34	432.53	16.15	3.0	72.52	0.0
ZNF471	59.13	147.06	17.38	77.25	100.13	460.44	684.02	1.91	3.41	14.14	0.0
ZNF488	2.63	12.74	1.13	6.31	15.91	74.58	18.16	0.49	0.0	0.0	0.0
ZNF514	265.87	389.72	177.53	283.05	348.71	293.07	417.77	27.64	55.1	108.9	129.69
ZNF544	476.71	567.1	395.18	473.41	674.59	785.88	928.3	146.03	150.17	412.0	0.0
ZNF558	176.29	483.38	182.55	275.28	387.02	1051.79	620.67	33.3	29.91	68.55	0.0
ZNF626	180.02	297.17	140.04	88.88	287.01	612.11	684.02	34.51	22.26	88.26	151.22
ZNF667	13.83	162.14	20.86	19.97	161.02	620.67	312.0	1.46	1.07	22.43	0.0
ZNF793	65.72	142.01	98.73	78.89	105.15	258.57	187.71	0.89	1.33	11.21	0.0
ZNF808	65.26	204.07	115.16	150.17	102.25	255.0	320.8	8.13	18.97	41.52	0.0
ZNF839	265.87	389.72	145.02	231.32	412.0	500.46	454.09	92.05	106.63	158.79	0.0
ZNF862	164.42	555.41	163.28	291.04	346.29	753.83	651.58	30.34	28.24	82.87	0.0
ZSCAN18	1572.76	1757.34	1529.73	255.0	1477.58	2645.74	3589.58	151.22	73.03	890.44	0.0
ZSCAN30	185.11	343.89	161.02	291.04	283.05	718.08	397.93	32.13	36.27	78.89	0.0
