	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.7255.11A.01R.2016.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.HC.8262.11A.01R.2263.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.13FXS.2826.SM.5LZYC
CLDN16	39.79	49.21	47.17	0.15	0.47	12.74	1.33	0.44	0.0	5.41	0.16	11.3	35.25	19.39	21.94	0.0
CLIC3	37639.55	18950.18	1721.16	20.26	26.28	56.28	47.5	28.04	6.73	120.1	44.89	132.44	131.51	105.15	217.27	258.57
CLIC6	1225.22	4038.61	587.13	102.97	105.89	164.42	166.73	58.71	1.41	279.14	40.36	264.03	518.15	128.79	420.68	129.69
CRABP2	123144.13	60723.88	10883.59	91.41	366.09	500.46	131.51	94.01	31.22	1199.98	198.47	1819.35	6337.83	2104.58	4481.23	3874.05
CSTA	1.6409999923E8	5.121275984E7	29124.6	44.57	97.36	239.52	102.97	40.64	15.91	490.14	70.51	753.83	1331.57	638.15	1498.22	204.07
CXCR2	4268.94	1857.6	130.6	0.96	2.18	12.45	9.34	4.58	0.34	36.01	2.18	28.04	58.3	58.71	75.64	54.72
CYLD	1242.34	403.5	543.96	159.9	309.83	283.05	229.72	195.72	143.01	376.41	231.32	403.5	540.19	320.8	417.77	265.87
CYP2W1	1051.79	172.65	32.82	4.17	8.13	81.14	5.77	3.79	1.68	58.3	2.78	98.04	157.68	88.26	242.88	35.76
DENND2C	51417.5	23169.48	397.93	18.29	32.59	34.26	37.59	24.99	7.28	52.08	30.56	90.77	248.0	65.26	105.15	31.45
DSC3	1.09164457E7	1.018540392E7	2163.77	0.84	37.85	147.06	29.06	8.78	0.0	312.0	0.57	312.0	884.29	389.72	660.68	98.73
DUOX1	74243.68	24153.43	1977.24	17.64	47.17	323.03	102.25	36.27	16.88	312.0	17.0	595.34	974.5	441.64	928.3	236.21
DUOX2	6207.38	62865.33	1709.26	0.91	8.06	98.04	8.51	1.68	0.0	104.42	2.14	291.04	802.41	102.25	387.02	43.32
DUOXA1	329517.51	181548.07	1674.06	3.72	26.67	309.83	80.01	22.59	1.64	336.79	4.7	612.11	1350.18	633.73	1127.35	234.57
DUOXA2	1388.16	54349.29	660.68	0.39	2.66	15.8	1.46	0.0	0.0	27.25	0.0	74.58	392.44	6.62	193.01	17.64
EFNA5	830.75	1175.27	260.38	31.9	45.21	98.04	41.22	17.64	0.0	140.04	42.11	117.6	172.65	197.09	165.57	82.29
ELF4	395.18	176.29	450.94	39.22	52.82	111.99	47.5	16.75	8.06	221.86	32.59	244.57	463.65	128.79	327.56	120.94
ERVV-1	293.07	33.54	1.16	0.0	0.0	2.46	1.36	0.29	0.0	6.41	0.0	4.94	14.24	14.35	17.38	5.06
EVA1A	76.71	76.71	130.6	4.74	23.25	23.76	10.24	12.74	5.63	64.34	8.32	47.5	66.18	27.84	78.89	35.5
EVPLL	9876.98	9673.69	6.89	0.0	1.57	20.86	2.63	3.72	0.0	10.79	0.0	43.63	56.68	41.81	59.13	31.22
FAM83B	25887.07	18689.27	547.75	0.0	4.13	31.0	4.9	3.32	1.25	34.26	1.11	52.45	177.53	74.58	61.25	31.22
FAT2	402881.61	171754.88	1331.57	2.66	13.12	191.67	13.22	4.66	0.31	173.85	0.72	309.83	454.09	234.57	289.02	141.02
FUT3	38430.46	19348.38	2591.27	1.87	1.99	37.59	5.92	1.55	1.66	53.57	0.27	76.71	237.86	42.71	163.28	45.53
GALNT5	7382.04	13215.02	595.34	1.99	5.77	13.03	5.82	1.03	0.0	22.43	5.06	33.06	90.77	24.99	88.26	13.12
GATA3	5076.84	9279.58	90.14	6.62	35.76	332.14	27.25	15.34	1.25	343.89	17.25	312.0	796.86	540.19	928.3	224.97
GCSAM	97.36	236.21	71.0	11.04	9.85	26.28	7.4	3.2	4.39	33.06	15.11	51.71	32.36	44.25	46.18	18.84
GGT6	29943.43	18431.96	1216.75	72.52	8.51	305.55	102.25	10.31	0.27	441.64	8.51	327.56	808.0	438.59	603.67	432.53
GJB4	113315.62	2976.74	293.07	1.14	3.14	20.56	3.32	2.07	0.2	87.65	0.57	102.97	457.25	43.63	117.6	41.81
GJB5	391864.76	383800.28	2209.26	0.0	9.7	114.36	17.13	3.26	0.0	293.07	0.0	332.14	813.63	244.57	483.38	204.07
GPR87	654483.73	1514068.5	1119.56	0.0	19.53	146.03	27.25	7.57	0.0	125.24	0.0	251.48	808.0	297.17	599.49	262.2
GRB7	5292.48	3665.02	1407.55	180.02	366.09	400.71	275.28	241.19	285.03	529.06	297.17	915.51	1250.98	603.67	896.64	301.33
GRHL3	80683.28	31650.8	1407.55	59.55	25.91	50.63	32.82	36.01	5.82	139.07	17.77	59.97	414.87	115.16	283.05	85.82
GSTP1	150561.19	280957.98	53601.03	2133.97	3874.05	6516.03	3060.45	1806.78	381.68	8078.22	1963.57	11267.44	24490.61	13872.08	18819.27	8840.04
HHLA1	6.84	13.42	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HR	5183.54	2816.11	432.53	46.5	61.68	169.07	40.64	32.13	2.76	201.25	13.42	412.0	607.87	120.94	309.83	115.97
HS3ST6	22692.63	9945.68	45.21	0.0	3.44	14.24	1.45	0.0	0.0	45.85	1.13	34.02	106.63	50.63	172.65	28.45
HSD11B2	656.11	2351.53	780.44	229.72	40.93	665.29	379.04	148.09	256.78	293.07	221.86	921.88	738.29	1001.93	915.51	363.56
HSPA4L	1781.89	1583.71	693.58	12.0	36.53	50.63	32.13	31.9	6.62	95.34	18.84	156.59	273.37	141.02	206.94	155.5
IER5	2573.36	698.41	1199.98	161.02	172.65	177.53	283.05	113.56	40.64	529.06	150.17	1059.11	1242.34	170.25	684.02	260.38
IFITM10	152.28	339.14	208.38	17.64	46.5	49.21	24.81	33.3	18.03	54.33	30.78	169.07	400.71	87.65	209.84	96.01
IL18	38966.94	39237.98	1551.09	65.72	115.97	104.42	63.89	50.98	12.45	115.97	84.04	242.88	486.75	353.59	521.76	260.38
IRF6	38430.46	22072.07	4836.35	981.29	769.69	1159.07	954.43	669.92	684.02	2090.03	775.05	2400.97	3847.29	1794.29	3124.78	1313.23
ISL2	4298.64	890.44	14.45	3.08	25.54	16.39	18.29	4.78	1.33	25.54	10.55	98.04	117.6	62.12	142.01	43.32
ITGB6	866.07	1857.6	616.37	16.15	33.78	131.51	22.92	11.55	0.26	205.5	6.41	260.38	947.83	120.94	327.56	246.28
KCNJ15	3081.75	1977.24	583.07	6.11	11.38	51.35	17.77	2.03	1.79	76.17	5.32	156.59	567.1	93.35	193.01	98.04
KRT4	3.697379928E7	1656835.72	103551.29	0.0	20.41	187.71	6.89	4.82	0.0	647.07	0.93	928.3	1909.85	629.35	1950.0	791.35
KRT5	4.3607468381E8	8.2510357921E8	135693.24	4.9	651.58	6607.01	890.44	507.46	3.76	8963.45	12.09	18304.63	16496.96	9673.69	18560.17	7331.05
KRT6A	2.01760973986E9	2.41604469791E9	118949.35	2.86	8.92	24.81	12.55	6.26	0.54	88.26	1.81	332.14	2335.28	15.22	738.29	6.26
LAMB3	50011.46	38430.46	6164.49	24.11	126.12	1268.46	194.36	66.18	2.76	1806.78	11.55	2451.44	3955.48	1397.83	2645.74	1216.75
LGALS3	44452.21	45072.75	13776.25	4268.94	7180.15	5594.3	4937.99	3168.41	218.79	5147.73	3820.7	6561.36	8658.09	8022.41	9540.5	10154.69
LIPK	1286.18	902.89	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPCAT4	6079.61	1388.16	1369.04	146.03	303.44	353.59	287.01	177.53	102.97	497.0	346.29	651.58	1605.83	466.88	830.75	395.18
LY75	599.49	412.0	409.15	20.56	23.93	22.26	14.03	7.4	1.66	73.54	15.8	84.04	145.02	72.01	113.56	33.06
MACC1	1023.0	981.29	194.36	1.0	10.16	43.94	3.32	1.87	0.62	44.89	4.66	28.04	82.87	52.82	107.38	44.57
MUC15	150561.19	101420.22	297.17	0.0	1.66	24.99	0.56	0.56	0.0	67.12	0.0	28.45	139.07	78.34	101.54	52.08
MUC20	13776.25	1583.71	2255.7	88.26	158.79	441.64	320.8	83.45	171.45	830.75	209.84	698.41	1191.69	748.61	2004.85	928.3
NAB2	1322.37	409.15	591.22	341.51	629.35	460.44	463.65	202.66	271.48	490.14	476.71	769.69	928.3	521.76	698.41	414.87
NHLH2	1378.57	2061.24	20.71	1.03	2.68	8.32	0.67	1.03	0.0	5.92	2.27	7.17	16.88	10.71	12.74	4.21
NOD2	1498.22	1806.78	59.55	8.13	10.08	30.78	11.38	3.53	0.52	25.35	4.43	42.11	35.0	19.68	45.21	14.89
NTF3	159.9	148.09	74.06	22.59	68.07	48.18	41.52	9.2	5.02	119.26	55.1	101.54	57.49	72.01	77.25	75.11
P2RY2	2701.35	2004.85	713.11	19.97	31.22	38.12	7.0	9.93	1.35	54.72	8.65	102.25	170.25	63.45	98.04	32.82
PAQR7	612.11	346.29	358.54	111.99	103.69	212.78	111.21	81.71	38.95	255.0	76.17	287.01	441.64	279.14	376.41	366.09
PCP4L1	3257.52	4419.52	629.35	2.97	29.48	283.05	26.1	12.36	2.68	361.04	20.86	358.54	1594.73	178.77	780.44	153.34
PERP	492579.5	469249.9	12676.65	981.29	921.88	1745.2	1104.13	1397.83	616.37	2502.97	928.3	2303.12	3820.7	3257.52	3614.55	1819.35
PLAU	1127.35	872.1	1508.65	73.03	201.25	236.21	77.25	39.5	42.71	226.54	75.64	521.76	529.06	236.21	426.57	363.56
PLLP	6121.9	11992.79	638.15	37.32	67.12	170.25	65.26	88.88	29.27	212.78	87.65	249.73	651.58	363.56	603.67	447.82
POF1B	299043.36	221968.2	366.09	38.67	10.24	57.89	69.03	10.31	0.0	90.77	49.56	64.34	228.13	155.5	121.79	51.35
PPM1L	87.65	226.54	201.25	30.78	97.36	72.52	41.22	34.02	3.99	145.02	61.68	108.14	309.83	181.28	197.09	59.13
PRRG4	9673.69	8022.41	961.07	171.45	50.98	205.5	129.69	124.37	14.24	209.84	49.91	181.28	346.29	309.83	460.44	167.9
PRSS12	1216.75	2384.37	228.13	6.73	18.7	42.71	9.93	4.06	1.17	21.63	5.68	52.08	77.25	51.71	70.51	65.26
RAB38	5711.87	3491.39	1407.55	15.45	30.12	76.71	13.22	9.7	4.78	103.69	10.79	112.77	128.79	108.14	127.89	105.15
RAET1G	17681.08	1208.34	234.57	3.66	7.46	11.04	10.55	20.11	3.56	26.47	10.63	25.35	95.34	11.91	67.12	33.78
RAPGEFL1	47974.16	52135.28	2193.99	75.11	71.5	387.02	66.65	85.82	59.55	400.71	40.64	669.92	2701.35	507.46	1628.26	262.2
RARG	10368.08	2997.45	2271.4	112.77	224.97	490.14	130.6	120.1	59.55	595.34	118.43	934.76	1388.16	587.13	988.12	633.73
RASSF5	6887.62	2178.83	1268.46	82.29	152.28	343.89	78.89	44.89	13.32	384.34	94.67	480.04	708.18	395.18	441.64	309.83
RIPK3	759.08	753.83	346.29	52.08	44.57	69.03	31.0	23.59	10.31	51.35	41.22	135.24	258.57	78.89	158.79	53.95
RNASE7	5006.93	133825.1	117.6	0.65	1.03	17.38	2.27	0.0	0.0	21.63	0.0	22.43	43.32	29.7	23.93	12.27
RNF223	27938.14	7180.15	199.85	23.93	18.7	18.84	28.65	15.45	17.64	30.34	18.84	23.42	114.36	42.41	102.97	37.59
ROBO1	1286.18	2287.2	764.36	98.73	162.14	397.93	183.82	48.87	3.5	733.19	105.89	791.35	1583.71	693.58	1304.15	503.95
S100A14	1.609378033E7	4136558.78	38966.94	3.47	65.72	454.09	46.18	38.67	0.0	620.67	4.31	890.44	2935.74	884.29	2701.35	902.89
S100A16	2141216.62	619179.28	30999.42	486.75	1008.9	1096.5	620.67	275.28	197.09	1651.0	463.65	2287.2	7382.04	1674.06	4152.18	1857.6
SCNN1A	62431.08	27553.49	3564.78	708.18	348.71	1950.0	571.05	389.72	32.82	1583.71	444.72	1733.13	1617.0	3614.55	2976.74	1159.07
SDC1	39510.91	24832.5	11827.67	218.79	1277.29	1331.57	258.57	98.73	323.03	2609.3	111.99	3515.68	12502.12	3928.15	7331.05	1806.78
SEMA5A	53.95	133.36	67.12	25.91	22.26	47.5	24.46	14.78	3.79	78.34	10.88	49.21	156.59	187.71	87.65	69.03
SERPINB5	1825675.85	1589343.01	13968.57	4.98	44.25	90.77	23.42	22.1	3.92	543.96	0.35	808.0	2835.7	381.68	981.29	136.19
SLC44A2	4836.35	5147.73	1721.16	2178.83	2061.24	2400.97	1651.0	1388.16	1331.57	2591.27	1540.37	2502.97	3467.27	2816.11	3515.68	2573.36
SLC52A1	158.79	127.0	70.51	0.36	3.23	31.45	5.45	3.41	0.0	40.93	0.0	73.54	134.3	25.91	85.82	41.52
SLCO3A1	2417.67	2627.46	457.25	61.68	94.01	145.02	72.52	31.22	28.65	253.23	41.52	273.37	420.68	224.97	412.0	258.57
SMAD3	1806.78	1225.22	1519.15	293.07	291.04	521.76	371.22	182.55	180.02	616.37	221.86	651.58	1151.06	571.05	612.11	325.29
SMIM5	3349.13	4607.24	395.18	12.09	26.67	49.56	21.94	18.29	6.52	122.64	39.5	147.06	301.33	28.45	137.14	100.13
SOX15	99333.0	5147.73	1561.89	75.64	99.43	208.38	98.04	55.49	6.36	265.87	67.59	312.0	567.1	271.48	441.64	267.73
SP6	928.3	463.65	53.19	11.55	9.41	52.08	19.39	12.0	20.86	81.14	7.82	115.16	208.38	66.18	92.7	88.88
SRRM3	301.33	195.72	346.29	57.49	45.21	68.07	51.71	16.75	4.21	130.6	17.0	134.3	198.47	76.17	218.79	93.35
ST6GALNAC2	6983.79	4010.71	890.44	24.99	101.54	423.61	44.25	39.5	21.32	334.46	25.91	543.96	1037.29	417.77	872.1	414.87
STARD5	629.35	607.87	669.92	211.31	143.01	351.14	201.25	256.78	125.24	275.28	273.37	403.5	713.11	507.46	764.36	307.69
SYT8	3235.01	3443.31	1417.35	0.0	5.06	42.11	5.63	0.95	0.0	14.24	1.79	66.18	878.17	22.43	114.36	27.64
TBX6	1216.75	450.94	130.6	12.74	23.42	61.68	19.53	23.42	25.54	59.13	16.27	79.45	228.13	59.97	145.02	53.19
TMEM154	18560.17	2664.15	180.02	3.53	9.06	9.41	6.46	3.56	0.59	18.43	3.72	28.04	85.22	26.1	38.4	12.93
TMEM246	2148.82	21320.18	293.07	22.92	45.21	134.3	135.24	34.26	14.24	223.41	121.79	201.25	277.2	351.14	228.13	152.28
TMEM40	391864.76	115696.65	2351.53	0.71	8.58	70.51	3.69	2.71	0.0	173.85	0.0	212.78	854.13	173.85	693.58	116.78
TNS4	299043.36	1055868.42	6079.61	4.31	75.64	540.19	110.43	21.01	0.0	1662.49	1.57	3039.3	3325.99	607.87	2032.85	244.57
TP63	3290783.22	3313672.43	2976.74	10.96	52.82	497.0	60.82	26.28	0.39	688.78	7.94	733.19	1183.45	896.64	842.36	309.83
TPRXL	4038.61	4066.71	265.87	0.33	2.53	12.74	3.11	4.82	0.0	30.78	0.35	59.97	135.24	21.47	59.13	12.18
TRIM29	1212874.47	1656835.72	27174.14	70.01	323.03	2739.08	450.94	98.73	3.29	4769.75	34.51	6121.9	12415.75	3982.99	8963.45	2384.37
UPK3B	15392.14	974.5	366.09	5.41	23.59	271.48	15.22	30.12	4.17	3.79	13.42	107.38	62.12	82.87	206.94	40.64
VSNL1	649962.87	122293.5	921.88	1.23	11.21	102.97	17.38	20.41	0.27	175.07	2.58	197.09	285.03	170.25	265.87	197.09
WNT10A	9740.98	2032.85	215.77	5.36	9.78	86.43	3.23	7.06	1.46	66.65	4.03	116.78	206.94	144.01	163.28	171.45
ZBTB7C	14262.1	13872.08	1268.46	8.99	23.93	164.42	32.59	7.17	31.0	194.36	22.59	275.28	571.05	177.53	379.04	159.9
ZFP36L1	20030.74	11504.21	12076.21	1331.57	2645.74	6561.36	2384.37	1313.23	532.74	7749.1	1561.89	15285.81	11664.82	5255.91	8305.36	4481.23
ZNF296	258.57	120.94	88.88	21.78	17.51	44.57	17.51	17.13	46.84	36.79	18.97	59.55	105.89	62.56	102.97	58.3
