	TCGA.GU.A762.01A.11R.A33J.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	TCGA.38.4625.01A.01R.1206.07
CTTNBP2	2.78	6.89	94.01	18.84	45.21	1.1	2.78	149.12	52.45	40.07	0.0
DCAF16	117.6	525.39	603.67	232.94	327.56	212.78	239.52	571.05	579.04	536.45	258.57
DCP1A	90.77	129.69	392.44	195.72	289.02	113.56	156.59	392.44	460.44	346.29	172.65
DLGAP1	1.53	85.22	995.0	14.56	12.45	0.36	14.14	117.6	450.94	409.15	0.0
DNAJC24	96.01	132.44	303.44	139.07	269.6	118.43	88.88	242.88	199.85	193.01	0.0
DNASE1	95.34	137.14	1923.14	159.9	149.12	55.1	356.05	297.17	312.0	457.25	0.0
DUSP6	656.11	450.94	1313.23	400.71	947.83	176.29	212.78	3847.29	2895.31	1295.13	0.0
DYRK1A	251.48	723.08	1159.07	764.36	759.08	389.72	454.09	1127.35	1044.52	836.53	0.0
ELF2	167.9	698.41	842.36	497.0	612.11	463.65	373.81	934.76	1015.93	688.78	0.0
EP300	94.67	441.64	1051.79	403.5	603.67	246.28	206.94	836.53	981.29	708.18	303.44
EPB42	3.35	9.2	27.05	5.45	21.01	13.62	2.84	15.8	22.92	16.63	0.0
ERCC4	22.75	76.71	420.68	117.6	154.42	55.49	73.03	149.12	175.07	193.01	0.0
FAM115C	20.41	33.54	371.22	30.56	23.59	8.85	52.45	158.79	97.36	93.35	0.0
FAM118A	500.46	126.12	1427.22	158.79	151.22	44.89	173.85	555.41	417.77	738.29	0.0
FAM160A1	17.64	59.13	395.18	92.05	136.19	26.28	63.89	236.21	135.24	164.42	68.07
FAM210B	813.63	1551.09	2739.08	1457.23	1721.16	1769.57	988.12	3103.19	3690.52	1733.13	633.73
FAM211B	146.03	323.03	2935.74	146.03	202.66	115.97	507.46	493.56	651.58	669.92	0.0
FAM21A	135.24	674.59	3467.27	387.02	587.13	281.09	165.57	1259.69	1457.23	1286.18	0.0
FGF9	0.0	5.02	105.15	2.68	2.01	0.0	0.0	16.51	16.75	37.32	1.6
FGFR1	204.07	713.11	15180.22	1175.27	5872.48	551.56	651.58	4769.75	5594.3	6250.56	486.75
FIP1L1	825.0	1088.92	1457.23	967.76	1096.5	854.13	825.0	1378.57	1519.15	1127.35	785.88
FLRT1	0.32	4.46	33.3	4.24	0.42	1.39	7.06	6.41	4.78	10.88	0.0
FMR1	299.25	540.19	785.88	536.45	563.18	277.2	444.72	607.87	599.49	813.63	0.0
FNIP2	43.63	70.51	921.88	117.6	82.87	46.5	127.0	429.54	303.44	218.79	0.0
FRAS1	67.12	17.25	503.95	33.3	21.94	0.69	5.5	103.69	76.71	51.35	0.0
GARNL3	9.85	136.19	432.53	185.11	126.12	51.35	52.82	358.54	503.95	343.89	0.0
GDF1	0.32	5.06	12.09	0.0	5.77	0.39	0.0	9.48	13.52	10.96	0.0
GDF6	2.73	0.73	46.5	3.2	4.86	0.35	0.32	8.45	13.93	6.26	0.0
GGA1	480.04	1143.1	2163.77	796.86	1322.37	1199.98	764.36	1175.27	1151.06	1605.83	0.0
GLYR1	307.69	1268.46	2255.7	1508.65	1628.26	830.75	1167.14	1322.37	1583.71	1963.57	802.41
GTF2I	1001.93	4543.8	8078.22	2835.7	5112.16	3716.2	2935.74	5555.65	6745.86	6516.03	2739.08
HERPUD2	334.46	327.56	947.83	470.14	351.14	214.27	271.48	796.86	848.22	429.54	423.61
HOOK3	41.52	105.89	1628.26	194.36	253.23	80.01	73.03	518.15	1313.23	435.55	127.89
HS3ST6	1.28	6.01	100.83	0.0	0.0	4.21	1.5	4.66	9.78	13.12	0.0
IDS	392.44	703.28	2573.36	1159.07	1883.54	660.68	1044.52	1617.0	1467.37	1674.06	0.0
IKZF4	33.3	111.99	237.86	115.97	92.05	26.47	31.45	135.24	202.66	164.42	0.0
IQCH	13.32	71.0	130.6	45.53	105.89	64.8	65.72	116.78	114.36	78.34	0.0
KANSL3	258.57	595.34	1286.18	656.11	656.11	403.5	420.68	1030.12	1104.13	1233.75	343.89
KATNAL2	13.12	73.03	291.04	108.14	159.9	62.12	111.21	96.68	226.54	215.77	0.0
KCNIP4	1.53	8.45	35.5	15.68	16.15	6.84	7.0	28.86	32.59	26.1	0.0
KCTD6	84.04	297.17	1233.75	348.71	400.71	381.68	234.57	246.28	595.34	769.69	0.0
KIAA0232	53.57	223.41	633.73	389.72	444.72	165.57	273.37	341.51	543.96	414.87	0.0
KIAA1109	185.11	796.86	1639.59	525.39	1081.39	403.5	532.74	1268.46	1757.34	974.5	0.0
KIAA1244	2.78	301.33	813.63	466.88	543.96	281.09	204.07	379.04	693.58	665.29	0.0
KMT2C	82.29	426.57	967.76	381.68	642.59	264.03	420.68	743.43	819.3	753.83	218.79
KRBA2	5.5	50.27	158.79	42.71	49.21	38.67	27.84	125.24	193.01	103.69	0.0
KSR1	83.45	43.02	438.59	256.78	334.46	66.65	125.24	353.59	536.45	273.37	0.0
LARS2	234.57	226.54	400.71	166.73	299.25	236.21	186.4	293.07	275.28	279.14	0.0
LPHN2	45.85	123.5	1857.6	265.87	106.63	46.5	98.73	941.27	1191.69	373.81	0.0
LYST	116.78	131.51	343.89	205.5	253.23	51.71	98.73	356.05	211.31	341.51	0.0
MAOB	30.34	19.68	3235.01	177.53	289.02	32.36	1.69	2240.11	2682.69	1551.09	0.0
MARCH6	890.44	1617.0	2758.13	1883.54	1991.0	1208.34	1088.92	1950.0	2895.31	2303.12	733.19
MEX3C	154.42	409.15	1127.35	301.33	587.13	185.11	248.0	819.3	1073.91	728.11	0.0
MIB1	90.14	208.38	954.43	260.38	426.57	137.14	204.07	463.65	612.11	480.04	0.0
MKL2	17.77	205.5	1745.2	551.56	607.87	115.97	251.48	819.3	830.75	1437.15	0.0
NBPF3	33.3	135.24	351.14	146.03	251.48	137.14	70.01	371.22	253.23	234.57	0.0
NCAM2	2.14	21.01	633.73	72.52	143.01	1.99	8.85	170.25	543.96	195.72	0.0
NEBL	2.48	1030.12	2645.74	1066.48	1950.0	967.76	575.03	1250.98	748.61	1135.2	0.0
NELFCD	753.83	1340.84	4972.34	1896.65	1277.29	1378.57	1457.23	1909.85	2240.11	3060.45	0.0
NLGN2	64.34	198.47	525.39	206.94	140.04	117.6	41.81	343.89	316.37	327.56	0.0
NXPH3	32.36	173.85	651.58	65.72	199.85	19.97	71.5	138.1	246.28	312.0	0.0
PANK3	150.17	547.75	1757.34	551.56	909.17	612.11	563.18	748.61	1030.12	954.43	0.0
PARP11	181.28	108.9	381.68	228.13	202.66	87.65	37.32	283.05	346.29	264.03	0.0
PCMTD2	100.83	607.87	2997.45	902.89	791.35	587.13	947.83	1605.83	2240.11	1561.89	447.82
PCNXL4	277.2	529.06	743.43	591.22	476.71	309.83	314.17	748.61	1015.93	647.07	0.0
PEG3	3.35	11.64	629.35	26.28	183.82	0.42	3.32	490.14	665.29	591.22	0.0
PEX2	490.14	1313.23	2400.97	1529.73	2061.24	1259.69	1127.35	1540.37	2758.13	1819.35	0.0
PLEKHF2	256.78	679.29	3847.29	967.76	1457.23	587.13	616.37	775.05	1199.98	2591.27	0.0
POLDIP3	563.18	1242.34	1794.29	884.29	1313.23	1167.14	540.19	1378.57	1561.89	1437.15	0.0
PPM1L	4.31	78.34	148.09	51.71	45.85	40.64	29.27	106.63	53.95	71.5	0.0
PPP1R1B	0.97	0.91	4639.29	204.07	141.02	149.12	0.78	1709.26	2573.36	483.38	0.0
PRKX	61.68	98.04	583.07	80.01	90.14	27.44	24.63	260.38	106.63	209.84	341.51
PTPN13	140.04	23.25	503.95	242.88	287.01	6.46	81.14	579.04	1467.37	518.15	0.0
RAB27B	38.95	191.67	1417.35	325.29	289.02	95.34	185.11	718.08	830.75	708.18	0.0
RAB33B	28.86	125.24	204.07	100.13	113.56	54.72	106.63	175.07	262.2	177.53	102.97
RAB44	0.32	0.42	3.03	0.89	1.14	0.39	0.66	3.38	3.26	1.27	0.0
RABGEF1	172.65	392.44	713.11	256.78	432.53	271.48	356.05	447.82	587.13	473.41	0.0
RALGAPA1	96.01	607.87	813.63	567.1	555.41	429.54	483.38	723.08	743.43	674.59	0.0
RAPGEF2	73.54	228.13	616.37	307.69	325.29	131.51	178.77	928.3	764.36	651.58	0.0
RHPN2	66.65	323.03	718.08	291.04	435.55	69.52	58.3	791.35	547.75	607.87	0.0
RP11-12J10.3	0.92	2.84	11.13	4.43	5.59	5.11	2.63	9.63	6.84	7.57	0.0
RP11-231C14.4	71.5	249.73	928.3	94.01	107.38	10.47	114.36	291.04	406.31	281.09	0.0
RSBN1	38.67	175.07	258.57	143.01	215.77	95.34	142.01	323.03	373.81	205.5	0.0
SASH1	50.27	128.79	206.94	143.01	119.26	31.45	35.0	878.17	358.54	206.94	67.12
SCN9A	0.93	0.66	16.88	2.27	0.99	0.6	0.82	7.88	21.47	3.63	0.0
SEMA5A	34.26	23.93	1183.45	177.53	89.51	8.71	37.32	825.0	1216.75	379.04	0.0
SETBP1	43.02	134.3	403.5	98.73	217.27	68.07	43.32	384.34	312.0	273.37	0.0
SHISA9	0.32	0.37	189.02	89.51	53.57	0.0	0.0	34.26	63.0	117.6	0.0
SLC14A1	13.42	13.62	223.41	15.11	5.36	5.19	3.63	69.03	74.58	83.45	0.0
SLC20A2	379.04	447.82	3820.7	802.41	748.61	426.57	514.56	1037.29	1167.14	1313.23	0.0
SLC37A3	166.73	312.0	819.3	409.15	387.02	217.27	285.03	718.08	497.0	563.18	0.0
SMCR8	21.78	65.72	466.88	153.34	244.57	88.88	66.18	285.03	389.72	332.14	0.0
SPECC1L	151.22	305.55	1051.79	336.79	703.28	287.01	218.79	679.29	947.83	665.29	0.0
SPRED2	125.24	361.04	1127.35	500.46	759.08	323.03	323.03	921.88	651.58	842.36	603.67
STAU2	135.24	579.04	2133.97	1066.48	1259.69	591.22	356.05	684.02	1081.39	1427.22	0.0
STX16	447.82	420.68	2816.11	909.17	397.93	279.14	540.19	1037.29	825.0	1447.15	878.17
SYNE3	15.68	11.64	104.42	23.08	26.67	2.97	8.78	59.97	34.51	45.53	0.0
TBC1D24	59.13	283.05	435.55	189.02	157.68	154.42	120.94	236.21	303.44	316.37	83.45
TCAP	19.11	4.7	89.51	5.73	8.78	3.59	12.18	16.15	16.39	36.53	0.0
TFAP2B	0.0	0.0	1781.89	12.18	733.19	0.0	0.0	616.37	2451.44	1208.34	0.0
TRAPPC6B	232.94	341.51	497.0	441.64	457.25	336.79	381.68	583.07	651.58	483.38	0.0
TRPS1	34.26	1233.75	5913.33	1819.35	4152.18	1923.14	157.68	2417.67	1819.35	2682.69	0.0
TSPAN6	368.65	842.36	1977.24	1073.91	612.11	435.55	339.14	1447.15	2485.67	1175.27	0.0
TSSK4	7.63	10.79	102.25	34.51	16.03	4.98	23.25	58.71	64.34	42.71	0.0
TTLL1	87.65	244.57	463.65	212.78	265.87	199.85	118.43	283.05	438.59	327.56	0.0
USP7	444.72	1313.23	2573.36	1628.26	1685.71	1073.91	1135.2	1313.23	1617.0	2434.5	728.11
WBP2NL	14.78	21.94	82.29	30.12	10.16	15.68	8.45	32.36	47.17	40.93	0.0
WDFY3	141.02	297.17	808.0	262.2	470.14	242.88	426.57	607.87	559.28	567.1	0.0
WDR35	45.21	123.5	277.2	231.32	262.2	118.43	74.06	287.01	334.46	209.84	0.0
WDR64	0.3	0.0	2.05	0.37	0.66	0.0	0.0	5.77	1.81	1.22	0.0
WNK4	13.32	29.27	1745.2	312.0	780.44	1.38	457.25	503.95	1378.57	791.35	0.0
XKR9	0.0	1.07	117.6	20.86	6.52	0.97	6.78	19.39	0.24	51.35	0.0
ZBED5	412.0	438.59	967.76	457.25	785.88	348.71	283.05	878.17	1023.0	842.36	0.0
ZFP91-CNTF	0.0	0.65	3.03	0.0	1.97	0.0	0.0	0.0	4.43	0.0	0.0
ZHX2	133.36	194.36	995.0	409.15	267.73	130.6	246.28	665.29	638.15	674.59	0.0
ZKSCAN5	69.52	120.94	208.38	120.94	136.19	95.34	103.69	194.36	283.05	162.14	0.0
ZMAT4	0.31	21.78	221.86	5.41	5.73	0.0	0.0	31.0	120.94	110.43	0.0
ZMYM1	77.25	108.14	228.13	95.34	142.01	71.0	121.79	221.86	176.29	205.5	0.0
ZNF250	88.26	182.55	400.71	185.11	164.42	127.89	134.3	366.09	353.59	279.14	0.0
ZNF324	81.71	113.56	211.31	102.25	102.25	118.43	100.13	159.9	172.65	182.55	0.0
ZNF589	61.68	109.66	287.01	94.01	138.1	71.5	143.01	325.29	209.84	246.28	0.0
ZNF70	10.96	33.3	85.22	35.5	39.22	25.35	21.16	73.03	109.66	61.68	0.0
ZNF721	157.68	591.22	764.36	244.57	447.82	279.14	371.22	780.44	693.58	679.29	249.73
ZNF727	0.0	9.41	54.72	3.06	4.03	1.81	4.13	21.63	16.63	10.96	0.0
ZXDA	18.97	84.63	134.3	81.14	60.39	44.89	54.33	81.14	109.66	105.15	0.0
