	TCGA.A7.A6VY.01A.12R.A33J.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.39.5030.01A.01R.1443.07	TCGA.85.7710.01A.11R.2125.07	TCGA.SJ.A6ZI.01A.12R.A34R.07	TCGA.4E.A92E.01A.11R.A37O.07
ENKUR	5.02	1685.71	17197.56	11.73	0.0	0.0	8.25	10.55	74.06	81.71
EPB41L4A-AS2	15.0	175.07	57.08	0.71	0.0	0.06	15.45	16.39	43.02	32.82
FAM166B	9.41	4869.99	49322.93	4.31	0.0	0.0	20.56	10.55	155.5	93.35
FAM171A2	55.49	587.13	285.03	72.01	0.0	0.16	33.3	19.68	318.57	175.07
FAM213B	713.11	1015.93	1963.57	327.56	0.0	0.57	698.41	497.0	1529.73	358.54
FAM216B	0.0	4181.07	51417.5	0.0	0.0	0.0	8.32	0.0	28.24	33.54
GCNT3	4.31	4450.27	4543.8	138.1	0.0	0.11	10.08	56.28	361.04	172.65
GDA	0.27	2935.74	16727.26	14.45	0.0	0.22	29.27	186.4	915.51	228.13
GIN1	43.02	132.44	224.97	73.54	0.0	0.0	51.71	60.39	109.66	90.14
GPR22	0.97	57.08	37.05	0.0	0.0	0.02	1.19	0.32	4.35	3.82
HHATL	0.0	108.14	334.46	0.0	0.0	0.0	0.0	0.0	7.0	37.05
HID1	457.25	5594.3	3820.7	42.41	0.0	0.85	466.88	309.83	1662.49	1909.85
HNRNPA0	1909.85	2609.3	3018.3	1331.57	1088.92	921.88	1477.58	1340.84	2875.3	3280.18
HOXD9	50.98	409.15	114.36	10.71	0.0	0.24	19.97	107.38	183.82	77.79
HYDIN	38.4	205.5	1529.73	4.43	0.0	0.04	35.5	16.27	205.5	85.22
IPO11	211.31	285.03	444.72	209.84	0.0	0.11	253.23	248.0	316.37	291.04
ISLR2	5.06	575.03	423.61	2.92	0.0	0.0	44.57	1.25	102.25	108.14
ISOC1	289.02	860.08	1127.35	211.31	0.0	0.27	397.93	194.36	1216.75	1088.92
KCNRG	10.39	327.56	1617.0	3.69	0.0	0.0	9.78	8.45	24.11	32.13
KIAA1407	48.87	281.09	514.56	17.25	0.0	0.29	90.14	94.01	141.02	141.02
KIF27	49.91	77.79	99.43	21.32	0.0	0.39	94.01	71.5	223.41	185.11
KNCN	0.0	9.63	89.51	0.0	0.0	0.0	0.26	0.0	1.97	1.31
KRTAP5-4	0.0	2.14	31.67	0.0	0.0	0.0	0.0	0.0	2.01	1.87
LCA5L	38.4	101.54	607.87	11.64	0.0	0.0	43.32	22.75	126.12	92.05
LGR4	291.04	109.66	283.05	206.94	0.0	0.53	400.71	316.37	669.92	733.19
LNX1	117.6	90.77	201.25	37.85	0.0	0.16	62.12	125.24	262.2	327.56
LRP2BP	12.0	43.94	115.16	3.44	0.0	0.21	7.4	6.67	40.93	35.5
LRRC56	34.26	303.44	540.19	8.13	0.0	0.11	18.56	55.89	88.26	61.68
LRRD1	0.0	6.11	7.51	0.0	0.0	0.06	0.0	0.75	3.96	1.45
LRRN3	10.71	7.22	151.22	0.66	0.0	0.0	12.45	10.08	38.12	12.36
MDH1B	15.34	384.34	1159.07	4.74	0.0	0.0	25.35	8.0	106.63	94.01
MPPED2	10.16	8191.0	29736.59	0.0	0.0	0.23	341.51	204.07	521.76	381.68
MS4A8	0.0	182810.84	894051.48	0.0	0.0	0.0	10.0	0.0	190.34	231.32
MUC13	6.06	16611.71	13399.51	0.0	0.0	0.27	2.84	50.98	211.31	55.49
NCMAP	20.26	656.11	7180.15	0.0	241.19	507.46	18.56	4.86	316.37	229.72
NEK10	4.54	379.04	1167.14	0.33	0.0	0.0	5.11	1.89	30.12	30.12
NEK11	133.36	633.73	1697.45	19.25	0.0	0.01	57.08	91.41	265.87	169.07
NHLRC4	25.91	444.72	2224.63	2.2	0.0	0.0	22.1	8.99	52.08	29.27
NKIRAS1	127.89	295.11	426.57	80.01	0.0	0.27	84.04	89.51	140.04	134.3
NMUR2	0.0	6.11	2.76	0.0	0.0	0.03	1.99	1.83	94.01	34.02
NOXRED1	3.69	24.46	30.56	1.2	0.0	0.21	4.31	7.46	15.56	14.35
NPHP1	84.63	255.0	995.0	50.63	0.0	0.03	78.34	87.65	323.03	224.97
NR2C1	211.31	698.41	723.08	447.82	0.0	0.51	447.82	361.04	764.36	518.15
OBSL1	2384.37	5555.65	5255.91	277.2	0.0	0.85	638.15	836.53	3039.3	2004.85
PAGE4	0.0	100.83	94.67	0.0	0.0	0.0	0.0	0.0	42.41	4.74
PALM	97.36	5112.16	2645.74	64.8	0.0	0.73	318.57	348.71	555.41	47.84
PBLD	73.54	118.43	253.23	18.03	0.0	0.32	43.63	153.34	271.48	214.27
PCCA	161.02	1883.54	2367.9	27.64	0.0	0.64	176.29	228.13	583.07	1119.56
PCDHB11	2.32	273.37	125.24	14.24	0.0	0.24	15.22	2.78	115.97	327.56
PCDHGB7	37.85	269.6	483.38	170.25	0.0	0.4	71.5	17.9	356.05	34.75
PIFO	31.9	9025.81	126606.21	6.57	0.0	0.0	24.81	2.61	620.67	301.33
PIH1D2	19.11	164.42	1044.52	19.39	0.0	0.0	31.9	36.79	152.28	88.88
PIH1D3	0.0	2075.59	8538.88	0.55	0.0	0.0	0.58	0.0	13.83	2.46
PLXNB1	909.17	2935.74	2976.74	316.37	0.0	1.11	684.02	1030.12	2004.85	3614.55
PPT2-EGFL8	60.39	96.68	77.25	6.89	0.0	0.83	24.63	46.84	101.54	72.01
PRAMEF12	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.3	0.0
PRR15	45.21	267651.2	469249.9	4.28	0.0	0.0	11.13	76.17	587.13	1059.11
RAB36	73.03	1104.13	3716.2	26.28	0.0	0.0	172.65	35.25	271.48	287.01
RAI2	53.57	3235.01	2720.15	3.99	0.0	0.48	218.79	43.32	733.19	954.43
RIMBP2	2.84	1583.71	1388.16	13.03	0.0	0.15	24.81	0.46	299.25	152.28
ROBO2	0.34	163.28	126.12	0.19	0.0	0.09	94.01	6.31	303.44	457.25
RP1-102H19.8	8.13	19.25	100.13	2.48	0.0	0.08	4.86	4.66	39.5	12.55
RP11-247C2.2	0.3	441.64	305.55	0.4	0.0	0.0	17.0	0.49	30.34	44.89
SAMD11	18.56	629.35	291.04	11.47	0.0	0.35	88.88	73.54	486.75	287.01
SDR42E2	1.06	34.26	45.21	0.0	0.0	0.0	3.03	0.58	4.5	2.61
SGMS1	253.23	307.69	503.95	303.44	0.0	0.46	218.79	348.71	603.67	348.71
SLC24A5	3.69	11.64	46.18	1.14	0.0	0.17	1.46	4.06	8.99	15.68
SMAD9	17.77	414.87	145.02	1.71	0.0	0.29	16.51	85.22	58.3	119.26
SMIM17	6.57	8.78	3.79	0.0	0.0	0.21	2.39	0.89	13.03	5.32
SNX2	753.83	1359.57	1427.22	708.18	866.07	532.74	1023.0	579.04	1745.2	1066.48
SPRY1	395.18	2255.7	2720.15	61.68	0.0	0.52	518.15	318.57	1745.2	1081.39
SRGAP3	46.84	1073.91	753.83	66.65	0.0	0.0	55.49	53.57	159.9	279.14
STK36	420.68	1832.01	1001.93	51.35	0.0	0.83	334.46	575.03	1143.1	1757.34
STMND1	1.64	5183.54	29531.18	1.0	0.0	0.0	2.07	3.56	24.63	21.16
STOML3	0.59	5366.37	75803.72	0.0	0.0	0.0	4.74	0.1	15.91	4.86
STXBP6	67.59	11267.44	5366.37	6.31	0.0	0.52	162.14	21.78	1250.98	1407.55
TAF7	1268.46	1572.76	2032.85	854.13	0.0	0.64	1350.18	1015.93	1923.14	1781.89
TCTN1	808.0	1617.0	3820.7	228.13	0.0	0.39	595.34	281.09	1151.06	775.05
TEKT4	0.93	2976.74	12076.21	1.38	0.0	0.0	2.16	1.3	32.13	28.45
THSD4	32.13	11189.6	18052.61	118.43	0.0	0.35	100.13	100.13	480.04	536.45
TLE1	647.07	3303.0	4836.35	457.25	0.0	0.66	941.27	656.11	2018.8	1674.06
TMEM211	3.82	2520.38	2303.12	0.0	0.0	0.03	0.0	0.0	30.12	218.79
TMEM47	206.94	1572.76	3124.78	7.94	0.0	0.35	155.5	73.54	915.51	241.19
TNR	0.0	0.0	0.37	0.0	0.0	0.0	0.16	0.0	1.75	0.34
TPH2	0.0	0.0	6.26	0.93	0.0	0.0	0.0	0.0	1.2	1.3
TTC18	39.5	1617.0	2451.44	1.5	0.0	0.22	19.82	7.06	177.53	94.01
VWA3B	13.72	1529.73	10883.59	1.33	0.0	0.0	11.21	0.82	57.89	23.25
WDR93	4.98	312.0	2061.24	1.51	0.0	0.0	4.62	5.96	22.92	22.26
WFDC2	575.03	1.736886224E7	2.009035788E7	884.29	0.0	0.65	1697.45	1104.13	84694.64	85283.74
WT1	8.32	45.85	74.06	0.66	0.0	0.0	19.53	23.42	140.04	10.39
ZADH2	387.02	796.86	775.05	285.03	223.41	129.69	262.2	473.41	540.19	514.56
ZBED3	77.25	161.02	191.67	7.46	0.0	0.14	84.63	29.7	217.27	343.89
ZNF160	273.37	220.32	688.78	169.07	0.0	0.68	255.0	400.71	688.78	497.0
ZNF20	59.13	59.55	100.83	23.59	0.0	0.0	56.28	42.11	128.79	71.5
ZNF320	186.4	532.74	791.35	118.43	142.01	65.26	249.73	248.0	460.44	961.07
ZNF503	120.1	1250.98	1844.76	86.43	363.56	130.6	202.66	262.2	733.19	860.08
ZNF83	698.41	1651.0	1594.73	173.85	248.0	148.09	463.65	559.28	1159.07	723.08
