	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YFC4.1226.SM.5LU9R	GTEX.13FLV.1126.SM.5J2NO	GTEX.TSE9.1226.SM.4DXTM	GTEX.X4XY.1726.SM.46MVO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N6.A4VD.01A.11R.A28V.07
CXCR1	8.19	5.36	7.88	18.56	2.14	41.81	5.68	0.0	0.33	25.91
CYB5A	836.53	718.08	1143.1	2209.26	1295.13	2816.11	909.17	0.0	0.62	2997.45
CYBA	3018.3	2104.58	1883.54	3349.13	1508.65	3515.68	1183.45	0.0	0.96	9088.59
DHDH	25.54	19.53	17.64	76.17	18.7	65.26	8.25	0.0	0.0	115.97
DNAAF2	91.41	75.64	87.03	173.85	53.19	167.9	49.21	0.0	0.04	285.03
DOC2A	94.67	61.68	17.64	77.79	18.16	115.97	13.42	0.0	0.52	176.29
DPCD	669.92	718.08	656.11	616.37	267.73	571.05	253.23	0.0	0.08	1697.45
DTNBP1	277.2	212.78	195.72	316.37	244.57	373.81	180.02	0.0	0.62	507.46
ECHDC1	703.28	607.87	599.49	785.88	426.57	896.64	314.17	0.0	0.51	1104.13
ENY2	1857.6	1508.65	1295.13	2417.67	1467.37	2351.53	583.07	0.0	1.0	4903.87
ERGIC2	967.76	878.17	854.13	1417.35	679.29	1427.22	693.58	0.0	0.49	1909.85
ERICH2	4.7	1.03	2.41	38.67	2.89	58.71	4.13	0.0	0.13	140.04
EXOSC3	559.28	536.45	521.76	1119.56	251.48	759.08	312.0	0.0	0.28	902.89
FAM185A	132.44	100.83	125.24	185.11	91.41	170.25	66.18	0.0	0.3	132.44
FAM213A	2255.7	1769.57	1936.53	2627.46	1457.23	2997.45	896.64	728.11	1259.69	1286.18
FBXO22	334.46	312.0	318.57	575.03	204.07	567.1	379.04	0.0	0.26	679.29
FCAR	4.66	1.93	0.0	11.04	0.65	13.72	3.29	0.0	0.57	4.98
FCGR3B	8.58	3.66	3.17	26.28	4.66	75.64	5.02	0.0	0.28	41.81
FCRLB	11.04	7.06	12.64	29.7	4.39	28.45	12.74	0.0	0.11	21.47
FUT10	59.97	54.72	69.03	177.53	52.45	125.24	40.36	0.0	0.23	72.52
GADD45GIP1	2400.97	2148.82	2271.4	2915.45	1397.83	3257.52	2075.59	0.0	0.74	3589.58
GEMIN6	135.24	127.0	108.14	224.97	43.63	248.0	87.03	0.0	0.0	409.15
GLOD4	703.28	595.34	629.35	1427.22	967.76	1340.84	486.75	0.0	0.59	1844.76
GLRX2	361.04	346.29	376.41	620.67	157.68	656.11	480.04	0.0	0.0	332.14
HTR6	1.25	0.38	0.92	1.68	0.0	3.41	0.92	0.0	0.06	7.69
IFT27	341.51	299.25	351.14	633.73	246.28	656.11	220.32	0.0	0.21	743.43
IFT46	358.54	312.0	314.17	486.75	115.97	444.72	198.47	0.0	0.07	974.5
IL17RB	37.59	24.28	24.81	16.63	5.77	124.37	4.9	0.0	0.41	88.88
ING2	444.72	444.72	423.61	417.77	264.03	514.56	279.14	0.0	0.21	460.44
INTS10	921.88	638.15	860.08	1359.57	848.22	1498.22	775.05	0.0	0.92	1233.75
ISCA2	332.14	327.56	297.17	490.14	108.9	444.72	197.09	0.0	0.4	974.5
ISOC1	607.87	563.18	642.59	890.44	514.56	819.3	327.56	0.0	0.27	1081.39
ITGAE	808.0	748.61	921.88	836.53	307.69	1023.0	271.48	0.0	0.52	684.02
KCNK4	0.64	0.0	2.53	2.71	0.0	5.5	0.85	0.0	0.0	2.03
KCTD14	22.75	18.03	18.84	84.63	13.12	193.01	8.32	0.0	0.13	785.88
KIAA1586	60.82	50.63	35.76	53.57	21.01	142.01	18.7	0.0	0.35	147.06
LAMTOR2	2032.85	1709.26	1745.2	2335.28	1104.13	2609.3	1697.45	0.0	0.53	3372.43
LBX2	4.03	3.44	0.0	8.92	2.29	20.71	2.07	0.0	0.3	27.84
MESDC2	307.69	271.48	283.05	466.88	281.09	457.25	283.05	0.0	0.52	591.22
METTL23	698.41	540.19	607.87	836.53	417.77	1096.5	384.34	0.0	0.64	921.88
MICA	339.14	151.22	329.84	547.75	346.29	698.41	166.73	0.0	0.57	579.04
MPC2	785.88	511.0	656.11	1242.34	947.83	1628.26	543.96	1259.69	206.94	1447.15
MPG	902.89	796.86	928.3	1268.46	723.08	1340.84	825.0	0.0	0.88	1896.65
MRPL13	934.76	842.36	753.83	1008.9	540.19	1191.69	733.19	0.0	0.37	1199.98
MRPL19	483.38	351.14	438.59	753.83	376.41	947.83	332.14	0.0	0.0	921.88
MRPL40	728.11	665.29	713.11	708.18	435.55	1104.13	444.72	0.0	0.27	1388.16
MRPS14	518.15	454.09	457.25	633.73	264.03	571.05	384.34	0.0	0.48	759.08
MTHFS	251.48	155.5	223.41	417.77	158.79	518.15	231.32	0.0	0.07	733.19
NDUFA7	1883.54	1662.49	1870.53	2895.31	1467.37	2796.65	1350.18	0.0	0.52	3325.99
NDUFAF7	249.73	151.22	130.6	232.94	100.83	325.29	165.57	0.0	0.52	258.57
NDUFB8	3820.7	3794.3	4836.35	5479.15	3665.02	5112.16	2384.37	0.0	1.1	6792.79
NDUFC1	2915.45	3372.43	3515.68	6983.79	2573.36	5711.87	2451.44	0.0	0.78	4639.29
PIGK	139.07	98.04	106.63	211.31	131.51	226.54	96.68	0.0	0.27	368.65
PRKRA	759.08	684.02	915.51	759.08	624.99	791.35	518.15	0.0	0.74	974.5
PROK2	1.55	0.0	0.0	37.59	3.79	31.45	5.73	0.0	0.57	50.27
PTPMT1	981.29	836.53	813.63	1350.18	769.69	1313.23	738.29	0.0	0.27	2047.0
PYCARD	1662.49	1963.57	1977.24	2178.83	718.08	1844.76	674.59	0.0	0.33	860.08
RCBTB2	269.6	275.28	297.17	214.27	144.01	432.53	111.99	0.0	0.27	139.07
RDM1	1.99	0.84	4.13	43.32	10.16	23.08	26.47	0.0	0.0	45.85
RNF113A	297.17	307.69	295.11	454.09	166.73	389.72	104.42	0.0	0.59	384.34
RNFT2	13.42	6.67	8.92	16.75	5.54	23.08	6.06	0.0	0.39	127.89
RP11-676J12.7	3.92	5.54	0.0	9.13	0.0	14.24	5.96	0.0	0.0	4.03
SLC1A1	21.47	13.12	27.44	46.18	23.08	143.01	25.17	0.0	0.07	57.89
SLC25A38	307.69	228.13	249.73	343.89	220.32	432.53	223.41	0.0	0.06	698.41
SLC6A15	52.45	47.84	40.36	236.21	101.54	343.89	24.46	0.0	0.0	172.65
SMPDL3B	9.93	2.39	3.56	54.72	14.03	92.7	12.0	0.0	0.09	267.73
SPATA33	171.45	158.79	90.77	172.65	100.83	329.84	154.42	0.0	0.23	447.82
SUMO1	1806.78	1950.0	1397.83	1950.0	1295.13	1991.0	808.0	0.0	0.79	3168.41
THAP7	599.49	387.02	571.05	603.67	351.14	684.02	559.28	0.0	0.45	988.12
TLCD1	206.94	89.51	432.53	403.5	131.51	525.39	490.14	0.0	0.0	314.17
TM2D3	591.22	460.44	511.0	638.15	511.0	688.78	312.0	0.0	0.85	1081.39
TMEM161A	620.67	483.38	521.76	791.35	356.05	902.89	441.64	0.0	0.61	995.0
TMEM167A	555.41	669.92	579.04	1447.15	555.41	1369.04	738.29	0.0	0.56	1388.16
TMEM205	1662.49	1331.57	1819.35	1662.49	1175.27	2163.77	579.04	0.0	0.95	7180.15
TNFRSF10C	9.63	3.26	3.66	32.82	4.35	57.49	9.78	0.0	0.39	316.37
TSEN34	1350.18	1159.07	1259.69	1250.98	753.83	1233.75	813.63	0.0	0.71	2018.8
TSGA10	60.82	73.03	76.17	53.95	18.16	153.34	40.64	0.0	0.0	329.84
TSTD1	1781.89	1991.0	3039.3	4268.94	2018.8	3540.14	1709.26	0.0	0.35	3257.52
USMG5	9409.14	10808.41	11189.6	16727.26	8191.0	14262.1	4607.24	0.0	1.06	12676.65
VPS11	703.28	651.58	728.11	638.15	358.54	866.07	551.56	0.0	0.35	698.41
WDR53	198.47	217.27	218.79	226.54	78.89	234.57	132.44	0.0	0.39	228.13
WDR83	264.03	229.72	255.0	316.37	199.85	318.57	164.42	0.0	0.51	392.44
WRNIP1	1167.14	1119.56	1127.35	1216.75	915.51	1268.46	819.3	0.0	0.82	1250.98
ZIC2	24.28	9.34	3.44	15.0	1.2	12.74	12.93	0.0	0.34	688.78
ZNF625	24.46	28.65	36.79	42.11	5.63	70.01	12.64	0.0	0.26	127.0
ZNF830	256.78	242.88	256.78	454.09	152.28	351.14	159.9	0.0	0.0	389.72
