	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.7697.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.85.8350.01A.11R.2296.07	TCGA.56.8083.01A.11R.2247.07	TCGA.66.2790.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8296.01A.11R.2343.13
KIAA2022	0.0	0.0	1.6	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.25	0.0	0.0	5.5	8.71	1.5	19.25	2.81	6.84	4.54	7.57	4.9
KLHL24	186.4	112.77	135.24	167.9	89.51	153.34	51.71	89.51	81.14	127.89	145.02	1832.01	150.17	0.0	575.03	579.04	842.36	928.3	995.0	651.58	303.44	1277.29	511.0
KRT17	4953441.24	971597.0	589853.66	716197.51	701458.36	593956.43	524287.0	542775.98	645473.24	546551.29	632189.57	57448.23	912837.43	0.0	67377.47	45072.75	40904.3	1709.26	29327.18	656.11	483.38	3280.18	16.51
LARP1B	113.56	163.28	150.17	142.01	135.24	198.47	111.99	190.34	169.07	84.04	149.12	961.07	136.19	0.0	351.14	117.6	121.79	228.13	368.65	255.0	249.73	277.2	312.0
LECT1	3.35	0.0	0.59	1.45	0.0	0.0	0.0	0.0	0.62	0.0	0.0	78.34	0.0	0.0	6.57	0.0	253.23	1015.93	0.84	9.7	3.86	61.68	6.36
LHFPL1	4.35	0.0	0.39	0.0	0.0	0.0	0.77	0.0	0.0	0.39	0.0	40.07	0.51	0.0	6.21	28.45	18.03	23.08	38.4	14.45	3.47	2.86	3.79
LHFPL3	3.53	0.0	0.39	36.53	0.0	0.75	0.0	0.0	0.0	0.0	0.43	28.65	0.0	0.0	2.61	8.51	2.63	10.08	2.97	29.06	5.32	180.02	18.16
LRRC43	1.57	2.61	3.32	7.94	4.03	1.36	1.38	0.0	0.0	2.56	1.04	51.35	6.78	0.0	21.32	42.11	37.59	55.49	127.0	82.87	21.01	35.25	15.22
LRRC9	1.46	0.0	1.81	1.08	0.0	0.0	0.39	0.0	0.0	0.0	0.0	16.63	0.0	0.0	0.88	3.2	1.2	4.28	4.13	7.22	2.07	10.24	1.95
LRRIQ4	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	17.0	0.0	0.0	4.1	6.46	16.88	29.7	12.55	5.77	10.24	9.34	15.8
LUZP2	0.84	0.0	0.0	15.8	0.0	0.29	0.3	0.25	0.31	1.28	3.23	95.34	0.39	0.0	13.83	18.43	0.92	7.11	20.41	11.3	8.19	6.89	16.88
MAGI2	0.93	2.63	7.51	10.88	6.41	6.01	8.85	2.58	4.78	2.18	1.51	73.03	5.82	0.0	18.03	29.91	31.67	119.26	74.58	50.27	28.86	33.78	23.08
MAP7D2	2.56	4.39	10.88	5.23	4.78	1.48	5.02	0.99	4.13	1.48	4.7	583.07	0.99	0.0	157.68	12.64	191.67	2.97	638.15	8.13	226.54	13.83	21.94
MAP9	0.0	5.19	2.25	5.77	3.2	2.25	11.82	2.32	2.81	1.85	19.53	368.65	12.0	88.88	120.1	53.57	50.27	128.79	244.57	153.34	63.89	220.32	39.5
MCHR2	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.6	0.0	0.0	0.0	13.12	0.0	0.0	2.34	5.77	1.25	0.33	10.88	3.79	3.53	1.55	4.62
MED12L	5.59	1.07	2.03	13.52	3.41	2.41	2.84	2.76	1.75	3.56	3.92	74.06	0.61	0.0	9.93	29.48	16.15	112.77	30.34	56.28	10.47	37.05	13.03
MEI4	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	40.07	0.0	0.0	0.0	5.5	3.44	4.46	36.79	0.52	3.86	3.82	1.19
MIXL1	0.0	3.08	0.93	2.12	0.0	2.51	1.36	0.0	2.66	0.54	7.94	117.6	2.2	0.0	22.75	25.17	14.56	82.87	142.01	12.0	3.89	13.93	15.34
MORC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.84	0.0	0.0	0.35	1.31	91.41	4.06	1.22	0.0	1.22	0.0	1.95
NAALADL2	1.08	5.28	8.25	3.47	0.0	13.72	5.23	4.46	5.41	2.71	11.38	228.13	16.27	0.0	38.4	97.36	120.94	95.34	60.39	94.01	49.56	24.28	156.59
NR3C2	2.32	0.68	2.18	3.72	0.68	6.06	1.41	0.88	1.46	1.39	1.97	28.04	1.23	0.0	17.25	43.32	28.04	53.57	27.44	35.5	29.7	50.98	66.18
NRXN2	1.33	35.0	10.16	152.28	5.19	7.82	9.63	4.43	4.94	5.92	16.15	400.71	10.71	0.0	48.18	41.52	190.34	1208.34	450.94	579.04	23.08	125.24	43.94
NSUN3	77.79	42.71	75.11	152.28	40.36	45.85	57.89	75.11	66.65	134.3	75.11	351.14	42.41	0.0	159.9	156.59	117.6	123.5	189.02	180.02	159.9	273.37	127.89
NTS	0.0	2.97	63.89	2.07	1.23	15.11	8.51	1.07	0.0	0.0	40.36	90773.53	0.0	0.0	1977.24	9474.59	351.14	85.22	45.53	9.48	12.55	27.84	7.75
OR3A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	29.06	0.0	0.0	0.0	3.23	0.0	14.78	0.0	4.31	5.06	0.0	3.53
OR3A2	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.89	0.0	0.0	0.0	19.82	0.0	44.89	0.61	14.56	3.32	0.0	12.74
OR6C2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	24.81	0.0	0.0	5.23	7.51	4.74	0.0	0.0	0.0	3.17	2.81	7.06
OR6C70	0.0	0.0	0.0	0.0	11.38	0.0	0.0	0.0	0.0	3.56	0.0	103.69	0.0	0.0	14.14	8.32	17.25	9.13	8.19	0.0	4.06	5.77	1.68
PABPC1L2A	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32	0.0	0.0	3.56	2.27	3.59	25.35	9.13	0.0	3.29	0.41	4.54
PAGE4	0.0	0.0	5.68	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	497.0	0.0	0.0	1.35	5.63	860.08	412.0	28.45	5.28	0.95	133.36	2.73
PAK7	31.67	0.0	0.0	2.89	0.0	0.0	0.43	0.0	0.44	0.42	0.0	52.82	0.0	0.0	16.75	19.68	22.43	8.58	2.73	23.25	4.39	16.51	3.79
PAX6	4.54	17.38	21.94	23.93	2.86	5.59	2.01	111.99	4.43	4.58	53.19	511.0	5.41	0.0	94.01	44.25	81.14	420.68	165.57	12.36	25.35	17.77	15.22
PCDHA13	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.52	24.81	0.0	0.0	0.2	4.13	0.48	1.99	0.19	3.5	1.22	3.41	3.76
PDE11A	0.0	0.56	1.58	0.84	0.0	0.0	0.0	0.0	0.49	0.0	0.0	166.73	0.0	0.0	7.06	6.84	5.77	46.18	16.39	35.76	10.71	14.03	19.82
PHACTR1	20.86	15.11	6.46	17.9	17.25	7.22	10.0	2.43	13.42	5.41	9.2	148.09	15.0	0.0	44.57	80.01	62.12	264.03	87.03	96.01	45.53	75.11	143.01
POTEG	1.03	0.44	0.0	0.0	0.0	0.0	0.0	0.31	0.39	0.37	0.0	42.11	0.0	0.04	1.23	9.85	24.46	0.61	1.22	1.53	3.63	43.02	3.38
POTEH	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56	0.0	0.0	2.34	1.87	3.44	0.0	1.19	1.25	0.0	29.06	3.66
POTEM	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	31.0	0.0	0.0	1.81	15.91	2.39	0.89	5.63	1.53	8.65	48.18	3.59
PPM1H	7.0	8.0	4.35	7.4	6.89	5.68	12.93	2.68	4.13	9.63	6.26	220.32	5.59	135.24	85.82	152.28	147.06	384.34	134.3	587.13	525.39	435.55	379.04
PPP1R9A	0.0	0.0	0.69	4.1	0.0	0.0	3.32	0.0	0.73	0.71	0.74	64.8	0.0	31.0	17.0	11.21	23.76	438.59	39.79	164.42	125.24	137.14	76.71
PRKD1	1.22	7.51	5.73	12.64	2.39	7.4	5.02	6.11	6.11	4.54	8.19	120.94	16.88	0.0	29.27	130.6	105.89	237.86	205.5	111.99	55.1	120.94	36.01
PROS1	221.86	201.25	77.25	60.82	79.45	99.43	183.82	31.22	95.34	38.95	253.23	1963.57	209.84	0.0	232.94	256.78	239.52	190.34	271.48	420.68	97.36	890.44	129.69
PRR18	5.02	0.0	0.0	5.28	0.0	0.0	0.0	0.35	0.0	0.4	0.0	73.03	0.0	0.0	2.25	4.82	11.82	42.71	90.77	52.45	3.14	9.7	2.23
PVRL3	0.0	13.52	20.56	10.96	2.27	11.38	9.7	3.79	14.56	11.13	55.49	406.31	16.75	0.0	19.53	218.79	229.72	141.02	111.99	327.56	486.75	336.79	507.46
RAB39B	2.94	0.61	1.3	5.11	0.61	0.92	0.93	0.47	1.79	0.53	2.29	52.45	2.18	0.0	18.03	10.16	9.7	15.68	26.67	10.24	6.73	21.47	18.7
RAB6C	8.45	0.91	0.0	2.51	1.79	1.45	0.75	0.0	2.29	0.74	0.42	26.86	1.89	0.0	4.46	8.32	10.08	30.12	11.21	23.25	3.86	10.16	8.45
RAI2	5.19	29.06	11.91	15.91	8.51	18.43	12.55	4.7	12.64	9.93	13.62	170.25	47.84	0.0	111.21	126.12	305.55	305.55	674.59	341.51	114.36	466.88	234.57
RANBP17	14.89	11.04	8.51	3.59	2.66	7.22	10.55	1.57	1.36	1.3	1.91	84.63	8.71	0.0	37.32	68.07	102.25	40.07	107.38	10.24	236.21	144.01	51.71
RASSF9	4.58	45.85	7.69	10.39	0.0	29.27	27.64	1.31	27.64	14.89	141.02	3060.45	23.08	0.0	206.94	387.02	217.27	113.56	40.07	68.07	142.01	25.91	25.35
RBM46	0.0	0.0	0.8	0.0	0.0	0.8	2.39	1.03	0.45	0.0	0.0	363.56	0.54	0.0	1.28	7.22	0.37	1.5	88.88	5.32	9.13	180.02	7.82
RFX4	0.0	12.36	0.0	19.25	0.0	0.0	0.0	0.0	0.82	0.0	0.0	48.52	0.0	0.0	0.0	14.89	0.89	7.4	5.77	1.48	11.55	1.57	15.8
ROBO2	1457.23	18.97	1.48	9.63	0.0	10.88	6.52	0.19	2.58	0.87	14.45	620.67	7.57	0.0	30.78	49.56	49.56	102.97	76.17	52.08	30.56	56.68	29.27
RP11-302B13.5	11.91	5.02	0.0	7.69	0.0	3.69	9.06	7.06	1.97	3.35	0.0	159.9	2.92	0.0	1.66	13.62	13.03	65.72	33.78	19.53	17.77	7.06	14.56
RP11-758M4.1	0.47	0.0	34.51	0.75	0.0	0.0	0.4	0.0	25.91	5.28	1.62	126.12	10.71	0.0	11.73	25.91	5.23	27.84	4.46	19.97	3.79	14.35	7.22
RYR2	1.39	0.83	1.58	2.89	1.36	3.79	0.73	2.56	1.22	0.0	4.66	146.03	2.01	0.0	3.35	19.11	31.9	25.91	27.44	17.38	19.53	33.06	19.11
SATB2	50.98	19.39	13.42	13.83	21.16	24.46	12.64	18.7	29.27	13.93	27.64	255.0	40.64	0.0	25.54	40.64	50.27	323.03	78.34	373.81	43.32	142.01	43.02
SKIL	595.34	135.24	244.57	444.72	603.67	287.01	299.25	323.03	249.73	318.57	283.05	3491.39	450.94	177.53	698.41	358.54	1709.26	941.27	579.04	1023.0	665.29	1073.91	866.07
SLC17A7	1.39	2.18	5.32	161.02	5.54	6.52	3.86	2.27	6.06	3.0	7.22	234.57	3.32	0.0	7.34	20.41	336.79	713.11	186.4	20.71	12.74	96.01	9.56
SLC25A33	80.01	35.25	46.18	59.55	36.01	55.49	35.25	62.12	34.75	37.32	23.93	320.8	37.59	0.0	131.51	116.78	73.54	172.65	195.72	283.05	224.97	187.71	124.37
SLC26A5	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.25	0.0	0.0	4.78	2.66	3.53	10.79	8.85	8.51	8.06	9.56	7.28
SLC35G1	16.88	35.0	25.54	39.5	21.78	36.53	29.91	44.25	31.9	42.71	27.64	1225.22	14.35	70.51	177.53	64.8	135.24	143.01	108.14	152.28	100.83	81.14	23.08
SLC35G3	0.0	0.0	0.37	0.0	0.0	0.37	0.0	0.0	2.92	0.0	0.0	106.63	0.0	0.0	29.27	8.38	5.59	26.86	27.44	2.01	5.19	0.0	15.56
SLCO4C1	0.0	0.0	0.58	0.0	0.0	1.39	0.59	0.0	0.6	0.0	0.62	102.97	0.0	0.0	6.41	16.51	7.75	17.0	17.77	15.0	1.73	12.36	2.41
SOCS2	52.08	117.6	46.84	45.21	50.98	82.29	251.48	76.71	145.02	49.21	64.8	2417.67	169.07	109.66	150.17	223.41	688.78	532.74	346.29	181.28	89.51	205.5	269.6
SPATA22	0.0	1.0	0.0	1.95	0.0	0.83	0.0	0.72	1.28	0.0	0.91	96.01	0.0	0.0	1.89	14.89	0.0	22.1	21.63	3.96	7.22	3.35	26.28
STOX1	23.42	8.25	11.55	21.01	1.62	18.56	12.55	1.53	6.31	19.68	3.2	915.51	6.73	0.0	29.48	28.86	66.65	101.54	165.57	129.69	6.94	90.14	23.25
SYT14	0.0	0.47	0.74	0.0	0.47	0.0	0.4	0.65	0.0	0.0	1.6	115.97	0.51	0.0	15.0	7.88	24.63	10.24	40.07	28.24	9.13	42.41	6.62
SYT9	4.7	0.0	0.0	1.99	0.57	0.48	0.0	0.0	0.51	0.0	0.0	8.06	0.0	0.0	2.1	11.04	22.43	86.43	124.37	46.18	6.62	7.06	13.83
TACR3	0.0	0.42	0.0	0.0	6.11	0.0	0.0	0.0	0.73	0.0	0.0	45.53	0.0	0.0	1.58	6.78	0.62	67.12	2.18	2.76	3.92	2.92	0.85
