	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.111CU.1426.SM.5GZYP	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.139D8.1426.SM.5IJEX	GTEX.12KS4.1326.SM.5LUB3	TCGA.BR.8365.01A.21R.2343.13	TCGA.BR.7704.11A.01R.2055.13	GTEX.Q2AI.0826.SM.48TZO
SYPL2	2.56	23.08	4.17	7.94	40.93	3.2	5.02	8.71	21.78	3.69	249.73	54.72	172.65	158.79	42.71
TACC2	679.29	1088.92	1037.29	529.06	1225.22	884.29	723.08	713.11	1216.75	830.75	934.76	189.02	1639.59	1233.75	1277.29
TAF3	44.25	68.55	52.08	80.01	111.21	47.84	45.53	82.87	74.58	44.89	149.12	61.25	182.55	183.82	91.41
TBKBP1	27.84	116.78	16.15	64.8	189.02	24.63	40.36	59.55	87.65	31.9	591.22	53.95	366.09	414.87	156.59
TGIF2	59.13	84.04	17.25	109.66	169.07	74.06	79.45	69.52	92.7	55.89	202.66	265.87	490.14	314.17	112.77
TMEM121	9.63	31.67	2.29	30.56	41.81	7.0	11.3	14.03	21.63	4.46	88.88	24.11	80.57	87.03	43.32
TMEM150A	163.28	271.48	143.01	258.57	406.31	144.01	264.03	220.32	346.29	226.54	884.29	753.83	563.18	624.99	521.76
TMEM257	0.09	0.83	0.0	0.46	0.93	0.0	0.12	0.49	0.1	0.14	3.47	0.0	1.16	1.19	0.55
TRIM16L	69.52	156.59	88.26	67.59	195.72	55.89	85.22	94.67	169.07	80.57	180.02	41.52	231.32	197.09	332.14
TTC40	0.0	3.32	0.12	0.43	4.74	0.27	0.08	0.0	3.41	0.0	21.32	3.14	19.97	18.16	11.3
ULK2	33.54	89.51	36.79	68.07	118.43	40.64	46.5	66.18	106.63	32.59	463.65	157.68	314.17	287.01	187.71
USF2	2555.58	3060.45	2075.59	2417.67	3467.27	1498.22	2240.11	2434.5	2351.53	1883.54	4836.35	4607.24	2591.27	3303.0	3280.18
VANGL2	16.88	70.01	8.58	52.08	139.07	8.19	27.44	53.95	45.53	21.47	87.03	65.26	163.28	110.43	113.56
VSTM2B	0.46	2.25	0.38	0.0	1.58	0.0	0.34	0.32	0.0	1.1	2.32	0.0	4.5	6.11	1.91
ZFP1	32.13	69.03	24.99	72.01	111.99	47.17	44.57	72.01	74.06	39.5	149.12	175.07	309.83	197.09	82.87
ZMAT3	37.05	88.88	40.93	91.41	111.99	49.91	50.27	108.9	70.51	32.59	165.57	52.08	435.55	155.5	118.43
ZNF32	395.18	620.67	224.97	629.35	902.89	241.19	379.04	409.15	743.43	336.79	1551.09	848.22	1175.27	1119.56	921.88
ZNF362	110.43	170.25	46.5	159.9	183.82	92.05	124.37	151.22	163.28	89.51	674.59	162.14	947.83	866.07	336.79
ZNF404	18.97	30.34	33.78	25.72	32.82	10.96	19.82	22.59	36.79	29.06	246.28	36.53	31.9	75.11	47.5
ZNF48	109.66	116.78	46.5	128.79	162.14	76.17	91.41	85.82	137.14	78.89	141.02	47.5	228.13	181.28	133.36
ZNF639	175.07	285.03	194.36	361.04	450.94	258.57	228.13	316.37	358.54	232.94	591.22	269.6	743.43	555.41	325.29
ZNF773	19.82	43.02	18.43	33.54	98.73	13.83	34.75	52.45	48.52	19.82	166.73	12.74	115.97	105.15	59.55
ZPLD1	0.0	0.0	0.0	0.43	1.55	0.0	0.0	0.0	0.0	0.0	0.68	0.0	1.73	1.73	0.79
ZSCAN4	0.22	1.01	1.39	2.12	5.19	0.51	1.06	2.23	0.96	0.91	5.19	0.0	2.81	3.96	2.25
