	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZQUD.0426.SM.57WFR	GTEX.S341.0526.SM.4AD5U	GTEX.ZYT6.1126.SM.5GZYR	TCGA.CZ.4854.01A.01R.1305.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.MP.A4SV.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.05.4434.01A.01R.1206.07	TCGA.IN.AB1X.01A.11R.A39E.31
DSC3	1.09164457E7	1.018540392E7	1819.35	1745.2	1883.54	3.17	0.0	0.36	0.72	2.1	0.0	0.33	3.29	305.55
DUOX1	74243.68	24153.43	2682.69	3491.39	4704.07	12.93	3.03	9.2	2.94	125.24	0.0	0.27	224.97	1745.2
ENDOU	20737.16	16727.26	2555.58	1844.76	1572.76	0.42	0.69	1.79	0.39	3.17	0.0	0.13	3.03	53.19
ENTPD3	954.43	1037.29	486.75	221.86	209.84	2.32	0.62	0.66	1.71	67.12	0.0	0.0	39.22	90.14
EPHA5	2.86	15.45	2.39	1.64	1.48	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.35	0.78
ESRP2	4607.24	3491.39	2485.67	2855.44	2555.58	142.01	87.03	140.04	295.11	1369.04	0.0	0.01	633.73	1051.79
FITM1	49.21	27.64	33.78	19.39	48.52	5.68	10.63	2.14	5.41	18.84	0.0	0.25	12.55	18.56
GALNTL6	10.47	120.94	9.63	2.1	1.28	0.79	0.0	0.69	0.36	0.57	0.0	0.0	2.05	5.11
GPT2	2451.44	728.11	2537.92	2502.97	2997.45	198.47	115.97	228.13	152.28	603.67	0.0	0.42	241.19	2434.5
GRHL1	20170.07	10659.59	2090.03	2664.15	3928.15	133.36	50.98	15.0	23.42	406.31	0.0	0.35	162.14	503.95
GTF3C1	5479.15	2915.45	3039.3	2591.27	3467.27	961.07	607.87	769.69	656.11	1508.65	0.0	0.8	848.22	1259.69
HEPHL1	13123.73	19348.38	20.71	223.41	83.45	0.79	0.0	0.68	0.71	3.63	0.0	0.22	1.6	9.56
HMGCR	4066.71	2287.2	1225.22	2271.4	1001.93	379.04	299.25	190.34	389.72	327.56	0.0	0.0	417.77	551.56
ID1	29531.18	15180.22	2701.35	17078.76	3794.3	2682.69	180.02	232.94	228.13	603.67	0.0	0.47	1407.55	3303.0
IL17RE	1233.75	1628.26	563.18	497.0	551.56	34.75	47.84	21.47	10.0	358.54	0.0	0.23	373.81	591.22
KCNK7	3039.3	813.63	195.72	271.48	273.37	10.88	11.91	10.16	2.89	22.26	0.0	0.46	13.32	40.07
KLF4	5594.3	31650.8	3690.52	3874.05	1896.65	285.03	376.41	295.11	283.05	193.01	0.0	0.53	412.0	718.08
KLK10	1364554.84	282912.21	5255.91	9215.48	7803.01	9.06	2.29	0.0	0.37	63.45	0.0	0.28	656.11	2520.38
KLK3	8.71	27.64	4.94	20.11	16.75	1.64	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.91
KRT1	992012.34	663619.99	251.48	49.56	1447.15	0.46	0.0	6.16	0.41	10.24	0.0	0.49	23.08	16.27
KRT23	96616.71	8305.36	775.05	258.57	256.78	1.2	0.99	1.39	7.06	10.79	0.0	0.39	27.84	115.16
KRT4	3.697379928E7	1656835.72	489177.0	307450.64	79572.48	1.31	1.08	1.89	0.0	35.5	0.0	0.0	108.14	11664.82
KRT40	15.68	20.56	8.99	3.47	12.93	0.0	0.0	0.0	0.0	1.2	0.0	0.0	3.08	0.23
KRT5	4.3607468381E8	8.2510357921E8	108699.57	132900.7	121448.75	4.58	0.39	18.16	7.4	102.97	0.0	0.8	4481.23	9740.98
KRT6A	2.01760973986E9	2.41604469791E9	89523.81	282912.21	49666.0	2.12	1.41	5.06	0.41	175.07	0.0	1.17	16611.71	17317.18
LIN7B	819.3	441.64	239.52	387.02	351.14	197.09	149.12	154.42	43.94	161.02	0.0	0.42	130.6	171.45
LL22NC03-75H12.2	3.92	169.07	27.44	49.56	36.79	2.39	0.0	0.0	0.0	20.11	0.0	0.0	17.0	10.71
LTB4R2	5183.54	5555.65	260.38	902.89	441.64	44.25	9.27	36.79	19.82	71.0	0.0	0.61	14.78	157.68
MAPK13	2777.33	1936.53	2319.15	3146.52	2193.99	642.59	473.41	476.71	884.29	2075.59	0.0	0.2	1167.14	1268.46
MRGPRX2	0.99	2.63	0.66	1.55	1.36	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.38	2.36
MT1X	19892.37	53973.86	21320.18	26248.46	18178.19	2400.97	5183.54	466.88	2555.58	2075.59	2148.82	4802.93	7695.57	6079.61
MUC21	1019901.63	311742.51	24832.5	22535.88	23330.64	0.43	0.0	0.0	0.0	2485.67	0.0	0.13	1037.29	2682.69
MXD1	22692.63	3742.05	3103.19	4328.55	7642.41	336.79	176.29	157.68	104.42	232.94	293.07	651.58	295.11	890.44
NOS1	309.83	583.07	13.83	16.03	35.25	1.95	0.0	0.68	0.69	1.81	0.0	0.0	1.11	0.74
NXN	1073.91	4543.8	599.49	470.14	583.07	215.77	42.41	50.63	348.71	928.3	0.0	0.56	723.08	289.02
PLA2G4B	1175.27	728.11	748.61	1407.55	1350.18	108.9	33.78	55.49	37.59	271.48	0.0	1.1	152.28	185.11
PLEKHH3	2915.45	1551.09	1242.34	1923.14	1923.14	273.37	175.07	351.14	194.36	808.0	0.0	0.57	567.1	583.07
PLEKHM1	5219.6	1001.93	1832.01	1857.6	3349.13	271.48	221.86	171.45	229.72	473.41	0.0	0.83	435.55	503.95
PLK5	11.04	113.56	5.96	2.56	13.12	0.82	0.0	0.72	0.0	0.47	0.0	0.13	3.53	1.93
PPP1R27	10.08	15.8	12.09	2.89	58.3	4.9	1.36	0.0	0.0	1.66	0.0	0.0	1.73	1.55
PSD4	1909.85	1111.82	718.08	947.83	1015.93	463.65	420.68	248.0	403.5	575.03	246.28	108.9	490.14	2032.85
PTK2B	1023.0	902.89	1250.98	830.75	878.17	384.34	271.48	212.78	397.93	529.06	0.0	0.82	738.29	842.36
PVRL1	36106.23	13776.25	2148.82	3235.01	2384.37	93.35	83.45	75.11	84.63	447.82	201.25	77.79	624.99	1051.79
RABGGTA	1191.69	1135.2	2061.24	3168.41	2367.9	713.11	423.61	228.13	366.09	954.43	0.0	0.67	688.78	595.34
RAD51AP2	5.96	14.78	2.53	3.92	4.13	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.47	3.96
RIMS4	1.83	361.04	12.93	4.78	6.41	0.39	0.0	0.35	0.71	0.92	0.0	0.04	29.48	1.33
RNASE7	5006.93	133825.1	1397.83	129.69	555.41	0.8	1.97	1.39	0.0	1.43	0.0	0.0	8.78	75.11
RNF39	20310.37	9474.59	466.88	830.75	1151.06	9.85	0.97	3.79	4.94	228.13	0.0	0.32	80.01	153.34
RP11-93B14.6	120.1	25.91	28.24	13.12	58.71	0.82	1.0	0.71	0.73	2.12	0.0	0.11	2.61	10.63
RPS6KB2	1991.0	1977.24	2004.85	2758.13	2193.99	743.43	642.59	463.65	669.92	1191.69	1359.57	579.04	872.1	1191.69
SCNN1B	23986.58	18560.17	3690.52	2367.9	2400.97	102.97	0.32	2.71	18.97	633.73	0.0	0.43	575.03	348.71
SDCBP2	44145.15	29124.6	2796.65	3540.14	3928.15	108.9	20.71	85.82	46.18	159.9	0.0	0.67	633.73	1583.71
SERAC1	241.19	125.24	199.85	182.55	215.77	71.5	42.71	52.08	53.19	101.54	0.0	0.48	87.03	127.0
SERPINB2	2691538.19	721179.07	3928.15	4903.87	1806.78	2.01	0.0	1.06	0.37	2.78	0.0	0.28	15.22	423.61
SLC16A11	271.48	825.0	162.14	55.1	84.63	6.78	1.01	9.7	1.46	30.56	0.0	0.0	47.5	14.14
SLC22A23	1437.15	802.41	660.68	651.58	1059.11	139.07	52.45	51.71	59.55	301.33	0.0	0.52	244.57	358.54
SLC27A6	1794.29	1313.23	46.5	28.24	82.87	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.66	2.89
SLC37A1	1111.82	1151.06	769.69	612.11	503.95	381.68	341.51	232.94	273.37	395.18	0.0	0.54	483.38	1073.91
SOX15	99333.0	5147.73	1225.22	2319.15	2271.4	8.06	9.85	17.38	6.46	46.5	0.0	0.69	329.84	195.72
SPRR2A	1.0677509839E8	2.356267404E7	27553.49	148488.36	76330.98	0.0	0.0	2.12	0.0	2.07	0.0	0.0	9.85	6935.54
SPRR2D	6.572778255E7	2.525384881E7	8022.41	36357.37	28525.2	0.0	0.0	0.0	0.0	151.22	0.0	0.0	10.0	1909.85
SREBF2	2573.36	2163.77	2468.49	2591.27	2090.03	493.56	738.29	470.14	486.75	1073.91	1096.5	279.14	902.89	1769.57
STARD5	629.35	607.87	454.09	470.14	543.96	129.69	59.55	85.22	104.42	186.4	0.0	0.8	175.07	215.77
STX19	1674.06	2434.5	229.72	181.28	181.28	0.0	1.58	0.0	0.34	43.02	0.0	0.04	37.05	166.73
SULT2B1	103551.29	54349.29	3564.78	5441.3	3443.31	61.68	55.89	6.52	11.21	100.83	0.0	0.27	299.25	389.72
SYTL1	12415.75	10808.41	3564.78	3540.14	4388.98	91.41	8.38	36.01	56.68	954.43	0.0	0.77	813.63	1242.34
TBX1	55.89	525.39	83.45	56.68	136.19	2.43	0.0	0.38	0.0	124.37	0.0	0.75	109.66	28.24
TEPP	43.02	42.71	20.11	22.43	35.5	2.81	0.0	0.37	0.74	6.21	0.0	0.22	3.72	6.46
TESK2	599.49	316.37	220.32	162.14	181.28	53.19	22.59	31.22	41.81	63.45	0.0	0.48	66.65	102.25
TMEM117	1051.79	1127.35	199.85	262.2	269.6	118.43	52.08	36.01	48.18	57.49	0.0	0.56	52.82	163.28
TMEM184A	9344.14	4937.99	2335.28	3190.46	3794.3	316.37	137.14	65.26	187.71	825.0	0.0	0.58	269.6	607.87
TNNT3	185.11	872.1	115.16	17.9	493.56	5.73	0.0	1.11	2.94	10.96	0.0	0.48	27.05	18.7
TP63	3290783.22	3313672.43	1477.58	1519.15	1594.73	4.31	0.65	2.41	2.46	79.45	0.0	0.3	115.97	175.07
TRAK1	1350.18	1467.37	921.88	612.11	884.29	237.86	275.28	189.02	255.0	490.14	218.79	94.67	389.72	1051.79
TSKS	9.34	43.94	21.32	11.21	18.03	4.43	0.0	0.72	3.23	7.57	0.0	0.16	4.39	3.76
VSNL1	649962.87	122293.5	954.43	1208.34	1143.1	3.11	1.91	0.0	1.04	43.32	0.0	0.51	33.78	343.89
WNT10B	295.11	37.85	49.56	43.63	76.71	6.89	0.36	1.43	1.83	23.76	0.0	0.61	20.41	13.42
ZBTB7C	14262.1	13872.08	1709.26	1199.98	693.58	105.89	13.32	6.26	13.42	31.9	0.0	0.39	88.88	166.73
ZSWIM8	3257.52	3039.3	2895.31	3768.09	4769.75	2018.8	884.29	967.76	1605.83	1697.45	674.59	842.36	1350.18	1697.45
