	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.4694.01A.01R.1277.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.GK.A6C7.01A.11R.A33J.07	TCGA.CZ.5453.01A.01R.1503.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CW.6097.01A.11R.1672.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	GTEX.12WSD.0826.SM.5GCNE	GTEX.13QJC.0826.SM.5RQKC
CXCL13	11035.54	31.0	65.26	3639.7	796.86	13.83	231.32	21.32	8.25	0.0	2367.9	769.69	0.0	0.41	1030.12	32767.0
CXCR6	435.55	43.94	33.78	543.96	426.57	48.87	127.89	90.77	38.67	4.74	341.51	189.02	12.09	29.06	1340.84	579.04
DAPP1	902.89	72.01	24.46	180.02	115.16	29.7	69.03	54.72	25.72	20.11	78.89	201.25	2.56	6.84	470.14	397.93
DEF6	2209.26	224.97	45.53	571.05	332.14	97.36	323.03	260.38	152.28	45.85	260.38	420.68	37.05	56.28	1427.22	1397.83
DTHD1	80.57	5.87	1.64	80.57	32.82	2.46	12.36	6.57	3.92	0.74	22.1	24.28	0.0	1.17	224.97	76.17
EDARADD	127.89	178.77	1.95	48.18	47.17	4.5	13.62	21.32	7.06	3.96	30.56	35.0	0.74	1.16	97.36	88.88
EPS8L1	551.56	376.41	80.57	591.22	612.11	64.8	191.67	108.14	29.91	21.47	551.56	92.7	209.84	26.47	1096.5	1540.37
EVI2B	4704.07	341.51	187.71	1119.56	1127.35	379.04	521.76	376.41	220.32	187.71	642.59	1304.15	77.79	81.14	947.83	3235.01
FCRL3	988.12	20.71	1.33	162.14	122.64	8.13	27.84	13.93	19.25	3.69	30.34	108.9	0.39	0.4	138.1	642.59
FGD3	1208.34	38.67	42.11	239.52	180.02	54.72	120.94	96.01	102.97	41.81	148.09	214.27	38.67	32.82	896.64	791.35
FMNL1	3060.45	209.84	125.24	1104.13	559.28	218.79	1073.91	547.75	387.02	149.12	540.19	842.36	60.82	121.79	2178.83	1427.22
FOXP3	713.11	3.03	5.54	151.22	166.73	9.78	52.82	54.72	19.39	3.29	83.45	157.68	1.85	6.89	189.02	94.67
GATA3	1639.59	860.08	17.9	108.9	82.29	29.91	59.97	35.0	33.06	2.94	72.01	72.52	1.5	3.5	185.11	166.73
GBP5	1340.84	426.57	108.9	1277.29	1225.22	111.21	669.92	215.77	161.02	28.04	1073.91	775.05	8.58	31.67	4095.0	559.28
GFI1	183.82	32.36	5.28	137.14	60.82	16.88	47.17	25.91	19.25	2.94	62.56	57.49	0.39	3.89	299.25	162.14
GPR174	460.44	37.85	12.0	283.05	72.01	12.18	49.91	24.99	13.93	0.38	63.45	120.1	1.11	2.71	123.5	249.73
GPSM3	4836.35	147.06	244.57	1143.1	1508.65	466.88	974.5	902.89	638.15	285.03	941.27	1397.83	123.5	159.9	2434.5	1651.0
GRAP2	486.75	68.07	12.74	162.14	70.51	29.06	62.12	55.89	68.07	11.3	98.73	96.01	2.2	10.79	612.11	229.72
GZMK	4639.29	406.31	84.63	2271.4	1757.34	152.28	688.78	312.0	107.38	5.41	429.54	1008.9	13.72	46.18	2004.85	2061.24
HLA-DOB	2855.44	18.16	28.04	170.25	220.32	40.07	159.9	50.27	47.17	2.61	65.26	285.03	39.22	10.88	575.03	660.68
IGLL5	2287.2	108.14	8.85	4450.27	2303.12	67.59	177.53	135.24	125.24	36.01	1594.73	1794.29	19.11	1.95	1208.34	8598.28
IKZF1	1883.54	195.72	53.95	392.44	281.09	108.9	171.45	131.51	92.7	38.95	232.94	463.65	13.22	23.42	1397.83	1199.98
IL12RB1	450.94	49.21	38.4	265.87	220.32	49.56	136.19	70.01	69.52	30.78	132.44	208.38	8.13	13.12	1331.57	135.24
IL2RG	10440.2	376.41	155.5	3168.41	1857.6	341.51	836.53	599.49	441.64	113.56	1407.55	2004.85	50.63	88.88	10154.69	4450.27
ITGAL	2701.35	460.44	112.77	1167.14	738.29	214.27	361.04	295.11	346.29	94.01	412.0	775.05	22.59	54.72	4181.07	808.0
ITK	1159.07	96.68	18.03	205.5	129.69	43.02	83.45	65.26	47.5	10.24	136.19	234.57	2.23	15.11	1143.1	819.3
KIAA0226L	698.41	173.85	23.76	79.45	116.78	8.85	59.55	78.34	25.91	14.03	67.59	120.1	9.34	5.5	86.43	279.14
KLK1	173.85	5.19	1.0	34.26	21.32	0.72	6.36	5.82	0.0	0.0	6.11	7.22	0.0	1.55	17.25	688.78
KLRG1	395.18	70.01	65.26	161.02	169.07	98.04	70.51	49.56	55.1	49.91	69.52	149.12	13.83	19.11	432.53	151.22
LCK	2816.11	460.44	57.49	988.12	599.49	111.99	366.09	223.41	185.11	37.32	540.19	612.11	10.96	36.27	1151.06	1519.15
LIMD2	8247.98	114.36	118.43	1242.34	854.13	348.71	1096.5	974.5	532.74	224.97	813.63	1225.22	57.89	109.66	2319.15	2148.82
LPXN	2555.58	941.27	269.6	1104.13	1015.93	279.14	728.11	444.72	327.56	224.97	547.75	1037.29	161.02	169.07	2367.9	759.08
LTA	400.71	15.91	8.25	108.9	47.84	6.01	35.5	29.91	8.85	2.23	32.82	71.5	1.13	2.34	50.27	31.0
LY9	1467.37	11.73	17.9	79.45	186.4	28.04	60.39	43.94	30.56	7.63	119.26	214.27	7.34	9.27	351.14	718.08
MAP4K1	2468.49	65.72	76.17	656.11	384.34	82.87	182.55	206.94	114.36	19.53	450.94	379.04	23.76	39.22	1883.54	1794.29
MEI1	896.64	88.88	24.46	307.69	283.05	52.82	195.72	65.26	32.82	12.64	138.1	260.38	10.47	20.26	1143.1	2520.38
MKX	13.42	1508.65	0.99	14.03	11.38	0.71	7.0	10.08	0.66	0.73	6.41	16.75	2.92	1.93	13.52	18.43
NCF1	2163.77	15.8	76.17	703.28	624.99	105.15	193.01	151.22	142.01	64.34	269.6	555.41	87.65	38.67	1369.04	921.88
NELL2	1030.12	36.53	10.39	150.17	108.9	10.79	73.03	27.64	10.0	2.18	96.01	183.82	8.06	6.89	1331.57	1583.71
NINJ2	460.44	325.29	33.54	139.07	237.86	72.01	114.36	93.35	61.68	41.52	134.3	205.5	22.92	17.51	579.04	84.04
OMG	38.95	409.15	3.0	15.22	21.94	2.14	9.63	14.24	3.29	1.87	26.67	16.75	0.77	12.74	2956.17	36.27
PARVG	3081.75	166.73	137.14	1096.5	802.41	133.36	567.1	409.15	260.38	113.56	470.14	579.04	88.88	85.22	2976.74	1896.65
PCED1B	988.12	234.57	61.68	363.56	314.17	95.34	198.47	189.02	121.79	64.34	283.05	303.44	29.27	20.41	674.59	305.55
PIK3CD	1295.13	176.29	103.69	356.05	287.01	127.89	297.17	269.6	164.42	111.99	209.84	366.09	76.71	55.1	444.72	624.99
PLXNC1	376.41	490.14	197.09	293.07	279.14	88.88	172.65	131.51	128.79	67.12	171.45	358.54	65.26	98.04	267.73	341.51
POU2AF1	1950.0	9.56	1.31	346.29	102.97	8.71	16.27	36.79	6.84	1.1	96.01	346.29	0.74	0.0	387.02	1340.84
PSTPIP2	193.01	348.71	28.45	140.04	195.72	52.82	125.24	108.14	102.25	39.79	104.42	121.79	26.1	49.91	371.22	121.79
PTPN22	454.09	88.88	16.39	195.72	108.9	18.97	57.89	50.98	24.11	9.2	117.6	120.1	5.96	11.21	629.35	234.57
PTPN6	7911.95	366.09	595.34	2335.28	1572.76	629.35	1104.13	1104.13	890.44	896.64	974.5	1617.0	703.28	738.29	3235.01	1857.6
PTPN7	1437.15	120.1	45.53	866.07	289.02	49.91	204.07	146.03	85.22	24.63	297.17	358.54	12.45	27.05	1015.93	848.22
PTPRC	6561.36	435.55	269.6	1819.35	1199.98	392.44	669.92	551.56	406.31	175.07	934.76	2193.99	37.85	113.56	3443.31	2935.74
PTPRCAP	5329.3	11.38	74.58	1001.93	1066.48	217.27	514.56	358.54	297.17	98.73	995.0	830.75	56.28	63.0	2895.31	1745.2
PVRIG	1008.9	107.38	16.27	275.28	209.84	37.85	96.01	94.67	64.34	23.08	125.24	181.28	0.0	8.25	493.56	256.78
RAC2	11112.3	343.89	173.85	2451.44	2224.63	441.64	2319.15	796.86	733.19	226.54	1950.0	1991.0	98.04	231.32	3395.89	3124.78
RGS1	9088.59	139.07	902.89	5594.3	3564.78	1295.13	3665.02	2915.45	1781.89	775.05	1487.87	6471.02	314.17	1388.16	15715.58	23169.48
RHOH	2645.74	97.36	40.64	460.44	432.53	76.17	223.41	194.36	98.04	26.47	248.0	480.04	6.94	15.34	1447.15	1697.45
SEPT1	1991.0	1.598261246E7	0.0	395.18	244.57	0.0	133.36	71.5	0.0	0.0	149.12	301.33	0.0	0.0	4736.79	2.669377385E7
SEPT6	5872.48	647.07	289.02	1008.9	836.53	343.89	688.78	466.88	435.55	110.43	1008.9	836.53	164.42	182.55	2032.85	1304.15
SH2D1A	1119.56	108.9	14.78	323.03	237.86	15.22	95.34	46.18	39.22	6.84	221.86	193.01	1.08	9.85	417.77	273.37
SH3BP1	981.29	143.01	84.63	718.08	320.8	107.38	277.2	185.11	150.17	58.71	343.89	371.22	28.86	45.85	941.27	480.04
SIT1	1628.26	14.45	21.78	426.57	417.77	56.68	162.14	100.83	69.52	3.63	253.23	281.09	10.55	9.56	406.31	660.68
SLAMF1	775.05	89.51	11.47	81.14	66.65	20.86	42.71	36.27	20.86	2.94	71.5	119.26	2.58	5.02	248.0	271.48
SLAMF6	1844.76	29.06	24.28	397.93	291.04	74.06	115.16	81.14	45.53	12.36	271.48	305.55	6.94	13.03	656.11	2720.15
SLAMF7	1397.83	47.17	66.65	1286.18	819.3	66.18	244.57	107.38	131.51	43.94	669.92	633.73	24.63	14.45	1594.73	780.44
SPN	928.3	204.07	37.85	511.0	314.17	140.04	173.85	180.02	186.4	69.03	189.02	406.31	23.08	30.34	1991.0	414.87
ST8SIA1	802.41	323.03	18.84	137.14	70.51	21.94	114.36	84.63	26.86	3.63	78.89	98.04	5.5	4.58	223.41	253.23
STK17B	2047.0	890.44	83.45	514.56	403.5	358.54	341.51	397.93	162.14	78.89	351.14	616.37	25.91	36.01	2018.8	854.13
TBC1D10C	3190.46	163.28	39.5	567.1	323.03	92.7	291.04	212.78	183.82	41.52	343.89	371.22	25.35	22.26	2351.53	1427.22
TESPA1	1151.06	50.27	11.47	206.94	135.24	28.45	102.97	63.0	38.4	12.83	97.36	180.02	8.13	9.27	327.56	307.69
THEMIS	255.0	186.4	8.71	178.77	102.25	21.32	47.84	28.86	14.67	1.45	62.12	116.78	0.73	5.68	361.04	93.35
TLR6	212.78	150.17	23.25	55.89	55.49	16.51	43.32	34.51	13.32	5.5	53.95	68.55	5.87	3.47	59.55	76.71
TMEM156	961.07	11.64	5.59	92.05	76.17	23.59	72.52	25.91	14.03	25.17	42.71	130.6	6.26	7.34	175.07	256.78
TNFSF13B	567.1	1135.2	147.06	551.56	665.29	74.06	543.96	353.59	56.28	35.76	651.58	514.56	18.7	33.54	791.35	70.51
TRAF1	1008.9	107.38	96.01	327.56	182.55	58.71	275.28	147.06	148.09	86.43	150.17	249.73	27.44	40.07	540.19	409.15
TRAF3IP3	5292.48	281.09	81.71	775.05	441.64	132.44	397.93	258.57	176.29	59.13	348.71	587.13	61.25	73.54	961.07	2627.46
TRAT1	808.0	75.64	10.08	145.02	120.94	13.52	60.39	37.85	18.7	2.56	102.97	120.94	0.0	3.82	507.46	171.45
TTC39C	928.3	503.95	132.44	208.38	341.51	108.9	221.86	177.53	57.89	16.63	366.09	269.6	113.56	105.89	518.15	392.44
UBASH3A	409.15	13.93	10.16	173.85	99.43	9.13	57.49	26.47	22.75	4.39	88.26	96.01	0.74	4.24	316.37	341.51
UNC13D	981.29	217.27	81.14	409.15	218.79	63.45	236.21	153.34	156.59	45.21	197.09	289.02	39.22	34.75	1037.29	571.05
WAS	2384.37	48.52	132.44	759.08	743.43	197.09	435.55	291.04	237.86	102.25	476.71	718.08	55.49	96.01	1369.04	1359.57
WIPF1	4481.23	1369.04	679.29	1806.78	1519.15	866.07	1175.27	1674.06	679.29	633.73	941.27	1963.57	164.42	353.59	2319.15	1950.0
ZNF101	1135.2	214.27	140.04	279.14	211.31	201.25	199.85	163.28	182.55	112.77	197.09	285.03	87.65	65.26	329.84	297.17
ZNF831	163.28	37.32	1.64	32.59	19.97	3.86	9.2	8.32	8.45	1.1	20.56	35.76	0.38	0.78	62.12	176.29
