	GTEX.YJ8O.1426.SM.5PNV9	GTEX.ZYT6.2826.SM.5GICX	GTEX.12KS4.2326.SM.5EGJB	GTEX.ZVT3.2826.SM.5GU6A	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.11PRG.2026.SM.5GU5F	GTEX.12WSD.2626.SM.5EGJE	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.13X6K.2726.SM.5O9DG	GTEX.Y9LG.1326.SM.4VBQB	GTEX.14A5I.2426.SM.5Q5CP	GTEX.13N2G.2226.SM.5IJCU	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07
HRH3	2.23	0.99	2.73	1.03	6.11	1.43	1.89	3.69	2.27	0.04	0.53	2.43	0.74	0.37	0.0	0.6	0.6	0.25	0.0	0.0	0.57	0.22	0.0	0.0	0.0	0.0	0.0	0.0
IL17B	32.13	88.88	61.25	71.0	54.33	29.7	53.57	94.67	72.01	37.59	24.28	61.68	39.79	2.27	4.9	0.0	2.34	0.0	0.0	0.0	0.0	2.73	4.5	0.0	0.0	0.0	0.0	0.0
IQSEC3	38.4	53.95	37.85	69.03	114.36	80.57	68.07	108.14	140.04	138.1	21.47	63.0	46.84	5.41	0.48	59.97	5.36	19.68	2.36	16.63	33.06	19.82	18.56	33.78	0.03	42.11	9.48	0.0
JPH3	28.24	18.7	33.3	26.1	47.84	18.16	38.67	35.5	44.89	20.56	8.13	29.7	9.2	0.52	0.46	0.28	3.44	0.79	0.0	1.04	1.62	1.62	0.84	0.25	2.18	1.1	0.29	0.0
JPH4	56.28	29.7	61.25	45.21	80.57	24.11	60.82	62.12	65.72	45.21	16.03	53.95	14.56	0.51	0.45	7.69	3.06	4.78	2.29	2.73	2.25	21.78	7.11	2.32	3.63	4.13	5.41	0.0
KCNIP1	21.63	16.88	25.35	16.88	15.8	19.25	16.03	23.76	26.86	15.56	13.83	12.74	15.22	0.0	0.0	4.17	2.39	5.28	9.56	0.0	2.29	2.29	1.95	4.9	1.55	4.7	0.0	0.0
LHFPL3	20.56	5.28	9.85	8.06	14.89	2.73	10.47	13.32	20.86	14.03	3.86	10.24	7.28	0.0	0.0	3.86	0.38	1.41	0.0	4.74	3.56	1.22	1.79	8.71	0.0	8.32	0.0	0.0
LRRC3B	22.75	25.17	8.38	10.55	44.25	7.88	13.03	15.22	57.89	9.27	2.63	16.51	7.94	0.0	0.0	9.78	0.0	0.0	1.45	0.0	0.0	7.28	3.06	0.0	0.93	3.63	0.0	0.0
LRRC4B	85.22	71.0	76.17	55.49	113.56	71.0	115.97	84.04	148.09	78.34	15.91	73.03	27.64	0.6	4.54	10.39	18.84	13.62	10.55	21.63	7.57	49.91	26.67	15.22	23.93	17.64	11.73	0.0
LRRC4C	52.82	55.49	72.52	48.18	67.12	36.27	59.55	51.71	78.89	41.22	8.92	44.89	34.51	0.51	0.45	8.92	14.78	18.7	3.44	6.46	31.0	36.27	17.9	4.82	38.4	8.19	22.1	0.0
LTK	164.42	99.43	189.02	285.03	237.86	69.03	191.67	110.43	194.36	120.1	36.01	156.59	73.54	1.57	0.62	4.54	41.81	80.57	66.65	6.73	27.64	26.86	32.82	56.28	44.57	189.02	19.25	0.0
MMD2	4.58	4.82	4.31	5.23	5.32	4.21	6.41	7.51	4.78	3.69	1.1	3.66	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MOG	10.63	2.63	4.31	5.02	10.55	2.41	9.2	7.28	6.84	4.43	4.21	4.9	8.58	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	4.13	0.0	2.48	0.58	0.0	0.0	0.0
MYT1	10.08	5.19	13.52	7.06	16.27	4.13	13.83	4.13	4.58	2.56	1.22	6.57	0.13	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.75	0.22	0.0	0.23	0.51	0.0	0.83	0.0
NLGN3	110.43	81.71	91.41	77.25	128.79	79.45	103.69	76.71	124.37	92.05	25.35	80.01	83.45	3.0	0.51	6.31	2.05	5.23	4.54	0.0	6.21	3.29	3.0	8.45	6.94	5.19	7.0	0.0
NRSN1	53.57	26.1	45.85	43.63	56.28	15.56	41.52	43.63	40.93	34.75	8.38	33.54	15.22	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	4.86	0.19	0.19	0.0	0.0	0.0
NRXN1	620.67	397.93	384.34	312.0	525.39	470.14	511.0	395.18	521.76	438.59	41.22	173.85	253.23	0.0	0.0	11.04	5.02	3.89	1.58	0.44	1.57	6.31	2.53	8.45	4.9	3.2	6.73	0.0
NSG2	265.87	149.12	281.09	281.09	483.38	97.36	336.79	363.56	473.41	170.25	64.34	297.17	56.68	0.0	0.43	3.86	2.63	5.73	1.79	6.73	3.23	1.58	1.81	3.69	6.21	2.25	1.38	0.0
PCSK2	356.05	180.02	182.55	232.94	441.64	80.57	647.07	503.95	185.11	138.1	58.3	82.29	258.57	0.0	0.45	15.22	2.68	1.28	1.77	0.53	1.16	6.36	2.2	3.69	3.44	6.06	0.6	0.0
PHYHIPL	208.38	31.9	78.34	47.5	246.28	205.5	132.44	119.26	115.97	217.27	36.79	150.17	76.17	1.89	6.41	14.14	17.0	156.59	8.38	21.01	29.27	17.0	13.32	8.51	68.07	8.38	28.24	0.0
PLP1	4038.61	2777.33	2485.67	1909.85	3901.01	3515.68	3540.14	2400.97	3395.89	2720.15	521.76	1991.0	1991.0	9.06	0.0	12.09	10.31	4.74	2.05	3.0	10.55	47.17	13.62	10.71	7.11	6.62	0.0	0.0
PMP2	40.93	72.52	34.26	58.3	54.72	35.0	77.79	55.49	42.71	31.0	10.16	21.78	36.53	0.89	0.0	2.53	1.41	2.05	1.64	1.03	1.62	8.45	2.48	2.18	2.43	1.06	0.85	0.0
PNMA2	55.1	21.16	75.11	43.94	82.87	48.52	63.45	73.03	105.15	43.94	13.83	57.08	34.51	1.31	1.87	0.72	4.31	3.92	4.78	6.57	5.45	11.55	9.63	10.88	24.81	7.69	7.82	52.45
PSD2	4.62	4.86	6.84	5.06	7.34	5.23	11.04	10.08	6.41	3.23	2.23	2.03	3.29	0.0	0.0	0.71	5.15	0.0	0.09	2.01	0.36	0.93	2.46	1.25	1.25	1.48	0.12	0.0
PTPRN2	476.71	273.37	376.41	267.73	995.0	289.02	624.99	511.0	947.83	403.5	38.12	262.2	120.1	3.29	5.59	20.41	20.11	31.9	8.99	35.0	33.54	69.03	56.68	28.24	56.28	51.71	21.94	0.0
RGL1	363.56	289.02	343.89	320.8	417.77	312.0	429.54	432.53	507.46	279.14	185.11	318.57	256.78	44.89	37.85	28.24	90.14	48.18	53.57	27.84	117.6	139.07	130.6	142.01	130.6	143.01	71.5	0.0
RIT2	14.14	2.27	6.26	7.11	8.65	4.82	8.99	10.08	15.56	7.94	1.2	6.84	4.31	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0	2.18	0.0	1.58	1.25	0.0	0.0	0.0
RPH3A	15.34	3.79	7.06	4.54	18.7	1.64	10.0	17.13	13.32	5.77	4.17	6.94	12.55	0.0	0.0	0.0	0.41	0.0	0.4	0.0	1.5	1.5	2.73	1.16	0.0	0.77	0.42	0.0
RTN1	547.75	236.21	563.18	395.18	890.44	211.31	674.59	638.15	947.83	438.59	108.9	525.39	163.28	15.0	59.13	10.39	194.36	27.84	4.24	9.85	3.59	103.69	12.18	30.34	161.02	11.73	11.47	0.0
RUNX1T1	164.42	89.51	132.44	120.94	173.85	114.36	193.01	141.02	178.77	136.19	92.7	108.14	105.89	4.62	0.62	5.96	16.88	4.5	11.91	2.68	11.13	27.25	27.25	15.0	45.21	15.45	11.3	0.0
SCG3	122.64	45.21	123.5	84.04	190.34	61.25	151.22	111.99	163.28	86.43	22.26	105.15	13.03	0.0	0.3	0.0	1.71	0.0	0.79	0.0	0.0	4.82	0.0	0.0	2.63	0.75	0.14	0.0
SCGN	571.05	307.69	1151.06	743.43	1208.34	497.0	684.02	1051.79	2796.65	466.88	264.03	785.88	208.38	0.0	0.0	104.42	106.63	17.0	7.4	27.64	3.41	46.84	123.5	11.47	100.13	106.63	30.34	0.0
SCN11A	25.17	12.09	28.65	17.38	31.45	8.65	30.12	19.82	31.67	20.86	6.94	18.7	7.34	0.0	0.0	4.7	7.11	6.01	2.2	3.76	3.06	7.11	1.07	3.41	6.46	4.66	7.82	0.0
SCRT1	3.11	2.07	3.17	2.71	4.66	0.92	2.34	4.17	1.81	1.97	1.16	3.29	3.86	0.0	0.0	0.12	0.45	0.13	0.0	0.0	1.07	0.75	0.88	0.11	0.77	0.41	0.47	0.0
SEZ6	49.21	41.22	44.25	19.68	80.01	15.45	36.53	30.34	60.82	35.0	6.52	48.18	11.21	0.0	0.0	0.0	8.13	0.0	0.0	0.0	47.17	13.32	4.39	0.0	6.11	0.0	8.45	0.0
SEZ6L	25.91	11.13	30.12	23.59	31.67	9.2	22.43	24.28	32.59	13.12	3.14	24.63	4.28	0.0	0.0	1.85	1.83	0.0	0.92	0.0	1.75	2.68	4.82	0.92	1.79	13.03	0.0	0.0
SH3GL2	52.45	22.59	34.26	14.45	49.21	13.03	39.5	47.17	29.7	17.9	1.85	23.25	9.78	0.0	1.06	0.89	2.43	0.0	0.84	0.0	0.14	4.28	3.47	0.0	4.82	2.25	0.55	0.0
SLC35F1	88.26	91.41	75.64	78.89	91.41	74.58	92.7	73.03	123.5	81.14	19.97	80.01	75.11	0.58	0.53	0.0	0.0	0.25	0.21	0.0	0.0	2.2	0.0	1.71	1.71	1.14	0.24	0.0
SLC7A14	17.9	11.21	20.11	15.56	21.94	7.46	19.39	16.03	26.1	12.0	5.23	14.03	4.39	0.0	0.0	0.0	0.75	0.82	0.72	0.66	0.0	0.0	0.53	0.72	0.72	0.68	0.0	0.0
SLIT1	22.59	7.34	15.11	11.38	22.75	6.46	21.01	12.18	20.86	15.8	3.89	14.45	14.67	0.0	0.38	0.0	2.81	0.83	0.74	0.0	0.07	2.34	0.58	2.73	1.41	8.25	2.18	0.0
SLITRK2	21.78	29.91	20.56	21.94	21.94	18.43	28.04	20.41	29.27	18.29	4.54	17.25	20.86	0.6	1.3	0.72	0.39	0.75	0.0	0.64	0.67	1.83	0.79	1.87	1.87	0.36	0.41	0.0
SMIM18	5.41	3.66	7.22	2.53	6.31	0.91	2.73	3.5	6.46	0.96	1.85	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	1.03	0.0	0.0
SMPD3	244.57	190.34	246.28	285.03	281.09	195.72	264.03	287.01	194.36	264.03	124.37	265.87	229.72	2.25	0.91	18.84	88.88	20.56	15.34	8.25	6.57	52.82	43.02	32.59	36.79	30.34	29.48	0.0
SOX8	162.14	129.69	140.04	262.2	353.59	118.43	212.78	146.03	339.14	163.28	25.91	199.85	215.77	1.17	1.06	3.79	2.32	3.99	0.0	0.49	18.16	7.57	2.84	0.19	4.1	1.3	0.0	0.0
SPINK13	5.06	14.45	13.12	5.77	7.94	2.71	8.0	1.85	2.14	1.62	10.79	19.11	14.35	0.4	0.0	116.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SVOP	35.25	49.91	119.26	23.08	59.13	12.09	110.43	31.22	88.88	25.72	7.17	22.43	9.56	0.0	0.0	0.0	0.87	0.0	0.21	0.18	1.48	1.48	3.11	0.21	0.83	0.2	5.28	0.0
SYP	423.61	139.07	521.76	353.59	612.11	127.0	503.95	457.25	733.19	320.8	57.49	253.23	88.26	1.01	2.36	15.8	11.55	10.24	2.12	25.17	12.0	34.75	9.41	9.56	25.91	16.27	1.25	0.0
SYT4	47.5	27.44	49.91	38.12	89.51	11.64	63.45	56.28	80.01	35.0	11.73	43.63	6.57	0.0	0.0	0.64	1.0	0.0	0.0	0.22	0.23	0.59	0.18	0.61	2.05	0.0	1.41	0.0
SYT6	8.19	6.73	11.91	3.99	10.96	2.89	10.47	6.78	10.16	10.63	5.06	11.91	2.29	0.84	0.74	1.5	0.0	0.43	0.0	2.92	1.41	3.06	0.0	0.39	1.45	0.87	1.51	0.0
TCEAL7	543.96	559.28	373.81	503.95	607.87	511.0	775.05	579.04	587.13	381.68	242.88	395.18	291.04	13.62	10.55	13.83	61.68	27.64	27.64	27.44	69.52	47.17	35.76	35.76	82.87	34.26	20.11	0.0
TCF21	708.18	669.92	320.8	435.55	791.35	470.14	759.08	563.18	1883.54	291.04	102.25	733.19	265.87	0.0	0.0	26.86	54.33	43.32	34.26	20.41	57.89	114.36	59.55	20.56	90.14	82.87	70.01	0.0
TMEFF2	34.75	27.25	24.11	22.59	53.95	14.89	32.82	38.95	49.21	12.36	7.4	17.64	14.35	0.0	0.0	2.86	8.13	0.72	1.19	0.0	0.0	3.72	0.0	0.0	1.2	0.66	6.16	0.0
TMEM100	341.51	514.56	638.15	346.29	559.28	825.0	555.41	848.22	2796.65	470.14	341.51	743.43	603.67	7.06	0.0	10.96	26.1	10.63	71.5	14.89	277.2	14.03	127.0	260.38	169.07	194.36	3.17	0.0
TMEM179	89.51	48.87	78.34	81.71	163.28	40.07	129.69	98.04	156.59	46.18	26.47	88.26	46.18	0.0	0.0	0.0	2.78	4.35	0.0	0.0	4.43	0.0	11.64	10.63	33.54	63.89	5.63	0.0
TMEM257	2.53	3.0	1.01	2.39	2.18	2.03	0.91	2.2	2.92	0.84	0.99	1.16	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM71	483.38	536.45	423.61	490.14	567.1	180.02	802.41	571.05	599.49	265.87	36.01	293.07	323.03	7.46	11.3	16.15	16.75	27.84	18.7	30.56	62.56	68.07	48.52	100.83	81.14	48.18	27.05	0.0
TRPM5	5.54	4.78	6.26	0.0	12.27	10.08	2.76	2.73	6.31	6.89	2.68	4.17	2.66	0.0	0.0	0.0	0.59	0.64	0.0	0.0	0.55	0.0	1.28	0.56	1.69	0.0	1.81	0.0
TTC9B	43.94	12.64	29.27	21.32	48.18	13.03	44.89	26.47	45.53	14.89	10.71	19.82	12.83	0.88	0.79	1.1	1.97	0.16	0.0	0.0	2.71	2.43	0.85	1.06	0.13	0.13	3.72	0.0
UNC79	8.45	1.81	7.82	5.68	8.99	3.47	7.94	6.01	7.17	4.94	4.06	8.13	3.35	1.13	0.0	0.54	2.86	2.51	1.83	0.87	0.09	2.25	0.03	0.93	0.95	0.08	0.55	0.0
VIP	3742.05	1477.58	2193.99	5006.93	9025.81	915.51	4066.71	7911.95	18819.27	688.78	381.68	2956.17	909.17	0.0	0.43	3.47	3.06	3.44	5.28	2.23	4.13	6.11	7.17	6.94	5.32	29.06	4.1	0.0
VIPR2	108.14	164.42	231.32	104.42	96.01	239.52	155.5	139.07	136.19	81.14	135.24	220.32	155.5	6.36	0.67	10.79	1.31	7.57	1.25	44.89	3.63	12.18	0.95	10.88	5.54	6.67	5.41	0.0
VSTM2A	66.18	27.05	68.55	24.99	98.04	25.54	87.03	44.57	105.15	85.22	15.11	33.06	14.78	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.21	0.27	0.0	0.0	0.0	0.0
VSTM2B	17.25	7.57	8.71	6.52	17.25	8.58	24.46	17.9	16.39	8.25	3.86	23.25	9.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XKR7	2.66	0.16	0.89	1.68	9.85	0.79	1.89	2.78	5.15	0.87	0.17	4.98	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZDHHC22	18.29	13.03	21.32	16.03	19.68	9.48	18.84	15.56	23.08	11.13	4.98	15.45	7.06	0.0	0.0	0.0	0.88	0.39	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0
