	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CJ.4882.01A.02R.1426.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.43.7658.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.A489.01A.11R.A24K.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.MX.A663.01A.11R.A31P.31	TCGA.RD.A8N6.01A.11R.A36D.31	GTEX.14BMV.2226.SM.5RQHX	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A56S.01A.11R.A28V.07
AVPR1B	4.21	10.71	0.01	11.55	0.0	0.0	1.07	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	4.03	8.65	1.68	7.0	0.85	1.48	3.69	1.22	1.91
B3GNT9	87.65	299.25	152.28	389.72	10.31	29.27	47.84	20.71	19.53	119.26	54.33	17.51	16.88	41.52	35.25	55.89	21.16	63.45	72.52	45.85	38.95	15.45	96.68	60.39	81.14	46.5	0.0	208.38	447.82	209.84	228.13	236.21	249.73	172.65	473.41	258.57	269.6
BRSK2	140.04	507.46	12.36	12.36	0.97	1.01	1.39	0.37	0.0	3.69	8.45	1.31	0.0	17.25	0.37	10.79	8.85	9.41	19.68	1.69	2.84	0.59	3.69	2.71	7.94	0.0	0.0	175.07	17.9	400.71	59.55	60.82	115.97	239.52	116.78	73.03	134.3
BTN2A1	384.34	629.35	679.29	563.18	312.0	112.77	151.22	108.14	96.68	193.01	120.1	162.14	88.88	112.77	127.89	262.2	110.43	198.47	177.53	251.48	143.01	105.89	231.32	194.36	144.01	106.63	0.0	267.73	265.87	395.18	447.82	426.57	289.02	397.93	521.76	435.55	547.75
C1orf145	91.41	48.87	43.63	24.63	0.0	0.0	2.94	0.0	8.25	13.32	3.32	7.51	1.58	0.33	1.33	20.71	0.0	3.26	6.78	0.0	4.1	4.1	7.88	3.53	8.32	1.75	0.0	94.01	24.81	42.11	23.08	23.59	16.75	32.59	13.72	106.63	85.82
C6ORF165	13.52	31.22	29.48	15.91	0.89	0.0	0.0	0.01	2.68	0.48	0.43	0.02	0.0	3.11	3.89	3.76	3.29	0.37	1.3	1.95	0.43	0.77	1.17	1.53	0.0	8.65	0.0	14.45	11.82	20.11	11.13	29.7	6.36	8.85	3.17	18.84	29.91
CCDC115	909.17	915.51	915.51	961.07	555.41	258.57	406.31	698.41	603.67	426.57	723.08	441.64	429.54	412.0	651.58	607.87	521.76	603.67	559.28	555.41	432.53	281.09	660.68	327.56	525.39	567.1	0.0	988.12	551.56	563.18	981.29	698.41	381.68	567.1	866.07	1096.5	1159.07
CCND2	106.63	915.51	241.19	656.11	4.58	9.93	87.03	21.47	22.59	99.43	96.68	32.82	21.78	10.96	25.17	81.14	55.1	88.88	51.35	52.45	49.21	23.76	71.5	28.45	58.3	16.15	0.0	100.13	212.78	647.07	813.63	718.08	1250.98	941.27	1819.35	2133.97	1519.15
CD164L2	18.16	13.52	221.86	4.5	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.95	0.0	0.0	0.0	0.0	1.38	1.38	2.61	0.0	0.0	2.94	2.43	0.87	3.5	2.56	0.0	16.63	102.25	23.59	11.13	9.78	7.88	5.15	8.25	3.96	15.68
CGB2	5.32	9.13	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	7.06	2.48	63.45	2.32	0.0	1.77	0.0	150.17	0.0
CHML	111.99	173.85	126.12	76.71	10.24	14.67	37.85	8.0	13.83	29.48	27.84	23.42	4.94	7.34	8.85	25.35	24.46	40.36	26.28	24.11	20.71	24.63	34.26	20.41	13.12	28.04	0.0	131.51	45.21	318.57	108.9	93.35	90.14	170.25	47.17	144.01	224.97
CHRNB2	21.32	412.0	5.19	3.2	0.97	0.0	0.0	0.23	0.97	1.95	0.97	0.92	0.21	0.0	2.46	2.81	4.17	2.27	0.29	1.66	0.0	0.82	0.21	0.18	1.19	0.27	0.0	24.46	8.65	36.27	2.1	7.0	3.17	15.11	43.94	6.11	11.64
CLDN6	130.6	201.25	15.56	7.51	2.25	0.0	0.0	0.0	0.0	10.0	2.78	1.69	0.0	0.0	77.79	0.0	651.58	0.0	0.0	50.98	0.0	4.74	0.0	0.0	0.0	5.02	0.0	121.79	12.27	209.84	291.04	6.16	2895.31	603.67	0.0	1508.65	1088.92
CMTM3	226.54	890.44	698.41	2163.77	46.84	76.17	181.28	40.93	85.82	190.34	189.02	92.7	79.45	77.79	117.6	265.87	127.0	208.38	205.5	201.25	170.25	122.64	234.57	195.72	189.02	118.43	0.0	728.11	563.18	813.63	1175.27	1277.29	1233.75	536.45	1313.23	1199.98	1794.29
CTD-2054N24.2	34.51	33.3	53.95	45.53	0.0	0.0	35.5	7.69	16.27	0.0	14.67	18.03	0.0	11.21	0.0	17.9	4.54	11.73	0.0	8.99	10.16	9.48	3.69	29.91	0.0	0.0	0.0	39.79	10.79	31.45	86.43	87.65	42.41	137.14	105.15	23.93	84.04
DIRAS1	131.51	208.38	25.35	7.22	0.0	0.66	28.45	0.17	0.23	0.29	0.0	2.48	0.0	0.62	0.0	5.02	26.28	7.69	12.36	4.78	3.56	0.73	0.15	0.0	0.0	0.0	0.0	31.9	24.11	159.9	59.55	25.91	28.24	85.82	182.55	65.26	10.63
DLG4	128.79	909.17	150.17	389.72	33.3	53.19	92.7	94.67	73.54	105.89	62.12	106.63	64.8	58.71	94.01	140.04	68.55	98.73	92.7	92.7	100.13	84.63	118.43	97.36	110.43	64.8	0.0	178.77	193.01	212.78	341.51	366.09	447.82	226.54	780.44	525.39	358.54
DLK2	152.28	113.56	142.01	271.48	14.03	3.06	9.2	1.3	6.26	7.94	2.71	9.27	1.97	11.21	10.88	8.06	6.36	4.82	4.5	0.0	3.0	7.51	8.0	14.03	10.39	6.84	0.0	8.92	878.17	27.44	218.79	6.73	27.84	24.46	14.03	116.78	28.65
DOK1	97.36	493.56	80.57	318.57	11.3	26.86	51.71	19.97	23.42	56.68	34.02	26.28	19.68	28.65	68.07	43.94	36.01	77.79	98.04	43.32	55.1	45.85	42.41	33.54	37.85	24.46	0.0	202.66	167.9	376.41	241.19	295.11	392.44	221.86	164.42	447.82	279.14
DPYSL5	4.94	1295.13	15.34	4.78	0.0	0.0	0.0	0.28	0.0	0.0	0.32	1.03	0.0	0.0	0.0	0.34	0.0	0.26	0.31	1.33	0.0	0.95	0.27	0.0	1.22	0.3	0.0	376.41	8.0	285.03	10.31	14.78	12.74	7.0	4.39	87.03	273.37
DTX3	110.43	2520.38	2163.77	713.11	10.31	57.08	126.12	54.33	43.02	181.28	132.44	100.13	34.75	42.71	150.17	273.37	23.59	175.07	157.68	117.6	94.67	94.01	154.42	217.27	223.41	65.26	0.0	866.07	669.92	808.0	753.83	1051.79	708.18	693.58	2701.35	1295.13	1111.82
ELAVL3	16.88	35.76	71.5	11.73	0.0	0.0	0.0	0.44	0.12	0.0	0.12	0.46	0.0	0.0	0.0	0.51	1.08	0.75	0.12	2.29	0.47	0.0	0.09	0.08	0.15	0.11	0.0	264.03	3.44	29.7	5.45	15.8	3.35	1.89	4.62	36.79	12.55
EPB41L3	285.03	1044.52	186.4	571.05	5.82	32.36	111.21	13.03	20.71	51.35	52.45	18.16	15.8	6.78	18.29	62.56	27.84	71.5	65.26	36.79	77.25	153.34	48.52	36.01	49.56	12.83	0.0	209.84	327.56	493.56	197.09	444.72	403.5	363.56	791.35	267.73	642.59
EPHX3	41.81	40.36	1733.13	37.59	0.84	3.14	3.53	0.31	9.63	0.41	0.37	2.03	1.87	0.0	9.85	0.0	23.93	0.27	0.0	1.89	5.02	14.45	0.29	10.96	9.85	2.05	0.0	236.21	175.07	103.69	52.08	78.89	197.09	195.72	105.15	12.74	232.94
FAR1	115.16	343.89	353.59	341.51	9.48	16.39	88.26	32.82	22.59	64.8	46.18	16.03	16.63	9.13	16.63	52.45	22.59	82.29	42.11	32.82	35.0	65.72	73.54	66.18	45.21	15.11	665.29	591.22	334.46	872.1	555.41	802.41	525.39	656.11	738.29	332.14	363.56
FGF11	198.47	332.14	780.44	753.83	1.66	3.38	4.35	6.06	14.03	10.88	10.96	5.23	8.32	2.16	4.7	7.17	20.41	5.11	5.41	17.51	1.71	5.54	8.45	8.06	14.78	1.11	0.0	76.71	1119.56	40.07	22.59	18.43	112.77	100.83	75.64	1088.92	376.41
FGF3	3.59	2.56	4.35	5.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.34	2.51	0.0	2.81	1.68	33.06	14.14	3.5
GABRR2	29.27	31.9	85.82	20.56	2.86	0.0	1.22	0.3	1.31	0.0	1.22	0.8	0.37	0.06	0.21	0.0	1.23	0.62	1.3	0.52	4.78	4.24	0.83	3.35	0.88	0.13	0.0	11.13	30.78	20.11	15.68	12.83	11.21	22.43	7.22	16.88	6.62
GP1BB	260.38	361.04	16.88	239.52	1.83	8.32	7.4	4.98	2.36	6.16	10.31	12.55	8.51	2.61	8.85	9.48	0.0	26.28	14.45	11.13	10.55	12.09	5.15	11.21	12.55	1.73	0.0	175.07	83.45	275.28	29.7	111.21	164.42	65.26	236.21	180.02	47.17
GRIN3B	11.13	22.43	9.63	2.07	0.0	0.85	0.75	0.16	0.0	0.24	0.0	0.18	0.65	1.08	2.36	3.92	1.16	2.25	1.04	0.0	1.31	4.35	0.0	0.61	1.53	0.0	0.0	1.2	18.56	16.27	8.92	13.03	10.63	12.55	1.99	14.35	1.83
HAP1	18.03	62.56	172.65	17.9	0.59	1.38	5.82	2.51	3.59	6.46	5.5	5.96	2.16	3.38	24.46	16.88	12.74	26.86	7.94	1.97	7.57	2.16	7.4	12.83	14.35	9.63	0.0	50.98	79.45	21.94	5.15	6.11	8.0	21.47	22.75	36.27	13.12
HELT	1.83	0.0	2.46	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	2.97	0.0	0.0	4.86	0.0	0.0	3.35	2.48	0.0
HES7	15.45	53.19	423.61	3.32	0.0	0.0	0.01	1.13	0.97	0.0	0.52	0.0	1.69	0.0	0.0	0.0	2.03	0.88	0.0	0.35	0.0	2.07	0.0	3.38	0.32	0.0	0.0	2.34	8.85	14.56	0.0	8.32	3.53	13.03	3.06	1.66	6.06
HRASLS	10.88	256.78	27.64	30.34	0.0	4.03	7.22	0.0	4.62	0.0	5.28	1.55	0.0	0.0	0.0	0.0	2.53	4.78	0.0	12.18	7.75	0.0	0.0	1.95	2.41	0.0	0.0	202.66	197.09	60.82	16.27	22.92	21.47	35.25	28.04	384.34	130.6
HSD11B1L	348.71	223.41	107.38	253.23	93.35	99.43	156.59	186.4	193.01	194.36	146.03	148.09	211.31	199.85	242.88	301.33	110.43	190.34	215.77	153.34	116.78	92.7	131.51	146.03	134.3	224.97	0.0	221.86	162.14	116.78	136.19	226.54	165.57	314.17	341.51	376.41	249.73
HSFY2	11.13	9.78	144.01	6.62	0.0	0.0	0.21	2.46	0.87	0.58	0.55	1.99	0.0	0.0	1.1	0.0	0.0	0.78	0.0	0.0	0.0	0.49	2.16	2.84	2.53	1.71	0.0	0.0	9.48	0.58	18.03	11.13	2.76	0.0	6.36	0.0	0.0
HSPA12A	37.32	224.97	244.57	271.48	1.01	8.06	18.29	4.62	10.96	19.97	20.86	12.55	3.29	6.16	6.78	55.49	6.62	25.17	24.99	24.46	13.32	21.78	16.15	18.84	21.32	4.58	0.0	22.92	35.76	289.02	126.12	164.42	147.06	84.04	255.0	185.11	152.28
ICAM5	98.73	87.65	163.28	7.46	0.83	0.99	0.0	0.93	0.0	1.66	0.0	0.0	0.0	1.87	0.71	0.0	13.83	1.08	1.75	0.0	2.25	0.0	1.58	0.84	0.69	1.71	0.0	10.47	63.0	35.0	9.27	12.83	19.82	26.86	23.76	75.64	3.92
IGSF9B	12.09	480.04	57.08	19.97	0.0	2.03	1.19	0.8	0.0	1.62	9.06	1.77	0.0	0.68	0.0	6.21	5.06	2.2	1.5	0.08	1.17	11.55	19.25	6.31	10.08	0.0	0.0	31.9	46.84	186.4	346.29	173.85	94.67	142.01	194.36	90.14	78.34
INA	13.03	733.19	19.11	5.59	0.68	4.28	1.99	0.49	0.0	0.0	0.0	1.19	0.0	0.44	2.61	1.27	1.77	2.51	5.41	0.0	0.53	1.81	1.83	1.08	0.0	0.52	0.0	66.65	25.91	32.13	34.75	75.64	17.77	5.87	75.64	84.04	97.36
INPP5K	854.13	571.05	591.22	679.29	384.34	283.05	395.18	269.6	264.03	616.37	275.28	595.34	303.44	299.25	460.44	466.88	269.6	500.46	429.54	316.37	507.46	281.09	295.11	490.14	339.14	181.28	0.0	674.59	514.56	387.02	748.61	974.5	612.11	525.39	878.17	466.88	327.56
ITIH6	1.81	0.97	7.63	5.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	7.22	2.07	4.43	3.96	4.13	2.16	0.0	1.57	3.2
ITPR3	167.9	500.46	624.99	490.14	3.11	10.55	22.92	4.9	8.92	37.32	21.47	25.35	5.19	9.78	17.0	49.21	13.32	41.22	21.16	31.45	12.74	36.27	23.42	58.71	9.13	3.72	0.0	733.19	738.29	915.51	1313.23	514.56	684.02	842.36	486.75	181.28	346.29
KCNH2	148.09	1242.34	36.53	37.32	0.77	0.88	13.03	0.49	0.6	3.89	16.03	1.33	0.0	2.66	0.85	22.92	1.11	11.91	0.0	4.21	7.51	2.03	5.32	1.89	16.51	1.79	0.0	348.71	136.19	587.13	802.41	1135.2	500.46	483.38	1167.14	417.77	718.08
KCNK4	2.84	42.71	23.08	19.82	0.0	0.0	0.0	0.0	0.0	2.66	1.39	0.0	0.0	0.0	0.0	0.0	6.62	2.78	0.0	1.45	0.0	0.79	0.79	0.0	0.0	1.36	0.0	0.0	5.87	2.07	3.2	3.66	6.57	2.51	0.82	4.7	2.48
KIAA2022	4.35	18.29	2.92	12.45	0.0	0.0	0.0	0.0	0.0	0.71	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.74	0.62	0.0	2.53	8.71	6.84	16.27	20.11	9.63	10.0	6.26	8.25	5.19
KLHL35	96.68	63.89	9.34	17.77	0.49	0.0	0.13	0.0	1.97	6.31	0.0	0.66	1.16	1.07	0.0	6.06	6.01	0.59	1.95	3.0	3.38	1.17	0.0	1.11	14.24	1.27	0.0	75.64	53.95	96.68	66.65	20.56	117.6	157.68	20.56	139.07	66.18
KREMEN2	115.16	429.54	1208.34	5.68	0.0	0.55	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.99	0.0	1.25	11.73	1.04	0.0	0.0	0.0	5.59	1.08	1.91	0.0	0.0	0.0	145.02	260.38	61.68	4.31	4.43	32.36	48.52	10.24	297.17	303.44
LHB	114.36	180.02	7.51	13.72	0.0	0.0	1.01	9.2	0.74	7.63	0.0	2.68	1.39	2.81	0.0	1.31	1.27	7.34	8.38	2.76	0.0	0.0	11.21	10.63	7.69	15.56	0.0	11.91	0.0	19.97	206.94	0.0	96.01	8.71	51.71	28.86	12.27
LMX1B	45.85	70.01	22.43	8.85	0.0	0.0	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	19.11	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	15.22	11.47	85.82	1.81	5.5	16.75	67.59	37.85	60.39	3.99
LPAR2	204.07	1037.29	332.14	595.34	14.89	63.45	75.64	21.16	11.3	62.12	67.12	20.41	33.54	31.22	37.32	67.59	48.18	58.3	35.25	108.14	31.45	105.89	65.26	46.84	51.35	12.55	0.0	1208.34	679.29	387.02	353.59	212.78	507.46	256.78	432.53	890.44	633.73
LPHN1	397.93	708.18	447.82	189.02	7.57	3.17	6.06	11.47	13.72	19.39	5.73	42.41	7.75	5.68	54.72	15.0	88.26	6.89	7.11	25.54	58.3	35.76	13.22	18.03	77.25	17.77	0.0	738.29	693.58	679.29	320.8	246.28	791.35	490.14	323.03	878.17	400.71
LRGUK	19.11	8.92	12.74	18.97	0.82	0.99	6.41	1.13	1.01	2.97	1.23	2.46	0.0	0.43	4.1	1.73	0.0	9.2	6.41	1.3	0.79	1.5	2.94	1.04	0.25	0.15	0.0	4.31	5.5	37.32	7.57	8.32	10.96	42.41	6.57	10.08	6.57
LRRC10B	64.34	341.51	12.0	164.42	0.49	0.0	4.54	0.21	3.38	5.41	1.73	0.69	1.57	0.59	2.14	0.74	12.55	1.08	2.81	0.49	0.71	5.23	1.11	2.48	0.8	0.69	0.0	126.12	44.57	285.03	66.18	92.05	61.68	40.64	102.25	14.03	57.89
MATN1	11.73	16.39	13.93	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.37	0.0	0.0	1.28	5.15	0.0	0.39	0.0	0.0	0.77	0.77	0.74	0.0	0.0	0.0	3.76	9.7	2.76	1.17	0.68	8.32	1.97	7.28	7.75	26.47
MOG	8.92	0.0	124.37	21.63	0.0	0.0	0.08	0.59	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	0.78	2.48	0.58	0.0	0.0	0.0	0.0	1.39	8.45	4.66	0.47	9.27	0.89	1.17	6.36	60.39	0.0
MOK	327.56	275.28	269.6	264.03	111.99	59.13	108.14	96.68	55.1	162.14	93.35	110.43	82.87	51.71	170.25	152.28	55.1	102.25	114.36	94.01	159.9	110.43	103.69	135.24	98.73	96.01	0.0	122.64	314.17	518.15	258.57	287.01	379.04	346.29	759.08	353.59	353.59
NKX6-3	54.72	74.06	3.23	0.4	0.0	0.0	0.0	0.0	0.0	0.0	5.06	2.63	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	25.35	10.55	5.36	99.43	13.22	90.77	113.56	18.03	56.68	14.56
NSG2	25.72	271.48	190.34	4.5	0.0	0.0	2.23	4.58	5.73	5.87	2.41	2.34	1.79	6.73	0.42	1.5	3.23	1.58	0.0	1.81	2.58	3.69	6.21	2.25	0.21	1.38	0.0	14.14	22.59	12.27	49.91	98.04	30.34	3.0	65.26	11.91	10.16
OBSCN	1037.29	647.07	229.72	271.48	1.33	16.75	35.5	10.79	18.29	86.43	36.01	14.67	6.94	16.27	45.21	48.18	0.0	100.83	27.44	14.24	25.17	37.85	34.02	55.89	46.5	23.93	0.0	248.0	244.57	400.71	713.11	132.44	371.22	559.28	323.03	483.38	620.67
OLFM1	299.25	1721.16	78.34	493.56	2.16	55.89	72.01	8.99	19.53	76.17	71.0	48.52	18.16	11.64	25.35	90.77	29.06	44.25	98.04	16.03	59.55	46.18	46.5	57.49	44.57	24.63	0.0	1388.16	89.51	703.28	551.56	281.09	279.14	486.75	819.3	178.77	92.7
OR5K2	6.41	9.13	34.02	7.75	0.0	0.0	0.92	3.08	0.0	0.0	0.0	0.0	0.0	1.99	0.87	0.95	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	5.41	24.99	1.25	7.69	2.71	1.43	2.92	3.11	2.86	0.0
PAX1	0.65	26.47	12.36	1.19	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	113.56	31.9	0.47	2.53	0.77	14.03	0.0	33.54	0.75
PCDHA2	21.78	14.56	4.39	16.39	0.0	0.0	3.2	0.0	0.0	2.29	5.54	1.17	0.0	0.0	0.38	3.29	0.0	1.07	0.0	1.5	0.0	0.0	2.89	4.82	0.0	0.0	0.0	0.77	8.65	23.93	4.5	10.96	5.23	1.23	8.92	6.94	15.11
PCDHA3	15.45	20.11	2.32	34.75	0.0	0.92	2.1	0.0	0.0	0.0	6.78	0.0	0.0	1.79	0.0	0.0	0.0	0.0	3.47	2.53	3.44	1.93	6.16	0.0	0.0	0.0	0.0	2.16	9.7	19.82	11.73	30.12	8.92	7.34	14.45	1.58	17.13
PCDHA6	24.11	9.06	8.51	26.28	0.0	0.0	0.0	6.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.0	0.0	0.0	0.0	4.7	0.0	0.0	4.1	0.0	0.0	0.0	1.25	8.65	17.38	3.5	8.19	5.11	2.81	21.63	1.85	15.11
PCDHA7	21.47	4.1	12.27	25.91	0.33	0.45	3.08	0.0	0.0	0.0	7.34	0.0	0.0	1.64	5.45	0.0	1.71	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	0.0	26.86	5.28	20.11	2.53	4.24	10.88	4.06	9.06	6.46	15.0
PCDHA9	6.84	0.64	2.89	7.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.34	10.63	7.46	0.37	3.23	3.14	0.97	1.77	0.35	0.37
PCDHB17	21.63	78.34	4.82	5.59	0.0	0.53	0.56	0.0	0.0	0.6	0.55	0.0	2.39	1.27	0.0	0.0	0.0	1.35	0.0	0.0	2.63	0.0	0.49	0.46	0.0	0.0	0.0	2.94	11.38	90.77	0.96	3.06	9.41	5.45	4.24	13.22	37.05
