	TCGA.CV.7432.01A.11R.2132.07	TCGA.CN.6997.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.86.8280.01A.11R.2287.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.85.7697.01A.11R.2125.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.22.1005.01A.01R.0692.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.FE.A232.01A.11R.A14Y.07
CPNE5	11.91	19.25	0.0	299.25	170.25	409.15	202.66	791.35	1143.1	8.0	64.8
CXorf21	4.21	9.13	0.0	82.87	79.45	80.01	32.13	93.35	99.43	1.99	28.45
CXorf65	0.0	1.27	0.0	31.22	21.63	128.79	13.42	104.42	134.3	6.73	6.84
DEF6	409.15	269.6	0.0	753.83	808.0	1216.75	780.44	1378.57	1059.11	599.49	265.87
DENND3	71.5	199.85	0.0	490.14	493.56	624.99	329.84	1208.34	713.11	22.26	339.14
DERL3	57.89	139.07	0.0	3491.39	2537.92	6983.79	1519.15	10014.87	11909.94	15.56	759.08
DNAH1	2.73	43.02	0.0	124.37	128.79	205.5	53.19	397.93	231.32	10.08	62.56
FAM159A	0.52	7.28	0.0	53.95	39.5	91.41	27.64	115.16	105.15	1.64	23.93
FAM221B	0.0	0.0	0.0	3.63	8.92	10.63	2.01	12.55	11.04	0.05	4.1
FCHSD1	265.87	201.25	0.0	267.73	414.87	941.27	205.5	723.08	441.64	105.15	376.41
FCRL5	0.0	9.93	87.03	314.17	249.73	723.08	208.38	1639.59	1923.14	0.39	19.53
GLYCTK	56.68	19.25	0.0	83.45	147.06	363.56	67.59	248.0	153.34	47.5	133.36
GNRH1	5.15	15.45	0.0	17.77	32.36	49.21	23.93	88.26	73.03	8.65	35.0
GPR114	24.28	4.1	0.0	94.67	57.08	115.97	44.57	209.84	171.45	1.08	23.08
GZMM	3.96	11.21	0.0	131.51	204.07	195.72	52.45	211.31	193.01	26.86	34.02
HERPUD1	532.74	909.17	0.0	5594.3	4010.71	8598.28	2451.44	13215.02	12853.63	703.28	2520.38
HLA-DOB	18.97	19.82	0.0	500.46	237.86	629.35	164.42	1081.39	1359.57	9.13	141.02
HMHA1	603.67	343.89	0.0	1540.37	1242.34	1447.15	551.56	1397.83	1233.75	156.59	435.55
ICAM3	146.03	143.01	0.0	890.44	759.08	1651.0	473.41	1662.49	2451.44	137.14	334.46
IFFO1	24.28	65.26	0.0	223.41	307.69	412.0	148.09	612.11	490.14	31.0	130.6
IGJ	37.32	447.82	7803.01	76330.98	19082.0	44452.21	12676.65	17927.91	42937.97	371.22	1183.45
IGLL5	8.85	246.28	0.0	5517.27	5006.93	22850.48	4268.94	23986.58	39785.74	21.94	921.88
IL5RA	0.0	0.89	0.0	40.07	43.32	116.78	21.47	110.43	120.94	0.0	1.64
IRF4	2.18	7.94	0.0	309.83	151.22	158.79	133.36	830.75	660.68	6.73	18.84
JSRP1	10.63	25.72	0.0	316.37	283.05	500.46	191.67	1359.57	1498.22	7.63	45.85
KCNN3	4.13	9.27	0.0	109.66	82.87	215.77	61.68	334.46	591.22	1.04	45.53
KIAA0125	0.0	9.78	0.0	314.17	90.77	571.05	146.03	1331.57	854.13	0.0	17.38
KLHL6	5.06	90.77	0.0	256.78	177.53	314.17	95.34	638.15	368.65	1.51	32.36
LAX1	1.38	8.71	0.0	164.42	138.1	201.25	75.11	384.34	463.65	0.0	8.92
LIME1	32.36	128.79	0.0	629.35	314.17	1662.49	248.0	1088.92	1709.26	101.54	236.21
LINGO3	0.52	0.85	0.0	11.55	5.32	29.27	8.13	27.25	21.47	0.89	2.23
LY9	2.05	28.04	0.0	220.32	199.85	414.87	85.82	629.35	703.28	2.61	21.63
MANF	1551.09	1477.58	4671.57	7081.29	5913.33	6426.31	3716.2	4937.99	7331.05	2855.44	2796.65
MC4R	0.0	0.0	0.0	1.57	5.36	13.22	4.03	26.28	11.21	0.0	1.2
MEI1	11.38	22.92	0.0	954.43	376.41	1313.23	248.0	2645.74	3589.58	4.62	82.87
MMP25	15.34	15.91	0.0	163.28	91.41	130.6	69.52	199.85	142.01	3.23	13.52
MUC13	0.0	0.84	0.0	128.79	18.56	112.77	46.18	277.2	1208.34	0.0	3.47
MUC5B	0.0	348.71	0.0	10585.95	656.11	33224.42	12415.75	6381.92	842.36	31.22	0.75
MZB1	32.36	116.78	967.76	5255.91	3081.75	9673.69	2997.45	23492.92	26986.43	13.62	351.14
NCF4	45.85	53.19	0.0	616.37	540.19	748.61	287.01	1378.57	1183.45	102.97	231.32
NLRP14	0.0	0.71	0.0	1.08	1.97	4.62	0.91	9.48	1.73	0.06	0.01
NXPE4	0.0	0.0	0.0	7.63	5.15	10.71	6.16	14.14	33.06	0.16	2.32
ODF3B	426.57	483.38	0.0	2319.15	1909.85	1936.53	665.29	4181.07	2335.28	384.34	961.07
OR4C6	0.0	0.0	0.0	2.78	0.67	2.78	0.0	5.23	8.19	0.0	0.0
P2RY8	2.66	8.78	17.64	65.26	57.49	102.25	38.4	119.26	130.6	1.22	42.11
PARVG	34.51	85.82	0.0	612.11	603.67	947.83	217.27	1286.18	941.27	22.1	275.28
PDE1B	2.97	13.32	0.0	53.95	58.3	113.56	18.56	93.35	101.54	9.63	97.36
PHF11	511.0	679.29	0.0	1167.14	693.58	1015.93	480.04	1331.57	1498.22	521.76	967.76
PIK3CG	4.54	13.12	0.0	70.51	57.08	76.71	30.56	120.94	78.34	2.43	18.43
PIM2	105.15	353.59	791.35	2133.97	1857.6	4239.45	1417.35	7803.01	9876.98	54.72	339.14
PLCB2	22.1	66.18	0.0	490.14	947.83	1794.29	255.0	1447.15	866.07	31.0	264.03
PNOC	0.0	2.73	0.0	169.07	66.65	198.47	71.0	540.19	457.25	0.0	7.94
POU2AF1	31.0	55.49	124.37	669.92	497.0	1437.15	616.37	3665.02	3395.89	2.58	35.25
POU2F2	23.08	21.94	35.76	172.65	133.36	182.55	125.24	376.41	529.06	2.1	23.76
PSTPIP1	32.82	55.89	0.0	447.82	373.81	780.44	201.25	669.92	536.45	27.44	85.22
PVRIG	2.66	33.54	0.0	119.26	139.07	150.17	44.89	239.52	182.55	1.28	23.59
RAB24	417.77	273.37	0.0	708.18	1111.82	1151.06	665.29	1651.0	1066.48	1023.0	825.0
RASA4	133.36	269.6	208.38	483.38	514.56	878.17	271.48	941.27	854.13	152.28	1233.75
RASA4B	63.0	107.38	92.05	206.94	376.41	507.46	98.73	400.71	325.29	46.5	728.11
RBMXL2	0.0	0.39	0.0	1.6	0.91	3.96	0.0	2.92	1.22	0.0	0.0
RHOH	24.63	35.0	142.01	426.57	334.46	624.99	211.31	1001.93	679.29	6.36	47.17
RLTPR	10.47	10.31	0.0	176.29	231.32	423.61	98.73	511.0	518.15	4.39	26.28
RNF166	44.57	432.53	0.0	540.19	684.02	1081.39	301.33	1322.37	764.36	74.06	297.17
RP11-1070N10.3	0.96	0.0	0.0	48.52	11.04	55.1	13.72	157.68	190.34	0.28	7.69
RP11-77K12.7	0.0	0.0	0.0	4.35	3.38	11.13	0.34	11.82	4.54	0.83	5.68
RP4-583P15.14	38.4	91.41	0.0	289.02	205.5	785.88	128.79	780.44	348.71	121.79	11.82
SEC11C	1233.75	934.76	0.0	5219.6	2573.36	7537.18	2148.82	6840.04	8191.0	753.83	2178.83
SLAMF7	199.85	57.89	0.0	1313.23	660.68	1857.6	376.41	2520.38	3280.18	38.12	70.51
SLC17A9	10.96	62.56	0.0	426.57	441.64	5076.84	189.02	1081.39	1467.37	2.1	177.53
SLC6A12	11.13	6.73	0.0	50.63	38.67	44.89	8.25	301.33	46.5	2.71	409.15
SLFN14	0.0	0.43	0.0	1.33	4.06	4.06	1.16	6.67	6.01	0.0	0.0
SPAG4	53.95	98.73	0.0	503.95	1008.9	1628.26	275.28	2178.83	2758.13	14.03	214.27
SPDYE4	0.0	0.0	0.0	2.1	0.0	1.53	0.0	3.38	1.81	0.0	0.72
SSR4	9279.58	5112.16	0.0	27363.16	23656.34	47642.77	12076.21	48307.85	71219.26	5041.77	12415.75
SYNE3	17.77	23.08	0.0	32.36	40.36	59.13	21.94	72.01	56.28	6.36	30.34
SYVN1	616.37	995.0	0.0	1685.71	1498.22	2133.97	1199.98	1977.24	2627.46	432.53	1225.22
TAS1R3	2.25	2.78	0.0	24.63	42.41	77.79	27.84	197.09	204.07	7.22	16.63
TNFRSF17	0.0	6.94	0.0	571.05	150.17	616.37	118.43	791.35	1819.35	0.2	34.02
TNFSF8	4.31	10.24	0.0	71.0	79.45	112.77	28.24	258.57	132.44	5.32	19.11
TP53INP1	20.41	118.43	0.0	490.14	420.68	669.92	312.0	2384.37	1561.89	80.01	226.54
TPTE2	0.0	0.79	0.0	4.62	4.78	6.94	4.28	52.08	23.59	0.06	0.0
TRIM55	2.1	0.0	0.0	31.22	9.93	5.77	4.9	45.21	39.22	4.43	8.78
TXNDC11	363.56	669.92	0.0	1883.54	2032.85	2627.46	928.3	2720.15	3716.2	466.88	1359.57
TXNDC15	493.56	559.28	0.0	1529.73	1519.15	2319.15	988.12	1950.0	2451.44	450.94	1498.22
TXNDC5	1883.54	1781.89	0.0	8598.28	5441.3	12589.08	3190.46	9215.48	15075.35	842.36	1605.83
TYK2	921.88	1572.76	0.0	2591.27	2133.97	3982.99	1832.01	5041.77	2758.13	450.94	1909.85
VIMP	660.68	1733.13	0.0	2271.4	2133.97	3190.46	1806.78	3716.2	3901.01	1167.14	1477.58
WDR64	0.45	0.43	0.0	0.67	2.76	3.47	0.57	1.46	4.86	0.0	1.45
ZBP1	19.82	10.63	0.0	262.2	155.5	547.75	102.97	884.29	981.29	0.65	23.42
ZCCHC18	0.0	4.9	0.0	25.54	30.12	28.45	12.09	59.55	36.53	0.0	6.01
