	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.50.5055.01A.01R.1628.07	TCGA.85.8355.01A.11R.2296.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.85.7710.11A.01R.2125.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3T7.01A.11R.A22L.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07
CXCR4	24321.43	10014.87	532.74	1651.0	7180.15	5555.65	17804.06	3794.3	540.19	2485.67	260.38	366.09	1457.23	902.89	1909.85	1135.2	256.78	595.34	339.14	4210.15	1628.26
CYB561A3	2816.11	1781.89	327.56	409.15	1427.22	1781.89	3982.99	2255.7	629.35	769.69	420.68	551.56	860.08	599.49	1051.79	595.34	591.22	728.11	651.58	1225.22	748.61
DAPP1	902.89	738.29	915.51	679.29	470.14	346.29	748.61	708.18	24.28	117.6	7.46	8.25	94.01	8.32	107.38	6.84	18.84	13.12	7.75	293.07	61.25
DAZL	27.44	23.59	0.72	0.0	12.27	3.03	8.99	8.38	0.0	2.16	0.0	0.0	3.66	0.0	0.53	0.0	0.0	0.0	0.0	7.17	0.22
DDX10	587.13	514.56	202.66	819.3	412.0	371.22	473.41	329.84	299.25	397.93	353.59	293.07	387.02	312.0	403.5	277.2	339.14	332.14	363.56	514.56	366.09
DDX4	2.01	12.09	3.72	1.25	0.87	0.45	4.1	0.85	0.52	1.08	0.0	0.0	0.55	1.1	2.46	0.0	0.0	0.51	0.0	5.23	0.0
DEPDC1	59.13	63.45	141.02	39.22	19.11	73.54	115.97	36.27	1.57	19.97	1.58	3.11	12.55	3.82	12.18	3.47	3.23	2.32	1.53	33.54	3.79
DMRTA2	3.11	0.37	0.0	3.06	3.99	19.53	1.31	1.27	0.29	1.77	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.64	2.01	0.0
DNM1L	836.53	1001.93	381.68	447.82	583.07	974.5	796.86	813.63	575.03	633.73	497.0	563.18	642.59	525.39	616.37	629.35	563.18	595.34	660.68	934.76	567.1
DUS2	559.28	387.02	521.76	651.58	303.44	309.83	860.08	454.09	172.65	193.01	104.42	147.06	205.5	154.42	228.13	127.89	130.6	127.89	94.67	283.05	173.85
EIF3M	7589.61	7081.29	6792.79	8963.45	6561.36	6983.79	5711.87	5831.91	4639.29	5479.15	4268.94	4671.57	4937.99	4575.41	5479.15	3665.02	4481.23	4769.75	4575.41	6792.79	4937.99
ELP4	297.17	271.48	339.14	293.07	182.55	194.36	208.38	241.19	132.44	171.45	106.63	119.26	165.57	158.79	175.07	126.12	119.26	145.02	129.69	226.54	145.02
ERMN	139.07	59.97	0.83	73.54	27.44	33.54	170.25	49.91	12.09	7.94	1.79	2.18	10.31	2.25	4.28	1.75	5.59	3.56	1.27	32.82	9.41
FAM163A	22.59	4.39	1.5	0.0	17.13	4.7	40.93	19.97	0.23	12.36	0.0	0.0	2.89	1.3	9.34	6.89	0.0	0.41	0.0	24.63	0.44
FAM49B	2351.53	1844.76	1331.57	819.3	2209.26	1950.0	2178.83	2104.58	521.76	796.86	346.29	532.74	796.86	567.1	759.08	426.57	540.19	543.96	497.0	1844.76	753.83
FANCB	32.36	38.95	15.91	7.46	25.91	32.82	45.21	28.24	1.99	14.78	2.03	3.23	6.41	4.06	13.83	5.36	7.17	3.89	3.26	20.71	5.41
FGL2	559.28	1051.79	63.89	129.69	447.82	708.18	226.54	723.08	123.5	224.97	44.89	158.79	301.33	159.9	366.09	110.43	94.01	70.51	84.63	921.88	301.33
FGR	825.0	521.76	15.8	156.59	457.25	796.86	1008.9	1857.6	343.89	339.14	142.01	205.5	363.56	199.85	289.02	185.11	108.9	314.17	138.1	591.22	400.71
FLT3	147.06	55.49	4.46	14.89	42.11	62.56	98.73	119.26	2.81	19.53	1.14	2.73	14.45	0.85	18.97	0.25	1.43	2.46	0.82	31.67	12.83
FMO1	58.71	113.56	67.59	119.26	65.72	80.01	20.86	23.08	5.15	36.27	3.99	3.44	11.55	15.8	29.91	9.13	8.38	5.02	0.0	81.14	8.0
FOXB1	1.27	3.66	0.0	0.0	4.43	2.51	3.17	0.95	0.0	0.0	0.0	0.79	0.27	0.0	0.56	0.0	0.0	0.0	0.0	0.93	0.54
GATA4	6.16	1.53	0.0	0.0	3.82	10.31	32.82	14.78	0.0	1.97	0.0	0.0	2.07	0.0	3.41	0.0	0.0	0.0	0.0	5.77	0.0
GFOD1	99.43	148.09	273.37	151.22	75.64	234.57	121.79	114.36	44.89	94.01	36.79	37.85	62.56	85.22	76.71	43.32	30.56	43.63	38.95	128.79	34.75
GHRL	185.11	62.12	1.41	89.51	117.6	49.21	165.57	157.68	29.48	44.57	4.28	5.45	63.45	15.0	34.26	18.56	21.32	9.78	14.45	129.69	40.64
GLRA3	3.17	3.08	0.0	0.87	1.19	1.13	2.27	1.35	0.0	0.34	0.0	0.0	0.35	0.0	0.35	0.0	0.0	0.0	0.0	1.97	0.0
GMIP	884.29	642.59	178.77	182.55	629.35	651.58	1583.71	995.0	264.03	303.44	120.94	162.14	373.81	249.73	295.11	202.66	182.55	167.9	142.01	476.71	273.37
GNG2	1250.98	713.11	29.48	67.59	575.03	320.8	909.17	796.86	99.43	329.84	23.59	60.82	249.73	136.19	265.87	143.01	79.45	60.82	31.67	540.19	173.85
HEPN1	12.74	28.86	0.0	0.06	6.73	1.33	11.55	5.36	0.93	10.24	0.0	0.0	2.53	0.0	4.31	0.0	0.0	0.0	0.0	13.22	0.93
HIST1H1B	15.56	2.66	14.24	0.0	9.06	11.13	13.22	3.32	0.64	8.19	0.0	0.0	3.89	0.66	2.43	0.65	3.38	0.62	0.0	19.53	2.68
HIST1H3C	10.88	8.32	18950.18	0.0	17.64	2.76	9.41	4.39	0.0	4.74	0.0	0.0	2.92	2.53	0.0	1.38	1.38	1.06	0.0	11.38	2.51
HIST1H3J	7.69	3.59	173.85	0.0	0.0	8.85	3.56	4.66	0.0	6.11	0.0	0.0	1.58	0.0	11.04	0.0	0.0	0.0	0.0	12.09	2.89
HLA-DQA1	16960.78	4152.18	866.07	1561.89	12853.63	14971.21	2835.7	8778.97	1832.01	1498.22	684.02	759.08	4010.71	1407.55	1551.09	551.56	947.83	1313.23	262.2	11345.82	1697.45
HOXA1	34.02	40.64	120.1	14.03	23.42	55.89	34.26	25.54	3.69	8.32	1.3	2.27	8.99	0.93	7.94	1.64	3.03	0.55	0.0	12.83	6.06
HOXA10	54.33	105.15	21.16	92.7	8.19	91.41	6.26	6.01	1.48	4.58	1.08	2.58	6.36	2.29	6.31	6.06	6.84	1.06	0.67	14.24	5.73
IGF2BP1	4.74	4.66	0.0	1.08	8.58	34.26	26.28	4.7	0.0	4.39	0.0	0.0	1.53	0.0	0.59	0.0	0.26	0.0	0.0	13.52	1.77
IKZF1	1883.54	808.0	36.01	204.07	470.14	480.04	1259.69	974.5	48.18	177.53	7.17	17.13	182.55	20.71	194.36	9.63	32.36	20.41	12.93	289.02	130.6
IL26	9.06	6.52	0.0	0.0	0.0	0.61	4.13	5.06	0.88	1.17	0.0	0.0	1.22	0.0	1.22	0.0	0.0	0.0	0.0	4.66	2.01
IL33	1457.23	1477.58	31.0	15.91	1073.91	341.51	529.06	1709.26	108.14	265.87	39.79	61.68	176.29	120.1	262.2	153.34	45.85	42.41	63.0	540.19	108.14
INSM1	18.56	6.31	0.0	0.0	4.39	6.67	26.47	14.24	1.66	2.48	0.19	0.52	3.92	0.0	3.89	0.18	0.0	0.0	0.0	8.32	1.28
IRF8	2303.12	1487.87	105.89	115.97	954.43	842.36	3257.52	2520.38	63.89	450.94	18.56	38.95	318.57	59.13	371.22	23.25	36.53	76.71	31.67	493.56	186.4
KATNBL1	587.13	620.67	1277.29	713.11	525.39	684.02	587.13	656.11	343.89	334.46	356.05	309.83	353.59	256.78	283.05	279.14	271.48	295.11	336.79	514.56	343.89
KBTBD8	155.5	175.07	13.72	7.63	102.25	57.49	273.37	212.78	7.69	44.57	1.38	3.23	31.67	6.67	36.01	7.51	5.96	6.21	5.32	63.45	14.56
KCNA2	6.11	16.75	13.93	4.98	4.62	6.57	4.43	13.03	3.89	3.92	0.0	0.0	2.34	0.77	4.06	0.43	0.44	1.04	2.73	12.55	2.81
KCNK12	5.87	5.68	0.0	0.0	6.26	5.02	26.1	7.4	1.2	4.62	0.28	0.27	2.25	0.6	5.11	0.91	0.6	0.57	0.58	5.92	0.28
KMO	248.0	138.1	18.03	12.0	110.43	94.67	229.72	295.11	17.51	41.52	4.06	17.9	27.84	10.0	31.9	8.51	5.5	36.01	4.5	71.5	30.78
KRT2	6.21	6.36	8.45	18.16	32.36	7.51	26.86	48.52	0.0	39.22	0.0	0.0	7.06	0.0	13.12	0.0	0.0	0.0	2.14	53.95	2.18
KRT6A	2224.63	94.67	2.01760973986E9	2.41604469791E9	117.6	58655.36	212.78	49.56	88.26	2.86	7.75	10.47	38.95	43.94	4.62	5.32	8.51	10.47	5.28	34396.12	33.78
KYNU	346.29	656.11	660.68	287.01	332.14	303.44	334.46	417.77	87.65	116.78	22.75	73.54	113.56	24.99	99.43	25.72	20.11	41.52	22.26	275.28	115.97
LCP1	9673.69	5995.9	366.09	476.71	4152.18	3614.55	8840.04	8134.41	412.0	1572.76	379.04	206.94	1477.58	201.25	1388.16	119.26	1096.5	255.0	217.27	3325.99	1037.29
LGI2	87.03	74.58	0.06	0.48	146.03	29.7	73.54	62.56	10.96	24.81	5.45	9.48	21.78	14.45	33.06	21.63	10.47	7.57	7.88	55.89	13.32
LILRA1	28.24	25.17	3.96	2.89	27.64	40.07	70.01	56.28	6.62	7.69	0.45	6.78	10.24	7.11	19.25	3.66	8.45	4.17	3.89	98.73	16.03
LILRA4	500.46	194.36	0.0	16.03	161.02	125.24	314.17	409.15	4.31	29.91	0.0	0.46	18.84	0.97	29.27	0.95	4.58	12.09	2.27	82.87	32.13
LOR	0.83	4.78	17.77	28.86	5.23	6.94	31.0	5.28	0.0	3.14	0.0	0.0	0.0	0.0	6.62	0.0	0.0	0.0	0.0	11.91	1.83
LSP1	8022.41	4239.45	764.36	1127.35	3614.55	3168.41	7081.29	4543.8	684.02	1259.69	104.42	269.6	1350.18	258.57	1508.65	165.57	373.81	299.25	148.09	2148.82	1407.55
LTB	10225.32	1832.01	651.58	281.09	5594.3	1313.23	14867.79	5831.91	197.09	547.75	13.83	97.36	759.08	34.51	1073.91	31.45	212.78	44.89	22.26	2502.97	493.56
MCOLN2	563.18	283.05	66.65	106.63	218.79	241.19	974.5	400.71	22.75	88.26	8.25	12.45	78.89	15.45	57.08	6.01	17.13	18.16	38.12	155.5	67.12
MS4A6A	4210.15	2777.33	234.57	684.02	3639.7	3168.41	1519.15	3639.7	511.0	1051.79	156.59	503.95	1733.13	624.99	1073.91	297.17	679.29	884.29	417.77	4769.75	2133.97
MTTP	1.51	2.51	1.43	1.36	4.35	1.77	2.48	10.47	0.31	1.14	0.0	1.1	1.2	0.05	0.34	0.0	0.05	0.04	0.04	5.11	0.32
MYOZ2	3.11	4.39	0.0	0.77	4.03	1.57	4.03	4.46	1.85	2.53	1.23	1.2	3.32	0.0	2.61	1.22	1.22	0.0	0.0	3.56	1.87
NINJ2	460.44	353.59	212.78	1447.15	536.45	234.57	379.04	728.11	51.71	143.01	27.44	61.68	114.36	48.52	114.36	91.41	60.39	57.08	68.55	253.23	118.43
NLRC4	52.08	55.49	5.02	6.84	55.1	50.27	33.78	255.0	25.17	30.12	7.28	23.25	34.75	16.03	27.05	9.13	16.15	28.04	10.16	96.01	37.32
NLRP11	4.1	0.37	0.0	0.0	2.61	3.59	4.7	7.06	0.2	0.72	0.0	0.0	0.21	0.0	0.48	0.0	0.0	0.0	0.0	1.64	0.72
NLRP7	6.21	7.46	0.0	0.0	7.0	5.36	8.85	12.45	1.51	1.01	0.0	3.56	2.12	0.49	3.82	0.0	0.22	0.21	0.99	17.0	2.27
NPPC	64.34	49.91	6.21	2.56	47.84	46.84	92.7	29.48	3.29	38.95	0.04	3.53	11.3	1.0	21.01	2.41	0.42	0.0	0.4	41.22	2.63
P2RY12	90.77	83.45	7.46	9.2	56.28	35.76	97.36	127.89	19.25	57.08	3.66	5.63	34.26	29.91	26.1	11.21	5.59	10.47	13.03	58.3	22.43
P2RY13	361.04	171.45	34.02	27.05	154.42	113.56	111.21	312.0	34.51	40.36	3.63	12.64	64.34	24.81	59.55	10.16	25.35	29.91	9.27	129.69	56.68
PALD1	171.45	223.41	26.28	96.01	271.48	144.01	507.46	264.03	134.3	267.73	31.0	96.01	186.4	208.38	217.27	141.02	96.68	155.5	128.79	616.37	183.82
PLAC8	3081.75	616.37	96.01	124.37	1709.26	866.07	1639.59	2609.3	62.12	202.66	71.5	209.84	273.37	66.65	426.57	33.06	32.13	90.14	84.63	444.72	154.42
PLD4	500.46	314.17	75.64	25.91	486.75	141.02	295.11	447.82	125.24	105.15	5.36	40.93	140.04	85.22	182.55	27.44	53.95	29.27	43.94	373.81	105.89
PPP2R2C	27.64	12.64	13968.57	718.08	47.84	376.41	22.1	6.84	1.16	5.73	2.25	1.14	2.68	0.79	4.35	1.53	1.17	0.78	2.18	9.27	1.89
PTGDR2	18.29	12.09	2.36	4.13	7.88	5.23	9.34	10.55	1.13	0.36	0.0	0.72	0.78	1.16	2.51	0.74	0.0	0.34	0.0	2.73	0.36
PTGFR	50.63	115.16	1.62	19.39	21.78	13.72	33.54	72.52	0.88	15.22	0.0	0.87	8.25	0.0	21.32	2.94	1.39	0.87	0.0	29.91	0.0
PTPN7	1437.15	674.59	125.24	110.43	703.28	575.03	2119.22	961.07	104.42	251.48	13.12	25.17	314.17	23.76	249.73	17.77	39.79	21.01	14.24	395.18	229.72
PTPRC	6561.36	3018.3	118.43	197.09	1540.37	2075.59	3742.05	4210.15	169.07	669.92	27.64	67.59	698.41	86.43	733.19	58.71	126.12	82.87	69.52	1268.46	511.0
RAB33A	223.41	85.22	6.21	11.04	211.31	66.18	244.57	129.69	24.46	52.08	18.03	8.85	39.22	15.0	41.22	12.45	9.48	8.85	5.11	88.88	35.5
RABGAP1L	1119.56	921.88	226.54	336.79	567.1	688.78	981.29	836.53	176.29	346.29	186.4	176.29	289.02	175.07	334.46	171.45	224.97	152.28	141.02	536.45	249.73
RAC2	11112.3	3467.27	836.53	1044.52	5183.54	2915.45	10733.74	6699.25	902.89	1883.54	679.29	540.19	1769.57	392.44	1662.49	444.72	728.11	432.53	293.07	2271.4	1359.57
RARRES1	785.88	3768.09	29.48	37.05	1508.65	1583.71	620.67	450.94	90.14	358.54	80.01	71.0	221.86	49.56	202.66	70.51	237.86	341.51	66.18	1088.92	366.09
RASSF2	1030.12	902.89	47.84	205.5	583.07	493.56	1304.15	1191.69	59.97	234.57	26.67	50.27	234.57	87.65	269.6	109.66	58.71	50.98	36.79	571.05	161.02
RGS17	14.24	15.0	348.71	34.75	45.85	9.93	9.06	9.7	8.71	9.56	3.66	3.23	6.21	2.71	4.98	2.68	3.63	2.29	3.23	24.46	9.34
RGS18	75.64	116.78	7.94	8.0	88.26	71.0	50.98	140.04	8.13	40.07	4.43	9.63	25.35	12.83	32.36	7.0	11.13	10.39	10.71	113.56	25.17
RGS9	92.7	112.77	8.0	14.56	72.52	43.63	279.14	151.22	18.97	87.65	1.83	6.21	34.75	21.16	33.78	10.88	9.85	6.21	6.21	87.65	16.15
RHOH	2645.74	1331.57	73.54	251.48	1216.75	642.59	2664.15	1259.69	71.0	366.09	12.74	14.89	289.02	45.53	329.84	14.24	26.1	23.42	25.91	361.04	169.07
RP11-1220K2.2	4.66	305.55	0.0	0.0	9.34	11.64	2.48	5.32	0.0	2.29	0.0	0.0	0.93	0.0	0.93	0.0	0.45	0.0	0.44	4.94	0.0
RP11-514O12.4	33.78	12.18	0.0	34.26	12.64	12.74	8.0	12.74	4.9	5.5	6.06	3.53	7.51	1.71	10.63	6.52	0.0	0.51	4.54	19.82	10.16
RUFY4	53.57	27.64	20.71	10.71	27.44	26.67	42.41	15.45	5.59	8.92	1.0	2.56	12.45	1.0	9.63	0.32	0.0	0.96	3.23	33.3	9.63
RUNX3	1088.92	633.73	38.12	93.35	612.11	769.69	1135.2	791.35	46.5	136.19	13.22	14.45	131.51	18.29	142.01	9.06	29.06	18.97	11.13	332.14	120.1
S100Z	11.73	10.63	0.0	4.82	17.51	11.91	30.34	22.75	1.97	5.41	1.33	2.25	6.01	0.31	4.9	0.97	1.31	1.27	1.28	22.43	5.06
SAMM50	872.1	1059.11	819.3	1378.57	860.08	642.59	909.17	934.76	723.08	780.44	518.15	642.59	743.43	698.41	842.36	595.34	665.29	674.59	567.1	988.12	780.44
SEPT6	5872.48	2004.85	241.19	348.71	1950.0	1167.14	2777.33	2255.7	341.51	934.76	95.34	144.01	728.11	169.07	890.44	113.56	285.03	155.5	102.97	1151.06	595.34
SERPINA5	202.66	161.02	24.81	353.59	256.78	30.78	289.02	108.9	7.06	148.09	5.32	2.14	46.5	2.2	49.21	0.0	1.77	2.14	2.53	156.59	5.68
SERPINB9	802.41	536.45	1151.06	660.68	698.41	470.14	1277.29	748.61	146.03	275.28	50.98	111.99	195.72	162.14	204.07	161.02	153.34	120.94	72.01	587.13	161.02
SERPINF2	102.97	232.94	24.81	52.45	473.41	112.77	191.67	264.03	45.53	154.42	15.91	34.02	74.58	53.95	106.63	31.9	29.27	48.18	21.01	454.09	77.79
SH3TC1	543.96	426.57	1304.15	1304.15	521.76	532.74	1277.29	665.29	366.09	327.56	157.68	199.85	289.02	249.73	309.83	267.73	103.69	256.78	348.71	583.07	271.48
SIGLEC10	429.54	273.37	12.83	26.1	460.44	612.11	934.76	802.41	28.86	202.66	10.47	15.0	165.57	38.95	139.07	17.64	43.02	17.77	17.13	583.07	96.68
SLC12A3	54.33	11.38	0.93	15.8	14.24	12.55	53.19	40.93	0.55	4.28	0.0	0.0	4.17	0.56	5.11	0.0	0.0	0.53	0.0	11.13	0.87
