	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AF.2691.11A.01R.A32Z.07
MEIS3	567.1	202.66	947.83	1674.06	1037.29	305.55	83.45	33.78	46.5	412.0	18.84	0.0	176.29
MFGE8	3847.29	2758.13	12764.83	19482.97	11827.67	9215.48	620.67	780.44	595.34	3235.01	279.14	0.0	1923.14
MICAL2	1936.53	1709.26	3794.3	3665.02	11504.21	3716.2	212.78	126.12	314.17	420.68	14.35	0.0	2367.9
MON1A	356.05	176.29	169.07	215.77	209.84	176.29	98.04	72.52	81.71	115.97	158.79	0.0	334.46
MSRB3	11745.96	3103.19	10084.54	7803.01	16960.78	9344.14	106.63	234.57	785.88	353.59	13.22	0.0	1883.54
MTOR	651.58	507.46	620.67	591.22	612.11	669.92	182.55	197.09	435.55	384.34	325.29	0.0	493.56
MUSTN1	660.68	432.53	185.11	551.56	543.96	785.88	1.25	0.41	18.97	217.27	11.64	0.0	191.67
MVB12B	275.28	211.31	211.31	241.19	258.57	198.47	50.63	59.13	62.56	88.26	20.56	0.0	244.57
NICN1	305.55	307.69	244.57	363.56	358.54	447.82	59.55	129.69	121.79	166.73	211.31	0.0	157.68
NLGN3	144.01	65.72	81.14	105.89	140.04	63.45	3.11	2.86	11.55	8.06	5.28	0.0	50.63
PHF2	808.0	616.37	679.29	830.75	759.08	785.88	176.29	163.28	108.14	334.46	115.16	173.85	500.46
PLAC9	836.53	620.67	1963.57	3280.18	1457.23	2148.82	85.22	119.26	41.22	454.09	29.27	0.0	480.04
PPP1R14A	35856.82	8247.98	32540.65	40904.3	68318.04	20030.74	117.6	96.68	28.45	381.68	29.06	0.0	6561.36
PRDM2	599.49	406.31	543.96	679.29	647.07	651.58	95.34	170.25	244.57	307.69	81.71	163.28	329.84
PTGIR	172.65	69.52	403.5	201.25	309.83	332.14	21.63	17.25	14.35	103.69	7.34	0.0	48.18
QRICH1	1233.75	967.76	1037.29	1359.57	1151.06	1066.48	341.51	457.25	463.65	559.28	559.28	909.17	825.0
RAF1	1639.59	1378.57	1199.98	1662.49	1628.26	1883.54	836.53	559.28	1008.9	836.53	947.83	1183.45	1304.15
RASD2	1208.34	514.56	12676.65	13586.57	55107.99	1519.15	38.67	69.03	44.57	334.46	4.39	0.0	595.34
RASGRP2	1745.2	988.12	1745.2	1870.53	2573.36	1159.07	158.79	71.5	42.41	299.25	24.81	0.0	599.49
RBM20	281.09	74.58	78.89	22.92	118.43	52.45	6.31	4.35	21.63	18.7	38.4	0.0	38.95
S1PR3	348.71	277.2	10014.87	8078.22	20737.16	2915.45	65.26	82.29	106.63	389.72	26.1	195.72	265.87
SEPN1	1605.83	796.86	1457.23	2209.26	1286.18	1487.87	620.67	536.45	995.0	1277.29	379.04	0.0	1044.52
SMTN	641014.63	50359.33	318292.9	93325.55	1034138.94	150561.19	133.36	309.83	198.47	660.68	441.64	0.0	29124.6
SSH1	400.71	258.57	392.44	414.87	400.71	389.72	249.73	143.01	368.65	202.66	145.02	0.0	234.57
ST6GALNAC6	1617.0	2895.31	1950.0	2915.45	2627.46	2555.58	1233.75	567.1	441.64	1015.93	341.51	0.0	5112.16
STRIP1	633.73	473.41	426.57	540.19	480.04	507.46	115.16	163.28	228.13	265.87	189.02	0.0	457.25
TATDN2	351.14	457.25	435.55	450.94	389.72	438.59	205.5	242.88	332.14	341.51	323.03	0.0	551.56
TESK1	1340.84	830.75	981.29	1583.71	1757.34	1322.37	392.44	536.45	463.65	693.58	353.59	0.0	785.88
TLN1	39510.91	11504.21	43840.21	56657.31	79022.82	45072.75	2895.31	2555.58	2148.82	3982.99	3716.2	2855.44	10585.95
TMEM110	239.52	162.14	157.68	332.14	262.2	291.04	129.69	68.07	107.38	175.07	105.89	0.0	183.82
TNXB	4802.93	2609.3	2384.37	8963.45	4152.18	4575.41	18.29	34.02	25.17	181.28	36.53	0.0	1819.35
TPM1	535303.41	89523.81	789181.81	217400.14	2201414.44	254974.66	3146.52	28525.2	9151.82	16269.83	2997.45	7230.1	56265.94
TPM2	1063212.58	115696.65	706337.4	663619.99	2392353.91	408505.64	703.28	836.53	2193.99	3901.01	146.03	0.0	81244.48
TUBB6	21768.19	5006.93	7485.11	7803.01	11424.74	6381.92	1030.12	2004.85	1487.87	2573.36	438.59	0.0	4298.64
UBP1	1359.57	1175.27	1268.46	1051.79	1259.69	1127.35	334.46	195.72	384.34	327.56	334.46	0.0	988.12
UTP11L	1519.15	1023.0	988.12	974.5	1259.69	981.29	559.28	647.07	551.56	842.36	503.95	1111.82	947.83
VCL	42937.97	6164.49	19618.49	21172.91	30572.63	14561.8	507.46	193.01	414.87	921.88	287.01	1233.75	6426.31
XYLT1	293.07	193.01	164.42	205.5	281.09	156.59	10.88	14.24	12.74	37.32	2.84	0.0	229.72
ZBTB1	435.55	450.94	551.56	665.29	429.54	532.74	291.04	218.79	281.09	417.77	215.77	0.0	389.72
ZBTB43	145.02	133.36	172.65	191.67	167.9	164.42	94.01	35.0	63.0	88.88	29.27	55.89	119.26
ZBTB47	1447.15	525.39	1417.35	3419.52	2351.53	2104.58	59.97	80.57	110.43	211.31	14.03	106.63	463.65
